ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-196-1,aghu1253-std,concepticon-965,1.1,дуьнйа,world,du'nia
clics-doculect-196-2,aghu1253-std,concepticon-626,1.21,джил,"earth, land",dzhil
clics-doculect-196-3,aghu1253-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-196-4,aghu1253-std,concepticon-1228,1.212,наькьв,"earth=ground, soil",na'k'v
clics-doculect-196-5,aghu1253-std,concepticon-2,1.213,руг,dust,rug
clics-doculect-196-6,aghu1253-std,concepticon-640,1.214,бетІур,mud,betIur
clics-doculect-196-7,aghu1253-std,concepticon-2118,1.22,су,"mountain, hill",su
clics-doculect-196-8,aghu1253-std,concepticon-2118,1.22,сув,"mountain, hill",suv
clics-doculect-196-9,aghu1253-std,concepticon-2118,1.22,тепе,"mountain, hill",tepe
clics-doculect-196-10,aghu1253-std,concepticon-618,1.222,дагвар,"cliff, precipice",dagvar
clics-doculect-196-11,aghu1253-std,concepticon-618,1.222,суванкІукІ,"cliff, precipice",suvankIukI
clics-doculect-196-12,aghu1253-std,concepticon-618,1.222,гъун,"cliff, precipice",g'un
clics-doculect-196-13,aghu1253-std,concepticon-652,1.23,гал,"plain, field",gal
clics-doculect-196-14,aghu1253-std,concepticon-652,1.23,ху,"plain, field",khu
clics-doculect-196-15,aghu1253-std,concepticon-921,1.24,дере,valley,dere
clics-doculect-196-16,aghu1253-std,concepticon-622,1.25,джазира,island,dzhazira
clics-doculect-196-17,aghu1253-std,concepticon-622,1.25,остров,island,ostrov
clics-doculect-196-18,aghu1253-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-196-19,aghu1253-std,concepticon-113,1.27,къирагъ,shore,k'irag'
clics-doculect-196-20,aghu1253-std,concepticon-1155,1.28,улуд,cave,ulud
clics-doculect-196-21,aghu1253-std,concepticon-948,1.31,хьед,water,kh'ed
clics-doculect-196-22,aghu1253-std,concepticon-1474,1.32,хІул,sea,khIul
clics-doculect-196-23,aghu1253-std,concepticon-258,1.322,сакин,calm (of sea),sakin
clics-doculect-196-24,aghu1253-std,concepticon-259,1.323,гуджлу,rough (of sea),gudzhlu
clics-doculect-196-25,aghu1253-std,concepticon-1768,1.324,гъурт,foam,g'urt
clics-doculect-196-26,aghu1253-std,concepticon-645,1.329,хІул,ocean,khIul
clics-doculect-196-27,aghu1253-std,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-196-28,aghu1253-std,concepticon-624,1.33,дагар,lake,dagar
clics-doculect-196-29,aghu1253-std,concepticon-978,1.35,лепе,wave,lepe
clics-doculect-196-30,aghu1253-std,concepticon-666,1.36,нецІв,"river, stream, brook",netsIv
clics-doculect-196-31,aghu1253-std,concepticon-666,1.36,рух,"river, stream, brook",rukh
clics-doculect-196-32,aghu1253-std,concepticon-2144,1.37,булагъ,"spring, well",bulag'
clics-doculect-196-33,aghu1253-std,concepticon-2144,1.37,хьедайчІваус,"spring, well",kh'edaichIvaus
clics-doculect-196-34,aghu1253-std,concepticon-2144,1.37,къуй,"spring, well",k'ui
clics-doculect-196-35,aghu1253-std,concepticon-1145,1.38,уьр,swamp,u'r
clics-doculect-196-36,aghu1253-std,concepticon-1145,1.38,кьир,swamp,k'ir
clics-doculect-196-37,aghu1253-std,concepticon-943,1.39,хьедалайчаус,waterfall,kh'edalaichaus
clics-doculect-196-38,aghu1253-std,concepticon-420,1.41,дар,"woods, forest",dar
clics-doculect-196-40,aghu1253-std,concepticon-1803,1.43,кІур,wood,kIur
clics-doculect-196-41,aghu1253-std,concepticon-2125,1.44,гъван,"stone, rock",g'van
clics-doculect-196-42,aghu1253-std,concepticon-2125,1.44,дагьар,"stone, rock",dag'ar
clics-doculect-196-43,aghu1253-std,concepticon-6,1.45,джилттуттанас,earthquake,dzhilttuttanas
clics-doculect-196-44,aghu1253-std,concepticon-1732,1.51,зав,sky,zav
clics-doculect-196-45,aghu1253-std,concepticon-1343,1.52,рагъ,sun,rag'
clics-doculect-196-46,aghu1253-std,concepticon-1313,1.53,ваз,moon,vaz
clics-doculect-196-47,aghu1253-std,concepticon-1430,1.54,гІад,star,gIad
clics-doculect-196-48,aghu1253-std,concepticon-1654,1.55,цІаьлепен,lightning,tsIa'lepen
clics-doculect-196-49,aghu1253-std,concepticon-1150,1.56,заврухас,thunder,zavrukhas
clics-doculect-196-50,aghu1253-std,concepticon-2007,1.57,цІаьлепен,lightning (as striking),tsIa'lepen
clics-doculect-196-51,aghu1253-std,concepticon-858,1.58,тІурфан,storm,tIurfan
clics-doculect-196-52,aghu1253-std,concepticon-1733,1.59,рагъухъан,rainbow,rag'ukh'an
clics-doculect-196-53,aghu1253-std,concepticon-630,1.61,ъІакв,light (noun),'Iakv
clics-doculect-196-54,aghu1253-std,concepticon-11,1.62,мучІ,darkness,muchI
clics-doculect-196-55,aghu1253-std,concepticon-1388,1.63,аьхъІ,"shade, shadow",a'kh'I
clics-doculect-196-56,aghu1253-std,concepticon-1977,1.64,чиг,dew,chig
clics-doculect-196-57,aghu1253-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-196-58,aghu1253-std,concepticon-960,1.72,кулак,wind,kulak
clics-doculect-196-59,aghu1253-std,concepticon-1489,1.73,диф,cloud,dif
clics-doculect-196-60,aghu1253-std,concepticon-1489,1.73,къири,cloud,k'iri
clics-doculect-196-61,aghu1253-std,concepticon-249,1.74,диф,fog,dif
clics-doculect-196-62,aghu1253-std,concepticon-658,1.75,угъал,rain (noun),ug'al
clics-doculect-196-63,aghu1253-std,concepticon-784,1.76,ибхь,snow (noun),ibkh'
clics-doculect-196-64,aghu1253-std,concepticon-617,1.77,мерккв,ice,merkkv
clics-doculect-196-65,aghu1253-std,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-196-66,aghu1253-std,concepticon-221,1.81,цІа,fire,tsIa
clics-doculect-196-67,aghu1253-std,concepticon-889,1.82,йалав,flame (noun),ialav
clics-doculect-196-68,aghu1253-std,concepticon-778,1.83,кум,smoke (noun),kum
clics-doculect-196-69,aghu1253-std,concepticon-646,1.84,рукъІ,ashes,ruk'I
clics-doculect-196-70,aghu1253-std,concepticon-67,1.841,цІухур,embers,tsIukhur
clics-doculect-196-71,aghu1253-std,concepticon-141,1.851,угасаквас,burn (vb trans),ugasakvas
clics-doculect-196-72,aghu1253-std,concepticon-1428,1.852,угас,burn (vb intrans),ugas
clics-doculect-196-73,aghu1253-std,concepticon-737,1.86,цІакерхасаквас,"light, kindle, ignite",tsIakerkhasakvas
