ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-113-1,akhv1239-Southern,concepticon-965,1.1,дуняли,world,duniali
clics-doculect-113-2,akhv1239-Southern,concepticon-626,1.21,унс̅и,"earth, land",unsi
clics-doculect-113-3,akhv1239-Southern,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-113-4,akhv1239-Southern,concepticon-1228,1.212,унс̅и,"earth=ground, soil",unsi
clics-doculect-113-5,akhv1239-Southern,concepticon-2,1.213,тата,dust,tata
clics-doculect-113-6,akhv1239-Southern,concepticon-640,1.214,чорокинари,mud,chorokinari
clics-doculect-113-7,akhv1239-Southern,concepticon-671,1.215,песоке,sand,pesoke
clics-doculect-113-8,akhv1239-Southern,concepticon-671,1.215,мич̅ир,sand,michir
clics-doculect-113-9,akhv1239-Southern,concepticon-2118,1.22,беча,"mountain, hill",becha
clics-doculect-113-10,akhv1239-Southern,concepticon-2118,1.22,къобо,"mountain, hill",k'obo
clics-doculect-113-11,akhv1239-Southern,concepticon-618,1.222,кьедо,"cliff, precipice",k'edo
clics-doculect-113-12,akhv1239-Southern,concepticon-618,1.222,парс̅и,"cliff, precipice",parsi
clics-doculect-113-13,akhv1239-Southern,concepticon-652,1.23,битІелъери,"plain, field",bitIel'eri
clics-doculect-113-14,akhv1239-Southern,concepticon-652,1.23,хъІури,"plain, field",kh'Iuri
clics-doculect-113-15,akhv1239-Southern,concepticon-921,1.24,битІара,valley,bitIara
clics-doculect-113-16,akhv1239-Southern,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-113-17,akhv1239-Southern,concepticon-166,1.26,кантиненти,mainland,kantinenti
clics-doculect-113-18,akhv1239-Southern,concepticon-113,1.27,бакьІихъелъери,shore,bak'Iikh'el'eri
clics-doculect-113-19,akhv1239-Southern,concepticon-113,1.27,ралъабакьІихъелъери,shore,ral'abak'Iikh'el'eri
clics-doculect-113-20,akhv1239-Southern,concepticon-1155,1.28,рец̅Іа,cave,retsIa
clics-doculect-113-21,akhv1239-Southern,concepticon-948,1.31,л̅ъени,water,l'eni
clics-doculect-113-22,akhv1239-Southern,concepticon-1474,1.32,ралъа,sea,ral'a
clics-doculect-113-23,akhv1239-Southern,concepticon-258,1.322,гъардеотадаба,calm (of sea),g'ardeotadaba
clics-doculect-113-24,akhv1239-Southern,concepticon-259,1.323,гьалагвинадаб,rough (of sea),g'alagvinadab
clics-doculect-113-25,akhv1239-Southern,concepticon-1768,1.324,пале,foam,pale
clics-doculect-113-26,akhv1239-Southern,concepticon-645,1.329,океани,ocean,okeani
clics-doculect-113-27,akhv1239-Southern,concepticon-624,1.33,игьвара,lake,ig'vara
clics-doculect-113-28,akhv1239-Southern,concepticon-978,1.35,карачели,wave,karacheli
clics-doculect-113-29,akhv1239-Southern,concepticon-891,1.352,кьІадабекъІери,tide,k'Iadabek'Ieri
clics-doculect-113-30,akhv1239-Southern,concepticon-1026,1.353,бех̅абушери,lowtide,bekhabusheri
clics-doculect-113-31,akhv1239-Southern,concepticon-666,1.36,лъерс̅а,"river, stream, brook",l'ersa
clics-doculect-113-32,akhv1239-Southern,concepticon-666,1.36,эрх̅е,"river, stream, brook",erkhe
clics-doculect-113-33,akhv1239-Southern,concepticon-666,1.36,гъарда,"river, stream, brook",g'arda
clics-doculect-113-34,akhv1239-Southern,concepticon-1982,1.362,арс̅има,whirlpool,arsima
clics-doculect-113-35,akhv1239-Southern,concepticon-2144,1.37,мачІали,"spring, well",machIali
clics-doculect-113-36,akhv1239-Southern,concepticon-1145,1.38,лъІирц̅Іи,swamp,l'IirtsIi
clics-doculect-113-37,akhv1239-Southern,concepticon-943,1.39,лълъенорц̅Іидабмиша,waterfall,l'l'enortsIidabmisha
clics-doculect-113-38,akhv1239-Southern,concepticon-420,1.41,руша,"woods, forest",rusha
clics-doculect-113-40,akhv1239-Southern,concepticon-1803,1.43,лъуда,wood,l'uda
clics-doculect-113-41,akhv1239-Southern,concepticon-2125,1.44,инчІа,"stone, rock",inchIa
clics-doculect-113-42,akhv1239-Southern,concepticon-2125,1.44,кьедо,"stone, rock",k'edo
clics-doculect-113-43,akhv1239-Southern,concepticon-6,1.45,унс̅ибагъарилари,earthquake,unsibag'arilari
clics-doculect-113-44,akhv1239-Southern,concepticon-1732,1.51,решени,sky,resheni
clics-doculect-113-45,akhv1239-Southern,concepticon-1343,1.52,милъи,sun,mil'i
clics-doculect-113-46,akhv1239-Southern,concepticon-1313,1.53,боц̅Іо,moon,botsIo
clics-doculect-113-47,akhv1239-Southern,concepticon-1430,1.54,ц̅Іва,star,tsIva
clics-doculect-113-48,akhv1239-Southern,concepticon-1654,1.55,пири,lightning,piri
clics-doculect-113-49,akhv1239-Southern,concepticon-1150,1.56,гъвери,thunder,g'veri
clics-doculect-113-50,akhv1239-Southern,concepticon-2007,1.57,пирипирх̅ери,lightning (as striking),piripirkheri
clics-doculect-113-51,akhv1239-Southern,concepticon-858,1.58,лъвели,storm,l'veli
clics-doculect-113-52,akhv1239-Southern,concepticon-1733,1.59,чІабачІйони,rainbow,chIabachIioni
clics-doculect-113-53,akhv1239-Southern,concepticon-1733,1.59,чІимичІуни,rainbow,chIimichIuni
clics-doculect-113-54,akhv1239-Southern,concepticon-630,1.61,квани,light (noun),kvani
clics-doculect-113-55,akhv1239-Southern,concepticon-11,1.62,бец̅олъери,darkness,betsol'eri
clics-doculect-113-56,akhv1239-Southern,concepticon-11,1.62,ч̅ІинтІу,darkness,chIintIu
clics-doculect-113-57,akhv1239-Southern,concepticon-11,1.62,кваниголъери,darkness,kvanigol'eri
clics-doculect-113-58,akhv1239-Southern,concepticon-1388,1.63,кІанц̅и,"shade, shadow",kIantsi
clics-doculect-113-59,akhv1239-Southern,concepticon-1977,1.64,с̅иби,dew,sibi
clics-doculect-113-60,akhv1239-Southern,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-113-61,akhv1239-Southern,concepticon-27,1.71,лъвели,air,l'veli
clics-doculect-113-62,akhv1239-Southern,concepticon-960,1.72,миче,wind,miche
clics-doculect-113-63,akhv1239-Southern,concepticon-1489,1.73,гьира,cloud,g'ira
