ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-21-1,andi1255-std,concepticon-965,1.1,дунял,world,dunial
clics-doculect-21-2,andi1255-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-21-3,andi1255-std,concepticon-626,1.21,рек̅Іу,"earth, land",rekIu
clics-doculect-21-4,andi1255-std,concepticon-1228,1.212,онщи,"earth=ground, soil",onshchi
clics-doculect-21-5,andi1255-std,concepticon-2,1.213,кьехва,dust,k'ekhva
clics-doculect-21-6,andi1255-std,concepticon-640,1.214,гъузи,mud,g'uzi
clics-doculect-21-7,andi1255-std,concepticon-671,1.215,сур,sand,sur
clics-doculect-21-8,andi1255-std,concepticon-2118,1.22,бул,"mountain, hill",bul
clics-doculect-21-9,andi1255-std,concepticon-2118,1.22,гъижи,"mountain, hill",g'izhi
clics-doculect-21-10,andi1255-std,concepticon-2118,1.22,рокъо,"mountain, hill",rok'o
clics-doculect-21-11,andi1255-std,concepticon-618,1.222,кьури,"cliff, precipice",k'uri
clics-doculect-21-12,andi1255-std,concepticon-618,1.222,хъинссил,"cliff, precipice",kh'inssil
clics-doculect-21-13,andi1255-std,concepticon-652,1.23,гьарч̅Іи,"plain, field",g'archIi
clics-doculect-21-14,andi1255-std,concepticon-652,1.23,алахи,"plain, field",alakhi
clics-doculect-21-15,andi1255-std,concepticon-921,1.24,рек̅Іу,valley,rekIu
clics-doculect-21-16,andi1255-std,concepticon-921,1.24,къватІла,valley,k'vatIla
clics-doculect-21-17,andi1255-std,concepticon-622,1.25,чІинкІил,island,chIinkIil
clics-doculect-21-18,andi1255-std,concepticon-166,1.26,континент,mainland,kontinent
clics-doculect-21-19,andi1255-std,concepticon-113,1.27,рагьал,shore,rag'al
clics-doculect-21-20,andi1255-std,concepticon-113,1.27,рагьалълъир,shore,rag'al'l'ir
clics-doculect-21-21,andi1255-std,concepticon-1155,1.28,реч̅Іо,cave,rechIo
clics-doculect-21-22,andi1255-std,concepticon-948,1.31,лъен,water,l'en
clics-doculect-21-23,andi1255-std,concepticon-1474,1.32,релъо,sea,rel'o
clics-doculect-21-24,andi1255-std,concepticon-1474,1.32,тенгизи,sea,tengizi
clics-doculect-21-25,andi1255-std,concepticon-258,1.322,ригъибрелъо,calm (of sea),rig'ibrel'o
clics-doculect-21-26,andi1255-std,concepticon-259,1.323,рергъаб,rough (of sea),rerg'ab
clics-doculect-21-27,andi1255-std,concepticon-1768,1.324,пол,foam,pol
clics-doculect-21-28,andi1255-std,concepticon-645,1.329,окиан,ocean,okian
clics-doculect-21-29,andi1255-std,concepticon-624,1.33,игьур,lake,ig'ur
clics-doculect-21-30,andi1255-std,concepticon-978,1.35,карачил,wave,karachil
clics-doculect-21-31,andi1255-std,concepticon-666,1.36,гъадор,"river, stream, brook",g'ador
clics-doculect-21-32,andi1255-std,concepticon-666,1.36,инххи,"river, stream, brook",inkhkhi
clics-doculect-21-33,andi1255-std,concepticon-1982,1.362,ххару,whirlpool,khkharu
clics-doculect-21-34,andi1255-std,concepticon-2144,1.37,инцци,"spring, well",intstsi
clics-doculect-21-35,andi1255-std,concepticon-2144,1.37,гъуй,"spring, well",g'ui
