ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-112-1,arao1248-std,concepticon-965,1.1,ewa,world,ewa
clics-doculect-112-2,arao1248-std,concepticon-965,1.1,eowa,world,eowa
clics-doculect-112-3,arao1248-std,concepticon-626,1.21,ewa,"earth, land",ewa
clics-doculect-112-4,arao1248-std,concepticon-626,1.21,eowa,"earth, land",eowa
clics-doculect-112-5,arao1248-std,concepticon-1228,1.212,mezizo,"earth=ground, soil",mezizo
clics-doculect-112-6,arao1248-std,concepticon-2,1.213,poc̷ac̷ai,dust,pocacai
clics-doculect-112-7,arao1248-std,concepticon-640,1.214,abelabela,mud,abelabela
clics-doculect-112-8,arao1248-std,concepticon-671,1.215,mezizo,sand,mezizo
clics-doculect-112-9,arao1248-std,concepticon-2118,1.22,ewašokʷe,"mountain, hill",ewasokwe
clics-doculect-112-10,arao1248-std,concepticon-618,1.222,pilika,"cliff, precipice",pilika
clics-doculect-112-11,arao1248-std,concepticon-652,1.23,zei,"plain, field",zei
clics-doculect-112-12,arao1248-std,concepticon-652,1.23,paša,"plain, field",pasa
clics-doculect-112-13,arao1248-std,concepticon-622,1.25,piwiwineti,island,piwiwineti
clics-doculect-112-14,arao1248-std,concepticon-113,1.27,patatahapo,shore,patatahapo
clics-doculect-112-15,arao1248-std,concepticon-1155,1.28,talale,cave,talale
clics-doculect-112-16,arao1248-std,concepticon-1155,1.28,lala,cave,lala
clics-doculect-112-17,arao1248-std,concepticon-948,1.31,ena,water,ena
clics-doculect-112-18,arao1248-std,concepticon-948,1.31,eowi,water,eowi
clics-doculect-112-19,arao1248-std,concepticon-1474,1.32,c̷eiɲena,sea,ceinena
clics-doculect-112-20,arao1248-std,concepticon-259,1.323,c̷oma,rough (of sea),coma
clics-doculect-112-21,arao1248-std,concepticon-1768,1.324,moba,foam,moba
clics-doculect-112-22,arao1248-std,concepticon-624,1.33,bai,lake,bai
clics-doculect-112-23,arao1248-std,concepticon-623,1.341,wac̷a,lagoon,waca
clics-doculect-112-24,arao1248-std,concepticon-666,1.36,šašokʷe,"river, stream, brook",sasokwe
clics-doculect-112-25,arao1248-std,concepticon-666,1.36,mano,"river, stream, brook",mano
clics-doculect-112-26,arao1248-std,concepticon-2144,1.37,sipia,"spring, well",sipia
clics-doculect-112-27,arao1248-std,concepticon-1145,1.38,wazawaza,swamp,wazawaza
clics-doculect-112-28,arao1248-std,concepticon-420,1.41,eiye,"woods, forest",eiye
clics-doculect-112-30,arao1248-std,concepticon-1803,1.43,amaha,wood,amaha
clics-doculect-112-31,arao1248-std,concepticon-2125,1.44,mahana,"stone, rock",mahana
clics-doculect-112-32,arao1248-std,concepticon-1732,1.51,baepa,sky,baepa
clics-doculect-112-33,arao1248-std,concepticon-1343,1.52,zeti,sun,zeti
clics-doculect-112-34,arao1248-std,concepticon-1313,1.53,badi,moon,badi
clics-doculect-112-35,arao1248-std,concepticon-1654,1.55,popa,lightning,popa
clics-doculect-112-36,arao1248-std,concepticon-1150,1.56,tilitili,thunder,tilitili
clics-doculect-112-37,arao1248-std,concepticon-2007,1.57,popa,lightning (as striking),popa
clics-doculect-112-38,arao1248-std,concepticon-1733,1.59,walibao,rainbow,walibao
clics-doculect-112-39,arao1248-std,concepticon-630,1.61,ode,light (noun),ode
clics-doculect-112-40,arao1248-std,concepticon-11,1.62,aapo,darkness,aapo
clics-doculect-112-41,arao1248-std,concepticon-11,1.62,hamomoneti,darkness,hamomoneti
clics-doculect-112-42,arao1248-std,concepticon-1388,1.63,zetišama,"shade, shadow",zetisama
clics-doculect-112-43,arao1248-std,concepticon-1977,1.64,šalada,dew,salada
clics-doculect-112-44,arao1248-std,concepticon-960,1.72,beni,wind,beni
clics-doculect-112-45,arao1248-std,concepticon-1489,1.73,boso,cloud,boso
clics-doculect-112-46,arao1248-std,concepticon-1489,1.73,mozizibade,cloud,mozizibade
clics-doculect-112-47,arao1248-std,concepticon-249,1.74,baepamozizi,fog,baepamozizi
clics-doculect-112-48,arao1248-std,concepticon-658,1.75,nai,rain (noun),nai
clics-doculect-112-49,arao1248-std,concepticon-952,1.78,mala,weather,mala
clics-doculect-112-50,arao1248-std,concepticon-221,1.81,kʷati,fire,kwati
clics-doculect-112-51,arao1248-std,concepticon-889,1.82,aweo,flame (noun),aweo
clics-doculect-112-52,arao1248-std,concepticon-778,1.83,hodo,smoke (noun),hodo
clics-doculect-112-53,arao1248-std,concepticon-646,1.84,timo,ashes,timo
clics-doculect-112-54,arao1248-std,concepticon-67,1.841,tezi,embers,tezi
clics-doculect-112-55,arao1248-std,concepticon-141,1.851,oc̷o,burn (vb trans),oco
clics-doculect-112-56,arao1248-std,concepticon-141,1.851,oc̷oa,burn (vb trans),ocoa
clics-doculect-112-57,arao1248-std,concepticon-737,1.86,weta,"light, kindle, ignite",weta
clics-doculect-112-58,arao1248-std,concepticon-127,1.861,sami,extinguish,sami
clics-doculect-112-59,arao1248-std,concepticon-127,1.861,šenono,extinguish,senono
clics-doculect-112-60,arao1248-std,concepticon-10,1.88,kʷati,firewood,kwati
clics-doculect-112-61,arao1248-std,concepticon-1188,1.89,tezi,charcoal,tezi
clics-doculect-112-62,arao1248-std,concepticon-683,2.1,ekʷiča,"person, human being",ekwica
clics-doculect-112-63,arao1248-std,concepticon-683,2.1,c̷edapo,"person, human being",cedapo
clics-doculect-112-64,arao1248-std,concepticon-1554,2.21,dea,man (vs. woman),dea
clics-doculect-112-65,arao1248-std,concepticon-962,2.22,pona,woman,pona
clics-doculect-112-66,arao1248-std,concepticon-962,2.22,mama,woman,mama
clics-doculect-112-67,arao1248-std,concepticon-1553,2.23,dea,male,dea
clics-doculect-112-68,arao1248-std,concepticon-1553,2.23,hoho,male,hoho
