ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-55-1,arch1244-Var1,concepticon-965,1.1,дунял,world,dunial
clics-doculect-55-2,arch1244-Var1,concepticon-626,1.21,накъв,"earth, land",nak'v
clics-doculect-55-3,arch1244-Var1,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-55-4,arch1244-Var1,concepticon-626,1.21,хІукумат,"earth, land",khIukumat
clics-doculect-55-5,arch1244-Var1,concepticon-1228,1.212,накъв,"earth=ground, soil",nak'v
clics-doculect-55-6,arch1244-Var1,concepticon-2,1.213,гун,dust,gun
clics-doculect-55-7,arch1244-Var1,concepticon-640,1.214,пирчихІ,mud,pirchikhI
clics-doculect-55-8,arch1244-Var1,concepticon-640,1.214,оІбо,mud,oIbo
clics-doculect-55-9,arch1244-Var1,concepticon-671,1.215,сарси,sand,sarsi
clics-doculect-55-10,arch1244-Var1,concepticon-2118,1.22,мул,"mountain, hill",mul
clics-doculect-55-11,arch1244-Var1,concepticon-2118,1.22,хъуьн,"mountain, hill",kh'u'n
clics-doculect-55-12,arch1244-Var1,concepticon-618,1.222,хъвеІн,"cliff, precipice",kh'veIn
clics-doculect-55-13,arch1244-Var1,concepticon-618,1.222,царакул,"cliff, precipice",tsarakul
clics-doculect-55-14,arch1244-Var1,concepticon-652,1.23,къаркъи,"plain, field",k'ark'i
clics-doculect-55-15,arch1244-Var1,concepticon-652,1.23,чейлагъ,"plain, field",cheilag'
clics-doculect-55-16,arch1244-Var1,concepticon-652,1.23,ух,"plain, field",ukh
clics-doculect-55-17,arch1244-Var1,concepticon-921,1.24,чейлакъ,valley,cheilak'
clics-doculect-55-18,arch1244-Var1,concepticon-921,1.24,къакул,valley,k'akul
clics-doculect-55-19,arch1244-Var1,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-55-20,arch1244-Var1,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-55-21,arch1244-Var1,concepticon-1155,1.28,нох,cave,nokh
clics-doculect-55-22,arch1244-Var1,concepticon-948,1.31,лълъан,water,l'l'an
clics-doculect-55-23,arch1244-Var1,concepticon-1474,1.32,лъат,sea,l'at
clics-doculect-55-24,arch1244-Var1,concepticon-258,1.322,къаабчуттуб,calm (of sea),k'aabchuttub
clics-doculect-55-25,arch1244-Var1,concepticon-259,1.323,гьаІлакдуб,rough (of sea),g'aIlakdub
clics-doculect-55-26,arch1244-Var1,concepticon-1768,1.324,молъ,foam,mol'
clics-doculect-55-27,arch1244-Var1,concepticon-624,1.33,баІри,lake,baIri
clics-doculect-55-28,arch1244-Var1,concepticon-978,1.35,щваІлтІ,wave,shchvaIltI
clics-doculect-55-29,arch1244-Var1,concepticon-666,1.36,гьаІтара,"river, stream, brook",g'aItara
clics-doculect-55-30,arch1244-Var1,concepticon-1982,1.362,билъв,whirlpool,bil'v
clics-doculect-55-31,arch1244-Var1,concepticon-2144,1.37,зулу,"spring, well",zulu
