ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-220-1,avar1256-Andalal,concepticon-965,1.1,дуйнял,world,duinial
clics-doculect-220-2,avar1256-Andalal,concepticon-626,1.21,ракь,"earth, land",rak'
clics-doculect-220-3,avar1256-Andalal,concepticon-626,1.21,пачалихъ,"earth, land",pachalikh'
clics-doculect-220-4,avar1256-Andalal,concepticon-1228,1.212,ракь,"earth=ground, soil",rak'
clics-doculect-220-5,avar1256-Andalal,concepticon-2,1.213,хІур,dust,khIur
clics-doculect-220-6,avar1256-Andalal,concepticon-640,1.214,хІарщи,mud,khIarshchi
clics-doculect-220-7,avar1256-Andalal,concepticon-671,1.215,сали,sand,sali
clics-doculect-220-8,avar1256-Andalal,concepticon-2118,1.22,меэр,"mountain, hill",meer
clics-doculect-220-9,avar1256-Andalal,concepticon-2118,1.22,гухІ,"mountain, hill",gukhI
clics-doculect-220-10,avar1256-Andalal,concepticon-618,1.222,кьури,"cliff, precipice",k'uri
clics-doculect-220-11,avar1256-Andalal,concepticon-618,1.222,гьец̅Іеп,"cliff, precipice",g'etsIep
clics-doculect-220-12,avar1256-Andalal,concepticon-652,1.23,битІарабавлахъ,"plain, field",bitIarabavlakh'
clics-doculect-220-13,avar1256-Andalal,concepticon-652,1.23,майдан,"plain, field",maidan
clics-doculect-220-14,avar1256-Andalal,concepticon-921,1.24,авлах,valley,avlakh
clics-doculect-220-15,avar1256-Andalal,concepticon-622,1.25,чІинкІилли,island,chIinkIilli
clics-doculect-220-16,avar1256-Andalal,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-220-17,avar1256-Andalal,concepticon-113,1.27,ребал,shore,rebal
clics-doculect-220-18,avar1256-Andalal,concepticon-1155,1.28,нохо,cave,nokho
clics-doculect-220-19,avar1256-Andalal,concepticon-948,1.31,лълъин,water,l'l'in
clics-doculect-220-20,avar1256-Andalal,concepticon-1474,1.32,ралгьад,sea,ralg'ad
clics-doculect-220-21,avar1256-Andalal,concepticon-258,1.322,гІодобиччараб,calm (of sea),gIodobichcharab
clics-doculect-220-22,avar1256-Andalal,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
clics-doculect-220-23,avar1256-Andalal,concepticon-1768,1.324,полоп,foam,polop
clics-doculect-220-24,avar1256-Andalal,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-220-25,avar1256-Andalal,concepticon-624,1.33,хІер,lake,khIer
clics-doculect-220-26,avar1256-Andalal,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-220-27,avar1256-Andalal,concepticon-666,1.36,гІор,"river, stream, brook",gIor
clics-doculect-220-28,avar1256-Andalal,concepticon-1982,1.362,лъинсвери,whirlpool,l'insveri
clics-doculect-220-29,avar1256-Andalal,concepticon-1982,1.362,гьологІ,whirlpool,g'ologI
clics-doculect-220-30,avar1256-Andalal,concepticon-2144,1.37,ицц,"spring, well",itsts
clics-doculect-220-31,avar1256-Andalal,concepticon-2144,1.37,гъуй,"spring, well",g'ui
clics-doculect-220-32,avar1256-Andalal,concepticon-1145,1.38,хьуц̅І,swamp,kh'utsI
clics-doculect-220-33,avar1256-Andalal,concepticon-943,1.39,чвах̅и,waterfall,chvakhi
clics-doculect-220-34,avar1256-Andalal,concepticon-420,1.41,рохь,"woods, forest",rokh'
clics-doculect-220-36,avar1256-Andalal,concepticon-1803,1.43,цІул,wood,tsIul
clics-doculect-220-37,avar1256-Andalal,concepticon-2125,1.44,гІуц̅І,"stone, rock",gIutsI
clics-doculect-220-38,avar1256-Andalal,concepticon-2125,1.44,кьури,"stone, rock",k'uri
clics-doculect-220-39,avar1256-Andalal,concepticon-6,1.45,ракьбагъари,earthquake,rak'bag'ari
clics-doculect-220-40,avar1256-Andalal,concepticon-1732,1.51,зоб,sky,zob
clics-doculect-220-41,avar1256-Andalal,concepticon-1343,1.52,бакъ,sun,bak'
clics-doculect-220-42,avar1256-Andalal,concepticon-1313,1.53,моц̅І,moon,motsI
clics-doculect-220-43,avar1256-Andalal,concepticon-1430,1.54,ц̅Іва,star,tsIva
clics-doculect-220-44,avar1256-Andalal,concepticon-1654,1.55,пири,lightning,piri
clics-doculect-220-45,avar1256-Andalal,concepticon-1150,1.56,зобгъугъай,thunder,zobg'ug'ai
clics-doculect-220-46,avar1256-Andalal,concepticon-2007,1.57,пири,lightning (as striking),piri
clics-doculect-220-47,avar1256-Andalal,concepticon-858,1.58,буран,storm,buran
clics-doculect-220-48,avar1256-Andalal,concepticon-1733,1.59,нуралъулхІуби,rainbow,nural'ulkhIubi
clics-doculect-220-49,avar1256-Andalal,concepticon-630,1.61,канцІи,light (noun),kantsIi
clics-doculect-220-50,avar1256-Andalal,concepticon-11,1.62,бецІли,darkness,betsIli
clics-doculect-220-51,avar1256-Andalal,concepticon-11,1.62,рук̅Іи,darkness,rukIi
clics-doculect-220-52,avar1256-Andalal,concepticon-1388,1.63,рас̅ад,"shade, shadow",rasad
clics-doculect-220-53,avar1256-Andalal,concepticon-1977,1.64,шуб,dew,shub
clics-doculect-220-54,avar1256-Andalal,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-220-55,avar1256-Andalal,concepticon-960,1.72,гьури,wind,g'uri
clics-doculect-220-56,avar1256-Andalal,concepticon-1489,1.73,накІкІ,cloud,nakIkI
clics-doculect-220-57,avar1256-Andalal,concepticon-249,1.74,накІкІ,fog,nakIkI
clics-doculect-220-58,avar1256-Andalal,concepticon-249,1.74,гІодобнак̅І,fog,gIodobnakI
clics-doculect-220-59,avar1256-Andalal,concepticon-658,1.75,ц̅Іад,rain (noun),tsIad
clics-doculect-220-60,avar1256-Andalal,concepticon-784,1.76,гІазу,snow (noun),gIazu
clics-doculect-220-61,avar1256-Andalal,concepticon-617,1.77,ц̅Іер,ice,tsIer
clics-doculect-220-62,avar1256-Andalal,concepticon-952,1.78,гьавабакъ,weather,g'avabak'
clics-doculect-220-63,avar1256-Andalal,concepticon-221,1.81,цІа,fire,tsIa
clics-doculect-220-64,avar1256-Andalal,concepticon-889,1.82,цІа,flame (noun),tsIa
clics-doculect-220-65,avar1256-Andalal,concepticon-778,1.83,кІкІуй,smoke (noun),kIkIui
clics-doculect-220-66,avar1256-Andalal,concepticon-646,1.84,рохо,ashes,rokho
clics-doculect-220-67,avar1256-Andalal,concepticon-646,1.84,хІали,ashes,khIali
clics-doculect-220-68,avar1256-Andalal,concepticon-67,1.841,цІарукІурабтІурччи,embers,tsIarukIurabtIurchchi
clics-doculect-220-69,avar1256-Andalal,concepticon-141,1.851,бухІде,burn (vb trans),bukhIde
clics-doculect-220-70,avar1256-Andalal,concepticon-1428,1.852,рукІуде,burn (vb intrans),rukIude
clics-doculect-220-71,avar1256-Andalal,concepticon-737,1.86,бакде,"light, kindle, ignite",bakde
clics-doculect-220-72,avar1256-Andalal,concepticon-127,1.861,свендубуде,extinguish,svendubude
clics-doculect-220-73,avar1256-Andalal,concepticon-1133,1.87,спичка,match (noun),spichka
clics-doculect-220-74,avar1256-Andalal,concepticon-1133,1.87,ишбишка,match (noun),ishbishka
clics-doculect-220-75,avar1256-Andalal,concepticon-10,1.88,цІул,firewood,tsIul
clics-doculect-220-76,avar1256-Andalal,concepticon-1188,1.89,тІурччи,charcoal,tIurchchi
clics-doculect-220-77,avar1256-Andalal,concepticon-683,2.1,адан,"person, human being",adan
clics-doculect-220-78,avar1256-Andalal,concepticon-1554,2.21,бихьинчи,man (vs. woman),bikh'inchi
clics-doculect-220-79,avar1256-Andalal,concepticon-962,2.22,ц̅Іуйадан,woman,tsIuiadan
clics-doculect-220-80,avar1256-Andalal,concepticon-1553,2.23,бихьинабжо,male,bikh'inabzho
clics-doculect-220-81,avar1256-Andalal,concepticon-1551,2.24,цІуябжо,female,tsIuiabzho
clics-doculect-220-82,avar1256-Andalal,concepticon-1366,2.25,вас,boy,vas
clics-doculect-220-83,avar1256-Andalal,concepticon-76,2.251,гІолоханчи,young man (adolescent),gIolokhanchi
clics-doculect-220-84,avar1256-Andalal,concepticon-1646,2.26,яс,girl,ias
clics-doculect-220-85,avar1256-Andalal,concepticon-77,2.261,яс,young woman (adolescent),ias
clics-doculect-220-86,avar1256-Andalal,concepticon-77,2.261,гІолоханайяс,young woman (adolescent),gIolokhanaiias
clics-doculect-220-87,avar1256-Andalal,concepticon-1304,2.27,гьемер,child,g'emer
clics-doculect-220-88,avar1256-Andalal,concepticon-1289,2.28,гьемер,"infant, baby",g'emer
clics-doculect-220-89,avar1256-Andalal,concepticon-1200,2.31,рос̅,husband,ros
clics-doculect-220-90,avar1256-Andalal,concepticon-1199,2.32,лълъади,wife,l'l'adi
clics-doculect-220-91,avar1256-Andalal,concepticon-203,2.33,л̅ъадиячде,marry,l'adiiachde
clics-doculect-220-92,avar1256-Andalal,concepticon-203,2.33,рос̅ас̅евенде,marry,rosasevende
clics-doculect-220-93,avar1256-Andalal,concepticon-1259,2.34,бахІарал,"marriage, wedding",bakhIaral
clics-doculect-220-94,avar1256-Andalal,concepticon-1134,2.341,баллали,divorce,ballali
clics-doculect-220-95,avar1256-Andalal,concepticon-1217,2.35,эмен,father,emen
clics-doculect-220-96,avar1256-Andalal,concepticon-1216,2.36,эбелʼ,mother,ebel'
clics-doculect-220-97,avar1256-Andalal,concepticon-505,2.37,эбелʼэмен,parents,ebel'emen
clics-doculect-220-98,avar1256-Andalal,concepticon-424,2.38,лълъадиячарав,married man,l'l'adiiacharav
clics-doculect-220-99,avar1256-Andalal,concepticon-426,2.39,рос̅ас̅еварай,married woman,rosasevarai
clics-doculect-220-100,avar1256-Andalal,concepticon-1620,2.41,вас,son,vas
clics-doculect-220-101,avar1256-Andalal,concepticon-1357,2.42,яс,daughter,ias
clics-doculect-220-102,avar1256-Andalal,concepticon-1801,2.43,гьамал,offspring (son or daughter),g'amal
clics-doculect-220-103,avar1256-Andalal,concepticon-1262,2.44,вац̅,brother,vats
clics-doculect-220-104,avar1256-Andalal,concepticon-1759,2.444,кІудаввац̅,older brother,kIudavvats
clics-doculect-220-105,avar1256-Andalal,concepticon-1760,2.445,кикаввац̅,younger brother,kikavvats
clics-doculect-220-106,avar1256-Andalal,concepticon-1263,2.45,яц̅,sister,iats
clics-doculect-220-107,avar1256-Andalal,concepticon-1758,2.454,кІудайяц̅,older sister,kIudaiiats
clics-doculect-220-108,avar1256-Andalal,concepticon-1761,2.455,кикайяц̅,younger sister,kikaiiats
