ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-120-1,avar1256-Karakh,concepticon-965,1.1,дунял,world,dunial
clics-doculect-120-2,avar1256-Karakh,concepticon-626,1.21,ракь,"earth, land",rak'
clics-doculect-120-3,avar1256-Karakh,concepticon-626,1.21,хІукумат,"earth, land",khIukumat
clics-doculect-120-4,avar1256-Karakh,concepticon-1228,1.212,ракь,"earth=ground, soil",rak'
clics-doculect-120-5,avar1256-Karakh,concepticon-2,1.213,хІур,dust,khIur
clics-doculect-120-6,avar1256-Karakh,concepticon-640,1.214,чуроклъи,mud,churokl'i
clics-doculect-120-7,avar1256-Karakh,concepticon-671,1.215,хІхІари,sand,khIkhIari
clics-doculect-120-8,avar1256-Karakh,concepticon-2118,1.22,мегІер,"mountain, hill",megIer
clics-doculect-120-9,avar1256-Karakh,concepticon-2118,1.22,щоб,"mountain, hill",shchob
clics-doculect-120-10,avar1256-Karakh,concepticon-2118,1.22,кьури,"mountain, hill",k'uri
clics-doculect-120-11,avar1256-Karakh,concepticon-618,1.222,кьури,"cliff, precipice",k'uri
clics-doculect-120-12,avar1256-Karakh,concepticon-618,1.222,кІкІал,"cliff, precipice",kIkIal
clics-doculect-120-13,avar1256-Karakh,concepticon-618,1.222,гІуси,"cliff, precipice",gIusi
clics-doculect-120-14,avar1256-Karakh,concepticon-652,1.23,майдан,"plain, field",maidan
clics-doculect-120-15,avar1256-Karakh,concepticon-652,1.23,хІур,"plain, field",khIur
clics-doculect-120-16,avar1256-Karakh,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-120-17,avar1256-Karakh,concepticon-113,1.27,рагІаллъи,shore,ragIall'i
clics-doculect-120-18,avar1256-Karakh,concepticon-1155,1.28,нухъо,cave,nukh'o
clics-doculect-120-19,avar1256-Karakh,concepticon-948,1.31,лъим,water,l'im
clics-doculect-120-20,avar1256-Karakh,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-120-21,avar1256-Karakh,concepticon-258,1.322,гІудобиччараб,calm (of sea),gIudobichcharab
clics-doculect-120-22,avar1256-Karakh,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
