ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-109-1,avar1256-Zakataly,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-109-2,avar1256-Zakataly,concepticon-626,1.21,ракькь,"earth, land",rak'k'
clics-doculect-109-3,avar1256-Zakataly,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-109-4,avar1256-Zakataly,concepticon-1228,1.212,ракькь,"earth=ground, soil",rak'k'
clics-doculect-109-5,avar1256-Zakataly,concepticon-2,1.213,хІур,dust,khIur
clics-doculect-109-6,avar1256-Zakataly,concepticon-640,1.214,пилʼчих,mud,pil'chikh
clics-doculect-109-7,avar1256-Zakataly,concepticon-671,1.215,миччир,sand,michchir
clics-doculect-109-8,avar1256-Zakataly,concepticon-2118,1.22,меэр,"mountain, hill",meer
clics-doculect-109-9,avar1256-Zakataly,concepticon-2118,1.22,гухІ,"mountain, hill",gukhI
clics-doculect-109-10,avar1256-Zakataly,concepticon-618,1.222,кькьури,"cliff, precipice",k'k'uri
clics-doculect-109-11,avar1256-Zakataly,concepticon-618,1.222,силляв,"cliff, precipice",silliav
clics-doculect-109-12,avar1256-Zakataly,concepticon-652,1.23,тІибитІи,"plain, field",tIibitIi
clics-doculect-109-13,avar1256-Zakataly,concepticon-652,1.23,чоли,"plain, field",choli
clics-doculect-109-14,avar1256-Zakataly,concepticon-921,1.24,майдан,valley,maidan
clics-doculect-109-15,avar1256-Zakataly,concepticon-622,1.25,ада,island,ada
clics-doculect-109-16,avar1256-Zakataly,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-109-17,avar1256-Zakataly,concepticon-113,1.27,гъирагъ,shore,g'irag'
clics-doculect-109-18,avar1256-Zakataly,concepticon-1155,1.28,нохъо,cave,nokh'o
clics-doculect-109-19,avar1256-Zakataly,concepticon-948,1.31,хьхьим,water,kh'kh'im
clics-doculect-109-20,avar1256-Zakataly,concepticon-1474,1.32,рахьхьад,sea,rakh'kh'ad
clics-doculect-109-21,avar1256-Zakataly,concepticon-258,1.322,сакитаб,calm (of sea),sakitab
clics-doculect-109-22,avar1256-Zakataly,concepticon-259,1.323,бадагъадураб,rough (of sea),badag'adurab
clics-doculect-109-23,avar1256-Zakataly,concepticon-1768,1.324,купук,foam,kupuk
clics-doculect-109-24,avar1256-Zakataly,concepticon-645,1.329,дингиз,ocean,dingiz
clics-doculect-109-25,avar1256-Zakataly,concepticon-624,1.33,хІир,lake,khIir
clics-doculect-109-26,avar1256-Zakataly,concepticon-978,1.35,далгъа,wave,dalg'a
clics-doculect-109-27,avar1256-Zakataly,concepticon-666,1.36,гІор,"river, stream, brook",gIor
clics-doculect-109-28,avar1256-Zakataly,concepticon-666,1.36,чахи,"river, stream, brook",chakhi
clics-doculect-109-29,avar1256-Zakataly,concepticon-666,1.36,архи,"river, stream, brook",arkhi
clics-doculect-109-30,avar1256-Zakataly,concepticon-1982,1.362,хьхьимсери,whirlpool,kh'kh'imseri
clics-doculect-109-31,avar1256-Zakataly,concepticon-2144,1.37,булах,"spring, well",bulakh
clics-doculect-109-32,avar1256-Zakataly,concepticon-2144,1.37,кигьриз,"spring, well",kig'riz
clics-doculect-109-33,avar1256-Zakataly,concepticon-1145,1.38,хьуцІи,swamp,kh'utsIi
clics-doculect-109-34,avar1256-Zakataly,concepticon-943,1.39,хьхьимчахи,waterfall,kh'kh'imchakhi
clics-doculect-109-35,avar1256-Zakataly,concepticon-420,1.41,рохь,"woods, forest",rokh'
clics-doculect-109-37,avar1256-Zakataly,concepticon-1803,1.43,цІул,wood,tsIul
clics-doculect-109-38,avar1256-Zakataly,concepticon-2125,1.44,гамачІ,"stone, rock",gamachI
clics-doculect-109-39,avar1256-Zakataly,concepticon-2125,1.44,гъая,"stone, rock",g'aia
clics-doculect-109-40,avar1256-Zakataly,concepticon-6,1.45,ракькьгьибигьи,earthquake,rak'k'g'ibig'i
clics-doculect-109-41,avar1256-Zakataly,concepticon-1732,1.51,зоб,sky,zob
clics-doculect-109-42,avar1256-Zakataly,concepticon-1343,1.52,бакъ,sun,bak'
clics-doculect-109-43,avar1256-Zakataly,concepticon-1313,1.53,моцІ,moon,motsI
clics-doculect-109-44,avar1256-Zakataly,concepticon-1430,1.54,цІцІули,star,tsItsIuli
clics-doculect-109-45,avar1256-Zakataly,concepticon-1654,1.55,пири,lightning,piri
clics-doculect-109-46,avar1256-Zakataly,concepticon-1150,1.56,юлдурум,thunder,iuldurum
clics-doculect-109-47,avar1256-Zakataly,concepticon-2007,1.57,пири,lightning (as striking),piri
clics-doculect-109-48,avar1256-Zakataly,concepticon-858,1.58,хІури,storm,khIuri
clics-doculect-109-49,avar1256-Zakataly,concepticon-1733,1.59,чамбара,rainbow,chambara
clics-doculect-109-50,avar1256-Zakataly,concepticon-630,1.61,канх̅и,light (noun),kankhi
clics-doculect-109-51,avar1256-Zakataly,concepticon-11,1.62,пуцлухъх̅и,darkness,putslukh'khi
clics-doculect-109-52,avar1256-Zakataly,concepticon-1388,1.63,растад,"shade, shadow",rastad
clics-doculect-109-53,avar1256-Zakataly,concepticon-1977,1.64,щуб,dew,shchub
clics-doculect-109-54,avar1256-Zakataly,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-109-55,avar1256-Zakataly,concepticon-960,1.72,гьури,wind,g'uri
clics-doculect-109-56,avar1256-Zakataly,concepticon-1489,1.73,чанг,cloud,chang
clics-doculect-109-57,avar1256-Zakataly,concepticon-249,1.74,чанг,fog,chang
clics-doculect-109-58,avar1256-Zakataly,concepticon-658,1.75,накІ,rain (noun),nakI
clics-doculect-109-59,avar1256-Zakataly,concepticon-784,1.76,гІазу,snow (noun),gIazu
clics-doculect-109-60,avar1256-Zakataly,concepticon-617,1.77,цІер,ice,tsIer
clics-doculect-109-61,avar1256-Zakataly,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-109-62,avar1256-Zakataly,concepticon-221,1.81,цІа,fire,tsIa
clics-doculect-109-63,avar1256-Zakataly,concepticon-889,1.82,цІудулмацІ,flame (noun),tsIudulmatsI
clics-doculect-109-64,avar1256-Zakataly,concepticon-778,1.83,кІкІуй,smoke (noun),kIkIui
clics-doculect-109-65,avar1256-Zakataly,concepticon-646,1.84,рохъо,ashes,rokh'o
clics-doculect-109-66,avar1256-Zakataly,concepticon-67,1.841,коз,embers,koz
clics-doculect-109-67,avar1256-Zakataly,concepticon-141,1.851,бохІзи,burn (vb trans),bokhIzi
clics-doculect-109-68,avar1256-Zakataly,concepticon-1428,1.852,бохІзи,burn (vb intrans),bokhIzi
clics-doculect-109-69,avar1256-Zakataly,concepticon-737,1.86,цІарикІинзи,"light, kindle, ignite",tsIarikIinzi
clics-doculect-109-70,avar1256-Zakataly,concepticon-127,1.861,ссинзибогъзи,extinguish,ssinzibog'zi
clics-doculect-109-71,avar1256-Zakataly,concepticon-1133,1.87,испичкІа,match (noun),ispichkIa
clics-doculect-109-72,avar1256-Zakataly,concepticon-10,1.88,цІул,firewood,tsIul
clics-doculect-109-73,avar1256-Zakataly,concepticon-1188,1.89,цІцІа,charcoal,tsItsIa
clics-doculect-109-74,avar1256-Zakataly,concepticon-683,2.1,адам,"person, human being",adam
clics-doculect-109-75,avar1256-Zakataly,concepticon-1554,2.21,бихьинчи,man (vs. woman),bikh'inchi
clics-doculect-109-76,avar1256-Zakataly,concepticon-962,2.22,руччабай,woman,ruchchabai
clics-doculect-109-77,avar1256-Zakataly,concepticon-1553,2.23,бихьинаб,male,bikh'inab
clics-doculect-109-78,avar1256-Zakataly,concepticon-1551,2.24,цІуяб,female,tsIuiab
clics-doculect-109-79,avar1256-Zakataly,concepticon-1366,2.25,вас,boy,vas
clics-doculect-109-80,avar1256-Zakataly,concepticon-76,2.251,гІолохъанчи,young man (adolescent),gIolokh'anchi
clics-doculect-109-81,avar1256-Zakataly,concepticon-1646,2.26,яс,girl,ias
clics-doculect-109-82,avar1256-Zakataly,concepticon-77,2.261,яс,young woman (adolescent),ias
clics-doculect-109-83,avar1256-Zakataly,concepticon-1304,2.27,хизан,child,khizan
clics-doculect-109-84,avar1256-Zakataly,concepticon-1289,2.28,хизан,"infant, baby",khizan
clics-doculect-109-85,avar1256-Zakataly,concepticon-1200,2.31,чи,husband,chi
clics-doculect-109-86,avar1256-Zakataly,concepticon-1199,2.32,руччабай,wife,ruchchabai
clics-doculect-109-87,avar1256-Zakataly,concepticon-203,2.33,руччабайячзи,marry,ruchchabaiiachzi
clics-doculect-109-88,avar1256-Zakataly,concepticon-203,2.33,чиясикІинзи,marry,chiiasikIinzi
clics-doculect-109-89,avar1256-Zakataly,concepticon-1259,2.34,бетин,"marriage, wedding",betin
clics-doculect-109-90,avar1256-Zakataly,concepticon-1134,2.341,бикькьах̅и,divorce,bik'k'akhi
clics-doculect-109-91,avar1256-Zakataly,concepticon-1217,2.35,имин,father,imin
clics-doculect-109-92,avar1256-Zakataly,concepticon-1217,2.35,дидя,father,didia
