ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-32-1,basq1248-std,concepticon-626,1.21,lür,"earth, land",lur
clics-doculect-32-2,basq1248-std,concepticon-1228,1.212,lür,"earth=ground, soil",lur
clics-doculect-32-3,basq1248-std,concepticon-2,1.213,er'hawc̷̣,dust,er'hawc
clics-doculect-32-4,basq1248-std,concepticon-640,1.214,'lohi,mud,'lohi
clics-doculect-32-5,basq1248-std,concepticon-618,1.222,es'pũda,"cliff, precipice",es'puda
clics-doculect-32-6,basq1248-std,concepticon-618,1.222,a'rolʸa,"cliff, precipice",a'rolya
clics-doculect-32-7,basq1248-std,concepticon-652,1.23,ürü'pʰea,"plain, field",uru'pkea
clics-doculect-32-8,basq1248-std,concepticon-921,1.24,'ibar,valley,'ibar
clics-doculect-32-9,basq1248-std,concepticon-921,1.24,'naba,valley,'naba
clics-doculect-32-10,basq1248-std,concepticon-113,1.27,'ic̷̣aṣ'baster,shore,'icas'baster
clics-doculect-32-11,basq1248-std,concepticon-1155,1.28,'harpe,cave,'harpe
clics-doculect-32-12,basq1248-std,concepticon-948,1.31,hur,water,hur
clics-doculect-32-13,basq1248-std,concepticon-1474,1.32,i'c̷̣aṣo,sea,i'caso
clics-doculect-32-14,basq1248-std,concepticon-259,1.323,gaic̷,rough (of sea),gaic
clics-doculect-32-15,basq1248-std,concepticon-1768,1.324,'gahün,foam,'gahun
clics-doculect-32-16,basq1248-std,concepticon-666,1.36,ü'heic̷,"river, stream, brook",u'heic
clics-doculect-32-17,basq1248-std,concepticon-666,1.36,e'reka,"river, stream, brook",e'reka
clics-doculect-32-18,basq1248-std,concepticon-2144,1.37,ṣor'gia,"spring, well",sor'gia
clics-doculect-32-19,basq1248-std,concepticon-2144,1.37,ü'türi,"spring, well",u'turi
clics-doculect-32-20,basq1248-std,concepticon-1145,1.38,'loṣko,swamp,'losko
clics-doculect-32-21,basq1248-std,concepticon-1145,1.38,'mala,swamp,'mala
clics-doculect-32-22,basq1248-std,concepticon-943,1.39,tʰu'ruṣta,waterfall,tku'rusta
clics-doculect-32-23,basq1248-std,concepticon-420,1.41,'oihan,"woods, forest",'oihan
clics-doculect-32-26,basq1248-std,concepticon-1803,1.43,sur,wood,sur
clics-doculect-32-27,basq1248-std,concepticon-2125,1.44,'hari,"stone, rock",'hari
clics-doculect-32-28,basq1248-std,concepticon-2125,1.44,'bočü,"stone, rock",'bocu
