ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-187-1,beng1280-std,concepticon-965,1.1,biśba,world,bisba
clics-doculect-187-2,beng1280-std,concepticon-626,1.21,jami,"earth, land",jami
clics-doculect-187-3,beng1280-std,concepticon-1228,1.212,māṭi,"earth=ground, soil",mati
clics-doculect-187-4,beng1280-std,concepticon-2,1.213,dhulo,dust,dhulo
clics-doculect-187-5,beng1280-std,concepticon-640,1.214,mr̖ttikā,mud,mrttika
clics-doculect-187-6,beng1280-std,concepticon-640,1.214,kādā,mud,kada
clics-doculect-187-7,beng1280-std,concepticon-671,1.215,bāli,sand,bali
clics-doculect-187-8,beng1280-std,concepticon-2118,1.22,parbata,"mountain, hill",parbata
clics-doculect-187-9,beng1280-std,concepticon-2118,1.22,pāhār̖ā,"mountain, hill",pahara
clics-doculect-187-10,beng1280-std,concepticon-618,1.222,parbata,"cliff, precipice",parbata
clics-doculect-187-11,beng1280-std,concepticon-618,1.222,parbatagātra,"cliff, precipice",parbatagatra
clics-doculect-187-12,beng1280-std,concepticon-652,1.23,samatala,"plain, field",samatala
clics-doculect-187-13,beng1280-std,concepticon-921,1.24,upatyakā,valley,upatyaka
clics-doculect-187-14,beng1280-std,concepticon-622,1.25,dbīpa,island,dbipa
clics-doculect-187-15,beng1280-std,concepticon-166,1.26,mūl bhūkhanḍa,mainland,mul bhukhanda
clics-doculect-187-16,beng1280-std,concepticon-113,1.27,tīra,shore,tira
clics-doculect-187-17,beng1280-std,concepticon-1155,1.28,guhā,cave,guha
clics-doculect-187-18,beng1280-std,concepticon-948,1.31,pāni,water,pani
clics-doculect-187-19,beng1280-std,concepticon-948,1.31,jala,water,jala
clics-doculect-187-20,beng1280-std,concepticon-1474,1.32,samudra,sea,samudra
clics-doculect-187-21,beng1280-std,concepticon-1474,1.32,sāgara,sea,sagara
clics-doculect-187-22,beng1280-std,concepticon-258,1.322,śānta,calm (of sea),santa
clics-doculect-187-23,beng1280-std,concepticon-259,1.323,aśānta,rough (of sea),asanta
clics-doculect-187-24,beng1280-std,concepticon-1768,1.324,phenā,foam,phena
clics-doculect-187-25,beng1280-std,concepticon-645,1.329,sāgara,ocean,sagara
clics-doculect-187-26,beng1280-std,concepticon-645,1.329,mahāsāgara,ocean,mahasagara
clics-doculect-187-27,beng1280-std,concepticon-624,1.33,dīghi,lake,dighi
clics-doculect-187-28,beng1280-std,concepticon-663,1.34,upasāgara,"gulf, bay",upasagara
clics-doculect-187-29,beng1280-std,concepticon-623,1.341,upahrada,lagoon,upahrada
clics-doculect-187-30,beng1280-std,concepticon-660,1.342,prabāla,reef,prabala
clics-doculect-187-31,beng1280-std,concepticon-1662,1.343,antarīpa,"headland, point",antaripa
clics-doculect-187-32,beng1280-std,concepticon-978,1.35,taraṅga,wave,taranga
clics-doculect-187-33,beng1280-std,concepticon-891,1.352,ḍheu,tide,dheu
clics-doculect-187-34,beng1280-std,concepticon-1026,1.353,marākaṭāla,lowtide,marakatala
clics-doculect-187-35,beng1280-std,concepticon-613,1.354,joyāra,hightide,joyara
clics-doculect-187-36,beng1280-std,concepticon-666,1.36,nadī,"river, stream, brook",nadi
clics-doculect-187-37,beng1280-std,concepticon-1982,1.362,ghūrṇi,whirlpool,ghurni
clics-doculect-187-38,beng1280-std,concepticon-2144,1.37,kuyā,"spring, well",kuya
clics-doculect-187-39,beng1280-std,concepticon-1145,1.38,jalābhūmi,swamp,jalabhumi
clics-doculect-187-40,beng1280-std,concepticon-943,1.39,jharṇā,waterfall,jharna
clics-doculect-187-41,beng1280-std,concepticon-420,1.41,bana,"woods, forest",bana
clics-doculect-187-42,beng1280-std,concepticon-1803,1.43,kāṭha,wood,katha
clics-doculect-187-43,beng1280-std,concepticon-2125,1.44,pāṣāṇa,"stone, rock",pasana
clics-doculect-187-44,beng1280-std,concepticon-2125,1.44,śilā,"stone, rock",sila
clics-doculect-187-45,beng1280-std,concepticon-6,1.45,bhūkampana,earthquake,bhukampana
clics-doculect-187-46,beng1280-std,concepticon-1732,1.51,ākāśa,sky,akasa
clics-doculect-187-47,beng1280-std,concepticon-1343,1.52,sūrya,sun,surya
clics-doculect-187-48,beng1280-std,concepticon-1343,1.52,aruṇa,sun,aruna
clics-doculect-187-49,beng1280-std,concepticon-1313,1.53,cānda,moon,canda
clics-doculect-187-50,beng1280-std,concepticon-1313,1.53,candra,moon,candra
clics-doculect-187-51,beng1280-std,concepticon-1430,1.54,tārakā,star,taraka
clics-doculect-187-52,beng1280-std,concepticon-1654,1.55,bajrapāta,lightning,bajrapata
clics-doculect-187-53,beng1280-std,concepticon-1150,1.56,bāja,thunder,baja
clics-doculect-187-54,beng1280-std,concepticon-2007,1.57,bajrapāta,lightning (as striking),bajrapata
clics-doculect-187-55,beng1280-std,concepticon-858,1.58,jhaŗa,storm,jhara
clics-doculect-187-56,beng1280-std,concepticon-1733,1.59,ramdhaṇu,rainbow,ramdhanu
clics-doculect-187-57,beng1280-std,concepticon-630,1.61,ālo,light (noun),alo
clics-doculect-187-58,beng1280-std,concepticon-630,1.61,bāti,light (noun),bati
clics-doculect-187-59,beng1280-std,concepticon-11,1.62,ān̄dhāra,darkness,andhara
clics-doculect-187-60,beng1280-std,concepticon-1388,1.63,chāyā,"shade, shadow",chaya
clics-doculect-187-61,beng1280-std,concepticon-1977,1.64,śiśira,dew,sisira
clics-doculect-187-62,beng1280-std,concepticon-27,1.71,anila,air,anila
clics-doculect-187-63,beng1280-std,concepticon-960,1.72,pabana,wind,pabana
clics-doculect-187-64,beng1280-std,concepticon-1489,1.73,megha,cloud,megha
clics-doculect-187-65,beng1280-std,concepticon-249,1.74,kuyāśā,fog,kuyasa
