ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-188-1,bezh1248-std,concepticon-965,1.1,дуннал,world,dunnal
clics-doculect-188-2,bezh1248-std,concepticon-965,1.1,дунийал,world,duniial
clics-doculect-188-3,bezh1248-std,concepticon-626,1.21,ракь,"earth, land",rak'
clics-doculect-188-4,bezh1248-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-188-5,bezh1248-std,concepticon-1228,1.212,мизо,"earth=ground, soil",mizo
clics-doculect-188-6,bezh1248-std,concepticon-1228,1.212,маьче,"earth=ground, soil",ma'che
clics-doculect-188-7,bezh1248-std,concepticon-2,1.213,пах,dust,pakh
clics-doculect-188-8,bezh1248-std,concepticon-2,1.213,готІ,dust,gotI
clics-doculect-188-9,bezh1248-std,concepticon-640,1.214,тато,mud,tato
clics-doculect-188-10,bezh1248-std,concepticon-640,1.214,гъиз,mud,g'iz
clics-doculect-188-11,bezh1248-std,concepticon-671,1.215,мисо,sand,miso
clics-doculect-188-12,bezh1248-std,concepticon-2118,1.22,мāь,"mountain, hill",ma'
clics-doculect-188-13,bezh1248-std,concepticon-2118,1.22,бизо,"mountain, hill",bizo
clics-doculect-188-14,bezh1248-std,concepticon-2118,1.22,къоьттоь,"mountain, hill",k'o'tto'
clics-doculect-188-15,bezh1248-std,concepticon-618,1.222,шед,"cliff, precipice",shed
clics-doculect-188-16,bezh1248-std,concepticon-618,1.222,къе,"cliff, precipice",k'e
clics-doculect-188-17,bezh1248-std,concepticon-618,1.222,баьч,"cliff, precipice",ba'ch
clics-doculect-188-18,bezh1248-std,concepticon-652,1.23,аьтІилъи,"plain, field",a'tIil'i
clics-doculect-188-19,bezh1248-std,concepticon-652,1.23,аьтІиракь,"plain, field",a'tIirak'
clics-doculect-188-20,bezh1248-std,concepticon-652,1.23,лъаьраьълъи,"plain, field",l'a'ra''l'i
clics-doculect-188-21,bezh1248-std,concepticon-652,1.23,маьче,"plain, field",ma'che
clics-doculect-188-22,bezh1248-std,concepticon-921,1.24,ко,valley,ko
clics-doculect-188-23,bezh1248-std,concepticon-921,1.24,майдан,valley,maidan
clics-doculect-188-24,bezh1248-std,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-188-25,bezh1248-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-188-26,bezh1248-std,concepticon-113,1.27,цумри,shore,tsumri
clics-doculect-188-27,bezh1248-std,concepticon-113,1.27,раьъаьл,shore,ra''a'l
clics-doculect-188-28,bezh1248-std,concepticon-1155,1.28,онох,cave,onokh
clics-doculect-188-29,bezh1248-std,concepticon-948,1.31,лъи,water,l'i
clics-doculect-188-30,bezh1248-std,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-188-31,bezh1248-std,concepticon-258,1.322,соййāгаьччо,calm (of sea),soiiaga'chcho
clics-doculect-188-32,bezh1248-std,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
clics-doculect-188-33,bezh1248-std,concepticon-1768,1.324,поьп,foam,po'p
clics-doculect-188-34,bezh1248-std,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-188-35,bezh1248-std,concepticon-624,1.33,кІā,lake,kIa
clics-doculect-188-36,bezh1248-std,concepticon-624,1.33,кІаьро,lake,kIa'ro
clics-doculect-188-37,bezh1248-std,concepticon-978,1.35,соййа,wave,soiia
clics-doculect-188-38,bezh1248-std,concepticon-666,1.36,эᴴхе,"river, stream, brook",ekhe
clics-doculect-188-39,bezh1248-std,concepticon-666,1.36,хай,"river, stream, brook",khai
clics-doculect-188-40,bezh1248-std,concepticon-666,1.36,йугьи,"river, stream, brook",iug'i
clics-doculect-188-41,bezh1248-std,concepticon-1982,1.362,эᴴхекІаьйлІоьчаьшмаьче,whirlpool,ekhekIa'ilIo'cha'shma'che
clics-doculect-188-42,bezh1248-std,concepticon-2144,1.37,лъикьа,"spring, well",l'ik'a
clics-doculect-188-43,bezh1248-std,concepticon-2144,1.37,иц,"spring, well",its
clics-doculect-188-44,bezh1248-std,concepticon-2144,1.37,могь,"spring, well",mog'
clics-doculect-188-45,bezh1248-std,concepticon-2144,1.37,таьгьриз,"spring, well",ta'g'riz
clics-doculect-188-46,bezh1248-std,concepticon-1145,1.38,къица,swamp,k'itsa
clics-doculect-188-47,bezh1248-std,concepticon-1145,1.38,чІикъантІи,swamp,chIik'antIi
clics-doculect-188-48,bezh1248-std,concepticon-943,1.39,лІишийо,waterfall,lIishiio
clics-doculect-188-49,bezh1248-std,concepticon-943,1.39,лъишийо,waterfall,l'ishiio
clics-doculect-188-50,bezh1248-std,concepticon-420,1.41,ван,"woods, forest",van
clics-doculect-188-52,bezh1248-std,concepticon-1803,1.43,гьаьжаь,wood,g'a'zha'
clics-doculect-188-53,bezh1248-std,concepticon-2125,1.44,кьало,"stone, rock",k'alo
clics-doculect-188-54,bezh1248-std,concepticon-2125,1.44,шед,"stone, rock",shed
clics-doculect-188-55,bezh1248-std,concepticon-6,1.45,маьчелахлІōлъи,earthquake,ma'chelakhlIol'i
clics-doculect-188-56,bezh1248-std,concepticon-1732,1.51,гьас,sky,g'as
clics-doculect-188-57,bezh1248-std,concepticon-1343,1.52,бохъ,sun,bokh'
clics-doculect-188-58,bezh1248-std,concepticon-1313,1.53,боцо,moon,botso
clics-doculect-188-59,bezh1248-std,concepticon-1430,1.54,цаᴴ,star,tsa
