ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-215-1,botl1242-std,concepticon-965,1.1,дунял,world,dunial
clics-doculect-215-2,botl1242-std,concepticon-626,1.21,унши,"earth, land",unshi
clics-doculect-215-3,botl1242-std,concepticon-626,1.21,пачалихъ,"earth, land",pachalikh'
clics-doculect-215-4,botl1242-std,concepticon-1228,1.212,унши,"earth=ground, soil",unshi
clics-doculect-215-5,botl1242-std,concepticon-2,1.213,вада,dust,vada
clics-doculect-215-6,botl1242-std,concepticon-640,1.214,биччи,mud,bichchi
clics-doculect-215-7,botl1242-std,concepticon-640,1.214,хъупир,mud,kh'upir
clics-doculect-215-8,botl1242-std,concepticon-671,1.215,сира,sand,sira
clics-doculect-215-9,botl1242-std,concepticon-2118,1.22,бели,"mountain, hill",beli
clics-doculect-215-10,botl1242-std,concepticon-2118,1.22,рекъа,"mountain, hill",rek'a
clics-doculect-215-11,botl1242-std,concepticon-618,1.222,къуди,"cliff, precipice",k'udi
clics-doculect-215-12,botl1242-std,concepticon-618,1.222,кьудепъибай,"cliff, precipice",k'udep'ibai
clics-doculect-215-13,botl1242-std,concepticon-618,1.222,кІкІабдир,"cliff, precipice",kIkIabdir
clics-doculect-215-14,botl1242-std,concepticon-652,1.23,байдан,"plain, field",baidan
clics-doculect-215-15,botl1242-std,concepticon-652,1.23,хури,"plain, field",khuri
clics-doculect-215-16,botl1242-std,concepticon-921,1.24,байдан,valley,baidan
clics-doculect-215-17,botl1242-std,concepticon-622,1.25,гьалалъенилъи,island,g'alal'enil'i
clics-doculect-215-18,botl1242-std,concepticon-113,1.27,инсалъибай,shore,insal'ibai
clics-doculect-215-19,botl1242-std,concepticon-1155,1.28,къватІа,cave,k'vatIa
clics-doculect-215-20,botl1242-std,concepticon-948,1.31,лъени,water,l'eni
clics-doculect-215-21,botl1242-std,concepticon-1474,1.32,регьа,sea,reg'a
clics-doculect-215-22,botl1242-std,concepticon-258,1.322,гъицІахабещдир,calm (of sea),g'itsIakhabeshchdir
clics-doculect-215-23,botl1242-std,concepticon-259,1.323,хеххи,rough (of sea),khekhkhi
clics-doculect-215-24,botl1242-std,concepticon-1768,1.324,тІали,foam,tIali
clics-doculect-215-25,botl1242-std,concepticon-645,1.329,регьа,ocean,reg'a
clics-doculect-215-26,botl1242-std,concepticon-624,1.33,игьур,lake,ig'ur
clics-doculect-215-27,botl1242-std,concepticon-663,1.34,лъенибигъабмуса,"gulf, bay",l'enibig'abmusa
clics-doculect-215-28,botl1242-std,concepticon-623,1.341,вегьалъикъватІа,lagoon,veg'al'ik'vatIa
clics-doculect-215-29,botl1242-std,concepticon-978,1.35,карачил,wave,karachil
clics-doculect-215-30,botl1242-std,concepticon-891,1.352,регьалъигьирцІирка,tide,reg'al'ig'irtsIirka
clics-doculect-215-31,botl1242-std,concepticon-891,1.352,гьикьамаирла,tide,g'ik'amairla
clics-doculect-215-32,botl1242-std,concepticon-1026,1.353,лъени,lowtide,l'eni
clics-doculect-215-33,botl1242-std,concepticon-1026,1.353,маабмуса,lowtide,maabmusa
clics-doculect-215-34,botl1242-std,concepticon-613,1.354,лъени,hightide,l'eni
clics-doculect-215-35,botl1242-std,concepticon-613,1.354,гъватмуса,hightide,g'vatmusa
clics-doculect-215-36,botl1242-std,concepticon-666,1.36,инса,"river, stream, brook",insa
clics-doculect-215-37,botl1242-std,concepticon-666,1.36,инхи,"river, stream, brook",inkhi
clics-doculect-215-38,botl1242-std,concepticon-666,1.36,зуккулъени,"river, stream, brook",zukkul'eni
clics-doculect-215-39,botl1242-std,concepticon-1982,1.362,хархун,whirlpool,kharkhun
clics-doculect-215-40,botl1242-std,concepticon-2144,1.37,инци,"spring, well",intsi
clics-doculect-215-41,botl1242-std,concepticon-2144,1.37,инцІунбай,"spring, well",intsIunbai
clics-doculect-215-42,botl1242-std,concepticon-1145,1.38,хьуци,swamp,kh'utsi
clics-doculect-215-43,botl1242-std,concepticon-1145,1.38,цІинтур,swamp,tsIintur
clics-doculect-215-44,botl1242-std,concepticon-943,1.39,лъенибукнирлъи,waterfall,l'enibuknirl'i
clics-doculect-215-45,botl1242-std,concepticon-943,1.39,гьирцІир,waterfall,g'irtsIir
clics-doculect-215-46,botl1242-std,concepticon-420,1.41,рухьу,"woods, forest",rukh'u
clics-doculect-215-48,botl1242-std,concepticon-1803,1.43,гьуди,wood,g'udi
