ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-91-1,budu1248-std,concepticon-965,1.1,гІалем,world,gIalem
clics-doculect-91-2,budu1248-std,concepticon-626,1.21,нокь,"earth, land",nok'
clics-doculect-91-3,budu1248-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-91-4,budu1248-std,concepticon-1228,1.212,нокь,"earth=ground, soil",nok'
clics-doculect-91-5,budu1248-std,concepticon-1228,1.212,кьум,"earth=ground, soil",k'um
clics-doculect-91-6,budu1248-std,concepticon-2,1.213,гард,dust,gard
clics-doculect-91-7,budu1248-std,concepticon-640,1.214,чулк,mud,chulk
clics-doculect-91-8,budu1248-std,concepticon-640,1.214,некь,mud,nek'
clics-doculect-91-9,budu1248-std,concepticon-671,1.215,кьум,sand,k'um
clics-doculect-91-10,budu1248-std,concepticon-2118,1.22,дагъ,"mountain, hill",dag'
clics-doculect-91-11,budu1248-std,concepticon-2118,1.22,тапа,"mountain, hill",tapa
clics-doculect-91-12,budu1248-std,concepticon-618,1.222,йамадж,"cliff, precipice",iamadzh
clics-doculect-91-13,budu1248-std,concepticon-618,1.222,кьол,"cliff, precipice",k'ol
clics-doculect-91-14,budu1248-std,concepticon-618,1.222,йамаджекьол,"cliff, precipice",iamadzhek'ol
clics-doculect-91-15,budu1248-std,concepticon-618,1.222,кандакь,"cliff, precipice",kandak'
clics-doculect-91-16,budu1248-std,concepticon-652,1.23,ник,"plain, field",nik
clics-doculect-91-17,budu1248-std,concepticon-652,1.23,чул,"plain, field",chul
clics-doculect-91-18,budu1248-std,concepticon-652,1.23,тала,"plain, field",tala
clics-doculect-91-19,budu1248-std,concepticon-921,1.24,дара,valley,dara
clics-doculect-91-20,budu1248-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-91-21,budu1248-std,concepticon-113,1.27,къирагъ,shore,k'irag'
clics-doculect-91-22,budu1248-std,concepticon-1155,1.28,пана,cave,pana
clics-doculect-91-23,budu1248-std,concepticon-948,1.31,хьад,water,kh'ad
clics-doculect-91-24,budu1248-std,concepticon-1474,1.32,кІуф,sea,kIuf
clics-doculect-91-25,budu1248-std,concepticon-258,1.322,сакит,calm (of sea),sakit
clics-doculect-91-26,budu1248-std,concepticon-259,1.323,гуджлу,rough (of sea),gudzhlu
clics-doculect-91-27,budu1248-std,concepticon-1768,1.324,купук,foam,kupuk
clics-doculect-91-28,budu1248-std,concepticon-645,1.329,океан,ocean,okean
clics-doculect-91-29,budu1248-std,concepticon-624,1.33,кІуф,lake,kIuf
clics-doculect-91-30,budu1248-std,concepticon-978,1.35,лапа,wave,lapa
clics-doculect-91-31,budu1248-std,concepticon-666,1.36,куркъарасу,"river, stream, brook",kurk'arasu
clics-doculect-91-32,budu1248-std,concepticon-2144,1.37,вис,"spring, well",vis
clics-doculect-91-33,budu1248-std,concepticon-2144,1.37,къул,"spring, well",k'ul
clics-doculect-91-34,budu1248-std,concepticon-1145,1.38,къейнамалугъ,swamp,k'einamalug'
clics-doculect-91-35,budu1248-std,concepticon-1145,1.38,некь,swamp,nek'
clics-doculect-91-36,budu1248-std,concepticon-943,1.39,ахчи,waterfall,akhchi
clics-doculect-91-37,budu1248-std,concepticon-943,1.39,гІахчид,waterfall,gIakhchid
clics-doculect-91-38,budu1248-std,concepticon-420,1.41,мише,"woods, forest",mishe
clics-doculect-91-40,budu1248-std,concepticon-1803,1.43,кІына,wood,kIyna
clics-doculect-91-41,budu1248-std,concepticon-2125,1.44,къайе,"stone, rock",k'aie
clics-doculect-91-42,budu1248-std,concepticon-2125,1.44,йамадж,"stone, rock",iamadzh
clics-doculect-91-43,budu1248-std,concepticon-2125,1.44,кьол,"stone, rock",k'ol
clics-doculect-91-44,budu1248-std,concepticon-6,1.45,зелзеле,earthquake,zelzele
clics-doculect-91-45,budu1248-std,concepticon-1732,1.51,зав,sky,zav
clics-doculect-91-46,budu1248-std,concepticon-1343,1.52,вирагъ,sun,virag'
clics-doculect-91-47,budu1248-std,concepticon-1313,1.53,вез,moon,vez
clics-doculect-91-48,budu1248-std,concepticon-1430,1.54,гъачІ,star,g'achI
clics-doculect-91-49,budu1248-std,concepticon-1654,1.55,илдырым,lightning,ildyrym
clics-doculect-91-50,budu1248-std,concepticon-2007,1.57,илдырым,lightning (as striking),ildyrym
clics-doculect-91-51,budu1248-std,concepticon-858,1.58,туфан,storm,tufan
clics-doculect-91-52,budu1248-std,concepticon-1733,1.59,тІам,rainbow,tIam
clics-doculect-91-53,budu1248-std,concepticon-630,1.61,ищигъ,light (noun),ishchig'
clics-doculect-91-54,budu1248-std,concepticon-11,1.62,мичІхьын,darkness,michIkh'yn
clics-doculect-91-55,budu1248-std,concepticon-1388,1.63,къузай,"shade, shadow",k'uzai
clics-doculect-91-56,budu1248-std,concepticon-1388,1.63,къаралты,"shade, shadow",k'aralty
clics-doculect-91-57,budu1248-std,concepticon-1388,1.63,кулга,"shade, shadow",kulga
clics-doculect-91-58,budu1248-std,concepticon-1977,1.64,шегь,dew,sheg'
clics-doculect-91-59,budu1248-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-91-60,budu1248-std,concepticon-960,1.72,кулак,wind,kulak
clics-doculect-91-61,budu1248-std,concepticon-1489,1.73,булут,cloud,bulut
clics-doculect-91-62,budu1248-std,concepticon-249,1.74,джуф,fog,dzhuf
clics-doculect-91-63,budu1248-std,concepticon-658,1.75,маф,rain (noun),maf
clics-doculect-91-64,budu1248-std,concepticon-658,1.75,абулейсан,rain (noun),abuleisan
