ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-172-1,bulg1262-std,concepticon-965,1.1,svját,world,svjat
clics-doculect-172-2,bulg1262-std,concepticon-626,1.21,zemjá,"earth, land",zemja
clics-doculect-172-3,bulg1262-std,concepticon-1228,1.212,zemjá,"earth=ground, soil",zemja
clics-doculect-172-4,bulg1262-std,concepticon-1228,1.212,póčva,"earth=ground, soil",pocva
clics-doculect-172-5,bulg1262-std,concepticon-2,1.213,prax,dust,prax
clics-doculect-172-6,bulg1262-std,concepticon-640,1.214,kal,mud,kal
clics-doculect-172-7,bulg1262-std,concepticon-671,1.215,pjásək,sand,pjas@k
clics-doculect-172-8,bulg1262-std,concepticon-2118,1.22,planiná,"mountain, hill",planina
clics-doculect-172-9,bulg1262-std,concepticon-2118,1.22,xəlm,"mountain, hill",x@lm
clics-doculect-172-10,bulg1262-std,concepticon-618,1.222,strə́mnaskalá,"cliff, precipice",str@mnaskala
clics-doculect-172-11,bulg1262-std,concepticon-618,1.222,úrva,"cliff, precipice",urva
clics-doculect-172-12,bulg1262-std,concepticon-618,1.222,própast,"cliff, precipice",propast
clics-doculect-172-13,bulg1262-std,concepticon-652,1.23,ravniná,"plain, field",ravnina
clics-doculect-172-14,bulg1262-std,concepticon-652,1.23,polé,"plain, field",pole
clics-doculect-172-15,bulg1262-std,concepticon-921,1.24,doliná,valley,dolina
clics-doculect-172-16,bulg1262-std,concepticon-622,1.25,óstrov,island,ostrov
clics-doculect-172-17,bulg1262-std,concepticon-166,1.26,zemjá,mainland,zemja
clics-doculect-172-18,bulg1262-std,concepticon-166,1.26,súša,mainland,susa
clics-doculect-172-19,bulg1262-std,concepticon-113,1.27,brjag,shore,brjag
clics-doculect-172-20,bulg1262-std,concepticon-1155,1.28,pešterá,cave,pestera
clics-doculect-172-21,bulg1262-std,concepticon-948,1.31,vodá,water,voda
clics-doculect-172-22,bulg1262-std,concepticon-1474,1.32,moré,sea,more
clics-doculect-172-23,bulg1262-std,concepticon-258,1.322,spokójstvie,calm (of sea),spokojstvie
clics-doculect-172-24,bulg1262-std,concepticon-258,1.322,zatíšie,calm (of sea),zatisie
clics-doculect-172-25,bulg1262-std,concepticon-259,1.323,razvəlnúvan,rough (of sea),razv@lnuvan
clics-doculect-172-26,bulg1262-std,concepticon-1768,1.324,pjána,foam,pjana
clics-doculect-172-27,bulg1262-std,concepticon-624,1.33,ézero,lake,ezero
clics-doculect-172-28,bulg1262-std,concepticon-663,1.34,záliv,"gulf, bay",zaliv
clics-doculect-172-29,bulg1262-std,concepticon-1662,1.343,nos,"headland, point",nos
clics-doculect-172-30,bulg1262-std,concepticon-978,1.35,vəlná,wave,v@lna
clics-doculect-172-31,bulg1262-std,concepticon-891,1.352,príliv,tide,priliv
clics-doculect-172-32,bulg1262-std,concepticon-891,1.352,ótliv,tide,otliv
clics-doculect-172-33,bulg1262-std,concepticon-1026,1.353,nájnískatatóčkanaótliva,lowtide,najniskatatockanaotliva
clics-doculect-172-34,bulg1262-std,concepticon-613,1.354,nájvisókatatóčkanapríliva,hightide,najvisokatatockanapriliva
clics-doculect-172-35,bulg1262-std,concepticon-666,1.36,reká,"river, stream, brook",reka
clics-doculect-172-36,bulg1262-std,concepticon-666,1.36,potók,"river, stream, brook",potok
clics-doculect-172-37,bulg1262-std,concepticon-666,1.36,rúčej,"river, stream, brook",rucej
clics-doculect-172-38,bulg1262-std,concepticon-1982,1.362,vodovərtéž,whirlpool,vodov@rtez
clics-doculect-172-39,bulg1262-std,concepticon-1982,1.362,vərtóp,whirlpool,v@rtop
clics-doculect-172-40,bulg1262-std,concepticon-2144,1.37,ízvor,"spring, well",izvor
clics-doculect-172-41,bulg1262-std,concepticon-2144,1.37,kládenec̷,"spring, well",kladenec
clics-doculect-172-42,bulg1262-std,concepticon-1145,1.38,bláto,swamp,blato
clics-doculect-172-43,bulg1262-std,concepticon-1145,1.38,tresávište,swamp,tresaviste
clics-doculect-172-44,bulg1262-std,concepticon-943,1.39,vodopád,waterfall,vodopad
clics-doculect-172-45,bulg1262-std,concepticon-420,1.41,gorá,"woods, forest",gora
