ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-191-1,cayu1262-std,concepticon-965,1.1,datɨ,world,dati
clics-doculect-191-2,cayu1262-std,concepticon-626,1.21,tati,"earth, land",tati
clics-doculect-191-3,cayu1262-std,concepticon-640,1.214,pɔne,mud,pone
clics-doculect-191-4,cayu1262-std,concepticon-640,1.214,poone,mud,poone
clics-doculect-191-5,cayu1262-std,concepticon-671,1.215,ripu,sand,ripu
clics-doculect-191-6,cayu1262-std,concepticon-2118,1.22,rɔ'retui,"mountain, hill",ro'retui
clics-doculect-191-7,cayu1262-std,concepticon-622,1.25,ǰuke,island,juke
clics-doculect-191-8,cayu1262-std,concepticon-113,1.27,rabɨbɨrɨ,shore,rabibiri
clics-doculect-191-9,cayu1262-std,concepticon-948,1.31,ta,water,ta
clics-doculect-191-10,cayu1262-std,concepticon-948,1.31,kita,water,kita
clics-doculect-191-11,cayu1262-std,concepticon-948,1.31,dabe,water,dabe
clics-doculect-191-12,cayu1262-std,concepticon-1768,1.324,bɔ,foam,bo
clics-doculect-191-13,cayu1262-std,concepticon-624,1.33,kuri,lake,kuri
clics-doculect-191-14,cayu1262-std,concepticon-624,1.33,kui,lake,kui
clics-doculect-191-15,cayu1262-std,concepticon-624,1.33,kikuri,lake,kikuri
clics-doculect-191-16,cayu1262-std,concepticon-623,1.341,rĩnũrũ,lagoon,rinuru
clics-doculect-191-17,cayu1262-std,concepticon-666,1.36,ɲera'barike,"river, stream, brook",nera'barike
clics-doculect-191-18,cayu1262-std,concepticon-666,1.36,ɲera'baike,"river, stream, brook",nera'baike
clics-doculect-191-19,cayu1262-std,concepticon-1982,1.362,'dačuču,whirlpool,'dacucu
clics-doculect-191-20,cayu1262-std,concepticon-1982,1.362,ra'čokimi,whirlpool,ra'cokimi
clics-doculect-191-21,cayu1262-std,concepticon-1145,1.38,rinɨ̃rɨ̃,swamp,riniri
