ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-40-1,cent2050-std,concepticon-965,1.1,dúnyâ,world,dunya
clics-doculect-40-2,cent2050-std,concepticon-626,1.21,cídí,"earth, land",cidi
clics-doculect-40-3,cent2050-std,concepticon-626,1.21,lárdə̀,"earth, land",lard@
clics-doculect-40-4,cent2050-std,concepticon-1228,1.212,cídí,"earth=ground, soil",cidi
clics-doculect-40-5,cent2050-std,concepticon-2,1.213,bə́rbə̀r,dust,b@rb@r
clics-doculect-40-6,cent2050-std,concepticon-640,1.214,tóló,mud,tolo
clics-doculect-40-7,cent2050-std,concepticon-671,1.215,césà,sand,cesa
clics-doculect-40-8,cent2050-std,concepticon-671,1.215,kàttî,sand,katti
clics-doculect-40-9,cent2050-std,concepticon-2118,1.22,kâu,"mountain, hill",kau
clics-doculect-40-10,cent2050-std,concepticon-2118,1.22,kə̀rî,"mountain, hill",k@ri
clics-doculect-40-11,cent2050-std,concepticon-618,1.222,jòró,"cliff, precipice",joro
clics-doculect-40-12,cent2050-std,concepticon-652,1.23,fárák,"plain, field",farak
clics-doculect-40-13,cent2050-std,concepticon-652,1.23,fáyà,"plain, field",faya
clics-doculect-40-14,cent2050-std,concepticon-921,1.24,ngôr,valley,ngor
clics-doculect-40-15,cent2050-std,concepticon-622,1.25,kə́rtá,island,k@rta
clics-doculect-40-16,cent2050-std,concepticon-622,1.25,cúkú,island,cuku
clics-doculect-40-17,cent2050-std,concepticon-113,1.27,cînjîbè,shore,cinjibe
clics-doculect-40-18,cent2050-std,concepticon-113,1.27,fòwòlí,shore,fowoli
clics-doculect-40-19,cent2050-std,concepticon-1155,1.28,ngòrə̂m,cave,ngor@m
clics-doculect-40-20,cent2050-std,concepticon-948,1.31,njî,water,nji
clics-doculect-40-21,cent2050-std,concepticon-1474,1.32,báhàr,sea,bahar
clics-doculect-40-22,cent2050-std,concepticon-1474,1.32,njîkúrà,sea,njikura
clics-doculect-40-23,cent2050-std,concepticon-1768,1.324,bílwù,foam,bilwu
clics-doculect-40-24,cent2050-std,concepticon-645,1.329,báhàr,ocean,bahar
clics-doculect-40-25,cent2050-std,concepticon-645,1.329,njîkúrà,ocean,njikura
clics-doculect-40-26,cent2050-std,concepticon-624,1.33,kùlúwù,lake,kuluwu
clics-doculect-40-27,cent2050-std,concepticon-978,1.35,kàzáànjîbè,wave,kazaanjibe
clics-doculect-40-28,cent2050-std,concepticon-666,1.36,bə́rə̀m,"river, stream, brook",b@r@m
clics-doculect-40-29,cent2050-std,concepticon-666,1.36,ngàdà,"river, stream, brook",ngada
clics-doculect-40-30,cent2050-std,concepticon-666,1.36,kə̀múdù,"river, stream, brook",k@mudu
clics-doculect-40-31,cent2050-std,concepticon-1982,1.362,shîmnjîbè,whirlpool,shimnjibe
