ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-46-1,chac1251-std,concepticon-965,1.1,mai,world,mai
clics-doculect-46-2,chac1251-std,concepticon-626,1.21,mai,"earth, land",mai
clics-doculect-46-3,chac1251-std,concepticon-1228,1.212,mai,"earth=ground, soil",mai
clics-doculect-46-4,chac1251-std,concepticon-2,1.213,mišpo,dust,mispo
clics-doculect-46-5,chac1251-std,concepticon-640,1.214,mac̷a,mud,maca
clics-doculect-46-6,chac1251-std,concepticon-671,1.215,maṣ̌ɨnɨ,sand,masini
clics-doculect-46-7,chac1251-std,concepticon-671,1.215,mišpo,sand,mispo
clics-doculect-46-8,chac1251-std,concepticon-2118,1.22,maitɨmači,"mountain, hill",maitimaci
clics-doculect-46-9,chac1251-std,concepticon-618,1.222,kɨmapo,"cliff, precipice",kimapo
clics-doculect-46-10,chac1251-std,concepticon-652,1.23,ṣ̌aβaka,"plain, field",sabaka
clics-doculect-46-11,chac1251-std,concepticon-622,1.25,tɨmisko,island,timisko
clics-doculect-46-12,chac1251-std,concepticon-113,1.27,kɨso,shore,kiso
clics-doculect-46-13,chac1251-std,concepticon-1155,1.28,kini,cave,kini
clics-doculect-46-14,chac1251-std,concepticon-948,1.31,hɨnɨ,water,hini
clics-doculect-46-15,chac1251-std,concepticon-1768,1.324,βakoṣ̌,foam,bakos
clics-doculect-46-16,chac1251-std,concepticon-624,1.33,ianɨ,lake,iani
clics-doculect-46-17,chac1251-std,concepticon-623,1.341,katoro,lagoon,katoro
clics-doculect-46-18,chac1251-std,concepticon-978,1.35,čoka,wave,coka
clics-doculect-46-19,chac1251-std,concepticon-666,1.36,ani,"river, stream, brook",ani
clics-doculect-46-20,chac1251-std,concepticon-2144,1.37,katoro,"spring, well",katoro
clics-doculect-46-21,chac1251-std,concepticon-1145,1.38,miwano,swamp,miwano
clics-doculect-46-22,chac1251-std,concepticon-420,1.41,niʔi,"woods, forest",ni?i
clics-doculect-46-24,chac1251-std,concepticon-1803,1.43,hiwi,wood,hiwi
clics-doculect-46-25,chac1251-std,concepticon-1732,1.51,naipa,sky,naipa
clics-doculect-46-26,chac1251-std,concepticon-1343,1.52,βari,sun,bari
clics-doculect-46-27,chac1251-std,concepticon-1313,1.53,oṣ̌ɨ,moon,osi
clics-doculect-46-28,chac1251-std,concepticon-1430,1.54,wištima,star,wistima
clics-doculect-46-29,chac1251-std,concepticon-1654,1.55,kanapa,lightning,kanapa
clics-doculect-46-30,chac1251-std,concepticon-1654,1.55,βara,lightning,bara
clics-doculect-46-31,chac1251-std,concepticon-1150,1.56,tɨrɨʔaina,thunder,tiri?aina
clics-doculect-46-32,chac1251-std,concepticon-1733,1.59,naβaβaʔi,rainbow,nababa?i
clics-doculect-46-33,chac1251-std,concepticon-630,1.61,wɨana,light (noun),wiana
clics-doculect-46-34,chac1251-std,concepticon-11,1.62,βakiši,darkness,bakisi
clics-doculect-46-35,chac1251-std,concepticon-1388,1.63,tɨβakiši,"shade, shadow",tibakisi
clics-doculect-46-36,chac1251-std,concepticon-1977,1.64,niβiči,dew,nibici
clics-doculect-46-37,chac1251-std,concepticon-27,1.71,ko'ʔini,air,ko'?ini
clics-doculect-46-38,chac1251-std,concepticon-960,1.72,yošini,wind,yosini
clics-doculect-46-39,chac1251-std,concepticon-1489,1.73,c̷ɨmo,cloud,cimo
clics-doculect-46-40,chac1251-std,concepticon-249,1.74,koro,fog,koro
clics-doculect-46-41,chac1251-std,concepticon-658,1.75,oi,rain (noun),oi
clics-doculect-46-42,chac1251-std,concepticon-221,1.81,čiʔi,fire,ci?i
clics-doculect-46-43,chac1251-std,concepticon-889,1.82,čiʔihana,flame (noun),ci?ihana
clics-doculect-46-44,chac1251-std,concepticon-778,1.83,koʔini,smoke (noun),ko?ini
clics-doculect-46-45,chac1251-std,concepticon-646,1.84,čiʔimišpo,ashes,ci?imispo
clics-doculect-46-46,chac1251-std,concepticon-67,1.841,rɨṣ̌kɨnɨ,embers,riskini
clics-doculect-46-47,chac1251-std,concepticon-141,1.851,mɨṣ̌a,burn (vb trans),misa
clics-doculect-46-48,chac1251-std,concepticon-1428,1.852,mɨṣ̌o,burn (vb intrans),miso
clics-doculect-46-49,chac1251-std,concepticon-737,1.86,c̷ami,"light, kindle, ignite",cami
clics-doculect-46-50,chac1251-std,concepticon-737,1.86,c̷ama,"light, kindle, ignite",cama
clics-doculect-46-51,chac1251-std,concepticon-127,1.861,noka,extinguish,noka
clics-doculect-46-52,chac1251-std,concepticon-127,1.861,nokawa,extinguish,nokawa
clics-doculect-46-53,chac1251-std,concepticon-1133,1.87,čiʔic̷amati,match (noun),ci?icamati
clics-doculect-46-54,chac1251-std,concepticon-10,1.88,karo,firewood,karo
clics-doculect-46-55,chac1251-std,concepticon-1188,1.89,c̷istɨmišni,charcoal,cistimisni
clics-doculect-46-56,chac1251-std,concepticon-683,2.1,noʔiria,"person, human being",no?iria
clics-doculect-46-57,chac1251-std,concepticon-1554,2.21,honi,man (vs. woman),honi
clics-doculect-46-58,chac1251-std,concepticon-962,2.22,yoṣ̌a,woman,yosa
clics-doculect-46-59,chac1251-std,concepticon-1553,2.23,βɨnɨ,male,bini
clics-doculect-46-60,chac1251-std,concepticon-1551,2.24,awini,female,awini
clics-doculect-46-61,chac1251-std,concepticon-1366,2.25,honipistia,boy,honipistia
