ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-210-1,cham1309-std,concepticon-965,1.1,дунийал,world,duniial
clics-doculect-210-2,cham1309-std,concepticon-626,1.21,уᴴс̅,"earth, land",us
clics-doculect-210-3,cham1309-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-210-4,cham1309-std,concepticon-1228,1.212,уᴴс̅,"earth=ground, soil",us
clics-doculect-210-5,cham1309-std,concepticon-2,1.213,дада,dust,dada
clics-doculect-210-6,cham1309-std,concepticon-640,1.214,бис̅Іа,mud,bisIa
clics-doculect-210-7,cham1309-std,concepticon-640,1.214,гъиз,mud,g'iz
clics-doculect-210-8,cham1309-std,concepticon-640,1.214,кІас̅Іара,mud,kIasIara
clics-doculect-210-9,cham1309-std,concepticon-671,1.215,сера,sand,sera
clics-doculect-210-10,cham1309-std,concepticon-671,1.215,кус̅,sand,kus
clics-doculect-210-11,cham1309-std,concepticon-2118,1.22,бе̅л,"mountain, hill",bel
clics-doculect-210-12,cham1309-std,concepticon-2118,1.22,гъун,"mountain, hill",g'un
clics-doculect-210-13,cham1309-std,concepticon-618,1.222,кьод,"cliff, precipice",k'od
clics-doculect-210-14,cham1309-std,concepticon-618,1.222,бас̅,"cliff, precipice",bas
clics-doculect-210-15,cham1309-std,concepticon-618,1.222,хъитІил,"cliff, precipice",kh'itIil
clics-doculect-210-16,cham1309-std,concepticon-652,1.23,байдаᴴ,"plain, field",baida
clics-doculect-210-17,cham1309-std,concepticon-652,1.23,гІатІиракь,"plain, field",gIatIirak'
clics-doculect-210-18,cham1309-std,concepticon-652,1.23,мигъа,"plain, field",mig'a
clics-doculect-210-19,cham1309-std,concepticon-921,1.24,хама,valley,khama
clics-doculect-210-20,cham1309-std,concepticon-622,1.25,йитІи,island,iitIi
clics-doculect-210-21,cham1309-std,concepticon-622,1.25,хама,island,khama
clics-doculect-210-22,cham1309-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-210-23,cham1309-std,concepticon-113,1.27,бала,shore,bala
clics-doculect-210-24,cham1309-std,concepticon-1155,1.28,йес̅Іа,cave,iesIa
clics-doculect-210-25,cham1309-std,concepticon-948,1.31,лълъи̅ᴴ,water,l'l'i
clics-doculect-210-26,cham1309-std,concepticon-1474,1.32,йелъа,sea,iel'a
clics-doculect-210-27,cham1309-std,concepticon-258,1.322,гьас̅Іайес̅ада,calm (of sea),g'asIaiesada
clics-doculect-210-28,cham1309-std,concepticon-259,1.323,гьалаге,rough (of sea),g'alage
clics-doculect-210-29,cham1309-std,concepticon-1768,1.324,кьиби,foam,k'ibi
clics-doculect-210-30,cham1309-std,concepticon-645,1.329,акиан,ocean,akian
clics-doculect-210-31,cham1309-std,concepticon-624,1.33,игьир,lake,ig'ir
clics-doculect-210-32,cham1309-std,concepticon-978,1.35,квачІ,wave,kvachI
clics-doculect-210-33,cham1309-std,concepticon-666,1.36,лъес̅а,"river, stream, brook",l'esa
clics-doculect-210-34,cham1309-std,concepticon-666,1.36,гъогъма,"river, stream, brook",g'og'ma
clics-doculect-210-35,cham1309-std,concepticon-666,1.36,гъада,"river, stream, brook",g'ada
clics-doculect-210-36,cham1309-std,concepticon-1982,1.362,х̅арди,whirlpool,khardi
clics-doculect-210-37,cham1309-std,concepticon-2144,1.37,иᴴцвгъуй,"spring, well",itsvg'ui
clics-doculect-210-38,cham1309-std,concepticon-1145,1.38,тис̅Ів,swamp,tisIv
clics-doculect-210-39,cham1309-std,concepticon-943,1.39,додра,waterfall,dodra
clics-doculect-210-40,cham1309-std,concepticon-420,1.41,вогьа,"woods, forest",vog'a
clics-doculect-210-42,cham1309-std,concepticon-1803,1.43,лъун̅и,wood,l'uni
clics-doculect-210-43,cham1309-std,concepticon-2125,1.44,гьиᴴцІа,"stone, rock",g'itsIa
clics-doculect-210-44,cham1309-std,concepticon-2125,1.44,кьод,"stone, rock",k'od
clics-doculect-210-45,cham1309-std,concepticon-6,1.45,хихиᴴ,earthquake,khikhi
clics-doculect-210-46,cham1309-std,concepticon-1732,1.51,йегьиᴴ,sky,ieg'i
clics-doculect-210-47,cham1309-std,concepticon-1343,1.52,милъ,sun,mil'
clics-doculect-210-48,cham1309-std,concepticon-1313,1.53,бос̅І,moon,bosI
clics-doculect-210-49,cham1309-std,concepticon-1430,1.54,с̅Іа̅,star,sIa
clics-doculect-210-50,cham1309-std,concepticon-1654,1.55,чирде,lightning,chirde
clics-doculect-210-51,cham1309-std,concepticon-1654,1.55,аᴴзхоша,lightning,azkhosha
clics-doculect-210-52,cham1309-std,concepticon-1150,1.56,дунийалходе,thunder,duniialkhode
clics-doculect-210-53,cham1309-std,concepticon-2007,1.57,чирде,lightning (as striking),chirde
clics-doculect-210-54,cham1309-std,concepticon-858,1.58,кутакабмуш,storm,kutakabmush
clics-doculect-210-55,cham1309-std,concepticon-1733,1.59,нур,rainbow,nur
clics-doculect-210-56,cham1309-std,concepticon-630,1.61,кваналъи,light (noun),kvanal'i
clics-doculect-210-57,cham1309-std,concepticon-11,1.62,захъвлъи,darkness,zakh'vl'i
clics-doculect-210-58,cham1309-std,concepticon-1388,1.63,аᴴцв,"shade, shadow",atsv
clics-doculect-210-59,cham1309-std,concepticon-1977,1.64,с̅иб,dew,sib
clics-doculect-210-60,cham1309-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-210-61,cham1309-std,concepticon-27,1.71,гьа̅,air,g'a
clics-doculect-210-62,cham1309-std,concepticon-960,1.72,муш,wind,mush
clics-doculect-210-63,cham1309-std,concepticon-1489,1.73,эъа,cloud,e'a
clics-doculect-210-64,cham1309-std,concepticon-1489,1.73,ах̅вма,cloud,akhvma
clics-doculect-210-65,cham1309-std,concepticon-249,1.74,гьана,fog,g'ana
clics-doculect-210-66,cham1309-std,concepticon-658,1.75,с̅Іа̅,rain (noun),sIa
clics-doculect-210-67,cham1309-std,concepticon-784,1.76,аᴴз,snow (noun),az
clics-doculect-210-68,cham1309-std,concepticon-617,1.77,за̅,ice,za
clics-doculect-210-69,cham1309-std,concepticon-617,1.77,за̅х̅е,ice,zakhe
clics-doculect-210-70,cham1309-std,concepticon-952,1.78,гьавамуш,weather,g'avamush
clics-doculect-210-71,cham1309-std,concepticon-952,1.78,дунийал,weather,duniial
clics-doculect-210-72,cham1309-std,concepticon-221,1.81,цІа̅,fire,tsIa
clics-doculect-210-73,cham1309-std,concepticon-889,1.82,цІа̅,flame (noun),tsIa
clics-doculect-210-74,cham1309-std,concepticon-778,1.83,с̅ур,smoke (noun),sur
clics-doculect-210-75,cham1309-std,concepticon-646,1.84,кьедв,ashes,k'edv
clics-doculect-210-76,cham1309-std,concepticon-67,1.841,гогв,embers,gogv
clics-doculect-210-77,cham1309-std,concepticon-67,1.841,чІитІв,embers,chIitIv
clics-doculect-210-78,cham1309-std,concepticon-141,1.851,цІагьла,burn (vb trans),tsIag'la
clics-doculect-210-79,cham1309-std,concepticon-1428,1.852,цІагьла,burn (vb intrans),tsIag'la
clics-doculect-210-80,cham1309-std,concepticon-737,1.86,биква̅на,"light, kindle, ignite",bikvana
clics-doculect-210-81,cham1309-std,concepticon-737,1.86,биха̅ла,"light, kindle, ignite",bikhala
clics-doculect-210-82,cham1309-std,concepticon-737,1.86,пирхда̅ла,"light, kindle, ignite",pirkhdala
clics-doculect-210-83,cham1309-std,concepticon-127,1.861,бис̅ва̅на,extinguish,bisvana
clics-doculect-210-84,cham1309-std,concepticon-1133,1.87,с̅Іиᴴ̅сІ,match (noun),sIisI
clics-doculect-210-85,cham1309-std,concepticon-1133,1.87,испишка,match (noun),ispishka
