ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-208-1,chec1245-Akkin,concepticon-965,1.1,дуьне,world,du'ne
clics-doculect-208-2,chec1245-Akkin,concepticon-965,1.1,машар,world,mashar
clics-doculect-208-3,chec1245-Akkin,concepticon-626,1.21,дуьне,"earth, land",du'ne
clics-doculect-208-4,chec1245-Akkin,concepticon-626,1.21,лятта,"earth, land",liatta
clics-doculect-208-5,chec1245-Akkin,concepticon-626,1.21,мохк,"earth, land",mokhk
clics-doculect-208-6,chec1245-Akkin,concepticon-1228,1.212,лятта,"earth=ground, soil",liatta
clics-doculect-208-7,chec1245-Akkin,concepticon-2,1.213,чангъ,dust,chang'
clics-doculect-208-8,chec1245-Akkin,concepticon-640,1.214,мода,mud,moda
clics-doculect-208-9,chec1245-Akkin,concepticon-640,1.214,хотт,mud,khott
clics-doculect-208-10,chec1245-Akkin,concepticon-671,1.215,гІум,sand,gIum
clics-doculect-208-11,chec1245-Akkin,concepticon-2118,1.22,лам,"mountain, hill",lam
clics-doculect-208-12,chec1245-Akkin,concepticon-618,1.222,берд,"cliff, precipice",berd
clics-doculect-208-13,chec1245-Akkin,concepticon-618,1.222,тарх,"cliff, precipice",tarkh
clics-doculect-208-14,chec1245-Akkin,concepticon-652,1.23,аре,"plain, field",are
clics-doculect-208-15,chec1245-Akkin,concepticon-921,1.24,атагІа,valley,atagIa
clics-doculect-208-16,chec1245-Akkin,concepticon-622,1.25,гІайре,island,gIaire
clics-doculect-208-17,chec1245-Akkin,concepticon-166,1.26,континент,mainland,kontinent
clics-doculect-208-18,chec1245-Akkin,concepticon-113,1.27,хийист,shore,khiiist
clics-doculect-208-19,chec1245-Akkin,concepticon-1155,1.28,хьех,cave,kh'ekh
clics-doculect-208-20,chec1245-Akkin,concepticon-948,1.31,хи,water,khi
clics-doculect-208-21,chec1245-Akkin,concepticon-1474,1.32,хІорд,sea,khIord
clics-doculect-208-22,chec1245-Akkin,concepticon-258,1.322,тин,calm (of sea),tin
clics-doculect-208-23,chec1245-Akkin,concepticon-259,1.323,карзахдаьлла,rough (of sea),karzakhda'lla
clics-doculect-208-24,chec1245-Akkin,concepticon-1768,1.324,чопа,foam,chopa
clics-doculect-208-25,chec1245-Akkin,concepticon-645,1.329,хІорд,ocean,khIord
clics-doculect-208-26,chec1245-Akkin,concepticon-624,1.33,Іам,lake,Iam
clics-doculect-208-27,chec1245-Akkin,concepticon-663,1.34,айма,"gulf, bay",aima
clics-doculect-208-28,chec1245-Akkin,concepticon-660,1.342,хибухаритархыш,reef,khibukharitarkhysh
clics-doculect-208-29,chec1245-Akkin,concepticon-1662,1.343,хьордюккхераре,"headland, point",kh'ordiukkkherare
clics-doculect-208-30,chec1245-Akkin,concepticon-978,1.35,тулгІе,wave,tulgIe
clics-doculect-208-31,chec1245-Akkin,concepticon-891,1.352,хІордтІеххетара,tide,khIordtIekhkhetara
clics-doculect-208-32,chec1245-Akkin,concepticon-891,1.352,чубожара,tide,chubozhara
clics-doculect-208-33,chec1245-Akkin,concepticon-1026,1.353,чудожыр,lowtide,chudozhyr
clics-doculect-208-34,chec1245-Akkin,concepticon-613,1.354,хидар,hightide,khidar
clics-doculect-208-35,chec1245-Akkin,concepticon-666,1.36,татол,"river, stream, brook",tatol
clics-doculect-208-36,chec1245-Akkin,concepticon-666,1.36,хи,"river, stream, brook",khi
clics-doculect-208-37,chec1245-Akkin,concepticon-1982,1.362,кІуркІмани,whirlpool,kIurkImani
clics-doculect-208-38,chec1245-Akkin,concepticon-2144,1.37,хьаст,"spring, well",kh'ast
clics-doculect-208-39,chec1245-Akkin,concepticon-2144,1.37,гІу,"spring, well",gIu
clics-doculect-208-40,chec1245-Akkin,concepticon-1145,1.38,ишыл,swamp,ishyl
