ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-37-1,chew1245-std,concepticon-626,1.21,tɛʔ,"earth, land",te?
clics-doculect-37-2,chew1245-std,concepticon-1228,1.212,tɛʔ,"earth=ground, soil",te?
clics-doculect-37-3,chew1245-std,concepticon-2,1.213,hmɛ̃c,dust,hmec
clics-doculect-37-4,chew1245-std,concepticon-640,1.214,gaʔɛ̃c,mud,ga?ec
clics-doculect-37-5,chew1245-std,concepticon-671,1.215,pasir,sand,pasir
clics-doculect-37-6,chew1245-std,concepticon-2118,1.22,mnĩm,"mountain, hill",mnim
clics-doculect-37-7,chew1245-std,concepticon-2118,1.22,cbɑʔ,"mountain, hill",cba?
clics-doculect-37-8,chew1245-std,concepticon-618,1.222,trɛh,"cliff, precipice",treh
clics-doculect-37-9,chew1245-std,concepticon-921,1.24,taɲoŋ,valley,tanoNG
clics-doculect-37-10,chew1245-std,concepticon-622,1.25,pulaw,island,pulaw
clics-doculect-37-11,chew1245-std,concepticon-1155,1.28,daraŋ,cave,daraNG
clics-doculect-37-12,chew1245-std,concepticon-948,1.31,tɑm,water,tam
clics-doculect-37-13,chew1245-std,concepticon-1474,1.32,lawot,sea,lawot
clics-doculect-37-14,chew1245-std,concepticon-1768,1.324,cucuk,foam,cucuk
clics-doculect-37-15,chew1245-std,concepticon-645,1.329,lawot,ocean,lawot
clics-doculect-37-16,chew1245-std,concepticon-666,1.36,tɑm,"river, stream, brook",tam
clics-doculect-37-17,chew1245-std,concepticon-2144,1.37,ncɔktɑm,"spring, well",ncoktam
clics-doculect-37-18,chew1245-std,concepticon-1145,1.38,payaʔ,swamp,paya?
clics-doculect-37-19,chew1245-std,concepticon-943,1.39,jrəm,waterfall,jr@m
clics-doculect-37-20,chew1245-std,concepticon-420,1.41,brtɛʔ,"woods, forest",brte?
clics-doculect-37-21,chew1245-std,concepticon-1803,1.43,lɨŋ,wood,liNG
clics-doculect-37-22,chew1245-std,concepticon-1803,1.43,jəhũʔ,wood,j@hu?
clics-doculect-37-23,chew1245-std,concepticon-2125,1.44,tmɔ̃ʔ,"stone, rock",tmo?
clics-doculect-37-24,chew1245-std,concepticon-1732,1.51,laŋĩt,sky,laNGit
clics-doculect-37-25,chew1245-std,concepticon-1343,1.52,mɛ̃tktɔʔ,sun,metkto?
clics-doculect-37-26,chew1245-std,concepticon-1313,1.53,kcɛʔ,moon,kce?
clics-doculect-37-27,chew1245-std,concepticon-1430,1.54,bintaŋ,star,bintaNG
clics-doculect-37-28,chew1245-std,concepticon-1654,1.55,kilɑt,lightning,kilat
clics-doculect-37-29,chew1245-std,concepticon-1150,1.56,karay,thunder,karay
clics-doculect-37-30,chew1245-std,concepticon-2007,1.57,klantãr,lightning (as striking),klantar
clics-doculect-37-31,chew1245-std,concepticon-1733,1.59,bayaŋtalon,rainbow,bayaNGtalon
clics-doculect-37-32,chew1245-std,concepticon-630,1.61,cinhəy,light (noun),cinh@y
clics-doculect-37-33,chew1245-std,concepticon-11,1.62,saŋkuy,darkness,saNGkuy
clics-doculect-37-34,chew1245-std,concepticon-1388,1.63,bayaŋ,"shade, shadow",bayaNG
clics-doculect-37-35,chew1245-std,concepticon-1977,1.64,mon,dew,mon
clics-doculect-37-36,chew1245-std,concepticon-960,1.72,hɔŋ,wind,hoNG
clics-doculect-37-37,chew1245-std,concepticon-1489,1.73,ʔɑl,cloud,?al
clics-doculect-37-38,chew1245-std,concepticon-249,1.74,ʔɑl,fog,?al
clics-doculect-37-39,chew1245-std,concepticon-658,1.75,səm,rain (noun),s@m
clics-doculect-37-40,chew1245-std,concepticon-617,1.77,tɑmbatuʔ,ice,tambatu?
clics-doculect-37-41,chew1245-std,concepticon-221,1.81,ʔɔs,fire,?os
clics-doculect-37-42,chew1245-std,concepticon-889,1.82,ʔɔs,flame (noun),?os
clics-doculect-37-43,chew1245-std,concepticon-778,1.83,siyay,smoke (noun),siyay
clics-doculect-37-44,chew1245-std,concepticon-646,1.84,habuʔ,ashes,habu?
clics-doculect-37-45,chew1245-std,concepticon-67,1.841,cikɛh,embers,cikeh
clics-doculect-37-46,chew1245-std,concepticon-141,1.851,siut,burn (vb trans),siut
clics-doculect-37-47,chew1245-std,concepticon-141,1.851,jəʔ,burn (vb trans),j@?
clics-doculect-37-48,chew1245-std,concepticon-1428,1.852,ŋəc,burn (vb intrans),NG@c
clics-doculect-37-49,chew1245-std,concepticon-737,1.86,cŋɔ̃ɲ,"light, kindle, ignite",cNGon
clics-doculect-37-50,chew1245-std,concepticon-737,1.86,cos,"light, kindle, ignite",cos
clics-doculect-37-51,chew1245-std,concepticon-127,1.861,pilɨt,extinguish,pilit
clics-doculect-37-52,chew1245-std,concepticon-1133,1.87,ʔɔs,match (noun),?os
clics-doculect-37-53,chew1245-std,concepticon-10,1.88,ʔɔs,firewood,?os
clics-doculect-37-54,chew1245-std,concepticon-683,2.1,biʔ,"person, human being",bi?
clics-doculect-37-55,chew1245-std,concepticon-683,2.1,briʔ,"person, human being",bri?
clics-doculect-37-56,chew1245-std,concepticon-1554,2.21,tuŋkal,man (vs. woman),tuNGkal
clics-doculect-37-57,chew1245-std,concepticon-962,2.22,koŋ,woman,koNG
clics-doculect-37-58,chew1245-std,concepticon-1553,2.23,tuŋkal,male,tuNGkal
clics-doculect-37-59,chew1245-std,concepticon-1551,2.24,koŋ,female,koNG
clics-doculect-37-60,chew1245-std,concepticon-76,2.251,bujaŋ,young man (adolescent),bujaNG
clics-doculect-37-61,chew1245-std,concepticon-77,2.261,kdɑh,young woman (adolescent),kdah
clics-doculect-37-62,chew1245-std,concepticon-1304,2.27,budak,child,budak
clics-doculect-37-63,chew1245-std,concepticon-1200,2.31,teʔ,husband,te?
clics-doculect-37-64,chew1245-std,concepticon-1199,2.32,jəʔ,wife,j@?
clics-doculect-37-65,chew1245-std,concepticon-203,2.33,ʔɑm,marry,?am
clics-doculect-37-66,chew1245-std,concepticon-1217,2.35,bap,father,bap
clics-doculect-37-67,chew1245-std,concepticon-1216,2.36,mɔ̃y,mother,moy
clics-doculect-37-68,chew1245-std,concepticon-1216,2.36,mɛ̃p,mother,mep
clics-doculect-37-69,chew1245-std,concepticon-505,2.37,teʔmɔ̃y,parents,te?moy
clics-doculect-37-70,chew1245-std,concepticon-1801,2.43,wɔŋ,offspring (son or daughter),woNG
clics-doculect-37-71,chew1245-std,concepticon-1005,2.458,kmar,twins,kmar
clics-doculect-37-72,chew1245-std,concepticon-1383,2.46,tɑʔ,grandfather,ta?
clics-doculect-37-73,chew1245-std,concepticon-1496,2.47,yɑʔ,grandmother,ya?
clics-doculect-37-74,chew1245-std,concepticon-1669,2.56,briʔkmanɨ̃h,ancestors,bri?kmanih
clics-doculect-37-75,chew1245-std,concepticon-237,2.71,bapgɔy,stepfather,bapgoy
clics-doculect-37-76,chew1245-std,concepticon-236,2.72,mɔ̃ygɔy,stepmother,moygoy
clics-doculect-37-77,chew1245-std,concepticon-194,2.82,kamĩn,family,kamin
clics-doculect-37-78,chew1245-std,concepticon-1209,2.91,ʔiŋ,I,?iNG
clics-doculect-37-79,chew1245-std,concepticon-1215,2.92,mɨ̃ʔ,you (singular),mi?
clics-doculect-37-80,chew1245-std,concepticon-262,2.93,ʔuh,he/she/it,?uh
clics-doculect-37-81,chew1245-std,concepticon-1131,2.941,hɛʔ,we (inclusive),he?
clics-doculect-37-82,chew1245-std,concepticon-1130,2.942,jaʔ,we (exclusive),ja?
clics-doculect-37-83,chew1245-std,concepticon-1213,2.95,jin,you (plural),jin
clics-doculect-37-84,chew1245-std,concepticon-817,2.96,gən,they,g@n
clics-doculect-37-85,chew1245-std,concepticon-619,3.11,nataŋ,animal,nataNG
clics-doculect-37-86,chew1245-std,concepticon-2261,3.12,tuŋkal,male (adj),tuNGkal
clics-doculect-37-87,chew1245-std,concepticon-2262,3.13,koŋ,female (adj),koNG
clics-doculect-37-88,chew1245-std,concepticon-1348,3.32,gaw,boar,gaw
clics-doculect-37-89,chew1245-std,concepticon-1337,3.35,gawʔɔ̃t,pig,gaw?ot
clics-doculect-37-90,chew1245-std,concepticon-1502,3.36,kamiŋ,goat,kamiNG
clics-doculect-37-91,chew1245-std,concepticon-615,3.41,kudə,horse (equine),kud@
clics-doculect-37-92,chew1245-std,concepticon-265,3.5,hayam,fowl,hayam
clics-doculect-37-93,chew1245-std,concepticon-539,3.58,sɔm,nest,som
clics-doculect-37-94,chew1245-std,concepticon-937,3.581,kawaw,bird,kawaw
clics-doculect-37-95,chew1245-std,concepticon-1905,3.584,kawawklɑŋ,eagle,kawawklaNG
clics-doculect-37-96,chew1245-std,concepticon-1185,3.586,klɑŋkday,vulture,klaNGkday
clics-doculect-37-97,chew1245-std,concepticon-1793,3.591,plek,bat,plek
clics-doculect-37-98,chew1245-std,concepticon-913,3.593,kawawlupɔl,crow,kawawlupol
clics-doculect-37-99,chew1245-std,concepticon-2009,3.61,ʔɛ̃ŋ,dog,?eNG
clics-doculect-37-100,chew1245-std,concepticon-1208,3.62,kuceŋ,cat,kuceNG
clics-doculect-37-101,chew1245-std,concepticon-1208,3.62,yãw,cat,yaw
clics-doculect-37-102,chew1245-std,concepticon-2139,3.63,knɛ̃ʔ,"mouse, rat",kne?
clics-doculect-37-103,chew1245-std,concepticon-227,3.65,kiəʔ,fish,ki@?
clics-doculect-37-104,chew1245-std,concepticon-213,3.652,layar,fin (dorsal),layar
clics-doculect-37-105,chew1245-std,concepticon-266,3.653,sisik,fishscale,sisik
clics-doculect-37-106,chew1245-std,concepticon-1916,3.654,səʔaŋ,gill,s@?aNG
clics-doculect-37-107,chew1245-std,concepticon-598,3.655,hoʔ,shell,ho?
clics-doculect-37-108,chew1245-std,concepticon-1820,3.73,slabɑs,bear,slabas
clics-doculect-37-109,chew1245-std,concepticon-1290,3.77,gajah,elephant,gajah
clics-doculect-37-110,chew1245-std,concepticon-1392,3.811,cɛʔ,louse,ce?
clics-doculect-37-111,chew1245-std,concepticon-267,3.812,ktuət,nit (louse egg),ktu@t
clics-doculect-37-112,chew1245-std,concepticon-232,3.813,cɛʔʔɛ̃ŋ,flea,ce??eNG
clics-doculect-37-113,chew1245-std,concepticon-1974,3.814,kəʔɛp,centipede,k@?ep
clics-doculect-37-114,chew1245-std,concepticon-1538,3.815,caŋkiyɛ̃ʔ,scorpion,caNGkiye?
clics-doculect-37-115,chew1245-std,concepticon-1575,3.816,sdɛʔ,cockroach,sde?
clics-doculect-37-116,chew1245-std,concepticon-587,3.817,lɑs,ant,las
clics-doculect-37-117,chew1245-std,concepticon-843,3.818,cambɨŋ,spider,cambiNG
clics-doculect-37-118,chew1245-std,concepticon-1065,3.819,sɔmcambɨŋ,spider web,somcambiNG
clics-doculect-37-119,chew1245-std,concepticon-665,3.82,lway,bee,lway
clics-doculect-37-120,chew1245-std,concepticon-1931,3.821,saraŋlway,beeswax,saraNGlway
clics-doculect-37-121,chew1245-std,concepticon-88,3.822,saraŋlway,beehive,saraNGlway
clics-doculect-37-122,chew1245-std,concepticon-1504,3.83,yay,fly,yay
clics-doculect-37-123,chew1245-std,concepticon-95,3.831,kmɨ̃thmɛ̃c,"sandfly (midge), gnat",kmithmec
clics-doculect-37-124,chew1245-std,concepticon-95,3.831,kboŋ,"sandfly (midge), gnat",kboNG
clics-doculect-37-125,chew1245-std,concepticon-1509,3.832,kmɨ̃t,mosquito,kmit
clics-doculect-37-126,chew1245-std,concepticon-1219,3.84,caceŋ,worm,caceNG
clics-doculect-37-127,chew1245-std,concepticon-730,3.85,talon,snake,talon
clics-doculect-37-128,chew1245-std,concepticon-206,3.91,ktlət,firefly,ktl@t
clics-doculect-37-129,chew1245-std,concepticon-1791,3.92,lkwɔk,butterfly,lkwok
clics-doculect-37-130,chew1245-std,concepticon-607,3.93,balaŋ,grasshopper,balaNG
clics-doculect-37-131,chew1245-std,concepticon-1543,3.94,siput,snail,siput
clics-doculect-37-132,chew1245-std,concepticon-503,3.95,katak,frog,katak
clics-doculect-37-133,chew1245-std,concepticon-1857,3.97,bahayaʔ,"crocodile, alligator",bahaya?
clics-doculect-37-134,chew1245-std,concepticon-763,4.12,hoʔ,"skin, hide",ho?
clics-doculect-37-135,chew1245-std,concepticon-2259,4.13,sac,flesh,sac
clics-doculect-37-136,chew1245-std,concepticon-1040,4.14,sɔk,hair (head),sok
clics-doculect-37-137,chew1245-std,concepticon-189,4.144,sɔk,body hair,sok
clics-doculect-37-138,chew1245-std,concepticon-36,4.145,sɔk,pubic hair,sok
clics-doculect-37-139,chew1245-std,concepticon-946,4.15,mhə̃m,blood,mh@m
clics-doculect-37-140,chew1245-std,concepticon-525,4.151,ʔurat,"vein, artery",?urat
clics-doculect-37-141,chew1245-std,concepticon-1394,4.16,jəʔeŋ,bone,j@?eNG
clics-doculect-37-142,chew1245-std,concepticon-801,4.162,crɨs,rib,cris
clics-doculect-37-143,chew1245-std,concepticon-1393,4.17,tanok,horn,tanok
clics-doculect-37-144,chew1245-std,concepticon-1220,4.18,hateʔ,tail,hate?
clics-doculect-37-145,chew1245-std,concepticon-1291,4.19,hŋkɨŋ,back,hNGkiNG
clics-doculect-37-146,chew1245-std,concepticon-805,4.191,jəʔeŋhŋkɨŋ,spine,j@?eNGhNGkiNG
clics-doculect-37-147,chew1245-std,concepticon-1256,4.2,kuy,head,kuy
clics-doculect-37-148,chew1245-std,concepticon-1605,4.202,jəʔeŋkyɛm,skull,j@?eNGkyem
clics-doculect-37-149,chew1245-std,concepticon-1583,4.203,kyɛm,brain,kyem
clics-doculect-37-150,chew1245-std,concepticon-1560,4.204,hŋgɔs,face,hNGgos
clics-doculect-37-151,chew1245-std,concepticon-123,4.205,btɨʔ,forehead,bti?
clics-doculect-37-152,chew1245-std,concepticon-798,4.207,jaŋkwɛ̃ʔ,jaw,jaNGkwe?
clics-doculect-37-153,chew1245-std,concepticon-1730,4.208,mɛ̃ŋ,cheek,meNG
clics-doculect-37-154,chew1245-std,concepticon-1510,4.209,jaŋkwɛ̃ʔ,chin,jaNGkwe?
clics-doculect-37-155,chew1245-std,concepticon-1248,4.21,mɛ̃t,eye,met
clics-doculect-37-156,chew1245-std,concepticon-1173,4.212,cymɨ̃y,eyebrow,cymiy
clics-doculect-37-157,chew1245-std,concepticon-17,4.213,hoʔmɛ̃t,eyelid,ho?met
clics-doculect-37-158,chew1245-std,concepticon-1540,4.214,sɔkmɛ̃t,eyelash,sokmet
clics-doculect-37-159,chew1245-std,concepticon-1655,4.215,kilep,blink,kilep
clics-doculect-37-160,chew1245-std,concepticon-1247,4.22,hntəŋ,ear,hnt@NG
clics-doculect-37-161,chew1245-std,concepticon-18,4.221,haleʔhntəŋ,earlobe,hale?hnt@NG
clics-doculect-37-162,chew1245-std,concepticon-32,4.222,ʔachntəŋ,earwax,?achnt@NG
clics-doculect-37-163,chew1245-std,concepticon-1221,4.23,mɔ̃h,nose,moh
clics-doculect-37-164,chew1245-std,concepticon-1178,4.231,daraŋmɔ̃h,nostril,daraNGmoh
clics-doculect-37-165,chew1245-std,concepticon-208,4.232,biʔhawar,mucus (nasal),bi?hawar
clics-doculect-37-166,chew1245-std,concepticon-674,4.24,hɑɲ,mouth,han
clics-doculect-37-167,chew1245-std,concepticon-73,4.241,paroh,beak,paroh
clics-doculect-37-168,chew1245-std,concepticon-478,4.25,hoʔhɑɲ,lip,ho?han
clics-doculect-37-169,chew1245-std,concepticon-1205,4.26,latek,tongue,latek
clics-doculect-37-170,chew1245-std,concepticon-1380,4.27,lmũɲ,tooth,lmun
clics-doculect-37-171,chew1245-std,concepticon-139,4.271,saclmũɲ,gums,saclmun
clics-doculect-37-172,chew1245-std,concepticon-1049,4.272,taŋgəm,molartooth,taNGg@m
clics-doculect-37-173,chew1245-std,concepticon-1333,4.28,lŋɛ̃ʔ,neck,lNGe?
clics-doculect-37-174,chew1245-std,concepticon-1347,4.281,taŋkɔk,nape of neck,taNGkok
clics-doculect-37-175,chew1245-std,concepticon-1346,4.29,cnroŋ,throat,cnroNG
clics-doculect-37-176,chew1245-std,concepticon-1482,4.3,bahoʔ,shoulder,baho?
