ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-129-1,chip1262-std,concepticon-626,1.21,yoḳa,"earth, land",yoka
clics-doculect-129-2,chip1262-std,concepticon-1228,1.212,yoḳa,"earth=ground, soil",yoka
clics-doculect-129-3,chip1262-std,concepticon-2,1.213,ṣ̌ḳeti,dust,sketi
clics-doculect-129-4,chip1262-std,concepticon-640,1.214,lxoki,mud,lxoki
clics-doculect-129-5,chip1262-std,concepticon-671,1.215,pʰila,sand,pkila
clics-doculect-129-6,chip1262-std,concepticon-2118,1.22,kuru,"mountain, hill",kuru
clics-doculect-129-7,chip1262-std,concepticon-652,1.23,šḳala,"plain, field",skala
clics-doculect-129-8,chip1262-std,concepticon-948,1.31,ḳʰaš,water,kkas
clics-doculect-129-9,chip1262-std,concepticon-258,1.322,šexḳ,calm (of sea),sexk
clics-doculect-129-10,chip1262-std,concepticon-1768,1.324,č̣ˀutu,foam,c?utu
clics-doculect-129-11,chip1262-std,concepticon-624,1.33,x̣oči,lake,xoci
clics-doculect-129-12,chip1262-std,concepticon-978,1.35,lxoḳxi,wave,lxokxi
clics-doculect-129-13,chip1262-std,concepticon-666,1.36,puxu,"river, stream, brook",puxu
clics-doculect-129-14,chip1262-std,concepticon-2144,1.37,pʰoma,"spring, well",pkoma
clics-doculect-129-15,chip1262-std,concepticon-2144,1.37,tux,"spring, well",tux
clics-doculect-129-16,chip1262-std,concepticon-420,1.41,muntinaka,"woods, forest",muntinaka
clics-doculect-129-18,chip1262-std,concepticon-1803,1.43,para,wood,para
clics-doculect-129-19,chip1262-std,concepticon-2125,1.44,č̣ara,"stone, rock",cara
clics-doculect-129-20,chip1262-std,concepticon-2125,1.44,maš,"stone, rock",mas
clics-doculect-129-21,chip1262-std,concepticon-1732,1.51,arax̣pača,sky,araxpaca
clics-doculect-129-22,chip1262-std,concepticon-1732,1.51,pača,sky,paca
clics-doculect-129-23,chip1262-std,concepticon-1343,1.52,tʰuɲi,sun,tkuni
clics-doculect-129-24,chip1262-std,concepticon-1313,1.53,xiiš,moon,xiis
clics-doculect-129-25,chip1262-std,concepticon-1430,1.54,warawara,star,warawara
clics-doculect-129-26,chip1262-std,concepticon-1654,1.55,lʸiwxlʸiwxɲi,lightning,lyiwxlyiwxni
clics-doculect-129-27,chip1262-std,concepticon-1150,1.56,xorxorɲi,thunder,xorxorni
clics-doculect-129-28,chip1262-std,concepticon-858,1.58,pʰursantitʰami,storm,pkursantitkami
clics-doculect-129-29,chip1262-std,concepticon-1733,1.59,kumari,rainbow,kumari
clics-doculect-129-30,chip1262-std,concepticon-630,1.61,kx̣ana,light (noun),kxana
clics-doculect-129-31,chip1262-std,concepticon-11,1.62,ṣumči,darkness,sumci
clics-doculect-129-32,chip1262-std,concepticon-1388,1.63,šiwš,"shade, shadow",siws
clics-doculect-129-33,chip1262-std,concepticon-1977,1.64,pʰewi,dew,pkewi
clics-doculect-129-34,chip1262-std,concepticon-27,1.71,kera,air,kera
clics-doculect-129-35,chip1262-std,concepticon-960,1.72,tʰami,wind,tkami
clics-doculect-129-36,chip1262-std,concepticon-1489,1.73,c̷xiri,cloud,cxiri
clics-doculect-129-37,chip1262-std,concepticon-658,1.75,čixɲi,rain (noun),cixni
clics-doculect-129-38,chip1262-std,concepticon-784,1.76,ḳʰatɲi,snow (noun),kkatni
clics-doculect-129-39,chip1262-std,concepticon-617,1.77,uyi,ice,uyi
clics-doculect-129-40,chip1262-std,concepticon-221,1.81,ux,fire,ux
clics-doculect-129-41,chip1262-std,concepticon-778,1.83,ṣ̌ḳeti,smoke (noun),sketi
clics-doculect-129-42,chip1262-std,concepticon-646,1.84,ḳʰup,ashes,kkup
clics-doculect-129-43,chip1262-std,concepticon-67,1.841,uxparasa,embers,uxparasa
clics-doculect-129-44,chip1262-std,concepticon-141,1.851,tanḳat,burn (vb trans),tankat
clics-doculect-129-45,chip1262-std,concepticon-141,1.851,tʰapš,burn (vb trans),tkaps
clics-doculect-129-46,chip1262-std,concepticon-1428,1.852,tʰapš,burn (vb intrans),tkaps
clics-doculect-129-47,chip1262-std,concepticon-737,1.86,pekš,"light, kindle, ignite",peks
clics-doculect-129-48,chip1262-std,concepticon-737,1.86,uxpeḳš,"light, kindle, ignite",uxpeks
clics-doculect-129-49,chip1262-std,concepticon-10,1.88,ṣ̌up,firewood,sup
clics-doculect-129-50,chip1262-std,concepticon-683,2.1,ṣ̌oɲi,"person, human being",soni
clics-doculect-129-51,chip1262-std,concepticon-1554,2.21,luktaḳa,man (vs. woman),luktaka
clics-doculect-129-52,chip1262-std,concepticon-1554,2.21,ṣ̌oɲi,man (vs. woman),soni
clics-doculect-129-53,chip1262-std,concepticon-962,2.22,maataḳa,woman,maataka
clics-doculect-129-54,chip1262-std,concepticon-962,2.22,ṣ̌on,woman,son
clics-doculect-129-55,chip1262-std,concepticon-1553,2.23,ker,male,ker
clics-doculect-129-56,chip1262-std,concepticon-1553,2.23,keru,male,keru
clics-doculect-129-57,chip1262-std,concepticon-1551,2.24,lxata,female,lxata
clics-doculect-129-58,chip1262-std,concepticon-1366,2.25,lukmaxč,boy,lukmaxc
clics-doculect-129-59,chip1262-std,concepticon-76,2.251,pˀišu,young man (adolescent),p?isu
clics-doculect-129-60,chip1262-std,concepticon-1646,2.26,uš,girl,us
clics-doculect-129-61,chip1262-std,concepticon-77,2.261,pˀiš,young woman (adolescent),p?is
clics-doculect-129-62,chip1262-std,concepticon-77,2.261,tur,young woman (adolescent),tur
clics-doculect-129-63,chip1262-std,concepticon-77,2.261,tura,young woman (adolescent),tura
clics-doculect-129-64,chip1262-std,concepticon-1304,2.27,lukmaxč,child,lukmaxc
clics-doculect-129-65,chip1262-std,concepticon-1289,2.28,čula,"infant, baby",cula
clics-doculect-129-66,chip1262-std,concepticon-1200,2.31,luko,husband,luko
clics-doculect-129-67,chip1262-std,concepticon-1200,2.31,luktaḳa,husband,luktaka
clics-doculect-129-68,chip1262-std,concepticon-1199,2.32,tʰun,wife,tkun
clics-doculect-129-69,chip1262-std,concepticon-203,2.33,šalš,marry,sals
clics-doculect-129-70,chip1262-std,concepticon-1259,2.34,šalšpʰixšta,"marriage, wedding",salspkixsta
clics-doculect-129-71,chip1262-std,concepticon-1134,2.341,xalxtaš,divorce,xalxtas
clics-doculect-129-72,chip1262-std,concepticon-1217,2.35,exp,father,exp
clics-doculect-129-73,chip1262-std,concepticon-1216,2.36,mama,mother,mama
clics-doculect-129-74,chip1262-std,concepticon-1216,2.36,maa,mother,maa
clics-doculect-129-75,chip1262-std,concepticon-505,2.37,maaexp,parents,maaexp
clics-doculect-129-76,chip1262-std,concepticon-424,2.38,luktaḳa,married man,luktaka
clics-doculect-129-77,chip1262-std,concepticon-426,2.39,tʰun,married woman,tkun
clics-doculect-129-78,chip1262-std,concepticon-1620,2.41,maxč,son,maxc
clics-doculect-129-79,chip1262-std,concepticon-1357,2.42,maxt,daughter,maxt
clics-doculect-129-80,chip1262-std,concepticon-1801,2.43,mati,offspring (son or daughter),mati
clics-doculect-129-81,chip1262-std,concepticon-1262,2.44,xila,brother,xila
clics-doculect-129-82,chip1262-std,concepticon-1759,2.444,xila,older brother,xila
clics-doculect-129-83,chip1262-std,concepticon-1760,2.445,laxk,younger brother,laxk
clics-doculect-129-84,chip1262-std,concepticon-1263,2.45,kulʸaka,sister,kulyaka
clics-doculect-129-85,chip1262-std,concepticon-1761,2.455,laxk,younger sister,laxk
clics-doculect-129-86,chip1262-std,concepticon-1005,2.458,pača,twins,paca
clics-doculect-129-87,chip1262-std,concepticon-1383,2.46,matɲilʸa,grandfather,matnilya
clics-doculect-129-88,chip1262-std,concepticon-406,2.461,čawk,old man,cawk
clics-doculect-129-89,chip1262-std,concepticon-406,2.461,čawkʷa,old man,cawkwa
clics-doculect-129-90,chip1262-std,concepticon-1496,2.47,matilʸa,grandmother,matilya
clics-doculect-129-91,chip1262-std,concepticon-907,2.471,čawkʷa,old woman,cawkwa
clics-doculect-129-92,chip1262-std,concepticon-907,2.471,matilʸa,old woman,matilya
clics-doculect-129-93,chip1262-std,concepticon-1327,2.51,tulu,uncle,tulu
clics-doculect-129-94,chip1262-std,concepticon-1272,2.52,ipala,aunt,ipala
clics-doculect-129-95,chip1262-std,concepticon-1272,2.52,upli,aunt,upli
clics-doculect-129-96,chip1262-std,concepticon-1272,2.52,malaḳa,aunt,malaka
clics-doculect-129-97,chip1262-std,concepticon-2255,2.61,axmušexp,father-in-law (of a man),axmusexp
clics-doculect-129-98,chip1262-std,concepticon-2254,2.611,ḳʰiɲi,father-in-law (of a woman),kkini
clics-doculect-129-99,chip1262-std,concepticon-2256,2.62,axmušmaa,mother-in-law (of a man),axmusmaa
clics-doculect-129-100,chip1262-std,concepticon-2267,2.63,waši,son-in-law (of a man),wasi
clics-doculect-129-101,chip1262-std,concepticon-237,2.71,wiriexp,stepfather,wiriexp
clics-doculect-129-102,chip1262-std,concepticon-236,2.72,wirimaa,stepmother,wirimaa
clics-doculect-129-103,chip1262-std,concepticon-1149,2.75,axara,orphan,axara
clics-doculect-129-104,chip1262-std,concepticon-1756,2.76,ṣ̌ew,widow,sew
clics-doculect-129-105,chip1262-std,concepticon-1981,2.77,ṣ̌ewa,widower,sewa
clics-doculect-129-106,chip1262-std,concepticon-1209,2.91,werx,I,werx
clics-doculect-129-107,chip1262-std,concepticon-1209,2.91,wexrki,I,wexrki
clics-doculect-129-108,chip1262-std,concepticon-1215,2.92,am,you (singular),am
clics-doculect-129-109,chip1262-std,concepticon-262,2.93,tii,he/she/it,tii
clics-doculect-129-110,chip1262-std,concepticon-262,2.93,nii,he/she/it,nii
clics-doculect-129-111,chip1262-std,concepticon-262,2.93,naa,he/she/it,naa
clics-doculect-129-112,chip1262-std,concepticon-1131,2.941,uč̣um,we (inclusive),ucum
clics-doculect-129-113,chip1262-std,concepticon-1130,2.942,wexrnaka,we (exclusive),wexrnaka
clics-doculect-129-114,chip1262-std,concepticon-1213,2.95,anč̣ʰuk,you (plural),anckuk
clics-doculect-129-115,chip1262-std,concepticon-817,2.96,ninaka,they,ninaka
clics-doculect-129-116,chip1262-std,concepticon-2261,3.12,ker,male (adj),ker
clics-doculect-129-117,chip1262-std,concepticon-2262,3.13,lxat,female (adj),lxat
clics-doculect-129-118,chip1262-std,concepticon-649,3.16,axk,pasture,axk
clics-doculect-129-119,chip1262-std,concepticon-649,3.16,x̣oṣ̌a,pasture,xosa
clics-doculect-129-120,chip1262-std,concepticon-263,3.18,awatiri,herdsman,awatiri
clics-doculect-129-121,chip1262-std,concepticon-1337,3.35,ḳiri,pig,kiri
clics-doculect-129-122,chip1262-std,concepticon-1337,3.35,kˀami,pig,k?ami
clics-doculect-129-123,chip1262-std,concepticon-1511,3.52,kerwalʸpa,"cock, rooster",kerwalypa
clics-doculect-129-124,chip1262-std,concepticon-1514,3.54,lxatwalʸpa,hen,lxatwalypa
clics-doculect-129-125,chip1262-std,concepticon-1318,3.55,walʸpa,chicken,walypa
clics-doculect-129-126,chip1262-std,concepticon-1360,3.57,ḳaša,duck,kasa
clics-doculect-129-127,chip1262-std,concepticon-539,3.58,tʰura,nest,tkura
clics-doculect-129-128,chip1262-std,concepticon-937,3.581,weṣ̌la,bird,wesla
clics-doculect-129-129,chip1262-std,concepticon-307,3.585,ṣ̌ḳara,hawk,skara
clics-doculect-129-130,chip1262-std,concepticon-307,3.585,mamani,hawk,mamani
clics-doculect-129-131,chip1262-std,concepticon-1793,3.591,čiɲa,bat,cina
clics-doculect-129-132,chip1262-std,concepticon-735,3.596,ḳoṣ̌ka,owl,koska
clics-doculect-129-133,chip1262-std,concepticon-2009,3.61,paḳu,dog,paku
clics-doculect-129-134,chip1262-std,concepticon-2139,3.63,ačiku,"mouse, rat",aciku
clics-doculect-129-135,chip1262-std,concepticon-2139,3.63,ačuku,"mouse, rat",acuku
clics-doculect-129-136,chip1262-std,concepticon-227,3.65,čˀiš,fish,c?is
clics-doculect-129-137,chip1262-std,concepticon-227,3.65,c̷ˀirḳa,fish,c?irka
clics-doculect-129-138,chip1262-std,concepticon-1312,3.74,ḳiti,fox,kiti
clics-doculect-129-139,chip1262-std,concepticon-1392,3.811,sami,louse,sami
clics-doculect-129-140,chip1262-std,concepticon-267,3.812,sḳora,nit (louse egg),skora
clics-doculect-129-141,chip1262-std,concepticon-1538,3.815,yeḳˀačuŋkʰa,scorpion,yek?acuNGkka
clics-doculect-129-142,chip1262-std,concepticon-587,3.817,kˀišimiri,ant,k?isimiri
clics-doculect-129-143,chip1262-std,concepticon-843,3.818,kalʸakalʸa,spider,kalyakalya
clics-doculect-129-144,chip1262-std,concepticon-1517,3.823,uxuxɲi,wasp,uxuxni
clics-doculect-129-145,chip1262-std,concepticon-1504,3.83,lorakana,fly,lorakana
clics-doculect-129-146,chip1262-std,concepticon-95,3.831,smoya,"sandfly (midge), gnat",smoya
clics-doculect-129-147,chip1262-std,concepticon-730,3.85,šḳora,snake,skora
clics-doculect-129-148,chip1262-std,concepticon-1791,3.92,pilpinti,butterfly,pilpinti
clics-doculect-129-149,chip1262-std,concepticon-503,3.95,škiča,frog,skica
clics-doculect-129-150,chip1262-std,concepticon-632,3.96,pʰixšḳa,lizard,pkixska
clics-doculect-129-151,chip1262-std,concepticon-1480,4.11,xanči,body,xanci
clics-doculect-129-152,chip1262-std,concepticon-763,4.12,šḳiši,"skin, hide",skisi
clics-doculect-129-153,chip1262-std,concepticon-2259,4.13,čʰišwi,flesh,ckiswi
clics-doculect-129-154,chip1262-std,concepticon-1040,4.14,čara,hair (head),cara
clics-doculect-129-155,chip1262-std,concepticon-678,4.142,šip,beard,sip
clics-doculect-129-156,chip1262-std,concepticon-678,4.142,šipš,beard,sips
clics-doculect-129-157,chip1262-std,concepticon-189,4.144,šakra,body hair,sakra
clics-doculect-129-158,chip1262-std,concepticon-36,4.145,šara,pubic hair,sara
clics-doculect-129-159,chip1262-std,concepticon-576,4.146,ḳʰixrpa,dandruff,kkixrpa
clics-doculect-129-160,chip1262-std,concepticon-946,4.15,lxok,blood,lxok
clics-doculect-129-161,chip1262-std,concepticon-525,4.151,č̣ˀiwu,"vein, artery",c?iwu
clics-doculect-129-162,chip1262-std,concepticon-1394,4.16,c̷ʰix,bone,ckix
clics-doculect-129-163,chip1262-std,concepticon-801,4.162,paki,rib,paki
clics-doculect-129-164,chip1262-std,concepticon-1393,4.17,irkeirke,horn,irkeirke
clics-doculect-129-165,chip1262-std,concepticon-1220,4.18,kʰurš,tail,kkurs
clics-doculect-129-166,chip1262-std,concepticon-1291,4.19,tax,back,tax
clics-doculect-129-167,chip1262-std,concepticon-805,4.191,tax,spine,tax
clics-doculect-129-168,chip1262-std,concepticon-1256,4.2,ača,head,aca
clics-doculect-129-169,chip1262-std,concepticon-1605,4.202,ačc̷ʰix,skull,acckix
clics-doculect-129-170,chip1262-std,concepticon-1583,4.203,šḳʰex̣pla,brain,skkexpla
clics-doculect-129-171,chip1262-std,concepticon-1560,4.204,yuxk,face,yuxk
clics-doculect-129-172,chip1262-std,concepticon-123,4.205,aya,forehead,aya
clics-doculect-129-173,chip1262-std,concepticon-1730,4.208,yuxklatu,cheek,yuxklatu
clics-doculect-129-174,chip1262-std,concepticon-1248,4.21,č̣ʰuxki,eye,ckuxki
clics-doculect-129-175,chip1262-std,concepticon-17,4.213,č̣ʰuxkata,eyelid,ckuxkata
clics-doculect-129-176,chip1262-std,concepticon-1540,4.214,č̣ʰuxkc̷ems,eyelash,ckuxkcems
clics-doculect-129-177,chip1262-std,concepticon-1655,4.215,čˀipinš,blink,c?ipins
clics-doculect-129-178,chip1262-std,concepticon-1247,4.22,kʰuɲi,ear,kkuni
clics-doculect-129-179,chip1262-std,concepticon-18,4.221,kʰuɲlapʰi,earlobe,kkunlapki
clics-doculect-129-180,chip1262-std,concepticon-1221,4.23,oša,nose,osa
clics-doculect-129-181,chip1262-std,concepticon-1178,4.231,ošpʰeta,nostril,ospketa
clics-doculect-129-182,chip1262-std,concepticon-208,4.232,oša,mucus (nasal),osa
clics-doculect-129-183,chip1262-std,concepticon-674,4.24,ata,mouth,ata
clics-doculect-129-184,chip1262-std,concepticon-73,4.241,oša,beak,osa
clics-doculect-129-185,chip1262-std,concepticon-478,4.25,atpulu,lip,atpulu
clics-doculect-129-186,chip1262-std,concepticon-1205,4.26,las,tongue,las
clics-doculect-129-187,chip1262-std,concepticon-1380,4.27,iṣ̌ḳe,tooth,iske
clics-doculect-129-188,chip1262-std,concepticon-1049,4.272,iṣ̌ḳe,molartooth,iske
clics-doculect-129-189,chip1262-std,concepticon-1333,4.28,ḳaši,neck,kasi
clics-doculect-129-190,chip1262-std,concepticon-1347,4.281,tota,nape of neck,tota
clics-doculect-129-191,chip1262-std,concepticon-1346,4.29,x̣ora,throat,xora
clics-doculect-129-192,chip1262-std,concepticon-1482,4.3,ɲiɲi,shoulder,nini
clics-doculect-129-193,chip1262-std,concepticon-172,4.301,asḳara,shoulderblade,askara
clics-doculect-129-194,chip1262-std,concepticon-1673,4.31,ḳx̣arwičˀu,arm,kxarwic?u
clics-doculect-129-195,chip1262-std,concepticon-981,4.32,kʰuxc̷,elbow,kkuxc
clics-doculect-129-196,chip1262-std,concepticon-799,4.321,ḳx̣armoko,wrist,kxarmoko
clics-doculect-129-197,chip1262-std,concepticon-1277,4.33,ḳxara,hand,kxara
clics-doculect-129-198,chip1262-std,concepticon-1183,4.331,ḳx̣arkota,palm of hand,kxarkota
clics-doculect-129-199,chip1262-std,concepticon-1303,4.34,lokˀana,finger,lok?ana
clics-doculect-129-200,chip1262-std,concepticon-1781,4.342,čaxʷkšmari,thumb,caxwksmari
clics-doculect-129-201,chip1262-std,concepticon-1258,4.344,isɲi,fingernail,isni
clics-doculect-129-202,chip1262-std,concepticon-1297,4.35,lis,leg,lis
clics-doculect-129-203,chip1262-std,concepticon-800,4.351,č̣oḳḳome,thigh,cokkome
clics-doculect-129-204,chip1262-std,concepticon-498,4.352,tˀušu,calf of leg,t?usu
clics-doculect-129-205,chip1262-std,concepticon-1371,4.36,owa,knee,owa
clics-doculect-129-206,chip1262-std,concepticon-1301,4.37,ḳx̣oxča,foot,kxoxca
clics-doculect-129-207,chip1262-std,concepticon-1389,4.38,lokˀana,toe,lok?ana
clics-doculect-129-208,chip1262-std,concepticon-1257,4.392,ḳx̣ara,wing,kxara
clics-doculect-129-209,chip1262-std,concepticon-1201,4.393,pʰaši,feather,pkasi
clics-doculect-129-210,chip1262-std,concepticon-1592,4.4,keka,chest,keka
clics-doculect-129-211,chip1262-std,concepticon-1402,4.41,piš,breast (of woman),pis
clics-doculect-129-212,chip1262-std,concepticon-796,4.412,piš,"nipple, teat",pis
clics-doculect-129-213,chip1262-std,concepticon-1838,4.43,toɲi,navel,toni
clics-doculect-129-214,chip1262-std,concepticon-1223,4.44,ḳuš,heart,kus
clics-doculect-129-215,chip1262-std,concepticon-1223,4.44,tuši,heart,tusi
clics-doculect-129-216,chip1262-std,concepticon-688,4.441,č̣ʰoxri,lung,ckoxri
clics-doculect-129-217,chip1262-std,concepticon-1224,4.45,pʰaaxtš,liver,pkaaxts
clics-doculect-129-218,chip1262-std,concepticon-489,4.451,škoši,kidney,skosi
clics-doculect-129-219,chip1262-std,concepticon-819,4.46,pʰuč,stomach,pkuc
clics-doculect-129-220,chip1262-std,concepticon-1991,4.461,walu,"intestines, guts",walu
clics-doculect-129-221,chip1262-std,concepticon-1745,4.463,tarš,hip,tars
clics-doculect-129-222,chip1262-std,concepticon-834,4.464,wiri,buttocks,wiri
clics-doculect-129-223,chip1262-std,concepticon-804,4.47,ikš,womb,iks
clics-doculect-129-224,chip1262-std,concepticon-797,4.49,šiɲi,testicle,sini
clics-doculect-129-225,chip1262-std,concepticon-1222,4.492,ḳʰixški,penis,kkixski
clics-doculect-129-226,chip1262-std,concepticon-1407,4.51,xex,"breathe, breath",xex
clics-doculect-129-227,chip1262-std,concepticon-1407,4.51,xexa,"breathe, breath",xexa
clics-doculect-129-228,chip1262-std,concepticon-162,4.521,xikˀiš,hiccough,xik?is
clics-doculect-129-229,chip1262-std,concepticon-879,4.53,tʰapi,cough,tkapi
clics-doculect-129-230,chip1262-std,concepticon-1621,4.54,xačˀiš,sneeze,xac?is
clics-doculect-129-231,chip1262-std,concepticon-126,4.55,pʰalanš,perspire,pkalans
clics-doculect-129-232,chip1262-std,concepticon-126,4.55,pʰats,perspire,pkats
clics-doculect-129-233,chip1262-std,concepticon-1440,4.56,tʰuxtš,spit,tkuxts
clics-doculect-129-234,chip1262-std,concepticon-1440,4.56,lomi,spit,lomi
clics-doculect-129-235,chip1262-std,concepticon-1440,4.56,tʰaxrki,spit,tkaxrki
clics-doculect-129-236,chip1262-std,concepticon-1278,4.57,x̣otš,vomit,xots
clics-doculect-129-237,chip1262-std,concepticon-1403,4.58,tʰup,bite,tkup
clics-doculect-129-238,chip1262-std,concepticon-1403,4.58,č̣ˀatš,bite,c?ats
clics-doculect-129-239,chip1262-std,concepticon-319,4.59,is,lick,is
clics-doculect-129-240,chip1262-std,concepticon-1585,4.61,tx̣ax̣,sleep,txax
clics-doculect-129-241,chip1262-std,concepticon-1983,4.612,x̣oranš,snore,xorans
clics-doculect-129-242,chip1262-std,concepticon-1920,4.62,wiya,dream,wiya
clics-doculect-129-243,chip1262-std,concepticon-1602,4.63,waxt,wake up,waxt
clics-doculect-129-244,chip1262-std,concepticon-1159,4.64,č̣ʰixc̷,break wind,ckixc
clics-doculect-129-245,chip1262-std,concepticon-592,4.65,šawxš,urinate,sawxs
clics-doculect-129-246,chip1262-std,concepticon-592,4.65,šaxwi,urinate,saxwi
clics-doculect-129-247,chip1262-std,concepticon-592,4.65,šawxwi,urinate,sawxwi
clics-doculect-129-248,chip1262-std,concepticon-676,4.66,ṣ̌ḳonš,defecate,skons
clics-doculect-129-249,chip1262-std,concepticon-1785,4.67,ɲekš,have sexual intercourse,neks
clics-doculect-129-250,chip1262-std,concepticon-1785,4.67,iš,have sexual intercourse,is
clics-doculect-129-251,chip1262-std,concepticon-52,4.68,čeḳʰinš,shiver,cekkins
clics-doculect-129-252,chip1262-std,concepticon-138,4.69,awxs,bathe,awxs
clics-doculect-129-253,chip1262-std,concepticon-1152,4.71,expč̣a,beget (of father),expca
clics-doculect-129-254,chip1262-std,concepticon-1090,4.72,maxtš,born (to be),maxts
clics-doculect-129-255,chip1262-std,concepticon-1090,4.72,torš,born (to be),tors
clics-doculect-129-256,chip1262-std,concepticon-1123,4.73,ik,pregnant,ik
clics-doculect-129-257,chip1262-std,concepticon-1422,4.74,ṣ̌etš,"live, living, life",sets
clics-doculect-129-258,chip1262-std,concepticon-1422,4.74,ṣ̌eti,"live, living, life",seti
clics-doculect-129-259,chip1262-std,concepticon-1494,4.75,tikš,"die, dead",tiks
clics-doculect-129-260,chip1262-std,concepticon-1494,4.75,tikč̣a,"die, dead",tikca
clics-doculect-129-261,chip1262-std,concepticon-1904,4.751,šḳexḳš,drowned,skexks
clics-doculect-129-262,chip1262-std,concepticon-1417,4.76,kon,kill,kon
clics-doculect-129-263,chip1262-std,concepticon-767,4.77,šerwi,corpse,serwi
clics-doculect-129-264,chip1262-std,concepticon-785,4.81,aši,"strong, mighty, powerful",asi
clics-doculect-129-265,chip1262-std,concepticon-785,4.81,tʰupi,"strong, mighty, powerful",tkupi
clics-doculect-129-266,chip1262-std,concepticon-1601,4.82,šwxax̣li,weak,swxaxli
clics-doculect-129-267,chip1262-std,concepticon-1601,4.82,šwxax̣lu,weak,swxaxlu
clics-doculect-129-268,chip1262-std,concepticon-1364,4.83,ṣ̌etči,"well, health",setci
clics-doculect-129-269,chip1262-std,concepticon-1364,4.83,ṣ̌etiṣ̌exl,"well, health",setisexl
clics-doculect-129-270,chip1262-std,concepticon-1847,4.84,kona,"sick, sickness",kona
clics-doculect-129-271,chip1262-std,concepticon-1847,4.84,laa,"sick, sickness",laa
clics-doculect-129-272,chip1262-std,concepticon-1847,4.84,laači,"sick, sickness",laaci
clics-doculect-129-273,chip1262-std,concepticon-1534,4.841,č̣ˀuxlɲi,fever,c?uxlni
clics-doculect-129-274,chip1262-std,concepticon-102,4.843,pišti,cold (catarrh),pisti
clics-doculect-129-275,chip1262-std,concepticon-102,4.843,pištikona,cold (catarrh),pistikona
clics-doculect-129-276,chip1262-std,concepticon-1109,4.85,čʰoxritš,"wound, sore",ckoxrits
clics-doculect-129-277,chip1262-std,concepticon-1109,4.85,lʸaxa,"wound, sore",lyaxa
clics-doculect-129-278,chip1262-std,concepticon-1903,4.853,tʰuuš,swelling,tkuus
clics-doculect-129-279,chip1262-std,concepticon-1903,4.853,tʰuuči,swelling,tkuuci
clics-doculect-129-280,chip1262-std,concepticon-148,4.854,kʰixsinš,itch,kkixsins
clics-doculect-129-281,chip1262-std,concepticon-1584,4.855,pokulʸči,blister,pokulyci
clics-doculect-129-282,chip1262-std,concepticon-497,4.858,tˀiri,scar,t?iri
clics-doculect-129-283,chip1262-std,concepticon-499,4.86,ṣ̌etḳat,"cure, heal",setkat
clics-doculect-129-284,chip1262-std,concepticon-1372,4.88,ḳulʸa,"medicine, drug",kulya
