ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-67-1,cofa1242-std,concepticon-965,1.1,ãde,world,ade
clics-doculect-67-2,cofa1242-std,concepticon-626,1.21,ãde,"earth, land",ade
clics-doculect-67-3,cofa1242-std,concepticon-1228,1.212,ãde,"earth=ground, soil",ade
clics-doculect-67-4,cofa1242-std,concepticon-2,1.213,'ãdeʔsɨkʰɨ'tʰopaʔsɨ,dust,'ade?sikki'tkopa?si
clics-doculect-67-5,cofa1242-std,concepticon-640,1.214,c̷ʰipakʰɨ,mud,ckipakki
clics-doculect-67-6,cofa1242-std,concepticon-671,1.215,sisipa,sand,sisipa
clics-doculect-67-7,cofa1242-std,concepticon-2118,1.22,'kʰotʰaʔkʰo,"mountain, hill",'kkotka?kko
clics-doculect-67-8,cofa1242-std,concepticon-618,1.222,Φatʰokʰo,"cliff, precipice",Phatkokko
clics-doculect-67-9,cofa1242-std,concepticon-652,1.23,šošoβiãde,"plain, field",sosobiade
clics-doculect-67-10,cofa1242-std,concepticon-921,1.24,sĩhɨ̃kʰɨ,valley,sihikki
clics-doculect-67-11,cofa1242-std,concepticon-622,1.25,ã'tʰepoʔčo,island,a'tkepo?co
clics-doculect-67-12,cofa1242-std,concepticon-166,1.26,ãde,mainland,ade
clics-doculect-67-13,cofa1242-std,concepticon-113,1.27,otaΦa,shore,otaPha
clics-doculect-67-14,cofa1242-std,concepticon-1155,1.28,Φatʰokʰočãgo,cave,Phatkokkocago
clics-doculect-67-15,cofa1242-std,concepticon-948,1.31,c̷aʔkʰɨ,water,ca?kki
clics-doculect-67-16,cofa1242-std,concepticon-1474,1.32,rãdenaʔe,sea,radena?e
clics-doculect-67-17,cofa1242-std,concepticon-258,1.322,pʰĩpʰĩc̷ʰianaʔe,calm (of sea),pkipkickiana?e
clics-doculect-67-18,cofa1242-std,concepticon-259,1.323,šaβepac̷ʰianaʔe,rough (of sea),sabepackiana?e
clics-doculect-67-19,cofa1242-std,concepticon-1768,1.324,tʰõtʰõʔba,foam,tkotko?ba
clics-doculect-67-20,cofa1242-std,concepticon-645,1.329,rãdenaʔe,ocean,radena?e
clics-doculect-67-21,cofa1242-std,concepticon-624,1.33,'sĩgɨʔkʰɨ,lake,'sigi?kki
clics-doculect-67-22,cofa1242-std,concepticon-663,1.34,kataikʰɨ,"gulf, bay",kataikki
clics-doculect-67-23,cofa1242-std,concepticon-623,1.341,'sĩgɨʔkʰɨ,lagoon,'sigi?kki
clics-doculect-67-24,cofa1242-std,concepticon-1662,1.343,c̷ɨtʰoni,"headland, point",citkoni
clics-doculect-67-25,cofa1242-std,concepticon-978,1.35,šaβeʔpa,wave,sabe?pa
clics-doculect-67-26,cofa1242-std,concepticon-666,1.36,naʔe,"river, stream, brook",na?e
clics-doculect-67-27,cofa1242-std,concepticon-666,1.36,naiʔki,"river, stream, brook",nai?ki
clics-doculect-67-28,cofa1242-std,concepticon-666,1.36,aiʔhe,"river, stream, brook",ai?he
clics-doculect-67-29,cofa1242-std,concepticon-1982,1.362,Φẽc̷ĩdakʰɨ,whirlpool,Phecidakki
clics-doculect-67-30,cofa1242-std,concepticon-2144,1.37,c̷aʔkʰɨsõboʔtʰi,"spring, well",ca?kkisobo?tki
clics-doculect-67-31,cofa1242-std,concepticon-1145,1.38,c̷ɨtokʰɨ,swamp,citokki
clics-doculect-67-32,cofa1242-std,concepticon-1145,1.38,sihɨ̃kʰɨ,swamp,sihikki
clics-doculect-67-33,cofa1242-std,concepticon-943,1.39,õtɨhɨ̃kʰɨ,waterfall,otihikki
clics-doculect-67-34,cofa1242-std,concepticon-420,1.41,c̷ãpi,"woods, forest",capi
clics-doculect-67-36,cofa1242-std,concepticon-1803,1.43,'kiniʔkʰo,wood,'kini?kko
clics-doculect-67-37,cofa1242-std,concepticon-2125,1.44,patɨ,"stone, rock",pati
clics-doculect-67-38,cofa1242-std,concepticon-6,1.45,ãdeoya,earthquake,adeoya
clics-doculect-67-39,cofa1242-std,concepticon-1732,1.51,seΦakʰo,sky,sePhakko
clics-doculect-67-40,cofa1242-std,concepticon-1732,1.51,seΦani,sky,sePhani
clics-doculect-67-41,cofa1242-std,concepticon-1343,1.52,čiɣa,sun,ciga
clics-doculect-67-42,cofa1242-std,concepticon-1343,1.52,koehečiɣa,sun,koeheciga
clics-doculect-67-43,cofa1242-std,concepticon-1313,1.53,'koseʔsɨčiɣa,moon,'kose?siciga
clics-doculect-67-44,cofa1242-std,concepticon-1313,1.53,kʰoβɨ,moon,kkobi
clics-doculect-67-45,cofa1242-std,concepticon-1430,1.54,oʔΦe,star,o?Phe
clics-doculect-67-46,cofa1242-std,concepticon-1654,1.55,c̷ãdaβeyãẽ,lightning,cadabeyae
clics-doculect-67-47,cofa1242-std,concepticon-1150,1.56,c̷ãda,thunder,cada
clics-doculect-67-48,cofa1242-std,concepticon-2007,1.57,c̷ãdade,lightning (as striking),cadade
clics-doculect-67-49,cofa1242-std,concepticon-1733,1.59,ɨtʰɨΦasi,rainbow,itkiPhasi
clics-doculect-67-50,cofa1242-std,concepticon-630,1.61,aʔta,light (noun),a?ta
clics-doculect-67-51,cofa1242-std,concepticon-630,1.61,čʰãhieɲe,light (noun),ckahiene
clics-doculect-67-52,cofa1242-std,concepticon-630,1.61,atʰiaɲe,light (noun),atkiane
clics-doculect-67-53,cofa1242-std,concepticon-11,1.62,sĩtʰio,darkness,sitkio
clics-doculect-67-54,cofa1242-std,concepticon-11,1.62,siɲite,darkness,sinite
clics-doculect-67-55,cofa1242-std,concepticon-1388,1.63,tɨ̃biãkʰɨ,"shade, shadow",tibiakki
clics-doculect-67-56,cofa1242-std,concepticon-27,1.71,kʰɨẽǰaʔpa,air,kkieja?pa
clics-doculect-67-57,cofa1242-std,concepticon-960,1.72,Φĩgiã,wind,Phigia
clics-doculect-67-58,cofa1242-std,concepticon-1489,1.73,'ɨ̃hĩʔba,cloud,'ihi?ba
clics-doculect-67-59,cofa1242-std,concepticon-1489,1.73,sĩʔčotiʔo,cloud,si?coti?o
clics-doculect-67-60,cofa1242-std,concepticon-249,1.74,kʰɨ'tʰopaʔsi,fog,kki'tkopa?si
clics-doculect-67-61,cofa1242-std,concepticon-658,1.75,ɨ̃hĩ,rain (noun),ihi
clics-doculect-67-62,cofa1242-std,concepticon-784,1.76,čã'disɨʔkʰo,snow (noun),ca'disi?kko
clics-doculect-67-63,cofa1242-std,concepticon-617,1.77,čã'disɨʔkʰo,ice,ca'disi?kko
clics-doculect-67-64,cofa1242-std,concepticon-221,1.81,sĩʔge,fire,si?ge
clics-doculect-67-65,cofa1242-std,concepticon-889,1.82,sĩʔgeãčãdaʔheʔčo,flame (noun),si?geacada?he?co
clics-doculect-67-66,cofa1242-std,concepticon-778,1.83,'õΦẽʔba,smoke (noun),'oPhe?ba
clics-doculect-67-67,cofa1242-std,concepticon-646,1.84,kɨsepa,ashes,kisepa
clics-doculect-67-68,cofa1242-std,concepticon-67,1.841,sĩ'geteʔčo,embers,si'gete?co
clics-doculect-67-69,cofa1242-std,concepticon-67,1.841,teʔčo,embers,te?co
clics-doculect-67-70,cofa1242-std,concepticon-141,1.851,okeye,burn (vb trans),okeye
clics-doculect-67-71,cofa1242-std,concepticon-141,1.851,ãčãdãẽɲe,burn (vb trans),acadaene
clics-doculect-67-72,cofa1242-std,concepticon-1428,1.852,hɨʔrɨye,burn (vb intrans),hi?riye
clics-doculect-67-73,cofa1242-std,concepticon-1428,1.852,ãčãdaye,burn (vb intrans),acadaye
clics-doculect-67-74,cofa1242-std,concepticon-737,1.86,sec̷ãẽɲe,"light, kindle, ignite",secaene
clics-doculect-67-75,cofa1242-std,concepticon-127,1.861,Φiʔtʰiye,extinguish,Phi?tkiye
clics-doculect-67-76,cofa1242-std,concepticon-1133,1.87,sĩ'gekʰɨ,match (noun),si'gekki
clics-doculect-67-77,cofa1242-std,concepticon-10,1.88,siʔc̷i,firewood,si?ci
clics-doculect-67-78,cofa1242-std,concepticon-1188,1.89,teʔčo,charcoal,te?co
clics-doculect-67-79,cofa1242-std,concepticon-1188,1.89,sĩgeteʔčo,charcoal,sigete?co
clics-doculect-67-80,cofa1242-std,concepticon-683,2.1,aʔi,"person, human being",a?i
clics-doculect-67-81,cofa1242-std,concepticon-1554,2.21,c̷ãdie,man (vs. woman),cadie
clics-doculect-67-82,cofa1242-std,concepticon-962,2.22,pɨšesɨ,woman,pisesi
clics-doculect-67-83,cofa1242-std,concepticon-1553,2.23,kic̷aye,male,kicaye
clics-doculect-67-84,cofa1242-std,concepticon-1551,2.24,pɨše,female,pise
clics-doculect-67-85,cofa1242-std,concepticon-1366,2.25,c̷ãdiedɨʔšɨ,boy,cadiedi?si
clics-doculect-67-86,cofa1242-std,concepticon-76,2.251,dɨšɨʔo,young man (adolescent),disi?o
clics-doculect-67-87,cofa1242-std,concepticon-1646,2.26,pɨšesɨdɨʔšɨ,girl,pisesidi?si
clics-doculect-67-88,cofa1242-std,concepticon-77,2.261,pɨšesɨčɨʔa,young woman (adolescent),pisesici?a
clics-doculect-67-89,cofa1242-std,concepticon-1304,2.27,dɨʔšɨ,child,di?si
clics-doculect-67-90,cofa1242-std,concepticon-1289,2.28,aipano,"infant, baby",aipano
clics-doculect-67-91,cofa1242-std,concepticon-1289,2.28,dɨʔšɨ,"infant, baby",di?si
clics-doculect-67-92,cofa1242-std,concepticon-1200,2.31,c̷ãʔdɨ,husband,ca?di
clics-doculect-67-93,cofa1242-std,concepticon-1199,2.32,pɨše,wife,pise
clics-doculect-67-94,cofa1242-std,concepticon-203,2.33,ãtʰiaɲe,marry,atkiane
clics-doculect-67-95,cofa1242-std,concepticon-1259,2.34,ãtʰeʔčo,"marriage, wedding",atke?co
clics-doculect-67-96,cofa1242-std,concepticon-1134,2.341,'katiye,divorce,'katiye
clics-doculect-67-97,cofa1242-std,concepticon-1217,2.35,kic̷a,father,kica
clics-doculect-67-98,cofa1242-std,concepticon-1217,2.35,yaya,father,yaya
clics-doculect-67-99,cofa1242-std,concepticon-1216,2.36,čã,mother,ca
clics-doculect-67-100,cofa1242-std,concepticon-1216,2.36,mama,mother,mama
clics-doculect-67-101,cofa1242-std,concepticon-424,2.38,pɨšepa,married man,pisepa
clics-doculect-67-102,cofa1242-std,concepticon-426,2.39,c̷ãdɨpa,married woman,cadipa
clics-doculect-67-103,cofa1242-std,concepticon-1620,2.41,dɨc̷ʰiʔye,son,dicki?ye
clics-doculect-67-104,cofa1242-std,concepticon-1620,2.41,haričo,son,harico
clics-doculect-67-105,cofa1242-std,concepticon-1620,2.41,ari,son,ari
clics-doculect-67-106,cofa1242-std,concepticon-1357,2.42,õkẽ,daughter,oke
clics-doculect-67-107,cofa1242-std,concepticon-1357,2.42,õkẽʔge,daughter,oke?ge
clics-doculect-67-108,cofa1242-std,concepticon-1801,2.43,dɨʔšɨ,offspring (son or daughter),di?si
clics-doculect-67-109,cofa1242-std,concepticon-1801,2.43,haričopa,offspring (son or daughter),haricopa
clics-doculect-67-110,cofa1242-std,concepticon-1759,2.444,kĩǰa,older brother,kija
clics-doculect-67-111,cofa1242-std,concepticon-1760,2.445,kĩši,younger brother,kisi
clics-doculect-67-112,cofa1242-std,concepticon-1758,2.454,šeʔše,older sister,se?se
clics-doculect-67-113,cofa1242-std,concepticon-1761,2.455,keʔtʰe,younger sister,ke?tke
clics-doculect-67-114,cofa1242-std,concepticon-1640,2.456,ãtia,sibling,atia
clics-doculect-67-115,cofa1242-std,concepticon-1005,2.458,Φãẽʔgeisɨʔčo,twins,Phae?geisi?co
clics-doculect-67-116,cofa1242-std,concepticon-1383,2.46,yayakʰašeʔye,grandfather,yayakkase?ye
clics-doculect-67-117,cofa1242-std,concepticon-406,2.461,koẽd͜za'kʰašeʔye,old man,koed[?]za'kkase?ye
