ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-90-1,colo1256-std,concepticon-965,1.1,to,world,to
clics-doculect-90-2,colo1256-std,concepticon-626,1.21,to,"earth, land",to
clics-doculect-90-3,colo1256-std,concepticon-1228,1.212,to,"earth=ground, soil",to
clics-doculect-90-4,colo1256-std,concepticon-2,1.213,luʰ'ku,dust,luk'ku
clics-doculect-90-5,colo1256-std,concepticon-2,1.213,topo'yo,dust,topo'yo
clics-doculect-90-6,colo1256-std,concepticon-640,1.214,mu'ˀdu,mud,mu'?du
clics-doculect-90-7,colo1256-std,concepticon-640,1.214,piʰ'pa,mud,pik'pa
clics-doculect-90-8,colo1256-std,concepticon-671,1.215,'c̷alã,sand,'cala
clics-doculect-90-9,colo1256-std,concepticon-2118,1.22,ˀdu,"mountain, hill",?du
clics-doculect-90-10,colo1256-std,concepticon-618,1.222,wa,"cliff, precipice",wa
clics-doculect-90-11,colo1256-std,concepticon-652,1.23,la'yũto,"plain, field",la'yuto
clics-doculect-90-12,colo1256-std,concepticon-652,1.23,ʔu'rãto,"plain, field",?u'rato
clics-doculect-90-13,colo1256-std,concepticon-921,1.24,'kõti,valley,'koti
clics-doculect-90-14,colo1256-std,concepticon-622,1.25,piʰ'sa,island,pik'sa
clics-doculect-90-15,colo1256-std,concepticon-113,1.27,piΦiʰ'ki,shore,piPhik'ki
clics-doculect-90-16,colo1256-std,concepticon-1155,1.28,Φo'ro,cave,Pho'ro
clics-doculect-90-17,colo1256-std,concepticon-948,1.31,pi,water,pi
clics-doculect-90-18,colo1256-std,concepticon-1474,1.32,i,sea,i
clics-doculect-90-19,colo1256-std,concepticon-258,1.322,se,calm (of sea),se
clics-doculect-90-20,colo1256-std,concepticon-258,1.322,ʔowo'wo,calm (of sea),?owo'wo
clics-doculect-90-21,colo1256-std,concepticon-259,1.323,lano,rough (of sea),lano
clics-doculect-90-22,colo1256-std,concepticon-1768,1.324,puʰ'pu,foam,puk'pu
clics-doculect-90-23,colo1256-std,concepticon-624,1.33,wapipi'lu,lake,wapipi'lu
clics-doculect-90-24,colo1256-std,concepticon-663,1.34,pite'yũka,"gulf, bay",pite'yuka
clics-doculect-90-25,colo1256-std,concepticon-623,1.341,'pipi'lu,lagoon,'pipi'lu
clics-doculect-90-26,colo1256-std,concepticon-978,1.35,'laʰc̷a,wave,'lakca
clics-doculect-90-27,colo1256-std,concepticon-666,1.36,pi,"river, stream, brook",pi
clics-doculect-90-28,colo1256-std,concepticon-1982,1.362,le'wesa,whirlpool,le'wesa
clics-doculect-90-29,colo1256-std,concepticon-2144,1.37,piΦo'ro,"spring, well",piPho'ro
clics-doculect-90-30,colo1256-std,concepticon-1145,1.38,mu'ˀdu,swamp,mu'?du
clics-doculect-90-31,colo1256-std,concepticon-943,1.39,pipa'ru,waterfall,pipa'ru
clics-doculect-90-32,colo1256-std,concepticon-420,1.41,he'lẽ,"woods, forest",he'le
clics-doculect-90-34,colo1256-std,concepticon-1803,1.43,c̷i'ˀde,wood,ci'?de
clics-doculect-90-35,colo1256-std,concepticon-2125,1.44,su,"stone, rock",su
