ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-8-1,czec1258-std,concepticon-965,1.1,svět,world,svet
clics-doculect-8-2,czec1258-std,concepticon-626,1.21,země,"earth, land",zeme
clics-doculect-8-3,czec1258-std,concepticon-1228,1.212,půda,"earth=ground, soil",puda
clics-doculect-8-4,czec1258-std,concepticon-2,1.213,prach,dust,prach
clics-doculect-8-5,czec1258-std,concepticon-640,1.214,bláto,mud,blato
clics-doculect-8-6,czec1258-std,concepticon-671,1.215,písek,sand,pisek
clics-doculect-8-7,czec1258-std,concepticon-2118,1.22,hora,"mountain, hill",hora
clics-doculect-8-8,czec1258-std,concepticon-2118,1.22,vrch,"mountain, hill",vrch
clics-doculect-8-9,czec1258-std,concepticon-2118,1.22,pahorek,"mountain, hill",pahorek
clics-doculect-8-10,czec1258-std,concepticon-2118,1.22,kopec,"mountain, hill",kopec
clics-doculect-8-11,czec1258-std,concepticon-618,1.222,útes,"cliff, precipice",utes
clics-doculect-8-12,czec1258-std,concepticon-618,1.222,sráz,"cliff, precipice",sraz
clics-doculect-8-13,czec1258-std,concepticon-652,1.23,rovina,"plain, field",rovina
clics-doculect-8-14,czec1258-std,concepticon-652,1.23,pláň,"plain, field",plan
clics-doculect-8-15,czec1258-std,concepticon-652,1.23,pole,"plain, field",pole
clics-doculect-8-16,czec1258-std,concepticon-921,1.24,údolí,valley,udoli
clics-doculect-8-17,czec1258-std,concepticon-921,1.24,dolina,valley,dolina
clics-doculect-8-18,czec1258-std,concepticon-622,1.25,ostrov,island,ostrov
clics-doculect-8-19,czec1258-std,concepticon-166,1.26,pevnina,mainland,pevnina
clics-doculect-8-20,czec1258-std,concepticon-113,1.27,břeh,shore,breh
clics-doculect-8-21,czec1258-std,concepticon-113,1.27,pobřeží,shore,pobrezi
clics-doculect-8-22,czec1258-std,concepticon-1155,1.28,jeskyně,cave,jeskyne
clics-doculect-8-23,czec1258-std,concepticon-948,1.31,voda,water,voda
clics-doculect-8-24,czec1258-std,concepticon-1474,1.32,moře,sea,more
clics-doculect-8-25,czec1258-std,concepticon-258,1.322,bezvětří,calm (of sea),bezvetri
clics-doculect-8-26,czec1258-std,concepticon-259,1.323,bouře,rough (of sea),boure
clics-doculect-8-27,czec1258-std,concepticon-1768,1.324,pěna,foam,pena
clics-doculect-8-28,czec1258-std,concepticon-645,1.329,oceán,ocean,ocean
clics-doculect-8-29,czec1258-std,concepticon-624,1.33,jezero,lake,jezero
clics-doculect-8-30,czec1258-std,concepticon-663,1.34,záliv,"gulf, bay",zaliv
clics-doculect-8-31,czec1258-std,concepticon-663,1.34,zátoka,"gulf, bay",zatoka
clics-doculect-8-32,czec1258-std,concepticon-623,1.341,laguna,lagoon,laguna
clics-doculect-8-33,czec1258-std,concepticon-660,1.342,úskalí,reef,uskali
