ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-224-1,darg1241-Kajtak,concepticon-965,1.1,дуне,world,dune
clics-doculect-224-2,darg1241-Kajtak,concepticon-626,1.21,гамза,"earth, land",gamza
clics-doculect-224-3,darg1241-Kajtak,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-224-4,darg1241-Kajtak,concepticon-1228,1.212,гІянчча,"earth=ground, soil",gIianchcha
clics-doculect-224-5,darg1241-Kajtak,concepticon-2,1.213,пяхІ,dust,piakhI
clics-doculect-224-6,darg1241-Kajtak,concepticon-640,1.214,пинцІа,mud,pintsIa
clics-doculect-224-7,darg1241-Kajtak,concepticon-640,1.214,няс,mud,nias
clics-doculect-224-8,darg1241-Kajtak,concepticon-671,1.215,къум,sand,k'um
clics-doculect-224-9,darg1241-Kajtak,concepticon-2118,1.22,дубур,"mountain, hill",dubur
clics-doculect-224-10,darg1241-Kajtak,concepticon-2118,1.22,гатти,"mountain, hill",gatti
clics-doculect-224-11,darg1241-Kajtak,concepticon-618,1.222,шури,"cliff, precipice",shuri
clics-doculect-224-12,darg1241-Kajtak,concepticon-618,1.222,муза,"cliff, precipice",muza
clics-doculect-224-13,darg1241-Kajtak,concepticon-618,1.222,дагьаг,"cliff, precipice",dag'ag
clics-doculect-224-14,darg1241-Kajtak,concepticon-652,1.23,диркьак,"plain, field",dirk'ak
clics-doculect-224-15,darg1241-Kajtak,concepticon-652,1.23,хъу,"plain, field",kh'u
clics-doculect-224-16,darg1241-Kajtak,concepticon-921,1.24,къатти,valley,k'atti
clics-doculect-224-17,darg1241-Kajtak,concepticon-921,1.24,къярт,valley,k'iart
clics-doculect-224-18,darg1241-Kajtak,concepticon-622,1.25,остров,island,ostrov
clics-doculect-224-19,darg1241-Kajtak,concepticon-166,1.26,дуне,mainland,dune
clics-doculect-224-20,darg1241-Kajtak,concepticon-113,1.27,баъ,shore,ba'
clics-doculect-224-21,darg1241-Kajtak,concepticon-1155,1.28,инихъ,cave,inikh'
clics-doculect-224-22,darg1241-Kajtak,concepticon-948,1.31,шин,water,shin
clics-doculect-224-23,darg1241-Kajtak,concepticon-1474,1.32,урхьу,sea,urkh'u
clics-doculect-224-24,darg1241-Kajtak,concepticon-258,1.322,паргъаткай,calm (of sea),parg'atkai
clics-doculect-224-25,darg1241-Kajtak,concepticon-259,1.323,бургъан,rough (of sea),burg'an
clics-doculect-224-26,darg1241-Kajtak,concepticon-1768,1.324,хьамхьа,foam,kh'amkh'a
clics-doculect-224-27,darg1241-Kajtak,concepticon-645,1.329,океан,ocean,okean
clics-doculect-224-28,darg1241-Kajtak,concepticon-624,1.33,шери,lake,sheri
clics-doculect-224-29,darg1241-Kajtak,concepticon-663,1.34,урхьулла,"gulf, bay",urkh'ulla
clics-doculect-224-30,darg1241-Kajtak,concepticon-663,1.34,эркІлакьяли,"gulf, bay",erkIlak'iali
clics-doculect-224-31,darg1241-Kajtak,concepticon-623,1.341,шери,lagoon,sheri
clics-doculect-224-32,darg1241-Kajtak,concepticon-660,1.342,шинегудилкъирхъналла,reef,shinegudilk'irkh'nalla
