ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-169-1,darg1241-Kubachi,concepticon-965,1.1,дуна,world,duna
clics-doculect-169-2,darg1241-Kubachi,concepticon-626,1.21,ванза,"earth, land",vanza
clics-doculect-169-3,darg1241-Kubachi,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-169-4,darg1241-Kubachi,concepticon-1228,1.212,ванза,"earth=ground, soil",vanza
clics-doculect-169-5,darg1241-Kubachi,concepticon-2,1.213,бубхьа,dust,bubkh'a
clics-doculect-169-6,darg1241-Kubachi,concepticon-640,1.214,ччуркя,mud,chchurkia
clics-doculect-169-7,darg1241-Kubachi,concepticon-671,1.215,къум,sand,k'um
clics-doculect-169-8,darg1241-Kubachi,concepticon-2118,1.22,гьухъе,"mountain, hill",g'ukh'e
clics-doculect-169-9,darg1241-Kubachi,concepticon-2118,1.22,къинч,"mountain, hill",k'inch
clics-doculect-169-10,darg1241-Kubachi,concepticon-618,1.222,ше,"cliff, precipice",she
clics-doculect-169-11,darg1241-Kubachi,concepticon-618,1.222,къинч,"cliff, precipice",k'inch
clics-doculect-169-12,darg1241-Kubachi,concepticon-618,1.222,табкабетибмусса,"cliff, precipice",tabkabetibmussa
clics-doculect-169-13,darg1241-Kubachi,concepticon-652,1.23,дикьа,"plain, field",dik'a
clics-doculect-169-14,darg1241-Kubachi,concepticon-652,1.23,авлахъ,"plain, field",avlakh'
clics-doculect-169-15,darg1241-Kubachi,concepticon-921,1.24,дикьала,valley,dik'ala
clics-doculect-169-16,darg1241-Kubachi,concepticon-921,1.24,барккв,valley,barkkv
clics-doculect-169-17,darg1241-Kubachi,concepticon-622,1.25,остров,island,ostrov
clics-doculect-169-18,darg1241-Kubachi,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-169-19,darg1241-Kubachi,concepticon-113,1.27,акІвлалум,shore,akIvlalum
clics-doculect-169-20,darg1241-Kubachi,concepticon-113,1.27,ухьуллалум,shore,ukh'ullalum
clics-doculect-169-21,darg1241-Kubachi,concepticon-1155,1.28,шелланахъ,cave,shellanakh'
clics-doculect-169-22,darg1241-Kubachi,concepticon-948,1.31,шин,water,shin
clics-doculect-169-23,darg1241-Kubachi,concepticon-1474,1.32,ухьу,sea,ukh'u
clics-doculect-169-24,darg1241-Kubachi,concepticon-258,1.322,паргъатсиб,calm (of sea),parg'atsib
clics-doculect-169-25,darg1241-Kubachi,concepticon-259,1.323,бугъузиб,rough (of sea),bug'uzib
clics-doculect-169-26,darg1241-Kubachi,concepticon-1768,1.324,хьамхьа,foam,kh'amkh'a
clics-doculect-169-27,darg1241-Kubachi,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-169-28,darg1241-Kubachi,concepticon-624,1.33,шя,lake,shia
clics-doculect-169-29,darg1241-Kubachi,concepticon-978,1.35,юккукІ,wave,iukkukI
clics-doculect-169-30,darg1241-Kubachi,concepticon-666,1.36,акІв,"river, stream, brook",akIv
clics-doculect-169-31,darg1241-Kubachi,concepticon-2144,1.37,шяхъв,"spring, well",shiakh'v
clics-doculect-169-32,darg1241-Kubachi,concepticon-2144,1.37,шиннатум,"spring, well",shinnatum
clics-doculect-169-33,darg1241-Kubachi,concepticon-2144,1.37,кьулла,"spring, well",k'ulla
clics-doculect-169-34,darg1241-Kubachi,concepticon-1145,1.38,батмахъ,swamp,batmakh'
clics-doculect-169-35,darg1241-Kubachi,concepticon-943,1.39,чяхІчяхІи,waterfall,chiakhIchiakhIi
clics-doculect-169-36,darg1241-Kubachi,concepticon-420,1.41,дуцца,"woods, forest",dutstsa
clics-doculect-169-38,darg1241-Kubachi,concepticon-1803,1.43,усул,wood,usul
clics-doculect-169-39,darg1241-Kubachi,concepticon-2125,1.44,къакъа,"stone, rock",k'ak'a
clics-doculect-169-40,darg1241-Kubachi,concepticon-2125,1.44,ше,"stone, rock",she
clics-doculect-169-41,darg1241-Kubachi,concepticon-6,1.45,ккуцинданьун,earthquake,kkutsindan'un
clics-doculect-169-42,darg1241-Kubachi,concepticon-1732,1.51,ццаб,sky,tstsab
clics-doculect-169-43,darg1241-Kubachi,concepticon-1343,1.52,бегвала,sun,begvala
clics-doculect-169-44,darg1241-Kubachi,concepticon-1313,1.53,бац,moon,bats
clics-doculect-169-45,darg1241-Kubachi,concepticon-1430,1.54,ди,star,di
clics-doculect-169-46,darg1241-Kubachi,concepticon-1654,1.55,цІалипан,lightning,tsIalipan
