ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-85-1,darg1241-Muiri,concepticon-965,1.1,дуне,world,dune
clics-doculect-85-2,darg1241-Muiri,concepticon-626,1.21,ванза,"earth, land",vanza
clics-doculect-85-3,darg1241-Muiri,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-85-4,darg1241-Muiri,concepticon-1228,1.212,ванза,"earth=ground, soil",vanza
clics-doculect-85-5,darg1241-Muiri,concepticon-1228,1.212,гІянччи,"earth=ground, soil",gIianchchi
clics-doculect-85-6,darg1241-Muiri,concepticon-2,1.213,хвисса,dust,khvissa
clics-doculect-85-7,darg1241-Muiri,concepticon-640,1.214,хІянра,mud,khIianra
clics-doculect-85-8,darg1241-Muiri,concepticon-671,1.215,къум,sand,k'um
clics-doculect-85-9,darg1241-Muiri,concepticon-2118,1.22,дубура,"mountain, hill",dubura
clics-doculect-85-10,darg1241-Muiri,concepticon-2118,1.22,муза,"mountain, hill",muza
clics-doculect-85-11,darg1241-Muiri,concepticon-618,1.222,лис,"cliff, precipice",lis
clics-doculect-85-12,darg1241-Muiri,concepticon-652,1.23,диркь,"plain, field",dirk'
clics-doculect-85-13,darg1241-Muiri,concepticon-652,1.23,авлакъ,"plain, field",avlak'
clics-doculect-85-14,darg1241-Muiri,concepticon-921,1.24,къатти,valley,k'atti
clics-doculect-85-15,darg1241-Muiri,concepticon-113,1.27,дум,shore,dum
clics-doculect-85-16,darg1241-Muiri,concepticon-113,1.27,урхьвадум,shore,urkh'vadum
clics-doculect-85-17,darg1241-Muiri,concepticon-1155,1.28,гІиникъ,cave,gIinik'
clics-doculect-85-18,darg1241-Muiri,concepticon-948,1.31,шин,water,shin
clics-doculect-85-19,darg1241-Muiri,concepticon-1474,1.32,урхьу,sea,urkh'u
clics-doculect-85-20,darg1241-Muiri,concepticon-258,1.322,рахІятил,calm (of sea),rakhIiatil
clics-doculect-85-21,darg1241-Muiri,concepticon-259,1.323,бургъан,rough (of sea),burg'an
