ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-185-1,darg1241-Standard,concepticon-965,1.1,дунъя,world,dun'ia
clics-doculect-185-2,darg1241-Standard,concepticon-965,1.1,даршудеш,world,darshudesh
clics-doculect-185-3,darg1241-Standard,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-185-4,darg1241-Standard,concepticon-1228,1.212,гІянжи,"earth=ground, soil",gIianzhi
clics-doculect-185-5,darg1241-Standard,concepticon-1228,1.212,ванза,"earth=ground, soil",vanza
clics-doculect-185-6,darg1241-Standard,concepticon-2,1.213,пухІ,dust,pukhI
clics-doculect-185-7,darg1241-Standard,concepticon-640,1.214,чярт,mud,chiart
clics-doculect-185-8,darg1241-Standard,concepticon-671,1.215,гъум,sand,g'um
clics-doculect-185-9,darg1241-Standard,concepticon-2118,1.22,дубура,"mountain, hill",dubura
clics-doculect-185-10,darg1241-Standard,concepticon-2118,1.22,муза,"mountain, hill",muza
clics-doculect-185-11,darg1241-Standard,concepticon-618,1.222,шури,"cliff, precipice",shuri
clics-doculect-185-12,darg1241-Standard,concepticon-618,1.222,лусен,"cliff, precipice",lusen
clics-doculect-185-13,darg1241-Standard,concepticon-618,1.222,бехІ,"cliff, precipice",bekhI
clics-doculect-185-14,darg1241-Standard,concepticon-652,1.23,диркьа,"plain, field",dirk'a
clics-doculect-185-15,darg1241-Standard,concepticon-652,1.23,авлахъ,"plain, field",avlakh'
clics-doculect-185-16,darg1241-Standard,concepticon-921,1.24,барг,valley,barg
clics-doculect-185-17,darg1241-Standard,concepticon-921,1.24,къярд,valley,k'iard
clics-doculect-185-18,darg1241-Standard,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-185-19,darg1241-Standard,concepticon-113,1.27,дуб,shore,dub
clics-doculect-185-20,darg1241-Standard,concepticon-113,1.27,дубакарчІа,shore,dubakarchIa
clics-doculect-185-21,darg1241-Standard,concepticon-1155,1.28,гІиникъ,cave,gIinik'
