ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-161-1,dido1241-Mokok,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-161-2,dido1241-Mokok,concepticon-965,1.1,гІалам,world,gIalam
clics-doculect-161-3,dido1241-Mokok,concepticon-626,1.21,ракь,"earth, land",rak'
clics-doculect-161-4,dido1241-Mokok,concepticon-626,1.21,хІукмат,"earth, land",khIukmat
clics-doculect-161-5,dido1241-Mokok,concepticon-1228,1.212,ракь,"earth=ground, soil",rak'
clics-doculect-161-6,dido1241-Mokok,concepticon-1228,1.212,мочи,"earth=ground, soil",mochi
clics-doculect-161-7,dido1241-Mokok,concepticon-2,1.213,кьиди,dust,k'idi
clics-doculect-161-8,dido1241-Mokok,concepticon-640,1.214,тутурлъи,mud,tuturl'i
clics-doculect-161-9,dido1241-Mokok,concepticon-671,1.215,гибу,sand,gibu
clics-doculect-161-10,dido1241-Mokok,concepticon-2118,1.22,хІон,"mountain, hill",khIon
clics-doculect-161-11,dido1241-Mokok,concepticon-2118,1.22,гупІ,"mountain, hill",gupI
clics-doculect-161-12,dido1241-Mokok,concepticon-618,1.222,лъад,"cliff, precipice",l'ad
clics-doculect-161-13,dido1241-Mokok,concepticon-618,1.222,хъохъ,"cliff, precipice",kh'okh'
clics-doculect-161-14,dido1241-Mokok,concepticon-618,1.222,беки,"cliff, precipice",beki
clics-doculect-161-15,dido1241-Mokok,concepticon-652,1.23,майдан,"plain, field",maidan
clics-doculect-161-16,dido1241-Mokok,concepticon-652,1.23,мочи,"plain, field",mochi
clics-doculect-161-17,dido1241-Mokok,concepticon-921,1.24,гога,valley,goga
clics-doculect-161-18,dido1241-Mokok,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-161-19,dido1241-Mokok,concepticon-166,1.26,дунйалесчІиму,mainland,dunialeschIimu
clics-doculect-161-20,dido1241-Mokok,concepticon-113,1.27,рагІал,shore,ragIal
clics-doculect-161-21,dido1241-Mokok,concepticon-113,1.27,лилйо,shore,lilio
clics-doculect-161-22,dido1241-Mokok,concepticon-1155,1.28,имху,cave,imkhu
clics-doculect-161-23,dido1241-Mokok,concepticon-948,1.31,лъи,water,l'i
clics-doculect-161-24,dido1241-Mokok,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-161-25,dido1241-Mokok,concepticon-258,1.322,гьилІаьси,calm (of sea),g'ilIa'si
clics-doculect-161-26,dido1241-Mokok,concepticon-259,1.323,бизибутаьси,rough (of sea),bizibuta'si
clics-doculect-161-27,dido1241-Mokok,concepticon-1768,1.324,муж,foam,muzh
clics-doculect-161-28,dido1241-Mokok,concepticon-645,1.329,ралъад,ocean,ral'ad
clics-doculect-161-29,dido1241-Mokok,concepticon-624,1.33,йерезни,lake,ierezni
clics-doculect-161-30,dido1241-Mokok,concepticon-624,1.33,гІалазан,lake,gIalazan
clics-doculect-161-31,dido1241-Mokok,concepticon-978,1.35,лабу,wave,labu
clics-doculect-161-32,dido1241-Mokok,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-161-33,dido1241-Mokok,concepticon-666,1.36,маду,"river, stream, brook",madu
clics-doculect-161-34,dido1241-Mokok,concepticon-666,1.36,ихІу,"river, stream, brook",ikhIu
clics-doculect-161-35,dido1241-Mokok,concepticon-1982,1.362,бІон,whirlpool,bIon
clics-doculect-161-36,dido1241-Mokok,concepticon-2144,1.37,кик,"spring, well",kik
clics-doculect-161-37,dido1241-Mokok,concepticon-1145,1.38,къец,swamp,k'ets
clics-doculect-161-38,dido1241-Mokok,concepticon-1145,1.38,кьотІу,swamp,k'otIu
clics-doculect-161-39,dido1241-Mokok,concepticon-943,1.39,чок,waterfall,chok
clics-doculect-161-40,dido1241-Mokok,concepticon-420,1.41,цихъ,"woods, forest",tsikh'
clics-doculect-161-42,dido1241-Mokok,concepticon-1803,1.43,хъаца,wood,kh'atsa
clics-doculect-161-43,dido1241-Mokok,concepticon-1803,1.43,цІарагІ,wood,tsIaragI
clics-doculect-161-44,dido1241-Mokok,concepticon-2125,1.44,гъІул,"stone, rock",g'Iul
clics-doculect-161-45,dido1241-Mokok,concepticon-2125,1.44,лъад,"stone, rock",l'ad
clics-doculect-161-46,dido1241-Mokok,concepticon-2125,1.44,гуз,"stone, rock",guz
clics-doculect-161-47,dido1241-Mokok,concepticon-6,1.45,кичуричу,earthquake,kichurichu
clics-doculect-161-48,dido1241-Mokok,concepticon-1732,1.51,ас,sky,as
clics-doculect-161-49,dido1241-Mokok,concepticon-1343,1.52,бухъ,sun,bukh'
clics-doculect-161-50,dido1241-Mokok,concepticon-1313,1.53,буци,moon,butsi
clics-doculect-161-51,dido1241-Mokok,concepticon-1430,1.54,ца,star,tsa
clics-doculect-161-52,dido1241-Mokok,concepticon-1654,1.55,макълІу,lightning,mak'lIu
clics-doculect-161-53,dido1241-Mokok,concepticon-1150,1.56,хухудори,thunder,khukhudori
clics-doculect-161-54,dido1241-Mokok,concepticon-2007,1.57,макълІу,lightning (as striking),mak'lIu
clics-doculect-161-55,dido1241-Mokok,concepticon-858,1.58,лъаци,storm,l'atsi
clics-doculect-161-56,dido1241-Mokok,concepticon-1733,1.59,Аллагьесашуни,rainbow,Allag'esashuni
clics-doculect-161-57,dido1241-Mokok,concepticon-630,1.61,чІура,light (noun),chIura
clics-doculect-161-58,dido1241-Mokok,concepticon-11,1.62,сасилъи,darkness,sasil'i
clics-doculect-161-59,dido1241-Mokok,concepticon-1388,1.63,гъеду,"shade, shadow",g'edu
clics-doculect-161-60,dido1241-Mokok,concepticon-1977,1.64,хеби,dew,khebi
clics-doculect-161-61,dido1241-Mokok,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-161-62,dido1241-Mokok,concepticon-27,1.71,муши,air,mushi
clics-doculect-161-63,dido1241-Mokok,concepticon-960,1.72,лъаци,wind,l'atsi
clics-doculect-161-64,dido1241-Mokok,concepticon-1489,1.73,ас,cloud,as
clics-doculect-161-65,dido1241-Mokok,concepticon-1489,1.73,гутІ,cloud,gutI
clics-doculect-161-66,dido1241-Mokok,concepticon-249,1.74,ас,fog,as
clics-doculect-161-67,dido1241-Mokok,concepticon-658,1.75,хъема,rain (noun),kh'ema
clics-doculect-161-68,dido1241-Mokok,concepticon-784,1.76,иси,snow (noun),isi
clics-doculect-161-69,dido1241-Mokok,concepticon-617,1.77,беро,ice,bero
clics-doculect-161-70,dido1241-Mokok,concepticon-617,1.77,азирому,ice,aziromu
clics-doculect-161-71,dido1241-Mokok,concepticon-952,1.78,гьавабакъ,weather,g'avabak'
clics-doculect-161-72,dido1241-Mokok,concepticon-221,1.81,цІи,fire,tsIi
clics-doculect-161-73,dido1241-Mokok,concepticon-889,1.82,лапи,flame (noun),lapi
clics-doculect-161-74,dido1241-Mokok,concepticon-778,1.83,гутІ,smoke (noun),gutI
clics-doculect-161-75,dido1241-Mokok,concepticon-646,1.84,нІолІу,ashes,nIolIu
clics-doculect-161-76,dido1241-Mokok,concepticon-67,1.841,гъогъоругІам,embers,g'og'orugIam
clics-doculect-161-77,dido1241-Mokok,concepticon-141,1.851,рикІура,burn (vb trans),rikIura
clics-doculect-161-78,dido1241-Mokok,concepticon-1428,1.852,рикІа,burn (vb intrans),rikIa
clics-doculect-161-79,dido1241-Mokok,concepticon-737,1.86,цІиэра,"light, kindle, ignite",tsIiera
clics-doculect-161-80,dido1241-Mokok,concepticon-737,1.86,лапибиза,"light, kindle, ignite",lapibiza
clics-doculect-161-81,dido1241-Mokok,concepticon-127,1.861,ритІра,extinguish,ritIra
clics-doculect-161-82,dido1241-Mokok,concepticon-1133,1.87,цІикъалІу,match (noun),tsIik'alIu
clics-doculect-161-83,dido1241-Mokok,concepticon-10,1.88,хъаца,firewood,kh'atsa
clics-doculect-161-84,dido1241-Mokok,concepticon-1188,1.89,гІам,charcoal,gIam
clics-doculect-161-85,dido1241-Mokok,concepticon-683,2.1,жекІу,"person, human being",zhekIu
clics-doculect-161-86,dido1241-Mokok,concepticon-683,2.1,инсан,"person, human being",insan
clics-doculect-161-87,dido1241-Mokok,concepticon-1554,2.21,жекІу,man (vs. woman),zhekIu
clics-doculect-161-88,dido1241-Mokok,concepticon-1554,2.21,бахІарчи,man (vs. woman),bakhIarchi
clics-doculect-161-89,dido1241-Mokok,concepticon-962,2.22,гъаІнаби,woman,g'aInabi
clics-doculect-161-90,dido1241-Mokok,concepticon-1553,2.23,гулучи,male,guluchi
clics-doculect-161-91,dido1241-Mokok,concepticon-1551,2.24,ахъив,female,akh'iv
clics-doculect-161-92,dido1241-Mokok,concepticon-1366,2.25,ужи,boy,uzhi
clics-doculect-161-93,dido1241-Mokok,concepticon-76,2.251,гІолохъанжекІу,young man (adolescent),gIolokh'anzhekIu
clics-doculect-161-94,dido1241-Mokok,concepticon-1646,2.26,кид,girl,kid
clics-doculect-161-95,dido1241-Mokok,concepticon-77,2.261,къІимаку,young woman (adolescent),k'Iimaku
clics-doculect-161-96,dido1241-Mokok,concepticon-1304,2.27,хехби,child,khekhbi
clics-doculect-161-97,dido1241-Mokok,concepticon-1289,2.28,кІакІили,"infant, baby",kIakIili
clics-doculect-161-98,dido1241-Mokok,concepticon-1200,2.31,хедив,husband,khediv
clics-doculect-161-99,dido1241-Mokok,concepticon-1199,2.32,бару,wife,baru
