ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-68-1,dido1241-Sagadin,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-68-2,dido1241-Sagadin,concepticon-965,1.1,гІалам,world,gIalam
clics-doculect-68-3,dido1241-Sagadin,concepticon-965,1.1,дуйлйан,world,duilian
clics-doculect-68-4,dido1241-Sagadin,concepticon-626,1.21,хІукумат,"earth, land",khIukumat
clics-doculect-68-5,dido1241-Sagadin,concepticon-626,1.21,дуйлйан,"earth, land",duilian
clics-doculect-68-6,dido1241-Sagadin,concepticon-1228,1.212,ракь,"earth=ground, soil",rak'
clics-doculect-68-7,dido1241-Sagadin,concepticon-1228,1.212,мочи,"earth=ground, soil",mochi
clics-doculect-68-8,dido1241-Sagadin,concepticon-2,1.213,кьиди,dust,k'idi
clics-doculect-68-9,dido1241-Sagadin,concepticon-640,1.214,хъублъи,mud,kh'ubl'i
clics-doculect-68-10,dido1241-Sagadin,concepticon-640,1.214,чороклъи,mud,chorokl'i
clics-doculect-68-11,dido1241-Sagadin,concepticon-671,1.215,гиму,sand,gimu
clics-doculect-68-12,dido1241-Sagadin,concepticon-2118,1.22,хІон,"mountain, hill",khIon
clics-doculect-68-13,dido1241-Sagadin,concepticon-2118,1.22,гупІ,"mountain, hill",gupI
clics-doculect-68-14,dido1241-Sagadin,concepticon-618,1.222,хъохъ,"cliff, precipice",kh'okh'
clics-doculect-68-15,dido1241-Sagadin,concepticon-652,1.23,майдан,"plain, field",maidan
clics-doculect-68-16,dido1241-Sagadin,concepticon-652,1.23,байдан,"plain, field",baidan
clics-doculect-68-17,dido1241-Sagadin,concepticon-921,1.24,гога,valley,goga
clics-doculect-68-18,dido1241-Sagadin,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-68-19,dido1241-Sagadin,concepticon-166,1.26,дуйлйанесбутІа,mainland,duilianesbutIa
clics-doculect-68-20,dido1241-Sagadin,concepticon-113,1.27,рагІал,shore,ragIal
clics-doculect-68-21,dido1241-Sagadin,concepticon-1155,1.28,имху,cave,imkhu
clics-doculect-68-22,dido1241-Sagadin,concepticon-948,1.31,лъи,water,l'i
clics-doculect-68-23,dido1241-Sagadin,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-68-24,dido1241-Sagadin,concepticon-258,1.322,гьилІийо,calm (of sea),g'ilIiio
clics-doculect-68-25,dido1241-Sagadin,concepticon-259,1.323,бихарав,rough (of sea),bikharav
clics-doculect-68-26,dido1241-Sagadin,concepticon-259,1.323,бихизи,rough (of sea),bikhizi
clics-doculect-68-27,dido1241-Sagadin,concepticon-259,1.323,бохьру,rough (of sea),bokh'ru
clics-doculect-68-28,dido1241-Sagadin,concepticon-1768,1.324,муж,foam,muzh
clics-doculect-68-29,dido1241-Sagadin,concepticon-645,1.329,ралъад,ocean,ral'ad
clics-doculect-68-30,dido1241-Sagadin,concepticon-624,1.33,орзен,lake,orzen
clics-doculect-68-31,dido1241-Sagadin,concepticon-978,1.35,лабу,wave,labu
clics-doculect-68-32,dido1241-Sagadin,concepticon-666,1.36,маду,"river, stream, brook",madu
clics-doculect-68-33,dido1241-Sagadin,concepticon-666,1.36,регъвелъи,"river, stream, brook",reg'vel'i
clics-doculect-68-34,dido1241-Sagadin,concepticon-1982,1.362,къверекъни,whirlpool,k'verek'ni
clics-doculect-68-35,dido1241-Sagadin,concepticon-2144,1.37,кик,"spring, well",kik
clics-doculect-68-36,dido1241-Sagadin,concepticon-1145,1.38,куцІ,swamp,kutsI
clics-doculect-68-37,dido1241-Sagadin,concepticon-943,1.39,лъидесчок,waterfall,l'ideschok
clics-doculect-68-38,dido1241-Sagadin,concepticon-943,1.39,льисчок,waterfall,l'ischok
clics-doculect-68-39,dido1241-Sagadin,concepticon-420,1.41,цихъ,"woods, forest",tsikh'
clics-doculect-68-41,dido1241-Sagadin,concepticon-1803,1.43,хъаца,wood,kh'atsa
clics-doculect-68-42,dido1241-Sagadin,concepticon-2125,1.44,гъІул,"stone, rock",g'Iul
clics-doculect-68-43,dido1241-Sagadin,concepticon-2125,1.44,лъад,"stone, rock",l'ad
clics-doculect-68-44,dido1241-Sagadin,concepticon-6,1.45,кьичиричу,earthquake,k'ichirichu
clics-doculect-68-45,dido1241-Sagadin,concepticon-1732,1.51,зоб,sky,zob
clics-doculect-68-46,dido1241-Sagadin,concepticon-1343,1.52,бухъ,sun,bukh'
clics-doculect-68-47,dido1241-Sagadin,concepticon-1313,1.53,буци,moon,butsi
clics-doculect-68-48,dido1241-Sagadin,concepticon-1430,1.54,ца,star,tsa
clics-doculect-68-49,dido1241-Sagadin,concepticon-1430,1.54,цІа,star,tsIa
clics-doculect-68-50,dido1241-Sagadin,concepticon-1654,1.55,макълІу,lightning,mak'lIu
clics-doculect-68-51,dido1241-Sagadin,concepticon-1150,1.56,хухудори,thunder,khukhudori
clics-doculect-68-52,dido1241-Sagadin,concepticon-2007,1.57,пири,lightning (as striking),piri
clics-doculect-68-53,dido1241-Sagadin,concepticon-2007,1.57,макълІу,lightning (as striking),mak'lIu
clics-doculect-68-54,dido1241-Sagadin,concepticon-2007,1.57,пер,lightning (as striking),per
clics-doculect-68-55,dido1241-Sagadin,concepticon-858,1.58,йеженилъаци,storm,iezhenil'atsi
clics-doculect-68-56,dido1241-Sagadin,concepticon-1733,1.59,зиресгІашуни,rainbow,ziresgIashuni
clics-doculect-68-57,dido1241-Sagadin,concepticon-630,1.61,чІура,light (noun),chIura
clics-doculect-68-58,dido1241-Sagadin,concepticon-630,1.61,канлъи,light (noun),kanl'i
