ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-44-1,dutc1256-std,concepticon-965,1.1,wereld,world,wereld
clics-doculect-44-2,dutc1256-std,concepticon-626,1.21,aarde,"earth, land",aarde
clics-doculect-44-3,dutc1256-std,concepticon-626,1.21,land,"earth, land",land
clics-doculect-44-4,dutc1256-std,concepticon-1228,1.212,aarde,"earth=ground, soil",aarde
clics-doculect-44-5,dutc1256-std,concepticon-1228,1.212,grond,"earth=ground, soil",grond
clics-doculect-44-6,dutc1256-std,concepticon-2,1.213,stof,dust,stof
clics-doculect-44-7,dutc1256-std,concepticon-640,1.214,modder,mud,modder
clics-doculect-44-8,dutc1256-std,concepticon-640,1.214,slijk,mud,slijk
clics-doculect-44-9,dutc1256-std,concepticon-671,1.215,zand,sand,zand
clics-doculect-44-10,dutc1256-std,concepticon-2118,1.22,berg,"mountain, hill",berg
clics-doculect-44-11,dutc1256-std,concepticon-2118,1.22,heuvel,"mountain, hill",heuvel
clics-doculect-44-12,dutc1256-std,concepticon-618,1.222,klip,"cliff, precipice",klip
clics-doculect-44-13,dutc1256-std,concepticon-618,1.222,afgrond,"cliff, precipice",afgrond
clics-doculect-44-14,dutc1256-std,concepticon-652,1.23,vlakte,"plain, field",vlakte
clics-doculect-44-15,dutc1256-std,concepticon-652,1.23,veld,"plain, field",veld
clics-doculect-44-16,dutc1256-std,concepticon-921,1.24,dal,valley,dal
clics-doculect-44-17,dutc1256-std,concepticon-921,1.24,vallei,valley,vallei
clics-doculect-44-18,dutc1256-std,concepticon-622,1.25,eiland,island,eiland
clics-doculect-44-19,dutc1256-std,concepticon-166,1.26,vasteland,mainland,vasteland
clics-doculect-44-20,dutc1256-std,concepticon-113,1.27,oever,shore,oever
clics-doculect-44-21,dutc1256-std,concepticon-113,1.27,strand,shore,strand
clics-doculect-44-22,dutc1256-std,concepticon-113,1.27,kust,shore,kust
clics-doculect-44-23,dutc1256-std,concepticon-1155,1.28,grot,cave,grot
clics-doculect-44-24,dutc1256-std,concepticon-948,1.31,water,water,water
clics-doculect-44-25,dutc1256-std,concepticon-1474,1.32,zee,sea,zee
