ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-19-1,east2295-std,concepticon-965,1.1,velt,world,velt
clics-doculect-19-2,east2295-std,concepticon-626,1.21,erd,"earth, land",erd
clics-doculect-19-3,east2295-std,concepticon-1228,1.212,grunt,"earth=ground, soil",grunt
clics-doculect-19-4,east2295-std,concepticon-2,1.213,štojb,dust,stojb
clics-doculect-19-5,east2295-std,concepticon-2,1.213,porex,dust,porex
clics-doculect-19-6,east2295-std,concepticon-640,1.214,blote,mud,blote
clics-doculect-19-7,east2295-std,concepticon-671,1.215,zamd,sand,zamd
clics-doculect-19-8,east2295-std,concepticon-2118,1.22,barg,"mountain, hill",barg
clics-doculect-19-9,east2295-std,concepticon-2118,1.22,bergl,"mountain, hill",bergl
clics-doculect-19-10,east2295-std,concepticon-618,1.222,feldz,"cliff, precipice",feldz
clics-doculect-19-11,east2295-std,concepticon-652,1.23,plejn,"plain, field",plejn
clics-doculect-19-12,east2295-std,concepticon-652,1.23,feld,"plain, field",feld
clics-doculect-19-13,east2295-std,concepticon-921,1.24,tol,valley,tol
clics-doculect-19-14,east2295-std,concepticon-622,1.25,indzl,island,indzl
clics-doculect-19-15,east2295-std,concepticon-166,1.26,jaboše,mainland,jabose
clics-doculect-19-16,east2295-std,concepticon-113,1.27,breg,shore,breg
clics-doculect-19-17,east2295-std,concepticon-1155,1.28,hejl,cave,hejl
clics-doculect-19-18,east2295-std,concepticon-948,1.31,vaser,water,vaser
clics-doculect-19-19,east2295-std,concepticon-1474,1.32,jam,sea,jam
clics-doculect-19-20,east2295-std,concepticon-258,1.322,ruik,calm (of sea),ruik
clics-doculect-19-21,east2295-std,concepticon-259,1.323,umruik,rough (of sea),umruik
clics-doculect-19-22,east2295-std,concepticon-1768,1.324,šam,foam,sam
clics-doculect-19-23,east2295-std,concepticon-645,1.329,o'kean,ocean,o'kean
clics-doculect-19-24,east2295-std,concepticon-624,1.33,'ozere,lake,'ozere
clics-doculect-19-25,east2295-std,concepticon-663,1.34,ajngos,"gulf, bay",ajngos
