ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-89-1,elam1244-std,concepticon-1228,1.212,muru:OEmuruit,"earth=ground, soil",muru:OEmuruit
clics-doculect-89-2,elam1244-std,concepticon-1228,1.212,ME,"earth=ground, soil",ME
clics-doculect-89-3,elam1244-std,concepticon-1228,1.212,NE,"earth=ground, soil",NE
clics-doculect-89-4,elam1244-std,concepticon-1228,1.212,AchEmuruun,"earth=ground, soil",AchEmuruun
clics-doculect-89-5,elam1244-std,concepticon-2,1.213,MEsuukma,dust,MEsuukma
clics-doculect-89-6,elam1244-std,concepticon-2118,1.22,MEamni,"mountain, hill",MEamni
clics-doculect-89-7,elam1244-std,concepticon-113,1.27,AchEšàriut,shore,AchEsariut
clics-doculect-89-8,elam1244-std,concepticon-1155,1.28,NEduráš,cave,NEduras
clics-doculect-89-9,elam1244-std,concepticon-948,1.31,zul:MEzuul,water,zul:MEzuul
clics-doculect-89-10,elam1244-std,concepticon-1474,1.32,AchEkam,sea,AchEkam
clics-doculect-89-11,elam1244-std,concepticon-2144,1.37,OEzuullali,"spring, well",OEzuullali
clics-doculect-89-15,elam1244-std,concepticon-1803,1.43,NEhuhqat,wood,NEhuhqat
clics-doculect-89-16,elam1244-std,concepticon-1803,1.43,NEhuuk,wood,NEhuuk
clics-doculect-89-17,elam1244-std,concepticon-1803,1.43,ME,wood,ME
clics-doculect-89-18,elam1244-std,concepticon-1803,1.43,NE,wood,NE
clics-doculect-89-19,elam1244-std,concepticon-1803,1.43,AchEmalu,wood,AchEmalu
clics-doculect-89-20,elam1244-std,concepticon-2125,1.44,AchEhar,"stone, rock",AchEhar
clics-doculect-89-21,elam1244-std,concepticon-2125,1.44,NEúhumma,"stone, rock",NEuhumma
clics-doculect-89-22,elam1244-std,concepticon-1343,1.52,MEnahhuunte,sun,MEnahhuunte
clics-doculect-89-23,elam1244-std,concepticon-1343,1.52,OEnahiti=nahiti,sun,OEnahiti=nahiti
clics-doculect-89-24,elam1244-std,concepticon-1343,1.52,OEnahute,sun,OEnahute
clics-doculect-89-25,elam1244-std,concepticon-1313,1.53,OEnaap,moon,OEnaap
clics-doculect-89-26,elam1244-std,concepticon-1313,1.53,NEnapir,moon,NEnapir
clics-doculect-89-27,elam1244-std,concepticon-1430,1.54,NEmardu,star,NEmardu
clics-doculect-89-28,elam1244-std,concepticon-1654,1.55,luk:OE,lightning,luk:OE
clics-doculect-89-29,elam1244-std,concepticon-1654,1.55,MEluuk,lightning,MEluuk
clics-doculect-89-30,elam1244-std,concepticon-1733,1.59,OE,rainbow,OE
clics-doculect-89-31,elam1244-std,concepticon-1733,1.59,ME,rainbow,ME
clics-doculect-89-32,elam1244-std,concepticon-1733,1.59,NEmaanzaat,rainbow,NEmaanzaat
