ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-16-1,epen1239-std,concepticon-965,1.1,na'euhã,world,na'euha
clics-doculect-16-2,epen1239-std,concepticon-626,1.21,'euhã,"earth, land",'euha
clics-doculect-16-3,epen1239-std,concepticon-1228,1.212,'yooro,"earth=ground, soil",'yooro
clics-doculect-16-4,epen1239-std,concepticon-2,1.213,'yooro'pʰora,dust,'yooro'pkora
clics-doculect-16-5,epen1239-std,concepticon-640,1.214,'yoorosu'sua,mud,'yoorosu'sua
clics-doculect-16-6,epen1239-std,concepticon-671,1.215,'ipu,sand,'ipu
clics-doculect-16-7,epen1239-std,concepticon-2118,1.22,'ee,"mountain, hill",'ee
clics-doculect-16-8,epen1239-std,concepticon-618,1.222,kʰõo'tʰari,"cliff, precipice",kkoo'tkari
clics-doculect-16-9,epen1239-std,concepticon-652,1.23,hewe'daaewa'raa,"plain, field",hewe'daaewa'raa
clics-doculect-16-10,epen1239-std,concepticon-622,1.25,'tʰɨɨda,island,'tkiida
clics-doculect-16-11,epen1239-std,concepticon-113,1.27,i,shore,i
clics-doculect-16-12,epen1239-std,concepticon-113,1.27,toi,shore,toi
clics-doculect-16-13,epen1239-std,concepticon-1155,1.28,'maute,cave,'maute
clics-doculect-16-14,epen1239-std,concepticon-948,1.31,pa'nia,water,pa'nia
clics-doculect-16-15,epen1239-std,concepticon-1474,1.32,'pʰusa,sea,'pkusa
clics-doculect-16-16,epen1239-std,concepticon-259,1.323,'pʰusatʰonɨ'bɨ,rough (of sea),'pkusatkoni'bi
clics-doculect-16-17,epen1239-std,concepticon-1768,1.324,kʰõpʰe'pʰee,foam,kkopke'pkee
clics-doculect-16-18,epen1239-std,concepticon-645,1.329,'pʰusa,ocean,'pkusa
clics-doculect-16-19,epen1239-std,concepticon-624,1.33,'tʰɨdato,lake,'tkidato
clics-doculect-16-20,epen1239-std,concepticon-663,1.34,to'tʰaiihoobai,"gulf, bay",to'tkaiihoobai
clics-doculect-16-21,epen1239-std,concepticon-978,1.35,'pʰusa,wave,'pkusa
clics-doculect-16-22,epen1239-std,concepticon-891,1.352,to'piru,tide,to'piru
clics-doculect-16-23,epen1239-std,concepticon-1026,1.353,to'piruhi'ratɨhõ,lowtide,to'piruhi'ratiho
clics-doculect-16-24,epen1239-std,concepticon-613,1.354,to'pirui'puru,hightide,to'pirui'puru
clics-doculect-16-25,epen1239-std,concepticon-666,1.36,to,"river, stream, brook",to
clics-doculect-16-26,epen1239-std,concepticon-666,1.36,to'čakʰe,"river, stream, brook",to'cakke
clics-doculect-16-27,epen1239-std,concepticon-1982,1.362,topʰëre'bai,whirlpool,topkere'bai
clics-doculect-16-28,epen1239-std,concepticon-1145,1.38,'euhãsu'sua,swamp,'euhasu'sua
clics-doculect-16-29,epen1239-std,concepticon-420,1.41,'mee,"woods, forest",'mee
clics-doculect-16-31,epen1239-std,concepticon-1803,1.43,pa'kʰuru,wood,pa'kkuru
clics-doculect-16-32,epen1239-std,concepticon-2125,1.44,'mau,"stone, rock",'mau
clics-doculect-16-33,epen1239-std,concepticon-6,1.45,a'wẽra'čai,earthquake,a'wera'cai
clics-doculect-16-34,epen1239-std,concepticon-1732,1.51,'pahã,sky,'paha
clics-doculect-16-35,epen1239-std,concepticon-1732,1.51,a'kʰõre'hã,sky,a'kkore'ha
clics-doculect-16-36,epen1239-std,concepticon-1343,1.52,a'kʰõre'hĩru,sun,a'kkore'hiru
clics-doculect-16-37,epen1239-std,concepticon-1313,1.53,a'tane,moon,a'tane
clics-doculect-16-38,epen1239-std,concepticon-1654,1.55,pa'baai,lightning,pa'baai
