ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-60-1,erzy1239-std,concepticon-965,1.1,mastor̃,world,mastor
clics-doculect-60-2,erzy1239-std,concepticon-626,1.21,moda,"earth, land",moda
clics-doculect-60-3,erzy1239-std,concepticon-1228,1.212,mastor̃,"earth=ground, soil",mastor
clics-doculect-60-4,erzy1239-std,concepticon-2,1.213,pulʸ,dust,puly
clics-doculect-60-5,erzy1239-std,concepticon-640,1.214,r̃udaz,mud,rudaz
clics-doculect-60-6,erzy1239-std,concepticon-671,1.215,čovar̃,sand,covar
clics-doculect-60-7,erzy1239-std,concepticon-2118,1.22,pando,"mountain, hill",pando
clics-doculect-60-8,erzy1239-std,concepticon-652,1.23,valanʸa,"plain, field",valanya
clics-doculect-60-9,erzy1239-std,concepticon-921,1.24,laymo,valley,laymo
clics-doculect-60-10,erzy1239-std,concepticon-622,1.25,usʸeya,island,usyeya
clics-doculect-60-11,erzy1239-std,concepticon-166,1.26,mastor̃,mainland,mastor
clics-doculect-60-12,erzy1239-std,concepticon-113,1.27,lʸeyčir̃ʸe,shore,lyeycirye
clics-doculect-60-13,erzy1239-std,concepticon-948,1.31,vedʸ,water,vedy
clics-doculect-60-14,erzy1239-std,concepticon-1474,1.32,inʸevedʸ,sea,inyevedy
clics-doculect-60-15,erzy1239-std,concepticon-258,1.322,setʸmeči,calm (of sea),setymeci
clics-doculect-60-16,erzy1239-std,concepticon-259,1.323,azar̃gadozʸ,rough (of sea),azargadozy
clics-doculect-60-17,erzy1239-std,concepticon-1768,1.324,čov,foam,cov
clics-doculect-60-18,erzy1239-std,concepticon-645,1.329,okean,ocean,okean
clics-doculect-60-19,erzy1239-std,concepticon-624,1.33,er̃ʸke,lake,eryke
clics-doculect-60-20,erzy1239-std,concepticon-663,1.34,usʸeya,"gulf, bay",usyeya
clics-doculect-60-21,erzy1239-std,concepticon-623,1.341,laguna,lagoon,laguna
clics-doculect-60-22,erzy1239-std,concepticon-660,1.342,r̃if,reef,rif
clics-doculect-60-23,erzy1239-std,concepticon-1662,1.343,mɨs,"headland, point",mis
clics-doculect-60-24,erzy1239-std,concepticon-978,1.35,tolkun,wave,tolkun
clics-doculect-60-25,erzy1239-std,concepticon-891,1.352,pr̃iliv,tide,priliv
clics-doculect-60-26,erzy1239-std,concepticon-666,1.36,lʸey,"river, stream, brook",lyey
clics-doculect-60-27,erzy1239-std,concepticon-1982,1.362,vedʸčar̃amka,whirlpool,vedycaramka
clics-doculect-60-28,erzy1239-std,concepticon-2144,1.37,lʸisʸmapr̃ʸa,"spring, well",lyisymaprya
clics-doculect-60-29,erzy1239-std,concepticon-1145,1.38,nuponʸčey,swamp,nuponycey
clics-doculect-60-30,erzy1239-std,concepticon-943,1.39,lʸisʸmapr̃ʸa,waterfall,lyisymaprya
clics-doculect-60-31,erzy1239-std,concepticon-943,1.39,vedʸpr̃amo,waterfall,vedypramo
clics-doculect-60-32,erzy1239-std,concepticon-420,1.41,vir̃ʸ,"woods, forest",viry
clics-doculect-60-34,erzy1239-std,concepticon-1803,1.43,penge,wood,penge
clics-doculect-60-35,erzy1239-std,concepticon-2125,1.44,kev,"stone, rock",kev
clics-doculect-60-36,erzy1239-std,concepticon-6,1.45,modasor̃adks,earthquake,modasoradks
clics-doculect-60-37,erzy1239-std,concepticon-1732,1.51,menʸelʸ,sky,menyely
clics-doculect-60-38,erzy1239-std,concepticon-1343,1.52,či,sun,ci
clics-doculect-60-39,erzy1239-std,concepticon-1313,1.53,kov,moon,kov
clics-doculect-60-40,erzy1239-std,concepticon-1430,1.54,tʸeštʸe,star,tyestye
clics-doculect-60-41,erzy1239-std,concepticon-1654,1.55,yondol,lightning,yondol
clics-doculect-60-42,erzy1239-std,concepticon-1150,1.56,pur̃ʸginʸe,thunder,puryginye
clics-doculect-60-43,erzy1239-std,concepticon-2007,1.57,yondolks,lightning (as striking),yondolks
clics-doculect-60-44,erzy1239-std,concepticon-858,1.58,davol,storm,davol
clics-doculect-60-45,erzy1239-std,concepticon-1733,1.59,pizʸemečir̃ʸke,rainbow,pizyemeciryke
clics-doculect-60-46,erzy1239-std,concepticon-630,1.61,valdoči,light (noun),valdoci
clics-doculect-60-47,erzy1239-std,concepticon-11,1.62,čopoda,darkness,copoda
clics-doculect-60-48,erzy1239-std,concepticon-1388,1.63,sulʸey,"shade, shadow",sulyey
clics-doculect-60-49,erzy1239-std,concepticon-1977,1.64,r̃osa,dew,rosa
clics-doculect-60-50,erzy1239-std,concepticon-27,1.71,košt,air,kost
clics-doculect-60-51,erzy1239-std,concepticon-960,1.72,var̃ma,wind,varma
clics-doculect-60-52,erzy1239-std,concepticon-1489,1.73,pelʸ,cloud,pely
clics-doculect-60-53,erzy1239-std,concepticon-249,1.74,suv,fog,suv
clics-doculect-60-54,erzy1239-std,concepticon-658,1.75,pizʸeme,rain (noun),pizyeme
clics-doculect-60-55,erzy1239-std,concepticon-784,1.76,lov,snow (noun),lov
clics-doculect-60-56,erzy1239-std,concepticon-617,1.77,ey,ice,ey
clics-doculect-60-57,erzy1239-std,concepticon-952,1.78,venʸelʸks,weather,venyelyks
clics-doculect-60-58,erzy1239-std,concepticon-952,1.78,ušo,weather,uso
clics-doculect-60-59,erzy1239-std,concepticon-221,1.81,tol,fire,tol
clics-doculect-60-60,erzy1239-std,concepticon-889,1.82,tolgelʸ,flame (noun),tolgely
clics-doculect-60-61,erzy1239-std,concepticon-778,1.83,kačamo,smoke (noun),kacamo
clics-doculect-60-62,erzy1239-std,concepticon-646,1.84,kulov,ashes,kulov
clics-doculect-60-63,erzy1239-std,concepticon-67,1.841,kulovt,embers,kulovt
clics-doculect-60-64,erzy1239-std,concepticon-141,1.851,paloms,burn (vb trans),paloms
clics-doculect-60-65,erzy1239-std,concepticon-1428,1.852,pultams,burn (vb intrans),pultams
clics-doculect-60-66,erzy1239-std,concepticon-737,1.86,kir̃vasʸtʸems,"light, kindle, ignite",kirvasytyems
clics-doculect-60-67,erzy1239-std,concepticon-127,1.861,mac̷ʸtʸems,extinguish,macytyems
clics-doculect-60-68,erzy1239-std,concepticon-1133,1.87,sar̃dɨnʸkat,match (noun),sardinykat
clics-doculect-60-69,erzy1239-std,concepticon-10,1.88,penge,firewood,penge
clics-doculect-60-70,erzy1239-std,concepticon-1188,1.89,ugolʸ,charcoal,ugoly
clics-doculect-60-71,erzy1239-std,concepticon-683,2.1,lomanʸ,"person, human being",lomany
clics-doculect-60-72,erzy1239-std,concepticon-1554,2.21,lomanʸ,man (vs. woman),lomany
clics-doculect-60-73,erzy1239-std,concepticon-962,2.22,avalomanʸ,woman,avalomany
clics-doculect-60-74,erzy1239-std,concepticon-1553,2.23,c̷ʸor̃anʸ,male,cyorany
clics-doculect-60-75,erzy1239-std,concepticon-1551,2.24,avanʸ,female,avany
clics-doculect-60-76,erzy1239-std,concepticon-1366,2.25,c̷ʸor̃ɨnʸe,boy,cyorinye
clics-doculect-60-77,erzy1239-std,concepticon-76,2.251,odlomanʸ,young man (adolescent),odlomany
clics-doculect-60-78,erzy1239-std,concepticon-1646,2.26,tʸeytʸer̃ʸ,girl,tyeytyery
clics-doculect-60-79,erzy1239-std,concepticon-77,2.261,odtʸeytʸer̃ʸ,young woman (adolescent),odtyeytyery
clics-doculect-60-80,erzy1239-std,concepticon-1304,2.27,eykakš,child,eykaks
clics-doculect-60-81,erzy1239-std,concepticon-1289,2.28,eydʸe,"infant, baby",eydye
clics-doculect-60-82,erzy1239-std,concepticon-1200,2.31,mir̃ʸdʸe,husband,mirydye
clics-doculect-60-83,erzy1239-std,concepticon-1199,2.32,nʸi,wife,nyi
clics-doculect-60-84,erzy1239-std,concepticon-203,2.33,ur̃ʸvakstoms,marry,uryvakstoms
clics-doculect-60-85,erzy1239-std,concepticon-203,2.33,venčams,marry,vencams
clics-doculect-60-86,erzy1239-std,concepticon-1259,2.34,svadʸba,"marriage, wedding",svadyba
clics-doculect-60-87,erzy1239-std,concepticon-1134,2.341,yavoma,divorce,yavoma
clics-doculect-60-88,erzy1239-std,concepticon-1217,2.35,tʸetʸa,father,tyetya
clics-doculect-60-89,erzy1239-std,concepticon-1216,2.36,ava,mother,ava
clics-doculect-60-90,erzy1239-std,concepticon-505,2.37,tʸetʸat–avat,parents,tyetyat-avat
clics-doculect-60-91,erzy1239-std,concepticon-424,2.38,ur̃ʸvakstozʸc̷ʸora,married man,uryvakstozycyora
clics-doculect-60-92,erzy1239-std,concepticon-426,2.39,venčazʸava,married woman,vencazyava
clics-doculect-60-93,erzy1239-std,concepticon-1620,2.41,c̷ʸor̃a,son,cyora
clics-doculect-60-94,erzy1239-std,concepticon-1357,2.42,tʸeytʸer̃ʸ,daughter,tyeytyery
clics-doculect-60-95,erzy1239-std,concepticon-1801,2.43,eykakš,offspring (son or daughter),eykaks
clics-doculect-60-96,erzy1239-std,concepticon-1262,2.44,lʸelʸa,brother,lyelya
clics-doculect-60-97,erzy1239-std,concepticon-1760,2.445,yalaks,younger brother,yalaks
clics-doculect-60-98,erzy1239-std,concepticon-1263,2.45,patʸa,sister,patya
clics-doculect-60-99,erzy1239-std,concepticon-1758,2.454,patʸa,older sister,patya
clics-doculect-60-100,erzy1239-std,concepticon-1761,2.455,sazor̃,younger sister,sazor
clics-doculect-60-101,erzy1239-std,concepticon-1640,2.456,eykakšt,sibling,eykakst
clics-doculect-60-102,erzy1239-std,concepticon-1005,2.458,kaltasʸketʸ,twins,kaltasykety
clics-doculect-60-103,erzy1239-std,concepticon-1383,2.46,bodʸa,grandfather,bodya
clics-doculect-60-104,erzy1239-std,concepticon-1383,2.46,pokštʸa,grandfather,pokstya
clics-doculect-60-105,erzy1239-std,concepticon-406,2.461,atʸa,old man,atya
clics-doculect-60-106,erzy1239-std,concepticon-1496,2.47,sɨr̃ʸebaba,grandmother,siryebaba
clics-doculect-60-107,erzy1239-std,concepticon-907,2.471,sɨr̃ʸelomanʸ,old woman,siryelomany
clics-doculect-60-108,erzy1239-std,concepticon-1618,2.48,nuc̷ʸka,grandson,nucyka
clics-doculect-60-109,erzy1239-std,concepticon-1619,2.49,nuc̷ʸka,granddaughter,nucyka
clics-doculect-60-110,erzy1239-std,concepticon-1327,2.51,lʸelʸa,uncle,lyelya
clics-doculect-60-111,erzy1239-std,concepticon-1984,2.511,lʸelʸa,mother's brother,lyelya
clics-doculect-60-112,erzy1239-std,concepticon-1985,2.512,lʸelʸax,father's brother,lyelyax
clics-doculect-60-113,erzy1239-std,concepticon-1272,2.52,sɨr̃ʸepatʸa,aunt,siryepatya
clics-doculect-60-114,erzy1239-std,concepticon-171,2.521,sɨr̃ʸkay,mother's sister,sirykay
clics-doculect-60-115,erzy1239-std,concepticon-170,2.522,sɨr̃ʸkay,father's sister,sirykay
clics-doculect-60-116,erzy1239-std,concepticon-1063,2.53,lʸelʸanʸc̷ʸor̃a,nephew,lyelyanycyora
clics-doculect-60-117,erzy1239-std,concepticon-1642,2.54,patʸanʸtʸeytʸer̃ʸ,niece,patyanytyeytyery
clics-doculect-60-118,erzy1239-std,concepticon-1643,2.55,lʸelʸa,cousin,lyelya
clics-doculect-60-119,erzy1239-std,concepticon-1669,2.56,pokštʸat–babat,ancestors,pokstyat-babat
clics-doculect-60-120,erzy1239-std,concepticon-490,2.57,r̃asʸke,descendants,rasyke
clics-doculect-60-121,erzy1239-std,concepticon-2255,2.61,atʸavt,father-in-law (of a man),atyavt
clics-doculect-60-122,erzy1239-std,concepticon-2254,2.611,atʸavt,father-in-law (of a woman),atyavt
clics-doculect-60-123,erzy1239-std,concepticon-2256,2.62,nʸizanʸa,mother-in-law (of a man),nyizanya
clics-doculect-60-124,erzy1239-std,concepticon-2257,2.621,avavt,mother-in-law (of a woman),avavt
clics-doculect-60-125,erzy1239-std,concepticon-2267,2.63,sodamo,son-in-law (of a man),sodamo
clics-doculect-60-126,erzy1239-std,concepticon-2266,2.631,sodamo,son-in-law (of a woman),sodamo
clics-doculect-60-127,erzy1239-std,concepticon-2265,2.64,ur̃ʸva,daughter-in-law (of a man),uryva
clics-doculect-60-128,erzy1239-std,concepticon-2264,2.641,ur̃ʸaž,daughter-in-law (of a woman),uryaz
clics-doculect-60-129,erzy1239-std,concepticon-237,2.71,sayenʸtʸetʸa,stepfather,sayenytyetya
clics-doculect-60-130,erzy1239-std,concepticon-236,2.72,odava,stepmother,odava
clics-doculect-60-131,erzy1239-std,concepticon-1059,2.73,sayenʸeykakš,stepson,sayenyeykaks
clics-doculect-60-132,erzy1239-std,concepticon-1058,2.74,sayenʸtʸeytʸer̃ʸ,stepdaughter,sayenytyeytyery
clics-doculect-60-133,erzy1239-std,concepticon-1149,2.75,ur̃oz,orphan,uroz
clics-doculect-60-134,erzy1239-std,concepticon-1756,2.76,dova,widow,dova
clics-doculect-60-135,erzy1239-std,concepticon-1981,2.77,dova,widower,dova
clics-doculect-60-136,erzy1239-std,concepticon-1644,2.81,r̃asʸketʸ,"relatives, kinsmen",rasykety
clics-doculect-60-137,erzy1239-std,concepticon-194,2.82,sʸemiya,family,syemiya
clics-doculect-60-138,erzy1239-std,concepticon-1209,2.91,mon,I,mon
clics-doculect-60-139,erzy1239-std,concepticon-1215,2.92,ton,you (singular),ton
clics-doculect-60-140,erzy1239-std,concepticon-262,2.93,son,he/she/it,son
clics-doculect-60-141,erzy1239-std,concepticon-1212,2.94,minʸ,we,miny
clics-doculect-60-142,erzy1239-std,concepticon-1131,2.941,minʸc̷ʸ,we (inclusive),minycy
clics-doculect-60-143,erzy1239-std,concepticon-1130,2.942,minʸc̷ʸ,we (exclusive),minycy
clics-doculect-60-144,erzy1239-std,concepticon-1213,2.95,tɨnʸ,you (plural),tiny
clics-doculect-60-145,erzy1239-std,concepticon-817,2.96,sɨnʸ,they,siny
clics-doculect-60-146,erzy1239-std,concepticon-619,3.11,r̃akša,animal,raksa
clics-doculect-60-147,erzy1239-std,concepticon-2261,3.12,atʸaka,male (adj),atyaka
clics-doculect-60-148,erzy1239-std,concepticon-2262,3.13,avaka,female (adj),avaka
clics-doculect-60-149,erzy1239-std,concepticon-631,3.15,kudoyutkonʸr̃akša,livestock,kudoyutkonyraksa
clics-doculect-60-150,erzy1239-std,concepticon-649,3.16,vanomatar̃ka,pasture,vanomatarka
clics-doculect-60-151,erzy1239-std,concepticon-263,3.18,stadavanɨ,herdsman,stadavani
clics-doculect-60-152,erzy1239-std,concepticon-851,3.19,kar̃do,"stable, stall",kardo
clics-doculect-60-153,erzy1239-std,concepticon-1153,3.2,kudonʸr̃akšat,cattle (bovine),kudonyraksat
clics-doculect-60-154,erzy1239-std,concepticon-1008,3.21,buka,bull,buka
clics-doculect-60-155,erzy1239-std,concepticon-1169,3.22,pičkavtozʸbuka,ox,pickavtozybuka
clics-doculect-60-156,erzy1239-std,concepticon-1007,3.23,skal,cow,skal
clics-doculect-60-157,erzy1239-std,concepticon-1989,3.24,vaz,calf,vaz
clics-doculect-60-158,erzy1239-std,concepticon-1331,3.25,r̃ʸeve,sheep,ryeve
clics-doculect-60-159,erzy1239-std,concepticon-1344,3.26,bar̃an,ram,baran
clics-doculect-60-160,erzy1239-std,concepticon-1345,3.28,r̃ʸeve,ewe,ryeve
clics-doculect-60-161,erzy1239-std,concepticon-820,3.29,r̃ʸevelʸevks,lamb,ryevelyevks
