ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-201-1,esee1247-Huarayo,concepticon-965,1.1,meši,world,mesi
clics-doculect-201-2,esee1247-Huarayo,concepticon-626,1.21,meši,"earth, land",mesi
clics-doculect-201-3,esee1247-Huarayo,concepticon-1228,1.212,meši,"earth=ground, soil",mesi
clics-doculect-201-4,esee1247-Huarayo,concepticon-2,1.213,kiapoi,dust,kiapoi
clics-doculect-201-5,esee1247-Huarayo,concepticon-640,1.214,našapa,mud,nasapa
clics-doculect-201-6,esee1247-Huarayo,concepticon-671,1.215,mešihahi,sand,mesihahi
clics-doculect-201-7,esee1247-Huarayo,concepticon-2118,1.22,ebawa,"mountain, hill",ebawa
clics-doculect-201-8,esee1247-Huarayo,concepticon-618,1.222,epawa,"cliff, precipice",epawa
clics-doculect-201-9,esee1247-Huarayo,concepticon-618,1.222,ekwewewe,"cliff, precipice",ekwewewe
clics-doculect-201-10,esee1247-Huarayo,concepticon-652,1.23,weniweni,"plain, field",weniweni
clics-doculect-201-11,esee1247-Huarayo,concepticon-622,1.25,edoxoxa,island,edoxoxa
clics-doculect-201-12,esee1247-Huarayo,concepticon-1155,1.28,edoxo,cave,edoxo
clics-doculect-201-13,esee1247-Huarayo,concepticon-948,1.31,e'na,water,e'na
clics-doculect-201-14,esee1247-Huarayo,concepticon-1768,1.324,wapa,foam,wapa
clics-doculect-201-15,esee1247-Huarayo,concepticon-624,1.33,bai,lake,bai
clics-doculect-201-16,esee1247-Huarayo,concepticon-623,1.341,baisisi,lagoon,baisisi
clics-doculect-201-17,esee1247-Huarayo,concepticon-978,1.35,enašoxo,wave,enasoxo
clics-doculect-201-18,esee1247-Huarayo,concepticon-666,1.36,e'na,"river, stream, brook",e'na
clics-doculect-201-19,esee1247-Huarayo,concepticon-1982,1.362,baeti,whirlpool,baeti
clics-doculect-201-20,esee1247-Huarayo,concepticon-2144,1.37,taa,"spring, well",taa
clics-doculect-201-21,esee1247-Huarayo,concepticon-1145,1.38,našapawawawawa,swamp,nasapawawawawa
clics-doculect-201-22,esee1247-Huarayo,concepticon-943,1.39,etaasisi,waterfall,etaasisi
clics-doculect-201-23,esee1247-Huarayo,concepticon-420,1.41,ebio,"woods, forest",ebio
clics-doculect-201-25,esee1247-Huarayo,concepticon-2125,1.44,saso,"stone, rock",saso
clics-doculect-201-26,esee1247-Huarayo,concepticon-1732,1.51,eya,sky,eya
clics-doculect-201-27,esee1247-Huarayo,concepticon-1343,1.52,ešeti,sun,eseti
clics-doculect-201-28,esee1247-Huarayo,concepticon-1313,1.53,baʔi,moon,ba?i
clics-doculect-201-29,esee1247-Huarayo,concepticon-1430,1.54,čiče,star,cice
clics-doculect-201-30,esee1247-Huarayo,concepticon-1654,1.55,poxexe,lightning,poxexe
clics-doculect-201-31,esee1247-Huarayo,concepticon-1150,1.56,kwehi,thunder,kwehi
clics-doculect-201-32,esee1247-Huarayo,concepticon-2007,1.57,ka'aa,lightning (as striking),ka'aa
clics-doculect-201-33,esee1247-Huarayo,concepticon-858,1.58,enaʔai,storm,ena?ai
clics-doculect-201-34,esee1247-Huarayo,concepticon-1733,1.59,ešixe,rainbow,esixe
clics-doculect-201-35,esee1247-Huarayo,concepticon-630,1.61,ededoxi,light (noun),ededoxi
clics-doculect-201-36,esee1247-Huarayo,concepticon-11,1.62,ededoxiča'ma,darkness,ededoxica'ma
clics-doculect-201-37,esee1247-Huarayo,concepticon-1388,1.63,ešawa,"shade, shadow",esawa
clics-doculect-201-38,esee1247-Huarayo,concepticon-1977,1.64,ešioo,dew,esioo
clics-doculect-201-39,esee1247-Huarayo,concepticon-27,1.71,beni,air,beni
clics-doculect-201-40,esee1247-Huarayo,concepticon-960,1.72,beni,wind,beni
