ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-36-1,espe1235-std,concepticon-1228,1.212,tereno,"earth=ground, soil",tereno
clics-doculect-36-2,espe1235-std,concepticon-2,1.213,polvo,dust,polvo
clics-doculect-36-3,espe1235-std,concepticon-640,1.214,koto,mud,koto
clics-doculect-36-4,espe1235-std,concepticon-618,1.222,krutajo,"cliff, precipice",krutajo
clics-doculect-36-5,espe1235-std,concepticon-618,1.222,krutejo,"cliff, precipice",krutejo
clics-doculect-36-6,espe1235-std,concepticon-921,1.24,vallando,valley,vallando
clics-doculect-36-7,espe1235-std,concepticon-1155,1.28,antro,cave,antro
clics-doculect-36-8,espe1235-std,concepticon-258,1.322,kvietigi,calm (of sea),kvietigi
clics-doculect-36-9,espe1235-std,concepticon-258,1.322,kvietigi,calm (of sea),kvietigi
clics-doculect-36-10,espe1235-std,concepticon-258,1.322,kalma,calm (of sea),kalma
clics-doculect-36-11,espe1235-std,concepticon-258,1.322,kvieto,calm (of sea),kvieto
clics-doculect-36-12,espe1235-std,concepticon-259,1.323,proksimuma,rough (of sea),proksimuma
clics-doculect-36-13,espe1235-std,concepticon-663,1.34,lauro,"gulf, bay",lauro
clics-doculect-36-14,espe1235-std,concepticon-663,1.34,moko,"gulf, bay",moko
clics-doculect-36-15,espe1235-std,concepticon-623,1.341,laguno,lagoon,laguno
clics-doculect-36-16,espe1235-std,concepticon-891,1.352,tajdo,tide,tajdo
clics-doculect-36-17,espe1235-std,concepticon-613,1.354,altatajdo,hightide,altatajdo
clics-doculect-36-18,espe1235-std,concepticon-1982,1.362,akvokirlo,whirlpool,akvokirlo
clics-doculect-36-19,espe1235-std,concepticon-1982,1.362,vortico,whirlpool,vortico
clics-doculect-36-20,espe1235-std,concepticon-1982,1.362,akvoturniĝo,whirlpool,akvoturnigo
clics-doculect-36-21,espe1235-std,concepticon-420,1.41,arbaro,"woods, forest",arbaro
clics-doculect-36-22,espe1235-std,concepticon-6,1.45,tertremo,earthquake,tertremo
clics-doculect-36-23,espe1235-std,concepticon-1150,1.56,tondro,thunder,tondro
clics-doculect-36-24,espe1235-std,concepticon-630,1.61,lumo,light (noun),lumo
clics-doculect-36-25,espe1235-std,concepticon-11,1.62,malheleco,darkness,malheleco
clics-doculect-36-26,espe1235-std,concepticon-1388,1.63,ombro,"shade, shadow",ombro
clics-doculect-36-27,espe1235-std,concepticon-889,1.82,flamo,flame (noun),flamo
clics-doculect-36-28,espe1235-std,concepticon-646,1.84,frakseno,ashes,frakseno
clics-doculect-36-29,espe1235-std,concepticon-646,1.84,cindro,ashes,cindro
clics-doculect-36-30,espe1235-std,concepticon-67,1.841,braĝo,embers,brago
clics-doculect-36-31,espe1235-std,concepticon-141,1.851,bruligi,burn (vb trans),bruligi
clics-doculect-36-32,espe1235-std,concepticon-1188,1.89,karbetaro,charcoal,karbetaro
clics-doculect-36-33,espe1235-std,concepticon-765,10.11,transloĝiĝi,move,translogigi
clics-doculect-36-34,espe1235-std,concepticon-765,10.11,movi,move,movi
clics-doculect-36-35,espe1235-std,concepticon-1588,10.12,turni,turn over,turni
clics-doculect-36-36,espe1235-std,concepticon-1588,10.12,turniĝi,turn over,turnigi
clics-doculect-36-37,espe1235-std,concepticon-1588,10.12,turni,turn over,turni
clics-doculect-36-38,espe1235-std,concepticon-430,10.17,ĉirkaŭvolvi,twist,cirkauvolvi
clics-doculect-36-39,espe1235-std,concepticon-430,10.17,ĉirkaŭtordi,twist,cirkautordi
clics-doculect-36-40,espe1235-std,concepticon-568,10.21,levigˆi,rise,levig^i
clics-doculect-36-41,espe1235-std,concepticon-568,10.21,leviĝi,rise,levigi
clics-doculect-36-42,espe1235-std,concepticon-1280,10.23,fali,fall,fali
clics-doculect-36-43,espe1235-std,concepticon-2253,10.24,guteti,drip,guteti
clics-doculect-36-44,espe1235-std,concepticon-1909,10.26,agiti,shake,agiti
clics-doculect-36-45,espe1235-std,concepticon-1909,10.26,skui,shake,skui
clics-doculect-36-46,espe1235-std,concepticon-1088,10.33,alfundigi,sink,alfundigi
clics-doculect-36-47,espe1235-std,concepticon-1439,10.35,naĝi,swim,nagi
clics-doculect-36-48,espe1235-std,concepticon-787,10.36,veli,sail (vb),veli
clics-doculect-36-49,espe1235-std,concepticon-175,10.38,blovi,blow,blovi
clics-doculect-36-50,espe1235-std,concepticon-66,10.412,surgenuigi,kneel,surgenuigi
clics-doculect-36-51,espe1235-std,concepticon-296,10.413,kaŭriĝi,crouch,kaurigi
clics-doculect-36-52,espe1235-std,concepticon-296,10.413,bobeniĝi,crouch,bobenigi
clics-doculect-36-53,espe1235-std,concepticon-296,10.413,kunvolviĝi,crouch,kunvolvigi
clics-doculect-36-54,espe1235-std,concepticon-296,10.413,kaŭriĝi,crouch,kaurigi
clics-doculect-36-55,espe1235-std,concepticon-296,10.413,ekkaŭri,crouch,ekkauri
clics-doculect-36-56,espe1235-std,concepticon-1829,10.43,salti,"jump, leap",salti
clics-doculect-36-57,espe1235-std,concepticon-1135,10.431,stamfi,kick,stamfi
clics-doculect-36-58,espe1235-std,concepticon-1443,10.45,paŝi,walk,pasi
clics-doculect-36-59,espe1235-std,concepticon-1519,10.46,kuri,run,kuri
clics-doculect-36-60,espe1235-std,concepticon-1519,10.46,funkcii,run,funkcii
clics-doculect-36-61,espe1235-std,concepticon-695,10.47,iri,go,iri
clics-doculect-36-62,espe1235-std,concepticon-1102,10.472,grimpi,climb,grimpi
clics-doculect-36-63,espe1235-std,concepticon-1446,10.48,veni,come,veni
clics-doculect-36-64,espe1235-std,concepticon-485,10.491,malaperi,disappear,malaperi
clics-doculect-36-65,espe1235-std,concepticon-485,10.491,forviŝiĝi,disappear,forvisigi
clics-doculect-36-66,espe1235-std,concepticon-956,10.51,fuĝi,flee,fugi
clics-doculect-36-67,espe1235-std,concepticon-1085,10.52,sekvi,follow,sekvi
clics-doculect-36-68,espe1235-std,concepticon-1387,10.55,atingi,"reach, arrive",atingi
clics-doculect-36-69,espe1235-std,concepticon-1387,10.55,alveni,"reach, arrive",alveni
clics-doculect-36-70,espe1235-std,concepticon-1778,10.56,proksimiĝi,approach,proksimigi
clics-doculect-36-71,espe1235-std,concepticon-1778,10.56,proksimi,approach,proksimi
clics-doculect-36-72,espe1235-std,concepticon-1778,10.56,proksimigi,approach,proksimigi
clics-doculect-36-73,espe1235-std,concepticon-749,10.57,eniri,enter,eniri
clics-doculect-36-74,espe1235-std,concepticon-692,10.62,alporti,bring,alporti
clics-doculect-36-75,espe1235-std,concepticon-1127,10.63,eligi,send,eligi
clics-doculect-36-76,espe1235-std,concepticon-1127,10.63,forsendi,send,forsendi
clics-doculect-36-77,espe1235-std,concepticon-367,10.66,rajdi,ride,rajdi
clics-doculect-36-78,espe1235-std,concepticon-1452,10.67,puŝi,"push, shove",pusi
clics-doculect-36-79,espe1235-std,concepticon-1452,10.67,peli,"push, shove",peli
clics-doculect-36-80,espe1235-std,concepticon-667,10.71,vojo,road,vojo
