ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-174-1,gali1258-std,concepticon-640,1.214,lama,mud,lama
clics-doculect-174-2,gali1258-std,concepticon-618,1.222,cantil,"cliff, precipice",cantil
clics-doculect-174-3,gali1258-std,concepticon-652,1.23,chaira,"plain, field",chaira
clics-doculect-174-4,gali1258-std,concepticon-1155,1.28,cova,cave,cova
clics-doculect-174-5,gali1258-std,concepticon-258,1.322,acalmar,calm (of sea),acalmar
clics-doculect-174-6,gali1258-std,concepticon-258,1.322,acalmar,calm (of sea),acalmar
clics-doculect-174-7,gali1258-std,concepticon-258,1.322,calmo,calm (of sea),calmo
clics-doculect-174-8,gali1258-std,concepticon-258,1.322,calma,calm (of sea),calma
clics-doculect-174-9,gali1258-std,concepticon-259,1.323,aproximadamente,rough (of sea),aproximadamente
clics-doculect-174-10,gali1258-std,concepticon-663,1.34,baía,"gulf, bay",baia
clics-doculect-174-11,gali1258-std,concepticon-891,1.352,marea,tide,marea
clics-doculect-174-12,gali1258-std,concepticon-420,1.41,foresta,"woods, forest",foresta
clics-doculect-174-13,gali1258-std,concepticon-1150,1.56,trono,thunder,trono
clics-doculect-174-14,gali1258-std,concepticon-630,1.61,luz,light (noun),luz
clics-doculect-174-15,gali1258-std,concepticon-11,1.62,escuridade,darkness,escuridade
clics-doculect-174-16,gali1258-std,concepticon-1977,1.64,orballo,dew,orballo
clics-doculect-174-17,gali1258-std,concepticon-889,1.82,chama,flame (noun),chama
clics-doculect-174-18,gali1258-std,concepticon-646,1.84,freixo,ashes,freixo
clics-doculect-174-19,gali1258-std,concepticon-646,1.84,cinsa,ashes,cinsa
clics-doculect-174-20,gali1258-std,concepticon-67,1.841,brasa,embers,brasa
clics-doculect-174-21,gali1258-std,concepticon-141,1.851,queimar,burn (vb trans),queimar
clics-doculect-174-22,gali1258-std,concepticon-141,1.851,abrasar,burn (vb trans),abrasar
clics-doculect-174-23,gali1258-std,concepticon-127,1.861,extinguir,extinguish,extinguir
clics-doculect-174-24,gali1258-std,concepticon-1188,1.89,carbónvexetal,charcoal,carbonvexetal
clics-doculect-174-25,gali1258-std,concepticon-765,10.11,mudar,move,mudar
clics-doculect-174-26,gali1258-std,concepticon-765,10.11,mover,move,mover
clics-doculect-174-27,gali1258-std,concepticon-1588,10.12,xirar,turn over,xirar
clics-doculect-174-28,gali1258-std,concepticon-1588,10.12,xirar,turn over,xirar
clics-doculect-174-29,gali1258-std,concepticon-430,10.17,torcer,twist,torcer
clics-doculect-174-30,gali1258-std,concepticon-568,10.21,alzarse,rise,alzarse
clics-doculect-174-31,gali1258-std,concepticon-568,10.21,xurdir,rise,xurdir
clics-doculect-174-32,gali1258-std,concepticon-501,10.22,elevar,"raise, lift",elevar
clics-doculect-174-33,gali1258-std,concepticon-1280,10.23,caer,fall,caer
clics-doculect-174-34,gali1258-std,concepticon-2253,10.24,pingar,drip,pingar
clics-doculect-174-35,gali1258-std,concepticon-1456,10.25,botar,throw,botar
clics-doculect-174-36,gali1258-std,concepticon-1909,10.26,axitar,shake,axitar
clics-doculect-174-37,gali1258-std,concepticon-1909,10.26,sacudir,shake,sacudir
clics-doculect-174-38,gali1258-std,concepticon-1088,10.33,afundir,sink,afundir
clics-doculect-174-39,gali1258-std,concepticon-1439,10.35,nadar,swim,nadar
clics-doculect-174-40,gali1258-std,concepticon-175,10.38,soprar,blow,soprar
clics-doculect-174-41,gali1258-std,concepticon-296,10.413,pousar,crouch,pousar
clics-doculect-174-42,gali1258-std,concepticon-296,10.413,encrequenarse,crouch,encrequenarse
clics-doculect-174-43,gali1258-std,concepticon-296,10.413,pórsedecrequenas,crouch,porsedecrequenas
clics-doculect-174-44,gali1258-std,concepticon-1829,10.43,saltar,"jump, leap",saltar
clics-doculect-174-45,gali1258-std,concepticon-1135,10.431,chutar,kick,chutar
clics-doculect-174-46,gali1258-std,concepticon-1443,10.45,camiñar,walk,caminar
clics-doculect-174-47,gali1258-std,concepticon-1519,10.46,funcionar,run,funcionar
clics-doculect-174-48,gali1258-std,concepticon-695,10.47,ir,go,ir
clics-doculect-174-49,gali1258-std,concepticon-1102,10.472,gabear,climb,gabear
clics-doculect-174-50,gali1258-std,concepticon-1102,10.472,rubir,climb,rubir
clics-doculect-174-51,gali1258-std,concepticon-1107,10.474,saír,go out,sair
clics-doculect-174-52,gali1258-std,concepticon-485,10.491,desaparecer,disappear,desaparecer
clics-doculect-174-53,gali1258-std,concepticon-485,10.491,desaparecer,disappear,desaparecer
clics-doculect-174-54,gali1258-std,concepticon-1085,10.52,seguir,follow,seguir
clics-doculect-174-55,gali1258-std,concepticon-1387,10.55,chegar,"reach, arrive",chegar
clics-doculect-174-56,gali1258-std,concepticon-1387,10.55,chegar,"reach, arrive",chegar
clics-doculect-174-57,gali1258-std,concepticon-1778,10.56,aproximarse,approach,aproximarse
clics-doculect-174-58,gali1258-std,concepticon-1778,10.56,aproximarse,approach,aproximarse
clics-doculect-174-59,gali1258-std,concepticon-1778,10.56,aproximar,approach,aproximar
clics-doculect-174-60,gali1258-std,concepticon-749,10.57,entrar,enter,entrar
clics-doculect-174-61,gali1258-std,concepticon-692,10.62,traer,bring,traer
clics-doculect-174-62,gali1258-std,concepticon-1127,10.63,mandar,send,mandar
clics-doculect-174-63,gali1258-std,concepticon-1127,10.63,ofrecer,send,ofrecer
clics-doculect-174-64,gali1258-std,concepticon-367,10.66,montar,ride,montar
clics-doculect-174-65,gali1258-std,concepticon-1452,10.67,empuxar,"push, shove",empuxar
clics-doculect-174-66,gali1258-std,concepticon-667,10.71,estrada,road,estrada
clics-doculect-174-67,gali1258-std,concepticon-1769,10.77,eixo,axle,eixo
