ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-108-1,ghod1238-std,concepticon-965,1.1,дунел,world,dunel
clics-doculect-108-2,ghod1238-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-108-3,ghod1238-std,concepticon-1228,1.212,ракьи,"earth=ground, soil",rak'i
clics-doculect-108-4,ghod1238-std,concepticon-1228,1.212,унщи,"earth=ground, soil",unshchi
clics-doculect-108-5,ghod1238-std,concepticon-2,1.213,дада,dust,dada
clics-doculect-108-6,ghod1238-std,concepticon-640,1.214,чарта,mud,charta
clics-doculect-108-7,ghod1238-std,concepticon-671,1.215,сира,sand,sira
clics-doculect-108-8,ghod1238-std,concepticon-2118,1.22,бегьилрекъа,"mountain, hill",beg'ilrek'a
clics-doculect-108-9,ghod1238-std,concepticon-2118,1.22,бе̅л,"mountain, hill",bel
clics-doculect-108-10,ghod1238-std,concepticon-618,1.222,кьуду,"cliff, precipice",k'udu
clics-doculect-108-11,ghod1238-std,concepticon-652,1.23,хури,"plain, field",khuri
clics-doculect-108-12,ghod1238-std,concepticon-921,1.24,реккин,valley,rekkin
clics-doculect-108-13,ghod1238-std,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-108-14,ghod1238-std,concepticon-166,1.26,бечІухаракьи,mainland,bechIukharak'i
clics-doculect-108-15,ghod1238-std,concepticon-113,1.27,релъалІибакил,shore,rel'alIibakil
clics-doculect-108-16,ghod1238-std,concepticon-1155,1.28,речча,cave,rechcha
clics-doculect-108-17,ghod1238-std,concepticon-948,1.31,лълъени,water,l'l'eni
clics-doculect-108-18,ghod1238-std,concepticon-1474,1.32,релъа,sea,rel'a
clics-doculect-108-19,ghod1238-std,concepticon-258,1.322,щинтІибурелъа,calm (of sea),shchintIiburel'a
clics-doculect-108-20,ghod1238-std,concepticon-259,1.323,гьалагʼаб,rough (of sea),g'alag'ab
clics-doculect-108-21,ghod1238-std,concepticon-1768,1.324,пали,foam,pali
clics-doculect-108-22,ghod1238-std,concepticon-645,1.329,бечІухарелъа,ocean,bechIukharel'a
clics-doculect-108-23,ghod1238-std,concepticon-624,1.33,игьуру,lake,ig'uru
clics-doculect-108-24,ghod1238-std,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-108-25,ghod1238-std,concepticon-891,1.352,релъагьикьимунир,tide,rel'ag'ik'imunir
clics-doculect-108-26,ghod1238-std,concepticon-1026,1.353,гьикьибуккуди,lowtide,g'ik'ibukkudi
clics-doculect-108-27,ghod1238-std,concepticon-613,1.354,гьикьимуни,hightide,g'ik'imuni
clics-doculect-108-28,ghod1238-std,concepticon-666,1.36,инххилълъинс̅а,"river, stream, brook",inkhkhil'l'insa
clics-doculect-108-29,ghod1238-std,concepticon-1982,1.362,х̅арадатабулълъени,whirlpool,kharadatabul'l'eni
clics-doculect-108-30,ghod1238-std,concepticon-2144,1.37,къулгІе,"spring, well",k'ulgIe
clics-doculect-108-31,ghod1238-std,concepticon-1145,1.38,лълъинц̅у,swamp,l'l'intsu
clics-doculect-108-32,ghod1238-std,concepticon-943,1.39,чорча,waterfall,chorcha
clics-doculect-108-33,ghod1238-std,concepticon-420,1.41,рущлъи,"woods, forest",rushchl'i
clics-doculect-108-34,ghod1238-std,concepticon-420,1.41,руша,"woods, forest",rusha
clics-doculect-108-36,ghod1238-std,concepticon-1803,1.43,лъуди,wood,l'udi
clics-doculect-108-37,ghod1238-std,concepticon-2125,1.44,анча,"stone, rock",ancha
clics-doculect-108-38,ghod1238-std,concepticon-2125,1.44,кьуду,"stone, rock",k'udu
clics-doculect-108-39,ghod1238-std,concepticon-6,1.45,мусалул̅абир,earthquake,musalulabir
clics-doculect-108-40,ghod1238-std,concepticon-1732,1.51,решин,sky,reshin
clics-doculect-108-41,ghod1238-std,concepticon-1343,1.52,милъи,sun,mil'i
clics-doculect-108-42,ghod1238-std,concepticon-1313,1.53,пурц̅у,moon,purtsu
clics-doculect-108-43,ghod1238-std,concepticon-1430,1.54,ц̅айи,star,tsaii
clics-doculect-108-44,ghod1238-std,concepticon-1654,1.55,пири,lightning,piri
clics-doculect-108-45,ghod1238-std,concepticon-1654,1.55,гъугъадир,lightning,g'ug'adir
clics-doculect-108-46,ghod1238-std,concepticon-1150,1.56,решинхуди,thunder,reshinkhudi
clics-doculect-108-47,ghod1238-std,concepticon-2007,1.57,пири,lightning (as striking),piri
clics-doculect-108-48,ghod1238-std,concepticon-858,1.58,бечІухамучу,storm,bechIukhamuchu
clics-doculect-108-49,ghod1238-std,concepticon-1733,1.59,цІивуцІаву,rainbow,tsIivutsIavu
clics-doculect-108-50,ghod1238-std,concepticon-630,1.61,кванулъир,light (noun),kvanul'ir
clics-doculect-108-51,ghod1238-std,concepticon-11,1.62,синдилъир,darkness,sindil'ir
clics-doculect-108-52,ghod1238-std,concepticon-1388,1.63,гьанччу,"shade, shadow",g'anchchu
clics-doculect-108-53,ghod1238-std,concepticon-1977,1.64,щибил,dew,shchibil
clics-doculect-108-54,ghod1238-std,concepticon-1977,1.64,шиби,dew,shibi
clics-doculect-108-55,ghod1238-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-108-56,ghod1238-std,concepticon-960,1.72,мучу,wind,muchu
clics-doculect-108-57,ghod1238-std,concepticon-1489,1.73,гьанлу,cloud,g'anlu
clics-doculect-108-58,ghod1238-std,concepticon-249,1.74,гьинугьанлу,fog,g'inug'anlu
clics-doculect-108-59,ghod1238-std,concepticon-658,1.75,ццайи,rain (noun),tstsaii
clics-doculect-108-60,ghod1238-std,concepticon-784,1.76,анзи,snow (noun),anzi
clics-doculect-108-61,ghod1238-std,concepticon-617,1.77,зари,ice,zari
clics-doculect-108-62,ghod1238-std,concepticon-952,1.78,анс̅акирзараши,weather,ansakirzarashi
clics-doculect-108-63,ghod1238-std,concepticon-221,1.81,цІайи,fire,tsIaii
clics-doculect-108-64,ghod1238-std,concepticon-889,1.82,цІайилъимици,flame (noun),tsIaiil'imitsi
clics-doculect-108-65,ghod1238-std,concepticon-778,1.83,ссури,smoke (noun),ssuri
clics-doculect-108-66,ghod1238-std,concepticon-646,1.84,кьейи,ashes,k'eii
clics-doculect-108-67,ghod1238-std,concepticon-67,1.841,цІатабуанчибе,embers,tsIatabuanchibe
clics-doculect-108-68,ghod1238-std,concepticon-141,1.851,цІайикІʼанахали,burn (vb trans),tsIaiikI'anakhali
clics-doculect-108-69,ghod1238-std,concepticon-1428,1.852,цІати,burn (vb intrans),tsIati
clics-doculect-108-70,ghod1238-std,concepticon-737,1.86,цІатали,"light, kindle, ignite",tsIatali
clics-doculect-108-71,ghod1238-std,concepticon-127,1.861,бищани,extinguish,bishchani
clics-doculect-108-72,ghod1238-std,concepticon-1133,1.87,испишкʼа,match (noun),ispishk'a
clics-doculect-108-73,ghod1238-std,concepticon-10,1.88,лъуди,firewood,l'udi
clics-doculect-108-74,ghod1238-std,concepticon-1188,1.89,гьабу,charcoal,g'abu
clics-doculect-108-75,ghod1238-std,concepticon-683,2.1,адами,"person, human being",adami
clics-doculect-108-76,ghod1238-std,concepticon-1554,2.21,гьекІва,man (vs. woman),g'ekIva
clics-doculect-108-77,ghod1238-std,concepticon-962,2.22,яши,woman,iashi
clics-doculect-108-78,ghod1238-std,concepticon-1553,2.23,кунтІа,male,kuntIa
clics-doculect-108-79,ghod1238-std,concepticon-1551,2.24,гьаркки,female,g'arkki
clics-doculect-108-80,ghod1238-std,concepticon-1366,2.25,ваша,boy,vasha
clics-doculect-108-81,ghod1238-std,concepticon-76,2.251,гІолохъагьекІва,young man (adolescent),gIolokh'ag'ekIva
clics-doculect-108-82,ghod1238-std,concepticon-1646,2.26,яши,girl,iashi
clics-doculect-108-83,ghod1238-std,concepticon-77,2.261,яши,young woman (adolescent),iashi
clics-doculect-108-84,ghod1238-std,concepticon-1304,2.27,макІи,child,makIi
clics-doculect-108-85,ghod1238-std,concepticon-1289,2.28,микІисимакІи,"infant, baby",mikIisimakIi
clics-doculect-108-86,ghod1238-std,concepticon-1200,2.31,кунтІа,husband,kuntIa
clics-doculect-108-87,ghod1238-std,concepticon-1199,2.32,гьаркки,wife,g'arkki
clics-doculect-108-88,ghod1238-std,concepticon-203,2.33,гьарккʼиечиᴴ,marry,g'arkk'iechi
clics-doculect-108-89,ghod1238-std,concepticon-1259,2.34,нусахар,"marriage, wedding",nusakhar
clics-doculect-108-90,ghod1238-std,concepticon-1134,2.341,батІалъи,divorce,batIal'i
clics-doculect-108-91,ghod1238-std,concepticon-1217,2.35,има,father,ima
clics-doculect-108-92,ghod1238-std,concepticon-1216,2.36,ила,mother,ila
clics-doculect-108-93,ghod1238-std,concepticon-505,2.37,илаима,parents,ilaima
clics-doculect-108-94,ghod1238-std,concepticon-424,2.38,гьарк̅ʼиечаму,married man,g'ark'iechamu
clics-doculect-108-95,ghod1238-std,concepticon-426,2.39,кунтІулъийинабу,married woman,kuntIul'iiinabu
clics-doculect-108-96,ghod1238-std,concepticon-1620,2.41,ваша,son,vasha
clics-doculect-108-97,ghod1238-std,concepticon-1357,2.42,яши,daughter,iashi
clics-doculect-108-98,ghod1238-std,concepticon-1801,2.43,балъе,offspring (son or daughter),bal'e
clics-doculect-108-99,ghod1238-std,concepticon-1262,2.44,вацци,brother,vatstsi
clics-doculect-108-100,ghod1238-std,concepticon-1759,2.444,вечІухавацци,older brother,vechIukhavatstsi
clics-doculect-108-101,ghod1238-std,concepticon-1760,2.445,микІисивацци,younger brother,mikIisivatstsi
clics-doculect-108-102,ghod1238-std,concepticon-1263,2.45,йацци,sister,iatstsi
clics-doculect-108-103,ghod1238-std,concepticon-1758,2.454,ечІухайацци,older sister,echIukhaiatstsi
clics-doculect-108-104,ghod1238-std,concepticon-1761,2.455,микІисийацци,younger sister,mikIisiiatstsi
clics-doculect-108-105,ghod1238-std,concepticon-1640,2.456,ваццийацци,sibling,vatstsiiatstsi
clics-doculect-108-106,ghod1238-std,concepticon-1005,2.458,къетІе,twins,k'etIe
clics-doculect-108-107,ghod1238-std,concepticon-1383,2.46,вечІухаима,grandfather,vechIukhaima
clics-doculect-108-108,ghod1238-std,concepticon-406,2.461,вахарадами,old man,vakharadami
clics-doculect-108-109,ghod1238-std,concepticon-1496,2.47,ечІухаила,grandmother,echIukhaila
clics-doculect-108-110,ghod1238-std,concepticon-907,2.471,ечІуха,old woman,echIukha
clics-doculect-108-111,ghod1238-std,concepticon-1618,2.48,вашулІимакІи,grandson,vashulIimakIi
clics-doculect-108-112,ghod1238-std,concepticon-1619,2.49,вашулІияши,granddaughter,vashulIiiashi
clics-doculect-108-113,ghod1238-std,concepticon-1327,2.51,ацци,uncle,atstsi
clics-doculect-108-114,ghod1238-std,concepticon-1984,2.511,ацци,mother's brother,atstsi
clics-doculect-108-115,ghod1238-std,concepticon-1984,2.511,илулІивац̅и,mother's brother,ilulIivatsi
clics-doculect-108-116,ghod1238-std,concepticon-1985,2.512,ацци,father's brother,atstsi
clics-doculect-108-117,ghod1238-std,concepticon-1985,2.512,илулІивац̅и,father's brother,ilulIivatsi
clics-doculect-108-118,ghod1238-std,concepticon-1272,2.52,атІа,aunt,atIa
clics-doculect-108-119,ghod1238-std,concepticon-1272,2.52,илулІийац̅и,aunt,ilulIiiatsi
clics-doculect-108-120,ghod1238-std,concepticon-171,2.521,атІа,mother's sister,atIa
clics-doculect-108-121,ghod1238-std,concepticon-170,2.522,атІа,father's sister,atIa
clics-doculect-108-122,ghod1238-std,concepticon-1063,2.53,ваццулІиваша,nephew,vatstsulIivasha
clics-doculect-108-123,ghod1238-std,concepticon-1642,2.54,яццулІийаши,niece,iatstsulIiiashi
clics-doculect-108-124,ghod1238-std,concepticon-1643,2.55,яцгІал,cousin,iatsgIal
clics-doculect-108-125,ghod1238-std,concepticon-1643,2.55,вацгІал,cousin,vatsgIal
clics-doculect-108-126,ghod1238-std,concepticon-1669,2.56,бечІухабе,ancestors,bechIukhabe
clics-doculect-108-127,ghod1238-std,concepticon-490,2.57,боантабугІел,descendants,boantabugIel
clics-doculect-108-128,ghod1238-std,concepticon-2255,2.61,имакьур,father-in-law (of a man),imak'ur
clics-doculect-108-129,ghod1238-std,concepticon-2254,2.611,имакьур,father-in-law (of a woman),imak'ur
clics-doculect-108-130,ghod1238-std,concepticon-2256,2.62,илакьур,mother-in-law (of a man),ilak'ur
clics-doculect-108-131,ghod1238-std,concepticon-2257,2.621,илакьур,mother-in-law (of a woman),ilak'ur
clics-doculect-108-132,ghod1238-std,concepticon-2267,2.63,нуса,son-in-law (of a man),nusa
clics-doculect-108-133,ghod1238-std,concepticon-2266,2.631,нуса,son-in-law (of a woman),nusa
clics-doculect-108-134,ghod1238-std,concepticon-2265,2.64,нуса,daughter-in-law (of a man),nusa
clics-doculect-108-135,ghod1238-std,concepticon-2264,2.641,бахІарай,daughter-in-law (of a woman),bakhIarai
clics-doculect-108-136,ghod1238-std,concepticon-237,2.71,илъадуима,stepfather,il'aduima
clics-doculect-108-137,ghod1238-std,concepticon-236,2.72,илъадуила,stepmother,il'aduila
clics-doculect-108-138,ghod1238-std,concepticon-1059,2.73,илъадуваша,stepson,il'aduvasha
clics-doculect-108-139,ghod1238-std,concepticon-1058,2.74,илъадуяши,stepdaughter,il'aduiashi
clics-doculect-108-140,ghod1238-std,concepticon-1149,2.75,илъадумакІи,orphan,il'adumakIi
clics-doculect-108-141,ghod1238-std,concepticon-1756,2.76,къороле,widow,k'orole
clics-doculect-108-142,ghod1238-std,concepticon-1981,2.77,къороло,widower,k'orolo
clics-doculect-108-143,ghod1238-std,concepticon-1644,2.81,гІагʼарлъи,"relatives, kinsmen",gIag'arl'i
clics-doculect-108-144,ghod1238-std,concepticon-194,2.82,хъизан,family,kh'izan
clics-doculect-108-145,ghod1238-std,concepticon-1209,2.91,ден,I,den
clics-doculect-108-146,ghod1238-std,concepticon-1215,2.92,минбитте,you (singular),minbitte
clics-doculect-108-147,ghod1238-std,concepticon-262,2.93,гьодов,he/she/it,g'odov
clics-doculect-108-148,ghod1238-std,concepticon-262,2.93,гьадов,he/she/it,g'adov
clics-doculect-108-149,ghod1238-std,concepticon-1212,2.94,эще,we,eshche
clics-doculect-108-150,ghod1238-std,concepticon-1131,2.941,ище,we (inclusive),ishche
clics-doculect-108-151,ghod1238-std,concepticon-1131,2.941,илІе,we (inclusive),ilIe
clics-doculect-108-152,ghod1238-std,concepticon-1130,2.942,ище,we (exclusive),ishche
clics-doculect-108-153,ghod1238-std,concepticon-1130,2.942,илІе,we (exclusive),ilIe
clics-doculect-108-154,ghod1238-std,concepticon-1213,2.95,битте,you (plural),bitte
clics-doculect-108-155,ghod1238-std,concepticon-817,2.96,гьодобе,they,g'odobe
clics-doculect-108-156,ghod1238-std,concepticon-619,3.11,хІайпан,animal,khIaipan
clics-doculect-108-157,ghod1238-std,concepticon-2261,3.12,унсагъадачІа,male (adj),unsag'adachIa
clics-doculect-108-158,ghod1238-std,concepticon-2262,3.13,зиничІара,female (adj),zinichIara
clics-doculect-108-159,ghod1238-std,concepticon-2262,3.13,яшикІва,female (adj),iashikIva
clics-doculect-108-160,ghod1238-std,concepticon-631,3.15,пурцци,livestock,purtstsi
clics-doculect-108-161,ghod1238-std,concepticon-649,3.16,гІалахи,pasture,gIalakhi
clics-doculect-108-162,ghod1238-std,concepticon-263,3.18,харашу,herdsman,kharashu
clics-doculect-108-163,ghod1238-std,concepticon-851,3.19,бекьи,"stable, stall",bek'i
clics-doculect-108-164,ghod1238-std,concepticon-1153,3.2,пурцци,cattle (bovine),purtstsi
clics-doculect-108-165,ghod1238-std,concepticon-1008,3.21,унса,bull,unsa
clics-doculect-108-166,ghod1238-std,concepticon-1169,3.22,унса,ox,unsa
clics-doculect-108-167,ghod1238-std,concepticon-1007,3.23,зини,cow,zini
clics-doculect-108-168,ghod1238-std,concepticon-1989,3.24,гьаниха,calf,g'anikha
clics-doculect-108-169,ghod1238-std,concepticon-1331,3.25,риха,sheep,rikha
clics-doculect-108-170,ghod1238-std,concepticon-1344,3.26,куᴴйи,ram,kuii
clics-doculect-108-171,ghod1238-std,concepticon-1345,3.28,риха,ewe,rikha
clics-doculect-108-172,ghod1238-std,concepticon-820,3.29,кьидир,lamb,k'idir
clics-doculect-108-173,ghod1238-std,concepticon-1348,3.32,болъон,boar,bol'on
clics-doculect-108-174,ghod1238-std,concepticon-1351,3.34,болъон,sow,bol'on
clics-doculect-108-175,ghod1238-std,concepticon-1337,3.35,болъон,pig,bol'on
clics-doculect-108-176,ghod1238-std,concepticon-1502,3.36,цциналІу,goat,tstsinalIu
clics-doculect-108-177,ghod1238-std,concepticon-264,3.37,тІукʼа,he-goat,tIuk'a
clics-doculect-108-178,ghod1238-std,concepticon-1972,3.38,цІекІир,kid,tsIekIir
clics-doculect-108-179,ghod1238-std,concepticon-615,3.41,хвани,horse (equine),khvani
clics-doculect-108-180,ghod1238-std,concepticon-936,3.42,барти,stallion,barti
clics-doculect-108-181,ghod1238-std,concepticon-938,3.44,ича,mare,icha
clics-doculect-108-182,ghod1238-std,concepticon-1647,3.45,тагьи,"foal, colt",tag'i
clics-doculect-108-183,ghod1238-std,concepticon-1862,3.46,гьамахи,"ass, donkey",g'amakhi
clics-doculect-108-184,ghod1238-std,concepticon-890,3.47,гІорцІин,mule,gIortsIin
clics-doculect-108-185,ghod1238-std,concepticon-1511,3.52,хІелеку,"cock, rooster",khIeleku
clics-doculect-108-186,ghod1238-std,concepticon-1514,3.54,ооча,hen,oocha
clics-doculect-108-187,ghod1238-std,concepticon-1318,3.55,оочулІибалъа,chicken,oochulIibal'a
clics-doculect-108-188,ghod1238-std,concepticon-1187,3.56,хъази,goose,kh'azi
clics-doculect-108-189,ghod1238-std,concepticon-1360,3.57,бади,duck,badi
