ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-26-1,ghul1238-std,concepticon-965,1.1,top,world,top
clics-doculect-26-2,ghul1238-std,concepticon-965,1.1,tobi,world,tobi
clics-doculect-26-3,ghul1238-std,concepticon-626,1.21,top,"earth, land",top
clics-doculect-26-4,ghul1238-std,concepticon-1228,1.212,we:na,"earth=ground, soil",we:na
clics-doculect-26-5,ghul1238-std,concepticon-2,1.213,ʊɽʊ,dust,UrU
clics-doculect-26-6,ghul1238-std,concepticon-640,1.214,ɖótuldí:da,mud,dotuldi:da
clics-doculect-26-7,ghul1238-std,concepticon-671,1.215,kwartu,sand,kwartu
clics-doculect-26-8,ghul1238-std,concepticon-2118,1.22,kudu,"mountain, hill",kudu
clics-doculect-26-9,ghul1238-std,concepticon-2118,1.22,kuli,"mountain, hill",kuli
clics-doculect-26-10,ghul1238-std,concepticon-652,1.23,káto,"plain, field",kato
clics-doculect-26-11,ghul1238-std,concepticon-652,1.23,kaní,"plain, field",kani
clics-doculect-26-12,ghul1238-std,concepticon-921,1.24,ɔbul,valley,obul
clics-doculect-26-13,ghul1238-std,concepticon-921,1.24,ɔbule,valley,obule
clics-doculect-26-14,ghul1238-std,concepticon-166,1.26,eǰe,mainland,eje
clics-doculect-26-15,ghul1238-std,concepticon-113,1.27,ɔtiɲidu,shore,otinidu
clics-doculect-26-16,ghul1238-std,concepticon-1155,1.28,ka:ŋallkaŋŋa,cave,ka:NGallkaNGNGa
clics-doculect-26-17,ghul1238-std,concepticon-948,1.31,ɔti,water,oti
clics-doculect-26-18,ghul1238-std,concepticon-1474,1.32,ɪɽi,sea,Iri
clics-doculect-26-19,ghul1238-std,concepticon-258,1.322,dokola,calm (of sea),dokola
clics-doculect-26-20,ghul1238-std,concepticon-258,1.322,dokili,calm (of sea),dokili
clics-doculect-26-21,ghul1238-std,concepticon-259,1.323,otintate,rough (of sea),otintate
clics-doculect-26-22,ghul1238-std,concepticon-1768,1.324,ordu,foam,ordu
clics-doculect-26-23,ghul1238-std,concepticon-645,1.329,iɽí,ocean,iri
clics-doculect-26-24,ghul1238-std,concepticon-623,1.341,baraŋ,lagoon,baraNG
clics-doculect-26-25,ghul1238-std,concepticon-623,1.341,baraŋi,lagoon,baraNGi
clics-doculect-26-26,ghul1238-std,concepticon-978,1.35,kuraraŋ,wave,kuraraNG
clics-doculect-26-27,ghul1238-std,concepticon-666,1.36,torga,"river, stream, brook",torga
clics-doculect-26-28,ghul1238-std,concepticon-666,1.36,torgɪl,"river, stream, brook",torgIl
clics-doculect-26-29,ghul1238-std,concepticon-1982,1.362,ɲalúm,whirlpool,nalum
clics-doculect-26-30,ghul1238-std,concepticon-1982,1.362,ɲalúme,whirlpool,nalume
clics-doculect-26-31,ghul1238-std,concepticon-2144,1.37,kʊl,"spring, well",kUl
clics-doculect-26-32,ghul1238-std,concepticon-2144,1.37,kʊli,"spring, well",kUli
clics-doculect-26-33,ghul1238-std,concepticon-1145,1.38,atu,swamp,atu
clics-doculect-26-34,ghul1238-std,concepticon-943,1.39,ɔtiŋaltu,waterfall,otiNGaltu
clics-doculect-26-35,ghul1238-std,concepticon-420,1.41,ɛǰe,"woods, forest",eje
clics-doculect-26-38,ghul1238-std,concepticon-1803,1.43,ór,wood,or
clics-doculect-26-39,ghul1238-std,concepticon-1803,1.43,orí,wood,ori
clics-doculect-26-40,ghul1238-std,concepticon-2125,1.44,kakar,"stone, rock",kakar
clics-doculect-26-41,ghul1238-std,concepticon-2125,1.44,aŕi,"stone, rock",ari
clics-doculect-26-42,ghul1238-std,concepticon-6,1.45,topŋiʈiʈye,earthquake,topNGititye
clics-doculect-26-43,ghul1238-std,concepticon-1732,1.51,arrɛnayn,sky,arrenayn
clics-doculect-26-44,ghul1238-std,concepticon-1343,1.52,ɪŋŋaltulɪč,sun,INGNGaltulIc
clics-doculect-26-45,ghul1238-std,concepticon-1313,1.53,nontu,moon,nontu
clics-doculect-26-46,ghul1238-std,concepticon-1313,1.53,nontí,moon,nonti
clics-doculect-26-47,ghul1238-std,concepticon-1430,1.54,onu,star,onu
clics-doculect-26-48,ghul1238-std,concepticon-1430,1.54,onɛtu,star,onetu
clics-doculect-26-49,ghul1238-std,concepticon-1654,1.55,orilareŋwalakat,lightning,orilareNGwalakat
clics-doculect-26-50,ghul1238-std,concepticon-1150,1.56,areŋotute,thunder,areNGotute
clics-doculect-26-51,ghul1238-std,concepticon-2007,1.57,arenika,lightning (as striking),arenika
clics-doculect-26-52,ghul1238-std,concepticon-2007,1.57,arenikɪl,lightning (as striking),arenikIl
clics-doculect-26-53,ghul1238-std,concepticon-858,1.58,uɽu,storm,uru
clics-doculect-26-54,ghul1238-std,concepticon-1733,1.59,kɪlmor,rainbow,kIlmor
clics-doculect-26-55,ghul1238-std,concepticon-1733,1.59,kɪlmʊri,rainbow,kIlmUri
clics-doculect-26-56,ghul1238-std,concepticon-630,1.61,oɽi,light (noun),ori
clics-doculect-26-57,ghul1238-std,concepticon-11,1.62,uɽi,darkness,uri
clics-doculect-26-58,ghul1238-std,concepticon-1388,1.63,ɖwa,"shade, shadow",dwa
clics-doculect-26-59,ghul1238-std,concepticon-1388,1.63,ɖwil,"shade, shadow",dwil
clics-doculect-26-60,ghul1238-std,concepticon-1977,1.64,ɔǰa,dew,oja
clics-doculect-26-61,ghul1238-std,concepticon-27,1.71,ɪɽʃu,air,IrSu
clics-doculect-26-62,ghul1238-std,concepticon-960,1.72,ɪɽʃu,wind,IrSu
clics-doculect-26-63,ghul1238-std,concepticon-1489,1.73,duwɛt,cloud,duwet
clics-doculect-26-64,ghul1238-std,concepticon-249,1.74,urum,fog,urum
clics-doculect-26-65,ghul1238-std,concepticon-658,1.75,are,rain (noun),are
clics-doculect-26-66,ghul1238-std,concepticon-784,1.76,areŋwartu,snow (noun),areNGwartu
clics-doculect-26-67,ghul1238-std,concepticon-617,1.77,ɔtɪnɖwɛt,ice,otIndwet
clics-doculect-26-68,ghul1238-std,concepticon-952,1.78,ɪɽʃu,weather,IrSu
clics-doculect-26-69,ghul1238-std,concepticon-221,1.81,íka,fire,ika
clics-doculect-26-70,ghul1238-std,concepticon-221,1.81,ikɪ́l,fire,ikIl
clics-doculect-26-71,ghul1238-std,concepticon-889,1.82,ikaɲádu,flame (noun),ikanadu
clics-doculect-26-72,ghul1238-std,concepticon-889,1.82,ikaɲalanullikaɲalɛni,flame (noun),ikanalanullikanaleni
clics-doculect-26-73,ghul1238-std,concepticon-778,1.83,ku:nú,smoke (noun),ku:nu
clics-doculect-26-74,ghul1238-std,concepticon-646,1.84,otta,ashes,otta
clics-doculect-26-75,ghul1238-std,concepticon-67,1.841,ikakɛle,embers,ikakele
clics-doculect-26-76,ghul1238-std,concepticon-141,1.851,ilɛ́ri,burn (vb trans),ileri
clics-doculect-26-77,ghul1238-std,concepticon-1428,1.852,iladnilwaʃitu,burn (vb intrans),iladnilwaSitu
clics-doculect-26-78,ghul1238-std,concepticon-737,1.86,ilɛ́rillurɪŋɲɛri,"light, kindle, ignite",ilerillurINGneri
clics-doculect-26-79,ghul1238-std,concepticon-127,1.861,úɽi,extinguish,uri
clics-doculect-26-80,ghul1238-std,concepticon-10,1.88,ikanor,firewood,ikanor
clics-doculect-26-81,ghul1238-std,concepticon-1188,1.89,ul,charcoal,ul
clics-doculect-26-82,ghul1238-std,concepticon-683,2.1,ɪt,"person, human being",It
clics-doculect-26-83,ghul1238-std,concepticon-683,2.1,ɪ́ni,"person, human being",Ini
clics-doculect-26-84,ghul1238-std,concepticon-1554,2.21,kortu,man (vs. woman),kortu
clics-doculect-26-85,ghul1238-std,concepticon-1554,2.21,koro,man (vs. woman),koro
clics-doculect-26-86,ghul1238-std,concepticon-962,2.22,ɪdu,woman,Idu
clics-doculect-26-87,ghul1238-std,concepticon-962,2.22,ɪli,woman,Ili
clics-doculect-26-88,ghul1238-std,concepticon-1553,2.23,kortu,male,kortu
clics-doculect-26-89,ghul1238-std,concepticon-1553,2.23,kuru,male,kuru
clics-doculect-26-90,ghul1238-std,concepticon-1551,2.24,ɪdu,female,Idu
clics-doculect-26-91,ghul1238-std,concepticon-1551,2.24,ɪli,female,Ili
clics-doculect-26-92,ghul1238-std,concepticon-1366,2.25,tonú,boy,tonu
clics-doculect-26-93,ghul1238-std,concepticon-1366,2.25,tíni,boy,tini
clics-doculect-26-94,ghul1238-std,concepticon-76,2.251,tɛ́rɖu,young man (adolescent),terdu
clics-doculect-26-95,ghul1238-std,concepticon-76,2.251,tɛrɖí,young man (adolescent),terdi
clics-doculect-26-96,ghul1238-std,concepticon-1646,2.26,ɲɛndu,girl,nendu
clics-doculect-26-97,ghul1238-std,concepticon-1646,2.26,ɲɛndiniltónu,girl,nendiniltonu
clics-doculect-26-98,ghul1238-std,concepticon-1646,2.26,tíni,girl,tini
clics-doculect-26-99,ghul1238-std,concepticon-77,2.261,tónukortúnu,young woman (adolescent),tonukortunu
clics-doculect-26-100,ghul1238-std,concepticon-77,2.261,tínikorɪ́niltónuwattonu,young woman (adolescent),tinikorIniltonuwattonu
clics-doculect-26-101,ghul1238-std,concepticon-77,2.261,tí:niwattɪniltɛ́rɖuwattonu,young woman (adolescent),ti:niwattInilterduwattonu
clics-doculect-26-102,ghul1238-std,concepticon-77,2.261,tɛrɖíwattini,young woman (adolescent),terdiwattini
clics-doculect-26-103,ghul1238-std,concepticon-1304,2.27,oǰaŋ,child,ojaNG
clics-doculect-26-104,ghul1238-std,concepticon-1304,2.27,oǰáŋlloǰaŋí,child,ojaNGllojaNGi
clics-doculect-26-105,ghul1238-std,concepticon-1289,2.28,ɪdu,"infant, baby",Idu
clics-doculect-26-106,ghul1238-std,concepticon-1289,2.28,ɪli,"infant, baby",Ili
clics-doculect-26-107,ghul1238-std,concepticon-1200,2.31,idi,husband,idi
clics-doculect-26-108,ghul1238-std,concepticon-1199,2.32,ída,wife,ida
clics-doculect-26-109,ghul1238-std,concepticon-1199,2.32,idɪ́l,wife,idIl
clics-doculect-26-110,ghul1238-std,concepticon-203,2.33,eki,marry,eki
clics-doculect-26-111,ghul1238-std,concepticon-1259,2.34,ágaŋ,"marriage, wedding",agaNG
clics-doculect-26-112,ghul1238-std,concepticon-1259,2.34,agáŋlʃalmaŋ,"marriage, wedding",agaNGlSalmaNG
clics-doculect-26-113,ghul1238-std,concepticon-1134,2.341,ɪ́niŋ,divorce,IniNG
clics-doculect-26-114,ghul1238-std,concepticon-1134,2.341,ɛnɲáŋll ɛnɪŋ,divorce,ennaNGll
enING
clics-doculect-26-115,ghul1238-std,concepticon-1134,2.341,ɪnɲaŋ,divorce,InnaNG
clics-doculect-26-116,ghul1238-std,concepticon-1217,2.35,ulilɪɽiyar,father,ulilIriyar
clics-doculect-26-117,ghul1238-std,concepticon-1217,2.35,ɪɽiyaɽí,father,Iriyari
clics-doculect-26-118,ghul1238-std,concepticon-1216,2.36,kortuɪttat,mother,kortuIttat
clics-doculect-26-119,ghul1238-std,concepticon-1216,2.36,koruɪttaní,mother,koruIttani
clics-doculect-26-120,ghul1238-std,concepticon-505,2.37,ɪduittat,parents,Iduittat
clics-doculect-26-121,ghul1238-std,concepticon-505,2.37,iliɪttaní,parents,iliIttani
clics-doculect-26-122,ghul1238-std,concepticon-424,2.38,twánu,married man,twanu
clics-doculect-26-123,ghul1238-std,concepticon-424,2.38,twáni,married man,twani
clics-doculect-26-124,ghul1238-std,concepticon-426,2.39,tɛ́rɖu,married woman,terdu
clics-doculect-26-125,ghul1238-std,concepticon-426,2.39,tɛrɖí,married woman,terdi
clics-doculect-26-126,ghul1238-std,concepticon-1620,2.41,ɪ́ntaŋ,son,IntaNG
clics-doculect-26-127,ghul1238-std,concepticon-1620,2.41,ɪntáŋ,son,IntaNG
clics-doculect-26-128,ghul1238-std,concepticon-1357,2.42,ɪ́ntaŋŋor,daughter,IntaNGNGor
clics-doculect-26-129,ghul1238-std,concepticon-1357,2.42,ɪntáŋŋwar,daughter,IntaNGNGwar
clics-doculect-26-130,ghul1238-std,concepticon-1801,2.43,ɪ́ntaŋwattunu,offspring (son or daughter),IntaNGwattunu
clics-doculect-26-131,ghul1238-std,concepticon-1801,2.43,ɪntáŋwattɪni,offspring (son or daughter),IntaNGwattIni
clics-doculect-26-132,ghul1238-std,concepticon-1262,2.44,ɪ́ntaŋtɛ́rɖu,brother,IntaNGterdu
clics-doculect-26-133,ghul1238-std,concepticon-1262,2.44,ɪntáŋtɛrɖí,brother,IntaNGterdi
clics-doculect-26-134,ghul1238-std,concepticon-1759,2.444,ɪ́ntaŋtɛ́rduŋor,older brother,IntaNGterduNGor
clics-doculect-26-135,ghul1238-std,concepticon-1759,2.444,ɪntáŋtɛrɖíŋwar,older brother,IntaNGterdiNGwar
clics-doculect-26-136,ghul1238-std,concepticon-1760,2.445,ɪ́ntaŋtɛ́rɖuwattunu,younger brother,IntaNGterduwattunu
clics-doculect-26-137,ghul1238-std,concepticon-1760,2.445,ɪntáŋtɛrɖíwattini,younger brother,IntaNGterdiwattini
clics-doculect-26-138,ghul1238-std,concepticon-1263,2.45,ɪ́ntaŋ,sister,IntaNG
clics-doculect-26-139,ghul1238-std,concepticon-1263,2.45,ɪntáŋ,sister,IntaNG
clics-doculect-26-140,ghul1238-std,concepticon-1758,2.454,ʃap,older sister,Sap
clics-doculect-26-141,ghul1238-std,concepticon-1758,2.454,ʃabiní,older sister,Sabini
clics-doculect-26-142,ghul1238-std,concepticon-1761,2.455,ábaŋkortu,younger sister,abaNGkortu
