ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-123-1,haus1257-std,concepticon-626,1.21,doronkˀasa,"earth, land",doronk?asa
clics-doculect-123-2,haus1257-std,concepticon-1228,1.212,kˀasa,"earth=ground, soil",k?asa
clics-doculect-123-3,haus1257-std,concepticon-2,1.213,kˀura,dust,k?ura
clics-doculect-123-4,haus1257-std,concepticon-2,1.213,ura,dust,ura
clics-doculect-123-5,haus1257-std,concepticon-640,1.214,taɓo,mud,tabo
clics-doculect-123-6,haus1257-std,concepticon-640,1.214,laka,mud,laka
clics-doculect-123-7,haus1257-std,concepticon-671,1.215,yashi,sand,yashi
clics-doculect-123-8,haus1257-std,concepticon-2118,1.22,dutse,"mountain, hill",dutse
clics-doculect-123-9,haus1257-std,concepticon-2118,1.22,duc̣i,"mountain, hill",duci
clics-doculect-123-10,haus1257-std,concepticon-2118,1.22,jigawa,"mountain, hill",jigawa
clics-doculect-123-11,haus1257-std,concepticon-2118,1.22,tsauni,"mountain, hill",tsauni
clics-doculect-123-12,haus1257-std,concepticon-652,1.23,sarari,"plain, field",sarari
clics-doculect-123-13,haus1257-std,concepticon-921,1.24,kwari,valley,kwari
clics-doculect-123-14,haus1257-std,concepticon-921,1.24,kware,valley,kware
clics-doculect-123-15,haus1257-std,concepticon-622,1.25,tsibiri,island,tsibiri
clics-doculect-123-16,haus1257-std,concepticon-166,1.26,nahiya,mainland,nahiya
clics-doculect-123-17,haus1257-std,concepticon-113,1.27,gaɓa,shore,gaba
clics-doculect-123-18,haus1257-std,concepticon-1155,1.28,kogo,cave,kogo
clics-doculect-123-19,haus1257-std,concepticon-1155,1.28,kwarga,cave,kwarga
clics-doculect-123-20,haus1257-std,concepticon-948,1.31,ruwa,water,ruwa
clics-doculect-123-21,haus1257-std,concepticon-1474,1.32,teku,sea,teku
clics-doculect-123-22,haus1257-std,concepticon-1768,1.324,kumfa,foam,kumfa
clics-doculect-123-23,haus1257-std,concepticon-645,1.329,teku,ocean,teku
clics-doculect-123-24,haus1257-std,concepticon-624,1.33,tafki,lake,tafki
clics-doculect-123-25,haus1257-std,concepticon-978,1.35,igiyarruwa,wave,igiyarruwa
clics-doculect-123-26,haus1257-std,concepticon-666,1.36,kogi,"river, stream, brook",kogi
clics-doculect-123-27,haus1257-std,concepticon-2144,1.37,idonruwa,"spring, well",idonruwa
clics-doculect-123-28,haus1257-std,concepticon-1145,1.38,fadama,swamp,fadama
clics-doculect-123-29,haus1257-std,concepticon-943,1.39,zubowanruwa,waterfall,zubowanruwa
clics-doculect-123-30,haus1257-std,concepticon-420,1.41,daji,"woods, forest",daji
clics-doculect-123-31,haus1257-std,concepticon-420,1.41,jeji,"woods, forest",jeji
clics-doculect-123-33,haus1257-std,concepticon-1803,1.43,itace,wood,itace
clics-doculect-123-34,haus1257-std,concepticon-2125,1.44,dutse,"stone, rock",dutse
clics-doculect-123-35,haus1257-std,concepticon-6,1.45,girgizarkˀasa,earthquake,girgizark?asa
clics-doculect-123-36,haus1257-std,concepticon-1732,1.51,sama,sky,sama
clics-doculect-123-37,haus1257-std,concepticon-1343,1.52,rana,sun,rana
clics-doculect-123-38,haus1257-std,concepticon-1313,1.53,wata,moon,wata
clics-doculect-123-39,haus1257-std,concepticon-1430,1.54,tauraro,star,tauraro
clics-doculect-123-40,haus1257-std,concepticon-1654,1.55,walkˀiya,lightning,walk?iya
clics-doculect-123-41,haus1257-std,concepticon-1150,1.56,tsawa,thunder,tsawa
clics-doculect-123-42,haus1257-std,concepticon-2007,1.57,walkˀiya,lightning (as striking),walk?iya
clics-doculect-123-43,haus1257-std,concepticon-858,1.58,ruwadaiska,storm,ruwadaiska
clics-doculect-123-44,haus1257-std,concepticon-1733,1.59,bakangizo,rainbow,bakangizo
clics-doculect-123-45,haus1257-std,concepticon-630,1.61,haske,light (noun),haske
clics-doculect-123-46,haus1257-std,concepticon-11,1.62,duhu,darkness,duhu
clics-doculect-123-47,haus1257-std,concepticon-1388,1.63,inuwa,"shade, shadow",inuwa
clics-doculect-123-48,haus1257-std,concepticon-1977,1.64,raɓa,dew,raba
clics-doculect-123-49,haus1257-std,concepticon-27,1.71,iska,air,iska
clics-doculect-123-50,haus1257-std,concepticon-960,1.72,iska,wind,iska
clics-doculect-123-51,haus1257-std,concepticon-960,1.72,guguwa,wind,guguwa
clics-doculect-123-52,haus1257-std,concepticon-1489,1.73,gajimare,cloud,gajimare
clics-doculect-123-53,haus1257-std,concepticon-1489,1.73,girgije,cloud,girgije
clics-doculect-123-54,haus1257-std,concepticon-1489,1.73,hadari,cloud,hadari
clics-doculect-123-55,haus1257-std,concepticon-249,1.74,hazo,fog,hazo
clics-doculect-123-56,haus1257-std,concepticon-658,1.75,ruwansama,rain (noun),ruwansama
clics-doculect-123-57,haus1257-std,concepticon-784,1.76,kˀankˀara,snow (noun),k?ank?ara
clics-doculect-123-58,haus1257-std,concepticon-617,1.77,kˀankˀara,ice,k?ank?ara
clics-doculect-123-59,haus1257-std,concepticon-617,1.77,ayas,ice,ayas
clics-doculect-123-60,haus1257-std,concepticon-952,1.78,yanayi,weather,yanayi
clics-doculect-123-61,haus1257-std,concepticon-221,1.81,wuta,fire,wuta
clics-doculect-123-62,haus1257-std,concepticon-889,1.82,harshenwuta,flame (noun),harshenwuta
clics-doculect-123-63,haus1257-std,concepticon-778,1.83,hayakʔi,smoke (noun),hayak?i
clics-doculect-123-64,haus1257-std,concepticon-646,1.84,toka,ashes,toka
clics-doculect-123-65,haus1257-std,concepticon-67,1.841,garwashi,embers,garwashi
clics-doculect-123-66,haus1257-std,concepticon-141,1.851,kˀona,burn (vb trans),k?ona
clics-doculect-123-67,haus1257-std,concepticon-1428,1.852,kˀuna,burn (vb intrans),k?una
clics-doculect-123-68,haus1257-std,concepticon-737,1.86,kunna,"light, kindle, ignite",kunna
clics-doculect-123-69,haus1257-std,concepticon-127,1.861,kashe,extinguish,kashe
clics-doculect-123-70,haus1257-std,concepticon-1133,1.87,ashana,match (noun),ashana
clics-doculect-123-71,haus1257-std,concepticon-1133,1.87,karawa,match (noun),karawa
clics-doculect-123-72,haus1257-std,concepticon-10,1.88,makamashi,firewood,makamashi
clics-doculect-123-73,haus1257-std,concepticon-10,1.88,itacengirki,firewood,itacengirki
clics-doculect-123-74,haus1257-std,concepticon-1188,1.89,gawayi,charcoal,gawayi
