ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-207-1,hawa1245-std,concepticon-965,1.1,ao,world,ao
clics-doculect-207-2,hawa1245-std,concepticon-965,1.1,honua,world,honua
clics-doculect-207-3,hawa1245-std,concepticon-626,1.21,ao,"earth, land",ao
clics-doculect-207-4,hawa1245-std,concepticon-626,1.21,honua,"earth, land",honua
clics-doculect-207-5,hawa1245-std,concepticon-626,1.21,ʔāina,"earth, land",?aina
clics-doculect-207-6,hawa1245-std,concepticon-1228,1.212,lepo,"earth=ground, soil",lepo
clics-doculect-207-7,hawa1245-std,concepticon-1228,1.212,lepohānai,"earth=ground, soil",lepohanai
clics-doculect-207-8,hawa1245-std,concepticon-1228,1.212,ʔeka,"earth=ground, soil",?eka
clics-doculect-207-9,hawa1245-std,concepticon-1228,1.212,one,"earth=ground, soil",one
clics-doculect-207-10,hawa1245-std,concepticon-2,1.213,ehulepo,dust,ehulepo
clics-doculect-207-11,hawa1245-std,concepticon-2,1.213,kuehu,dust,kuehu
clics-doculect-207-12,hawa1245-std,concepticon-2,1.213,ehu,dust,ehu
clics-doculect-207-13,hawa1245-std,concepticon-2,1.213,ʔehu,dust,?ehu
clics-doculect-207-14,hawa1245-std,concepticon-2,1.213,uahi,dust,uahi
clics-doculect-207-15,hawa1245-std,concepticon-2,1.213,lelehuna,dust,lelehuna
clics-doculect-207-16,hawa1245-std,concepticon-2,1.213,lepoʔaeʔae,dust,lepo?ae?ae
clics-doculect-207-17,hawa1245-std,concepticon-640,1.214,kelekele,mud,kelekele
clics-doculect-207-18,hawa1245-std,concepticon-640,1.214,pālolo,mud,palolo
clics-doculect-207-19,hawa1245-std,concepticon-640,1.214,lepoʔūkele,mud,lepo?ukele
clics-doculect-207-20,hawa1245-std,concepticon-671,1.215,one,sand,one
clics-doculect-207-21,hawa1245-std,concepticon-671,1.215,oneone,sand,oneone
clics-doculect-207-22,hawa1245-std,concepticon-2118,1.22,mauna,"mountain, hill",mauna
clics-doculect-207-23,hawa1245-std,concepticon-2118,1.22,kuahiwi,"mountain, hill",kuahiwi
clics-doculect-207-24,hawa1245-std,concepticon-2118,1.22,puʔu,"mountain, hill",pu?u
clics-doculect-207-25,hawa1245-std,concepticon-618,1.222,pali,"cliff, precipice",pali
clics-doculect-207-26,hawa1245-std,concepticon-618,1.222,palipaʔa,"cliff, precipice",palipa?a
clics-doculect-207-27,hawa1245-std,concepticon-652,1.23,ʔāinapālahalaha,"plain, field",?ainapalahalaha
clics-doculect-207-28,hawa1245-std,concepticon-652,1.23,kīhāpai,"plain, field",kihapai
clics-doculect-207-29,hawa1245-std,concepticon-652,1.23,kula,"plain, field",kula
clics-doculect-207-30,hawa1245-std,concepticon-652,1.23,ʔāinapāpū,"plain, field",?ainapapu
clics-doculect-207-31,hawa1245-std,concepticon-921,1.24,awaawa,valley,awaawa
clics-doculect-207-32,hawa1245-std,concepticon-622,1.25,moku,island,moku
clics-doculect-207-33,hawa1245-std,concepticon-622,1.25,mokupuni,island,mokupuni
clics-doculect-207-34,hawa1245-std,concepticon-622,1.25,mokuʔāina,island,moku?aina
clics-doculect-207-35,hawa1245-std,concepticon-622,1.25,ʔailana,island,?ailana
clics-doculect-207-36,hawa1245-std,concepticon-166,1.26,ʔāinamakua,mainland,?ainamakua
clics-doculect-207-37,hawa1245-std,concepticon-166,1.26,ʔāinanui,mainland,?ainanui
clics-doculect-207-38,hawa1245-std,concepticon-166,1.26,loko,mainland,loko
clics-doculect-207-39,hawa1245-std,concepticon-113,1.27,kahakai,shore,kahakai
clics-doculect-207-40,hawa1245-std,concepticon-113,1.27,kahaone,shore,kahaone
clics-doculect-207-41,hawa1245-std,concepticon-113,1.27,papakea,shore,papakea
clics-doculect-207-42,hawa1245-std,concepticon-113,1.27,kapakai,shore,kapakai
clics-doculect-207-43,hawa1245-std,concepticon-113,1.27,ʔaekai,shore,?aekai
clics-doculect-207-44,hawa1245-std,concepticon-1155,1.28,ana,cave,ana
clics-doculect-207-45,hawa1245-std,concepticon-1155,1.28,lua,cave,lua
clics-doculect-207-46,hawa1245-std,concepticon-1155,1.28,pao,cave,pao
clics-doculect-207-47,hawa1245-std,concepticon-948,1.31,wai,water,wai
clics-doculect-207-48,hawa1245-std,concepticon-1474,1.32,kai,sea,kai
clics-doculect-207-49,hawa1245-std,concepticon-1474,1.32,moana,sea,moana
clics-doculect-207-50,hawa1245-std,concepticon-259,1.323,pikipikiʔō,rough (of sea),pikipiki?o
clics-doculect-207-51,hawa1245-std,concepticon-259,1.323,ʔāloʔaloʔa,rough (of sea),?alo?alo?a
clics-doculect-207-52,hawa1245-std,concepticon-1768,1.324,huʔa,foam,hu?a
clics-doculect-207-53,hawa1245-std,concepticon-1768,1.324,ʔehu,foam,?ehu
clics-doculect-207-54,hawa1245-std,concepticon-645,1.329,moana,ocean,moana
clics-doculect-207-55,hawa1245-std,concepticon-645,1.329,kai,ocean,kai
clics-doculect-207-56,hawa1245-std,concepticon-624,1.33,loko,lake,loko
clics-doculect-207-57,hawa1245-std,concepticon-624,1.33,lokowai,lake,lokowai
clics-doculect-207-58,hawa1245-std,concepticon-663,1.34,kūʔono,"gulf, bay",ku?ono
clics-doculect-207-59,hawa1245-std,concepticon-663,1.34,kaikūʔono,"gulf, bay",kaiku?ono
clics-doculect-207-60,hawa1245-std,concepticon-663,1.34,hono,"gulf, bay",hono
clics-doculect-207-61,hawa1245-std,concepticon-663,1.34,hana,"gulf, bay",hana
clics-doculect-207-62,hawa1245-std,concepticon-623,1.341,kaikohola,lagoon,kaikohola
clics-doculect-207-63,hawa1245-std,concepticon-623,1.341,lokokai,lagoon,lokokai
clics-doculect-207-64,hawa1245-std,concepticon-623,1.341,kuaʔau,lagoon,kua?au
clics-doculect-207-65,hawa1245-std,concepticon-623,1.341,lokowai,lagoon,lokowai
clics-doculect-207-66,hawa1245-std,concepticon-623,1.341,kiʔowai,lagoon,ki?owai
clics-doculect-207-67,hawa1245-std,concepticon-660,1.342,kohola,reef,kohola
clics-doculect-207-68,hawa1245-std,concepticon-1662,1.343,lae,"headland, point",lae
clics-doculect-207-69,hawa1245-std,concepticon-1662,1.343,maka,"headland, point",maka
clics-doculect-207-70,hawa1245-std,concepticon-1662,1.343,ʔoiʔoina,"headland, point",?oi?oina
clics-doculect-207-71,hawa1245-std,concepticon-978,1.35,nalu,wave,nalu
clics-doculect-207-72,hawa1245-std,concepticon-978,1.35,ʔale,wave,?ale
clics-doculect-207-73,hawa1245-std,concepticon-891,1.352,au,tide,au
clics-doculect-207-74,hawa1245-std,concepticon-891,1.352,kai,tide,kai
clics-doculect-207-75,hawa1245-std,concepticon-1026,1.353,kaimake,lowtide,kaimake
clics-doculect-207-76,hawa1245-std,concepticon-1026,1.353,kaimaloʔo,lowtide,kaimalo?o
clics-doculect-207-77,hawa1245-std,concepticon-613,1.354,kainui,hightide,kainui
clics-doculect-207-78,hawa1245-std,concepticon-613,1.354,kaipiha,hightide,kaipiha
clics-doculect-207-79,hawa1245-std,concepticon-666,1.36,kahawai,"river, stream, brook",kahawai
clics-doculect-207-80,hawa1245-std,concepticon-666,1.36,muliwai,"river, stream, brook",muliwai
clics-doculect-207-81,hawa1245-std,concepticon-666,1.36,wai,"river, stream, brook",wai
clics-doculect-207-82,hawa1245-std,concepticon-1982,1.362,wiliwai,whirlpool,wiliwai
clics-doculect-207-83,hawa1245-std,concepticon-1982,1.362,mimilo,whirlpool,mimilo
clics-doculect-207-84,hawa1245-std,concepticon-2144,1.37,puna,"spring, well",puna
clics-doculect-207-85,hawa1245-std,concepticon-2144,1.37,waipuna,"spring, well",waipuna
clics-doculect-207-86,hawa1245-std,concepticon-2144,1.37,waimāpuna,"spring, well",waimapuna
clics-doculect-207-87,hawa1245-std,concepticon-2144,1.37,kumuwai,"spring, well",kumuwai
clics-doculect-207-88,hawa1245-std,concepticon-2144,1.37,māpuna,"spring, well",mapuna
clics-doculect-207-89,hawa1245-std,concepticon-1145,1.38,pohō,swamp,poho
clics-doculect-207-90,hawa1245-std,concepticon-1145,1.38,naele,swamp,naele
clics-doculect-207-91,hawa1245-std,concepticon-1145,1.38,kele,swamp,kele
clics-doculect-207-92,hawa1245-std,concepticon-943,1.39,wailele,waterfall,wailele
clics-doculect-207-93,hawa1245-std,concepticon-420,1.41,ululāʔau,"woods, forest",ulula?au
clics-doculect-207-94,hawa1245-std,concepticon-420,1.41,nahele,"woods, forest",nahele
clics-doculect-207-95,hawa1245-std,concepticon-420,1.41,waonahele,"woods, forest",waonahele
clics-doculect-207-96,hawa1245-std,concepticon-420,1.41,uluaōʔa,"woods, forest",uluao?a
clics-doculect-207-100,hawa1245-std,concepticon-1803,1.43,lāʔau,wood,la?au
clics-doculect-207-101,hawa1245-std,concepticon-2125,1.44,pōhaku,"stone, rock",pohaku
clics-doculect-207-102,hawa1245-std,concepticon-2125,1.44,ʔā,"stone, rock",?a
clics-doculect-207-103,hawa1245-std,concepticon-2125,1.44,ʔiliʔili,"stone, rock",?ili?ili
clics-doculect-207-104,hawa1245-std,concepticon-2125,1.44,ʔalā,"stone, rock",?ala
clics-doculect-207-105,hawa1245-std,concepticon-2125,1.44,ʔaʔā,"stone, rock",?a?a
clics-doculect-207-106,hawa1245-std,concepticon-2125,1.44,pāhoehoe,"stone, rock",pahoehoe
