ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-186-1,hind1269-std,concepticon-1228,1.212,मिट्टी,"earth=ground, soil",mittttii
clics-doculect-186-2,hind1269-std,concepticon-2,1.213,ग़ुबार,dust,g'ubaar
clics-doculect-186-3,hind1269-std,concepticon-640,1.214,पंक,mud,pNk
clics-doculect-186-4,hind1269-std,concepticon-652,1.23,मैदान,"plain, field",maidaan
clics-doculect-186-5,hind1269-std,concepticon-921,1.24,घाटी,valley,ghaattii
clics-doculect-186-6,hind1269-std,concepticon-1155,1.28,गुहा,cave,guhaa
clics-doculect-186-7,hind1269-std,concepticon-1155,1.28,गुफ़ा,cave,guph'aa
clics-doculect-186-8,hind1269-std,concepticon-259,1.323,परुष,rough (of sea),pruss
clics-doculect-186-9,hind1269-std,concepticon-663,1.34,खाड़ी,"gulf, bay",khaadd'ii
clics-doculect-186-10,hind1269-std,concepticon-613,1.354,ज्वार,hightide,jvaar
clics-doculect-186-11,hind1269-std,concepticon-1982,1.362,जलभ्रम,whirlpool,jlbhrm
clics-doculect-186-12,hind1269-std,concepticon-420,1.41,वन,"woods, forest",vn
clics-doculect-186-13,hind1269-std,concepticon-6,1.45,भूकंप,earthquake,bhuukNp
clics-doculect-186-14,hind1269-std,concepticon-1150,1.56,कड़क,thunder,kdd'k
clics-doculect-186-15,hind1269-std,concepticon-630,1.61,प्रकाश,light (noun),prkaash
clics-doculect-186-16,hind1269-std,concepticon-11,1.62,अंधेरा,darkness,aNdheraa
clics-doculect-186-17,hind1269-std,concepticon-1388,1.63,छाया,"shade, shadow",chaayaa
clics-doculect-186-18,hind1269-std,concepticon-1977,1.64,ओस,dew,os
clics-doculect-186-19,hind1269-std,concepticon-889,1.82,ज्योति,flame (noun),jyoti
clics-doculect-186-20,hind1269-std,concepticon-646,1.84,राख,ashes,raakh
clics-doculect-186-21,hind1269-std,concepticon-141,1.851,धधकना,burn (vb trans),dhdhknaa
clics-doculect-186-22,hind1269-std,concepticon-1188,1.89,लकधीकाकोयला,charcoal,lkdhiikaakoylaa
clics-doculect-186-23,hind1269-std,concepticon-1588,10.12,मोड़ना,turn over,modd'naa
clics-doculect-186-24,hind1269-std,concepticon-568,10.21,उठना,rise,utthnaa
clics-doculect-186-25,hind1269-std,concepticon-1280,10.23,गिरना,fall,girnaa
clics-doculect-186-26,hind1269-std,concepticon-2253,10.24,टपकना,drip,ttpknaa
clics-doculect-186-27,hind1269-std,concepticon-2003,10.32,प्रवाह,flow,prvaah
clics-doculect-186-28,hind1269-std,concepticon-1088,10.33,डुबोना,sink,ddubonaa
clics-doculect-186-29,hind1269-std,concepticon-1574,10.34,तिरना,float,tirnaa
clics-doculect-186-30,hind1269-std,concepticon-175,10.38,फूंकना,blow,phuuNknaa
clics-doculect-186-31,hind1269-std,concepticon-66,10.412,घुटनेटेकना,kneel,ghuttnetteknaa
clics-doculect-186-32,hind1269-std,concepticon-1829,10.43,कूदना,"jump, leap",kuudnaa
clics-doculect-186-33,hind1269-std,concepticon-1135,10.431,दुलत्तीमारना,kick,dulttiimaarnaa
clics-doculect-186-34,hind1269-std,concepticon-1443,10.45,चलना,walk,clnaa
