ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-1-1,hinu1240-std,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-1-2,hinu1240-std,concepticon-626,1.21,пачалихъ,"earth, land",pachalikh'
clics-doculect-1-3,hinu1240-std,concepticon-626,1.21,хІукумат,"earth, land",khIukumat
clics-doculect-1-4,hinu1240-std,concepticon-1228,1.212,ракь,"earth=ground, soil",rak'
clics-doculect-1-5,hinu1240-std,concepticon-2,1.213,гебу,dust,gebu
clics-doculect-1-6,hinu1240-std,concepticon-640,1.214,ату,mud,atu
clics-doculect-1-7,hinu1240-std,concepticon-671,1.215,сали,sand,sali
clics-doculect-1-8,hinu1240-std,concepticon-2118,1.22,хвин,"mountain, hill",khvin
clics-doculect-1-9,hinu1240-std,concepticon-618,1.222,лъад,"cliff, precipice",l'ad
clics-doculect-1-10,hinu1240-std,concepticon-652,1.23,майдан,"plain, field",maidan
clics-doculect-1-11,hinu1240-std,concepticon-921,1.24,авлахъ,valley,avlakh'
clics-doculect-1-12,hinu1240-std,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-1-13,hinu1240-std,concepticon-166,1.26,дуллан,mainland,dullan
clics-doculect-1-14,hinu1240-std,concepticon-113,1.27,ихиш,shore,ikhish
clics-doculect-1-15,hinu1240-std,concepticon-113,1.27,рагІал,shore,ragIal
clics-doculect-1-16,hinu1240-std,concepticon-1155,1.28,нохъо,cave,nokh'o
clics-doculect-1-17,hinu1240-std,concepticon-1155,1.28,хъод,cave,kh'od
clics-doculect-1-18,hinu1240-std,concepticon-948,1.31,лъе,water,l'e
clics-doculect-1-19,hinu1240-std,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-1-20,hinu1240-std,concepticon-258,1.322,лъасиш,calm (of sea),l'asish
clics-doculect-1-21,hinu1240-std,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
clics-doculect-1-22,hinu1240-std,concepticon-1768,1.324,муж,foam,muzh
clics-doculect-1-23,hinu1240-std,concepticon-645,1.329,ралъад,ocean,ral'ad
clics-doculect-1-24,hinu1240-std,concepticon-624,1.33,гІалазан,lake,gIalazan
clics-doculect-1-25,hinu1240-std,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-1-26,hinu1240-std,concepticon-666,1.36,иху,"river, stream, brook",ikhu
clics-doculect-1-27,hinu1240-std,concepticon-666,1.36,маду,"river, stream, brook",madu
clics-doculect-1-28,hinu1240-std,concepticon-1982,1.362,сотІирута,whirlpool,sotIiruta
clics-doculect-1-29,hinu1240-std,concepticon-2144,1.37,кик,"spring, well",kik
