ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-217-1,hmon1333-std,concepticon-965,1.1,ntiajteb,world,ntiajteb
clics-doculect-217-2,hmon1333-std,concepticon-626,1.21,teb,"earth, land",teb
clics-doculect-217-3,hmon1333-std,concepticon-1228,1.212,av,"earth=ground, soil",av
clics-doculect-217-4,hmon1333-std,concepticon-2,1.213,hmoovav,dust,hmoovav
clics-doculect-217-5,hmon1333-std,concepticon-2,1.213,pluatshauv,dust,pluatshauv
clics-doculect-217-6,hmon1333-std,concepticon-640,1.214,avnkos,mud,avnkos
clics-doculect-217-7,hmon1333-std,concepticon-671,1.215,hmoovzeb,sand,hmoovzeb
clics-doculect-217-8,hmon1333-std,concepticon-671,1.215,xuabzeb,sand,xuabzeb
clics-doculect-217-9,hmon1333-std,concepticon-2118,1.22,roob,"mountain, hill",roob
clics-doculect-217-10,hmon1333-std,concepticon-2118,1.22,toj,"mountain, hill",toj
clics-doculect-217-11,hmon1333-std,concepticon-2118,1.22,pobtsuas,"mountain, hill",pobtsuas
clics-doculect-217-12,hmon1333-std,concepticon-618,1.222,tsag,"cliff, precipice",tsag
clics-doculect-217-13,hmon1333-std,concepticon-652,1.23,tiajnrag,"plain, field",tiajnrag
clics-doculect-217-14,hmon1333-std,concepticon-921,1.24,hav,valley,hav
clics-doculect-217-15,hmon1333-std,concepticon-622,1.25,povtxwv,island,povtxwv
clics-doculect-217-16,hmon1333-std,concepticon-622,1.25,kob,island,kob
clics-doculect-217-17,hmon1333-std,concepticon-113,1.27,ntugdej,shore,ntugdej
clics-doculect-217-18,hmon1333-std,concepticon-1155,1.28,qhovtsua,cave,qhovtsua
clics-doculect-217-19,hmon1333-std,concepticon-948,1.31,dej,water,dej
clics-doculect-217-20,hmon1333-std,concepticon-1474,1.32,hiavtxwv,sea,hiavtxwv
clics-doculect-217-21,hmon1333-std,concepticon-258,1.322,dejntauglawm,calm (of sea),dejntauglawm
clics-doculect-217-22,hmon1333-std,concepticon-259,1.323,dejnplawm,rough (of sea),dejnplawm
clics-doculect-217-23,hmon1333-std,concepticon-1768,1.324,npuasdej,foam,npuasdej
clics-doculect-217-24,hmon1333-std,concepticon-624,1.33,pasdej,lake,pasdej
clics-doculect-217-25,hmon1333-std,concepticon-978,1.35,nthwvdej,wave,nthwvdej
clics-doculect-217-26,hmon1333-std,concepticon-978,1.35,twv,wave,twv
clics-doculect-217-27,hmon1333-std,concepticon-666,1.36,dej,"river, stream, brook",dej
clics-doculect-217-28,hmon1333-std,concepticon-1982,1.362,yisdej,whirlpool,yisdej
clics-doculect-217-29,hmon1333-std,concepticon-2144,1.37,qhovdej,"spring, well",qhovdej
clics-doculect-217-30,hmon1333-std,concepticon-2144,1.37,qhovdejtxhawv,"spring, well",qhovdejtxhawv
clics-doculect-217-31,hmon1333-std,concepticon-1145,1.38,haviav,swamp,haviav
clics-doculect-217-32,hmon1333-std,concepticon-943,1.39,dejpoobtsag,waterfall,dejpoobtsag
clics-doculect-217-33,hmon1333-std,concepticon-420,1.41,zoov,"woods, forest",zoov
clics-doculect-217-34,hmon1333-std,concepticon-1803,1.43,ntoo,wood,ntoo
clics-doculect-217-35,hmon1333-std,concepticon-2125,1.44,pobzeb,"stone, rock",pobzeb
clics-doculect-217-36,hmon1333-std,concepticon-6,1.45,avqeeg,earthquake,avqeeg
clics-doculect-217-37,hmon1333-std,concepticon-1732,1.51,ntuj,sky,ntuj
clics-doculect-217-38,hmon1333-std,concepticon-1343,1.52,hnub,sun,hnub
clics-doculect-217-39,hmon1333-std,concepticon-1313,1.53,hli,moon,hli
clics-doculect-217-40,hmon1333-std,concepticon-1430,1.54,hnubqub,star,hnubqub
clics-doculect-217-41,hmon1333-std,concepticon-1654,1.55,xoblaim,lightning,xoblaim
clics-doculect-217-42,hmon1333-std,concepticon-1654,1.55,xobntsais,lightning,xobntsais
clics-doculect-217-43,hmon1333-std,concepticon-1150,1.56,xobquaj,thunder,xobquaj
clics-doculect-217-44,hmon1333-std,concepticon-1150,1.56,xobnroo,thunder,xobnroo
clics-doculect-217-45,hmon1333-std,concepticon-858,1.58,cuadajcuadub,storm,cuadajcuadub
clics-doculect-217-46,hmon1333-std,concepticon-1733,1.59,zajsawv,rainbow,zajsawv
clics-doculect-217-47,hmon1333-std,concepticon-630,1.61,kaj,light (noun),kaj
clics-doculect-217-48,hmon1333-std,concepticon-11,1.62,tsaus,darkness,tsaus
clics-doculect-217-49,hmon1333-std,concepticon-1388,1.63,ntxoovntxoo,"shade, shadow",ntxoovntxoo
clics-doculect-217-50,hmon1333-std,concepticon-1977,1.64,lwg,dew,lwg
clics-doculect-217-51,hmon1333-std,concepticon-27,1.71,pa,air,pa
clics-doculect-217-52,hmon1333-std,concepticon-960,1.72,cua,wind,cua
clics-doculect-217-53,hmon1333-std,concepticon-1489,1.73,huab,cloud,huab
clics-doculect-217-54,hmon1333-std,concepticon-249,1.74,poshuab,fog,poshuab
clics-doculect-217-55,hmon1333-std,concepticon-658,1.75,nag,rain (noun),nag
clics-doculect-217-56,hmon1333-std,concepticon-784,1.76,npu,snow (noun),npu
clics-doculect-217-57,hmon1333-std,concepticon-617,1.77,dejkhov,ice,dejkhov
clics-doculect-217-58,hmon1333-std,concepticon-617,1.77,nabkuab,ice,nabkuab
clics-doculect-217-59,hmon1333-std,concepticon-952,1.78,huabcua,weather,huabcua
clics-doculect-217-60,hmon1333-std,concepticon-221,1.81,taws,fire,taws
clics-doculect-217-61,hmon1333-std,concepticon-889,1.82,nplaimtaws,flame (noun),nplaimtaws
clics-doculect-217-62,hmon1333-std,concepticon-778,1.83,nchopa,smoke (noun),nchopa
clics-doculect-217-63,hmon1333-std,concepticon-778,1.83,pataws,smoke (noun),pataws
clics-doculect-217-64,hmon1333-std,concepticon-646,1.84,tshauv,ashes,tshauv
clics-doculect-217-65,hmon1333-std,concepticon-67,1.841,hluavncaig,embers,hluavncaig
clics-doculect-217-66,hmon1333-std,concepticon-141,1.851,hlawv,burn (vb trans),hlawv
clics-doculect-217-67,hmon1333-std,concepticon-1428,1.852,kub,burn (vb intrans),kub
