ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-94-1,hung1274-std,concepticon-965,1.1,wilaag,world,wilaag
clics-doculect-94-2,hung1274-std,concepticon-626,1.21,föld,"earth, land",fold
clics-doculect-94-3,hung1274-std,concepticon-1228,1.212,föld,"earth=ground, soil",fold
clics-doculect-94-4,hung1274-std,concepticon-1228,1.212,talay,"earth=ground, soil",talay
clics-doculect-94-5,hung1274-std,concepticon-2,1.213,por,dust,por
clics-doculect-94-6,hung1274-std,concepticon-640,1.214,šaar,mud,saar
clics-doculect-94-7,hung1274-std,concepticon-671,1.215,homok,sand,homok
clics-doculect-94-8,hung1274-std,concepticon-2118,1.22,hedʸ,"mountain, hill",hedy
clics-doculect-94-9,hung1274-std,concepticon-618,1.222,sikla,"cliff, precipice",sikla
clics-doculect-94-10,hung1274-std,concepticon-618,1.222,sirt,"cliff, precipice",sirt
clics-doculect-94-11,hung1274-std,concepticon-652,1.23,šikšaag,"plain, field",siksaag
clics-doculect-94-12,hung1274-std,concepticon-652,1.23,mezöö,"plain, field",mezoo
clics-doculect-94-13,hung1274-std,concepticon-921,1.24,wöldʸ,valley,woldy
clics-doculect-94-14,hung1274-std,concepticon-622,1.25,siget,island,siget
clics-doculect-94-15,hung1274-std,concepticon-166,1.26,saarazföld,mainland,saarazfold
clics-doculect-94-16,hung1274-std,concepticon-113,1.27,part,shore,part
clics-doculect-94-17,hung1274-std,concepticon-1155,1.28,barlang,cave,barlang
clics-doculect-94-18,hung1274-std,concepticon-948,1.31,wiiz,water,wiiz
clics-doculect-94-19,hung1274-std,concepticon-1474,1.32,tenger,sea,tenger
clics-doculect-94-20,hung1274-std,concepticon-258,1.322,ɲugodt,calm (of sea),nugodt
clics-doculect-94-21,hung1274-std,concepticon-258,1.322,čendeš,calm (of sea),cendes
clics-doculect-94-22,hung1274-std,concepticon-259,1.323,wiharoš,rough (of sea),wiharos
clics-doculect-94-23,hung1274-std,concepticon-1768,1.324,hab,foam,hab
clics-doculect-94-24,hung1274-std,concepticon-1768,1.324,tayteek,foam,tayteek
clics-doculect-94-25,hung1274-std,concepticon-645,1.329,ooc̷eaan,ocean,ooceaan
clics-doculect-94-26,hung1274-std,concepticon-624,1.33,too,lake,too
clics-doculect-94-27,hung1274-std,concepticon-663,1.34,öböl,"gulf, bay",obol
clics-doculect-94-28,hung1274-std,concepticon-623,1.341,laguuna,lagoon,laguuna
clics-doculect-94-29,hung1274-std,concepticon-660,1.342,sirt,reef,sirt
clics-doculect-94-30,hung1274-std,concepticon-660,1.342,zaatoɲ,reef,zaaton
clics-doculect-94-31,hung1274-std,concepticon-1662,1.343,hedʸfok,"headland, point",hedyfok
clics-doculect-94-32,hung1274-std,concepticon-1662,1.343,földnelw,"headland, point",foldnelw
clics-doculect-94-33,hung1274-std,concepticon-978,1.35,hullaam,wave,hullaam
clics-doculect-94-34,hung1274-std,concepticon-891,1.352,aarapaalʸ,tide,aarapaaly
clics-doculect-94-35,hung1274-std,concepticon-1026,1.353,apaalʸ,lowtide,apaaly
clics-doculect-94-36,hung1274-std,concepticon-613,1.354,dagaalʸ,hightide,dagaaly
clics-doculect-94-37,hung1274-std,concepticon-666,1.36,folʸo,"river, stream, brook",folyo
clics-doculect-94-38,hung1274-std,concepticon-666,1.36,folʸam,"river, stream, brook",folyam
clics-doculect-94-39,hung1274-std,concepticon-666,1.36,aar,"river, stream, brook",aar
clics-doculect-94-40,hung1274-std,concepticon-666,1.36,patak,"river, stream, brook",patak
clics-doculect-94-41,hung1274-std,concepticon-1982,1.362,forgatag,whirlpool,forgatag
clics-doculect-94-42,hung1274-std,concepticon-2144,1.37,forraaš,"spring, well",forraas
clics-doculect-94-43,hung1274-std,concepticon-2144,1.37,kuut,"spring, well",kuut
