ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-57-1,hunz1247-std,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-57-2,hunz1247-std,concepticon-626,1.21,ракь,"earth, land",rak'
clics-doculect-57-3,hunz1247-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-57-4,hunz1247-std,concepticon-1228,1.212,мызə,"earth=ground, soil",myz@
clics-doculect-57-5,hunz1247-std,concepticon-1228,1.212,чІабар,"earth=ground, soil",chIabar
clics-doculect-57-6,hunz1247-std,concepticon-2,1.213,пах,dust,pakh
clics-doculect-57-7,hunz1247-std,concepticon-640,1.214,гъыз,mud,g'yz
clics-doculect-57-8,hunz1247-std,concepticon-640,1.214,та̇ду,mud,tadu
clics-doculect-57-9,hunz1247-std,concepticon-671,1.215,кебу,sand,kebu
clics-doculect-57-10,hunz1247-std,concepticon-671,1.215,мысу,sand,mysu
clics-doculect-57-11,hunz1247-std,concepticon-2118,1.22,мару,"mountain, hill",maru
clics-doculect-57-12,hunz1247-std,concepticon-2118,1.22,гухІ,"mountain, hill",gukhI
clics-doculect-57-13,hunz1247-std,concepticon-618,1.222,бача,"cliff, precipice",bacha
clics-doculect-57-14,hunz1247-std,concepticon-618,1.222,рагІал,"cliff, precipice",ragIal
clics-doculect-57-15,hunz1247-std,concepticon-652,1.23,ма̇че,"plain, field",mache
clics-doculect-57-16,hunz1247-std,concepticon-652,1.23,лъарагІлъи,"plain, field",l'aragIl'i
clics-doculect-57-17,hunz1247-std,concepticon-921,1.24,гьорор,valley,g'oror
clics-doculect-57-18,hunz1247-std,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-57-19,hunz1247-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-57-20,hunz1247-std,concepticon-113,1.27,рагІал,shore,ragIal
clics-doculect-57-21,hunz1247-std,concepticon-1155,1.28,а̇нух,cave,anukh
clics-doculect-57-22,hunz1247-std,concepticon-948,1.31,лъыᴴ,water,l'y
clics-doculect-57-23,hunz1247-std,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-57-24,hunz1247-std,concepticon-258,1.322,гьадабечеру,calm (of sea),g'adabecheru
clics-doculect-57-25,hunz1247-std,concepticon-259,1.323,гьалагаб,rough (of sea),g'alagab
clics-doculect-57-26,hunz1247-std,concepticon-1768,1.324,поб,foam,pob
clics-doculect-57-27,hunz1247-std,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-57-28,hunz1247-std,concepticon-624,1.33,кІара,lake,kIara
clics-doculect-57-29,hunz1247-std,concepticon-978,1.35,быə,wave,by@
clics-doculect-57-30,hunz1247-std,concepticon-666,1.36,эᴴху,"river, stream, brook",ekhu
clics-doculect-57-31,hunz1247-std,concepticon-666,1.36,куро,"river, stream, brook",kuro
clics-doculect-57-32,hunz1247-std,concepticon-1982,1.362,эᴴхекІарлІерлъи,whirlpool,ekhekIarlIerl'i
clics-doculect-57-33,hunz1247-std,concepticon-2144,1.37,кагьриж,"spring, well",kag'rizh
clics-doculect-57-34,hunz1247-std,concepticon-2144,1.37,кагьриз,"spring, well",kag'riz
clics-doculect-57-35,hunz1247-std,concepticon-1145,1.38,къыца,swamp,k'ytsa
clics-doculect-57-36,hunz1247-std,concepticon-1145,1.38,чІикъантІи,swamp,chIik'antIi
clics-doculect-57-37,hunz1247-std,concepticon-943,1.39,курочІалІечосма̇че,waterfall,kurochIalIechosmache
clics-doculect-57-38,hunz1247-std,concepticon-420,1.41,гьа̇н,"woods, forest",g'an
clics-doculect-57-40,hunz1247-std,concepticon-1803,1.43,гьуᴴду,wood,g'udu
clics-doculect-57-41,hunz1247-std,concepticon-2125,1.44,гамачІ,"stone, rock",gamachI
clics-doculect-57-42,hunz1247-std,concepticon-2125,1.44,кьа̇лу,"stone, rock",k'alu
clics-doculect-57-43,hunz1247-std,concepticon-6,1.45,ма̇челахІлэрлъи,earthquake,machelakhIlerl'i
clics-doculect-57-44,hunz1247-std,concepticon-1732,1.51,гьас,sky,g'as
clics-doculect-57-45,hunz1247-std,concepticon-1343,1.52,бохъ,sun,bokh'
clics-doculect-57-46,hunz1247-std,concepticon-1313,1.53,боцо,moon,botso
clics-doculect-57-47,hunz1247-std,concepticon-1430,1.54,ца,star,tsa
clics-doculect-57-48,hunz1247-std,concepticon-1654,1.55,пыр,lightning,pyr
clics-doculect-57-49,hunz1247-std,concepticon-1150,1.56,гьасхъалІе,thunder,g'askh'alIe
clics-doculect-57-50,hunz1247-std,concepticon-2007,1.57,пыр,lightning (as striking),pyr
clics-doculect-57-51,hunz1247-std,concepticon-858,1.58,буран,storm,buran
clics-doculect-57-52,hunz1247-std,concepticon-1733,1.59,машун,rainbow,mashun
clics-doculect-57-53,hunz1247-std,concepticon-1733,1.59,машу,rainbow,mashu
clics-doculect-57-54,hunz1247-std,concepticon-630,1.61,канлъи,light (noun),kanl'i
clics-doculect-57-55,hunz1247-std,concepticon-11,1.62,колІулъи,darkness,kolIul'i
clics-doculect-57-56,hunz1247-std,concepticon-1388,1.63,гьуᴴдула,"shade, shadow",g'udula
clics-doculect-57-57,hunz1247-std,concepticon-1388,1.63,гьыᴴдəла,"shade, shadow",g'yd@la
clics-doculect-57-58,hunz1247-std,concepticon-1977,1.64,хыда,dew,khyda
clics-doculect-57-59,hunz1247-std,concepticon-27,1.71,гьава,air,g'ava
