ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-158-1,igna1246-std,concepticon-965,1.1,apakeʔe,world,apake?e
clics-doculect-158-2,igna1246-std,concepticon-626,1.21,'matehi,"earth, land",'matehi
clics-doculect-158-3,igna1246-std,concepticon-626,1.21,apakeʔe,"earth, land",apake?e
clics-doculect-158-4,igna1246-std,concepticon-1228,1.212,apakeʔe,"earth=ground, soil",apake?e
clics-doculect-158-5,igna1246-std,concepticon-2,1.213,tiripupaʔi,dust,tiripupa?i
clics-doculect-158-6,igna1246-std,concepticon-640,1.214,ti'urahi,mud,ti'urahi
clics-doculect-158-7,igna1246-std,concepticon-671,1.215,tawaparu,sand,tawaparu
clics-doculect-158-8,igna1246-std,concepticon-2118,1.22,mari,"mountain, hill",mari
clics-doculect-158-9,igna1246-std,concepticon-2118,1.22,masiʔi,"mountain, hill",masi?i
clics-doculect-158-10,igna1246-std,concepticon-618,1.222,tačausi,"cliff, precipice",tacausi
clics-doculect-158-11,igna1246-std,concepticon-652,1.23,'wamaʔi,"plain, field",'wama?i
clics-doculect-158-12,igna1246-std,concepticon-622,1.25,ti'urupuʔi,island,ti'urupu?i
clics-doculect-158-13,igna1246-std,concepticon-113,1.27,apačara,shore,apacara
clics-doculect-158-14,igna1246-std,concepticon-1155,1.28,tapena,cave,tapena
clics-doculect-158-15,igna1246-std,concepticon-948,1.31,une,water,une
clics-doculect-158-16,igna1246-std,concepticon-1768,1.324,tarisasa,foam,tarisasa
clics-doculect-158-17,igna1246-std,concepticon-624,1.33,'kakiure,lake,'kakiure
clics-doculect-158-18,igna1246-std,concepticon-623,1.341,'kakiure,lagoon,'kakiure
clics-doculect-158-19,igna1246-std,concepticon-978,1.35,'tepakuka,wave,'tepakuka
clics-doculect-158-20,igna1246-std,concepticon-666,1.36,kahakure,"river, stream, brook",kahakure
clics-doculect-158-21,igna1246-std,concepticon-2144,1.37,sekaku,"spring, well",sekaku
clics-doculect-158-22,igna1246-std,concepticon-2144,1.37,eke,"spring, well",eke
clics-doculect-158-23,igna1246-std,concepticon-1145,1.38,yamama,swamp,yamama
clics-doculect-158-24,igna1246-std,concepticon-420,1.41,simena,"woods, forest",simena
clics-doculect-158-26,igna1246-std,concepticon-1803,1.43,yukuki,wood,yukuki
clics-doculect-158-27,igna1246-std,concepticon-2125,1.44,mari,"stone, rock",mari
clics-doculect-158-28,igna1246-std,concepticon-2125,1.44,'marihaʔi,"stone, rock",'mariha?i
clics-doculect-158-29,igna1246-std,concepticon-1732,1.51,anuma,sky,anuma
clics-doculect-158-30,igna1246-std,concepticon-1343,1.52,sače,sun,sace
clics-doculect-158-31,igna1246-std,concepticon-1313,1.53,kahe,moon,kahe
clics-doculect-158-32,igna1246-std,concepticon-1430,1.54,harairiki,star,harairiki
clics-doculect-158-33,igna1246-std,concepticon-1654,1.55,'terameka,lightning,'terameka
clics-doculect-158-34,igna1246-std,concepticon-1654,1.55,emarere,lightning,emarere
clics-doculect-158-35,igna1246-std,concepticon-1150,1.56,tirureka,thunder,tirureka
clics-doculect-158-36,igna1246-std,concepticon-2007,1.57,emarere,lightning (as striking),emarere
clics-doculect-158-37,igna1246-std,concepticon-858,1.58,kawayupewa,storm,kawayupewa
clics-doculect-158-38,igna1246-std,concepticon-1733,1.59,aʔe,rainbow,a?e
clics-doculect-158-39,igna1246-std,concepticon-630,1.61,'mikauča,light (noun),'mikauca
clics-doculect-158-40,igna1246-std,concepticon-630,1.61,tiharaʔi,light (noun),tihara?i
clics-doculect-158-41,igna1246-std,concepticon-11,1.62,timapiku,darkness,timapiku
clics-doculect-158-42,igna1246-std,concepticon-1388,1.63,'awiča,"shade, shadow",'awica
clics-doculect-158-43,igna1246-std,concepticon-1977,1.64,iyaru,dew,iyaru
clics-doculect-158-44,igna1246-std,concepticon-960,1.72,'tekatikawa,wind,'tekatikawa
clics-doculect-158-45,igna1246-std,concepticon-1489,1.73,'ukahi,cloud,'ukahi
clics-doculect-158-46,igna1246-std,concepticon-249,1.74,iyaru,fog,iyaru
clics-doculect-158-47,igna1246-std,concepticon-658,1.75,takiwarama,rain (noun),takiwarama
clics-doculect-158-48,igna1246-std,concepticon-221,1.81,yuku,fire,yuku
clics-doculect-158-49,igna1246-std,concepticon-221,1.81,yukune,fire,yukune
clics-doculect-158-50,igna1246-std,concepticon-778,1.83,kihare,smoke (noun),kihare
clics-doculect-158-51,igna1246-std,concepticon-646,1.84,c̷imapa,ashes,cimapa
clics-doculect-158-52,igna1246-std,concepticon-67,1.841,emaniki,embers,emaniki
clics-doculect-158-53,igna1246-std,concepticon-141,1.851,kamuruka,burn (vb trans),kamuruka
clics-doculect-158-54,igna1246-std,concepticon-141,1.851,'ihuča,burn (vb trans),'ihuca
clics-doculect-158-55,igna1246-std,concepticon-1428,1.852,muru,burn (vb intrans),muru
clics-doculect-158-56,igna1246-std,concepticon-737,1.86,'apahuaka,"light, kindle, ignite",'apahuaka
clics-doculect-158-57,igna1246-std,concepticon-737,1.86,kamuruaka,"light, kindle, ignite",kamuruaka
clics-doculect-158-58,igna1246-std,concepticon-127,1.861,kaemaʔa,extinguish,kaema?a
clics-doculect-158-59,igna1246-std,concepticon-10,1.88,'nereruka,firewood,'nereruka
clics-doculect-158-60,igna1246-std,concepticon-10,1.88,ti'ahiki,firewood,ti'ahiki
clics-doculect-158-61,igna1246-std,concepticon-1188,1.89,'mamu,charcoal,'mamu
clics-doculect-158-62,igna1246-std,concepticon-1188,1.89,emaniki,charcoal,emaniki
clics-doculect-158-63,igna1246-std,concepticon-683,2.1,ačane,"person, human being",acane
clics-doculect-158-64,igna1246-std,concepticon-683,2.1,ačaneana,"person, human being",acaneana
clics-doculect-158-65,igna1246-std,concepticon-1554,2.21,ahaira,man (vs. woman),ahaira
clics-doculect-158-66,igna1246-std,concepticon-1554,2.21,ačane,man (vs. woman),acane
clics-doculect-158-67,igna1246-std,concepticon-962,2.22,esena,woman,esena
clics-doculect-158-68,igna1246-std,concepticon-1553,2.23,ahaira,male,ahaira
clics-doculect-158-69,igna1246-std,concepticon-1551,2.24,esena,female,esena
clics-doculect-158-70,igna1246-std,concepticon-1366,2.25,amaperu,boy,amaperu
clics-doculect-158-71,igna1246-std,concepticon-76,2.251,amaperu,young man (adolescent),amaperu
clics-doculect-158-72,igna1246-std,concepticon-76,2.251,šuima,young man (adolescent),suima
clics-doculect-158-73,igna1246-std,concepticon-1646,2.26,amaperu,girl,amaperu
clics-doculect-158-74,igna1246-std,concepticon-77,2.261,amaperu,young woman (adolescent),amaperu
clics-doculect-158-75,igna1246-std,concepticon-77,2.261,šipu,young woman (adolescent),sipu
clics-doculect-158-76,igna1246-std,concepticon-1304,2.27,amuya,child,amuya
clics-doculect-158-77,igna1246-std,concepticon-1289,2.28,amuya,"infant, baby",amuya
clics-doculect-158-78,igna1246-std,concepticon-1289,2.28,alauču,"infant, baby",alaucu
clics-doculect-158-79,igna1246-std,concepticon-1200,2.31,ima,husband,ima
clics-doculect-158-80,igna1246-std,concepticon-1200,2.31,imare,husband,imare
clics-doculect-158-81,igna1246-std,concepticon-1199,2.32,'yenare,wife,'yenare
clics-doculect-158-82,igna1246-std,concepticon-1199,2.32,yena,wife,yena
clics-doculect-158-83,igna1246-std,concepticon-203,2.33,kaparape,marry,kaparape
clics-doculect-158-84,igna1246-std,concepticon-203,2.33,'i'taučawa,marry,'i'taucawa
clics-doculect-158-85,igna1246-std,concepticon-1259,2.34,'nikakare,"marriage, wedding",'nikakare
clics-doculect-158-86,igna1246-std,concepticon-1259,2.34,nawirakaka,"marriage, wedding",nawirakaka
clics-doculect-158-87,igna1246-std,concepticon-1134,2.341,'inahikaka,divorce,'inahikaka
clics-doculect-158-88,igna1246-std,concepticon-1217,2.35,tikačiča,father,tikacica
clics-doculect-158-89,igna1246-std,concepticon-1217,2.35,iya,father,iya
clics-doculect-158-90,igna1246-std,concepticon-1217,2.35,'iyare,father,'iyare
clics-doculect-158-91,igna1246-std,concepticon-1216,2.36,'ena,mother,'ena
clics-doculect-158-92,igna1246-std,concepticon-1216,2.36,meme,mother,meme
clics-doculect-158-93,igna1246-std,concepticon-1620,2.41,emačiča,son,emacica
clics-doculect-158-94,igna1246-std,concepticon-1620,2.41,eɲičiča,son,enicica
clics-doculect-158-95,igna1246-std,concepticon-1357,2.42,esučiča,daughter,esucica
clics-doculect-158-96,igna1246-std,concepticon-1262,2.44,parape,brother,parape
clics-doculect-158-97,igna1246-std,concepticon-1759,2.444,'naečawimuri,older brother,'naecawimuri
clics-doculect-158-98,igna1246-std,concepticon-1760,2.445,'natimuri,younger brother,'natimuri
clics-doculect-158-99,igna1246-std,concepticon-1263,2.45,parape,sister,parape
clics-doculect-158-100,igna1246-std,concepticon-1758,2.454,'etira,older sister,'etira
clics-doculect-158-101,igna1246-std,concepticon-1758,2.454,tira,older sister,tira
clics-doculect-158-102,igna1246-std,concepticon-1761,2.455,ati,younger sister,ati
clics-doculect-158-103,igna1246-std,concepticon-1761,2.455,ati,younger sister,ati
clics-doculect-158-104,igna1246-std,concepticon-1640,2.456,parape,sibling,parape
clics-doculect-158-105,igna1246-std,concepticon-1005,2.458,čame,twins,came
clics-doculect-158-106,igna1246-std,concepticon-1383,2.46,'ačuka,grandfather,'acuka
clics-doculect-158-107,igna1246-std,concepticon-1383,2.46,aču,grandfather,acu
clics-doculect-158-108,igna1246-std,concepticon-406,2.461,ičawika,old man,icawika
clics-doculect-158-109,igna1246-std,concepticon-1496,2.47,c̷ec̷e,grandmother,cece
clics-doculect-158-110,igna1246-std,concepticon-1496,2.47,ac̷e,grandmother,ace
clics-doculect-158-111,igna1246-std,concepticon-907,2.471,ičawika,old woman,icawika
clics-doculect-158-112,igna1246-std,concepticon-1618,2.48,'amari,grandson,'amari
clics-doculect-158-113,igna1246-std,concepticon-1619,2.49,'amari,granddaughter,'amari
clics-doculect-158-114,igna1246-std,concepticon-1327,2.51,'ekuka,uncle,'ekuka
clics-doculect-158-115,igna1246-std,concepticon-1327,2.51,'ekukaraʔa,uncle,'ekukara?a
clics-doculect-158-116,igna1246-std,concepticon-1272,2.52,'apenaru,aunt,'apenaru
clics-doculect-158-117,igna1246-std,concepticon-1272,2.52,aka,aunt,aka
clics-doculect-158-118,igna1246-std,concepticon-1063,2.53,čehi,nephew,cehi
clics-doculect-158-119,igna1246-std,concepticon-1063,2.53,'anewa,nephew,'anewa
clics-doculect-158-120,igna1246-std,concepticon-1642,2.54,čehi,niece,cehi
clics-doculect-158-121,igna1246-std,concepticon-1642,2.54,'anewa,niece,'anewa
clics-doculect-158-122,igna1246-std,concepticon-1643,2.55,čehi,cousin,cehi
clics-doculect-158-123,igna1246-std,concepticon-1669,2.56,'iyanaweanaini,ancestors,'iyanaweanaini
clics-doculect-158-124,igna1246-std,concepticon-490,2.57,'amari'ekene,descendants,'amari'ekene
clics-doculect-158-125,igna1246-std,concepticon-2255,2.61,'imačuka,father-in-law (of a man),'imacuka
clics-doculect-158-126,igna1246-std,concepticon-2254,2.611,'imačuka,father-in-law (of a woman),'imacuka
clics-doculect-158-127,igna1246-std,concepticon-2256,2.62,'imase,mother-in-law (of a man),'imase
clics-doculect-158-128,igna1246-std,concepticon-2257,2.621,'imase,mother-in-law (of a woman),'imase
clics-doculect-158-129,igna1246-std,concepticon-2267,2.63,čina,son-in-law (of a man),cina
clics-doculect-158-130,igna1246-std,concepticon-2267,2.63,činare,son-in-law (of a man),cinare
clics-doculect-158-131,igna1246-std,concepticon-2266,2.631,čina,son-in-law (of a woman),cina
clics-doculect-158-132,igna1246-std,concepticon-2266,2.631,činare,son-in-law (of a woman),cinare
clics-doculect-158-133,igna1246-std,concepticon-2265,2.64,činenaka,daughter-in-law (of a man),cinenaka
clics-doculect-158-134,igna1246-std,concepticon-2265,2.64,činena,daughter-in-law (of a man),cinena
clics-doculect-158-135,igna1246-std,concepticon-2264,2.641,činenaka,daughter-in-law (of a woman),cinenaka
clics-doculect-158-136,igna1246-std,concepticon-2264,2.641,činena,daughter-in-law (of a woman),cinena
clics-doculect-158-137,igna1246-std,concepticon-237,2.71,'iyaʔaruwa,stepfather,'iya?aruwa
clics-doculect-158-138,igna1246-std,concepticon-236,2.72,'enaʔaruwa,stepmother,'ena?aruwa
clics-doculect-158-139,igna1246-std,concepticon-1149,2.75,wača,orphan,waca
clics-doculect-158-140,igna1246-std,concepticon-1756,2.76,'epenaima,widow,'epenaima
clics-doculect-158-141,igna1246-std,concepticon-1756,2.76,'maimaru,widow,'maimaru
clics-doculect-158-142,igna1246-std,concepticon-1981,2.77,'epena'yena,widower,'epena'yena
clics-doculect-158-143,igna1246-std,concepticon-1644,2.81,haneana,"relatives, kinsmen",haneana
clics-doculect-158-144,igna1246-std,concepticon-194,2.82,amaperuana,family,amaperuana
clics-doculect-158-145,igna1246-std,concepticon-1209,2.91,'nuti,I,'nuti
clics-doculect-158-146,igna1246-std,concepticon-1215,2.92,'piti,you (singular),'piti
clics-doculect-158-147,igna1246-std,concepticon-262,2.93,'ema,he/she/it,'ema
clics-doculect-158-148,igna1246-std,concepticon-262,2.93,'eɲi,he/she/it,'eni
clics-doculect-158-149,igna1246-std,concepticon-1212,2.94,'witi,we,'witi
clics-doculect-158-150,igna1246-std,concepticon-1213,2.95,'eti,you (plural),'eti
clics-doculect-158-151,igna1246-std,concepticon-1213,2.95,'etiana,you (plural),'etiana
clics-doculect-158-152,igna1246-std,concepticon-817,2.96,'ena,they,'ena
clics-doculect-158-153,igna1246-std,concepticon-619,3.11,'sarare,animal,'sarare
clics-doculect-158-154,igna1246-std,concepticon-1989,3.24,čikeru,calf,cikeru
clics-doculect-158-155,igna1246-std,concepticon-1337,3.35,kuči,pig,kuci
clics-doculect-158-156,igna1246-std,concepticon-1511,3.52,ahairiʔi,"cock, rooster",ahairi?i
clics-doculect-158-157,igna1246-std,concepticon-1514,3.54,warayu,hen,warayu
clics-doculect-158-158,igna1246-std,concepticon-539,3.58,tamakahi,nest,tamakahi
clics-doculect-158-159,igna1246-std,concepticon-937,3.581,'kayure,bird,'kayure
clics-doculect-158-160,igna1246-std,concepticon-950,3.582,seweʔu,seagull,sewe?u
clics-doculect-158-161,igna1246-std,concepticon-758,3.583,hapuna,heron,hapuna
clics-doculect-158-162,igna1246-std,concepticon-1905,3.584,'matiʔi,eagle,'mati?i
clics-doculect-158-163,igna1246-std,concepticon-1793,3.591,wite,bat,wite
clics-doculect-158-164,igna1246-std,concepticon-882,3.592,waru,parrot,waru
clics-doculect-158-165,igna1246-std,concepticon-882,3.592,aha,parrot,aha
clics-doculect-158-166,igna1246-std,concepticon-735,3.596,ičinisiri,owl,icinisiri
clics-doculect-158-167,igna1246-std,concepticon-2009,3.61,tamuku,dog,tamuku
clics-doculect-158-168,igna1246-std,concepticon-1208,3.62,miši,cat,misi
clics-doculect-158-169,igna1246-std,concepticon-2139,3.63,kac̷a,"mouse, rat",kaca
clics-doculect-158-170,igna1246-std,concepticon-2139,3.63,kamare,"mouse, rat",kamare
clics-doculect-158-171,igna1246-std,concepticon-227,3.65,hima,fish,hima
clics-doculect-158-172,igna1246-std,concepticon-213,3.652,tanaurape,fin (dorsal),tanaurape
clics-doculect-158-173,igna1246-std,concepticon-266,3.653,kapimerumuiriʔaetahima,fishscale,kapimerumuiri?aetahima
clics-doculect-158-174,igna1246-std,concepticon-1013,3.665,kapipile,freshwater eel,kapipile
clics-doculect-158-175,igna1246-std,concepticon-1013,3.665,itire,freshwater eel,itire
clics-doculect-158-176,igna1246-std,concepticon-1386,3.72,itiare,lion,itiare
clics-doculect-158-177,igna1246-std,concepticon-1312,3.74,čuye,fox,cuye
clics-doculect-158-178,igna1246-std,concepticon-1936,3.75,kahawa,deer,kahawa
clics-doculect-158-179,igna1246-std,concepticon-1350,3.76,iya,monkey,iya
clics-doculect-158-180,igna1246-std,concepticon-1350,3.76,iči,monkey,ici
clics-doculect-158-181,igna1246-std,concepticon-1350,3.76,pature,monkey,pature
clics-doculect-158-182,igna1246-std,concepticon-1350,3.76,c̷iki,monkey,ciki
clics-doculect-158-183,igna1246-std,concepticon-1392,3.811,iɲeti,louse,ineti
clics-doculect-158-184,igna1246-std,concepticon-1392,3.811,iɲe,louse,ine
clics-doculect-158-185,igna1246-std,concepticon-232,3.813,taiɲeetatamuku,flea,taineetatamuku
clics-doculect-158-186,igna1246-std,concepticon-1974,3.814,taiɲewareke,centipede,tainewareke
clics-doculect-158-187,igna1246-std,concepticon-1538,3.815,'saseraʔi,scorpion,'sasera?i
clics-doculect-158-188,igna1246-std,concepticon-1575,3.816,seweri,cockroach,seweri
clics-doculect-158-189,igna1246-std,concepticon-587,3.817,kačiru,ant,kaciru
clics-doculect-158-190,igna1246-std,concepticon-843,3.818,samatu,spider,samatu
clics-doculect-158-191,igna1246-std,concepticon-665,3.82,'mapasi,bee,'mapasi
clics-doculect-158-192,igna1246-std,concepticon-665,3.82,weraru,bee,weraru
