ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-22-1,iyoj1235-std,concepticon-626,1.21,axnat,"earth, land",axnat
clics-doculect-22-2,iyoj1235-std,concepticon-1228,1.212,axnat,"earth=ground, soil",axnat
clics-doculect-22-3,iyoj1235-std,concepticon-2,1.213,lamak,dust,lamak
clics-doculect-22-4,iyoj1235-std,concepticon-640,1.214,isat,mud,isat
clics-doculect-22-5,iyoj1235-std,concepticon-671,1.215,isye,sand,isye
clics-doculect-22-6,iyoj1235-std,concepticon-2118,1.22,takixnakiʔ,"mountain, hill",takixnaki?
clics-doculect-22-7,iyoj1235-std,concepticon-618,1.222,takina,"cliff, precipice",takina
clics-doculect-22-8,iyoj1235-std,concepticon-652,1.23,fʷex,"plain, field",fwex
clics-doculect-22-9,iyoj1235-std,concepticon-113,1.27,tewktakinaʔ,shore,tewktakina?
clics-doculect-22-10,iyoj1235-std,concepticon-1155,1.28,ixwo,cave,ixwo
clics-doculect-22-11,iyoj1235-std,concepticon-948,1.31,anat,water,anat
clics-doculect-22-12,iyoj1235-std,concepticon-1768,1.324,satyuʔ,foam,satyu?
clics-doculect-22-13,iyoj1235-std,concepticon-623,1.341,anatlet,lagoon,anatlet
clics-doculect-22-14,iyoj1235-std,concepticon-1662,1.343,takinakilaseʔ,"headland, point",takinakilase?
clics-doculect-22-15,iyoj1235-std,concepticon-978,1.35,anatisawompe,wave,anatisawompe
clics-doculect-22-16,iyoj1235-std,concepticon-666,1.36,tewak,"river, stream, brook",tewak
clics-doculect-22-17,iyoj1235-std,concepticon-1982,1.362,ofʷatakiʔ,whirlpool,ofwataki?
clics-doculect-22-18,iyoj1235-std,concepticon-2144,1.37,tokkiʔ,"spring, well",tokki?
clics-doculect-22-19,iyoj1235-std,concepticon-1145,1.38,naxe,swamp,naxe
clics-doculect-22-20,iyoj1235-std,concepticon-943,1.39,anataleteyin,waterfall,anataleteyin
clics-doculect-22-21,iyoj1235-std,concepticon-420,1.41,linaʔ,"woods, forest",lina?
clics-doculect-22-23,iyoj1235-std,concepticon-1803,1.43,alaʔ,wood,ala?
clics-doculect-22-24,iyoj1235-std,concepticon-2125,1.44,poy,"stone, rock",poy
clics-doculect-22-25,iyoj1235-std,concepticon-6,1.45,axnattiwesi,earthquake,axnattiwesi
clics-doculect-22-26,iyoj1235-std,concepticon-1732,1.51,poleʔ,sky,pole?
clics-doculect-22-27,iyoj1235-std,concepticon-1343,1.52,kilay,sun,kilay
clics-doculect-22-28,iyoj1235-std,concepticon-1313,1.53,weʔla,moon,we?la
clics-doculect-22-29,iyoj1235-std,concepticon-1430,1.54,kates,star,kates
clics-doculect-22-30,iyoj1235-std,concepticon-1654,1.55,yexey,lightning,yexey
clics-doculect-22-31,iyoj1235-std,concepticon-1654,1.55,tˀakayi,lightning,t?akayi
clics-doculect-22-32,iyoj1235-std,concepticon-1150,1.56,syulteni,thunder,syulteni
clics-doculect-22-33,iyoj1235-std,concepticon-2007,1.57,yexey,lightning (as striking),yexey
clics-doculect-22-34,iyoj1235-std,concepticon-858,1.58,afʷesyeyi,storm,afwesyeyi
clics-doculect-22-35,iyoj1235-std,concepticon-1733,1.59,sapalkat,rainbow,sapalkat
clics-doculect-22-36,iyoj1235-std,concepticon-630,1.61,lal,light (noun),lal
clics-doculect-22-37,iyoj1235-std,concepticon-630,1.61,xloma,light (noun),xloma
clics-doculect-22-38,iyoj1235-std,concepticon-11,1.62,axna,darkness,axna
clics-doculect-22-39,iyoj1235-std,concepticon-1388,1.63,peluk,"shade, shadow",peluk
clics-doculect-22-40,iyoj1235-std,concepticon-1388,1.63,piluk,"shade, shadow",piluk
clics-doculect-22-41,iyoj1235-std,concepticon-1977,1.64,yista,dew,yista
clics-doculect-22-42,iyoj1235-std,concepticon-27,1.71,yel,air,yel
clics-doculect-22-43,iyoj1235-std,concepticon-960,1.72,laxwu,wind,laxwu
clics-doculect-22-44,iyoj1235-std,concepticon-1489,1.73,poleʔ,cloud,pole?
clics-doculect-22-45,iyoj1235-std,concepticon-249,1.74,toxsata,fog,toxsata
clics-doculect-22-46,iyoj1235-std,concepticon-249,1.74,inyexkay,fog,inyexkay
clics-doculect-22-47,iyoj1235-std,concepticon-658,1.75,pexla,rain (noun),pexla
clics-doculect-22-48,iyoj1235-std,concepticon-784,1.76,fʷiyitinyuneʔ,snow (noun),fwiyitinyune?
clics-doculect-22-49,iyoj1235-std,concepticon-617,1.77,fʷiyit,ice,fwiyit
clics-doculect-22-50,iyoj1235-std,concepticon-952,1.78,lomaʔ,weather,loma?
clics-doculect-22-51,iyoj1235-std,concepticon-221,1.81,etyeʔ,fire,etye?
clics-doculect-22-52,iyoj1235-std,concepticon-889,1.82,lal,flame (noun),lal
clics-doculect-22-53,iyoj1235-std,concepticon-778,1.83,toxsa,smoke (noun),toxsa
clics-doculect-22-54,iyoj1235-std,concepticon-646,1.84,taxlat,ashes,taxlat
clics-doculect-22-55,iyoj1235-std,concepticon-67,1.841,eytifʷuk,embers,eytifwuk
clics-doculect-22-56,iyoj1235-std,concepticon-141,1.851,wun,burn (vb trans),wun
clics-doculect-22-57,iyoj1235-std,concepticon-1428,1.852,etyeotam,burn (vb intrans),etyeotam
clics-doculect-22-58,iyoj1235-std,concepticon-737,1.86,tofʷaniti,"light, kindle, ignite",tofwaniti
clics-doculect-22-59,iyoj1235-std,concepticon-737,1.86,tyufʷaniti,"light, kindle, ignite",tyufwaniti
clics-doculect-22-60,iyoj1235-std,concepticon-737,1.86,xlanee,"light, kindle, ignite",xlanee
clics-doculect-22-61,iyoj1235-std,concepticon-127,1.861,omateʔ,extinguish,omate?
