ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-100-1,kara1474-Tokitin,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-100-2,kara1474-Tokitin,concepticon-626,1.21,гІуᴴши,"earth, land",gIushi
clics-doculect-100-3,kara1474-Tokitin,concepticon-626,1.21,пачалихъ,"earth, land",pachalikh'
clics-doculect-100-4,kara1474-Tokitin,concepticon-1228,1.212,гІуᴴши,"earth=ground, soil",gIushi
clics-doculect-100-5,kara1474-Tokitin,concepticon-2,1.213,хІури,dust,khIuri
clics-doculect-100-6,kara1474-Tokitin,concepticon-640,1.214,хІари,mud,khIari
clics-doculect-100-7,kara1474-Tokitin,concepticon-671,1.215,сали,sand,sali
clics-doculect-100-8,kara1474-Tokitin,concepticon-2118,1.22,беса,"mountain, hill",besa
clics-doculect-100-9,kara1474-Tokitin,concepticon-2118,1.22,гьангъу,"mountain, hill",g'ang'u
clics-doculect-100-10,kara1474-Tokitin,concepticon-618,1.222,кьури,"cliff, precipice",k'uri
clics-doculect-100-11,kara1474-Tokitin,concepticon-618,1.222,ретІури,"cliff, precipice",retIuri
clics-doculect-100-12,kara1474-Tokitin,concepticon-652,1.23,авлахъ,"plain, field",avlakh'
clics-doculect-100-13,kara1474-Tokitin,concepticon-652,1.23,гьур,"plain, field",g'ur
clics-doculect-100-14,kara1474-Tokitin,concepticon-652,1.23,беданлъири,"plain, field",bedanl'iri
clics-doculect-100-15,kara1474-Tokitin,concepticon-921,1.24,авлахъ,valley,avlakh'
clics-doculect-100-16,kara1474-Tokitin,concepticon-622,1.25,чІинкІиллъири,island,chIinkIill'iri
clics-doculect-100-17,kara1474-Tokitin,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-100-18,kara1474-Tokitin,concepticon-113,1.27,регІил,shore,regIil
clics-doculect-100-19,kara1474-Tokitin,concepticon-1155,1.28,нохъу,cave,nokh'u
clics-doculect-100-20,kara1474-Tokitin,concepticon-1155,1.28,речІчІа,cave,rechIchIa
clics-doculect-100-21,kara1474-Tokitin,concepticon-948,1.31,лълъим,water,l'l'im
clics-doculect-100-22,kara1474-Tokitin,concepticon-1474,1.32,релъа,sea,rel'a
clics-doculect-100-23,kara1474-Tokitin,concepticon-258,1.322,гъардиэтаб,calm (of sea),g'ardietab
clics-doculect-100-24,kara1474-Tokitin,concepticon-259,1.323,абатабах,rough (of sea),abatabakh
clics-doculect-100-25,kara1474-Tokitin,concepticon-1768,1.324,пала,foam,pala
clics-doculect-100-26,kara1474-Tokitin,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-100-27,kara1474-Tokitin,concepticon-624,1.33,игьур,lake,ig'ur
clics-doculect-100-28,kara1474-Tokitin,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-100-29,kara1474-Tokitin,concepticon-891,1.352,релъадаллъимгьалубагьерцІири,tide,rel'adall'img'alubag'ertsIiri
clics-doculect-100-30,kara1474-Tokitin,concepticon-1026,1.353,лъимгьедамуари,lowtide,l'img'edamuari
clics-doculect-100-31,kara1474-Tokitin,concepticon-666,1.36,иᴴхи,"river, stream, brook",ikhi
