ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-209-1,kara1474-std,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-209-2,kara1474-std,concepticon-626,1.21,хІукмат,"earth, land",khIukmat
clics-doculect-209-3,kara1474-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-209-4,kara1474-std,concepticon-1228,1.212,уᴴщи,"earth=ground, soil",ushchi
clics-doculect-209-5,kara1474-std,concepticon-2,1.213,хІуре,dust,khIure
clics-doculect-209-6,kara1474-std,concepticon-640,1.214,ц̅Іерти,mud,tsIerti
clics-doculect-209-7,kara1474-std,concepticon-671,1.215,соро,sand,soro
clics-doculect-209-8,kara1474-std,concepticon-2118,1.22,кьеда,"mountain, hill",k'eda
clics-doculect-209-9,kara1474-std,concepticon-2118,1.22,гьаᴴда,"mountain, hill",g'ada
clics-doculect-209-10,kara1474-std,concepticon-618,1.222,кьеда,"cliff, precipice",k'eda
clics-doculect-209-11,kara1474-std,concepticon-618,1.222,к̅Іале,"cliff, precipice",kIale
clics-doculect-209-12,kara1474-std,concepticon-652,1.23,авлахъ,"plain, field",avlakh'
clics-doculect-209-13,kara1474-std,concepticon-652,1.23,хуре,"plain, field",khure
clics-doculect-209-14,kara1474-std,concepticon-921,1.24,байдан,valley,baidan
clics-doculect-209-15,kara1474-std,concepticon-921,1.24,гІатІилъер,valley,gIatIil'er
clics-doculect-209-16,kara1474-std,concepticon-622,1.25,чІиᴴкІиллъер,island,chIikIill'er
clics-doculect-209-17,kara1474-std,concepticon-113,1.27,релъарегІайкьІас̅,shore,rel'aregIaik'Ias
clics-doculect-209-18,kara1474-std,concepticon-113,1.27,макІва,shore,makIva
clics-doculect-209-19,kara1474-std,concepticon-1155,1.28,реч̅Іа,cave,rechIa
clics-doculect-209-20,kara1474-std,concepticon-948,1.31,лълъеᴴй,water,l'l'ei
clics-doculect-209-21,kara1474-std,concepticon-1474,1.32,релъа,sea,rel'a
clics-doculect-209-22,kara1474-std,concepticon-258,1.322,гъардиритаб,calm (of sea),g'ardiritab
clics-doculect-209-23,kara1474-std,concepticon-259,1.323,гьалагоб,rough (of sea),g'alagob
clics-doculect-209-24,kara1474-std,concepticon-1768,1.324,пале,foam,pale
clics-doculect-209-25,kara1474-std,concepticon-645,1.329,акиан,ocean,akian
clics-doculect-209-26,kara1474-std,concepticon-624,1.33,игьвар,lake,ig'var
clics-doculect-209-27,kara1474-std,concepticon-978,1.35,гаречан,wave,garechan
clics-doculect-209-28,kara1474-std,concepticon-891,1.352,релъабоаᴴбехьвар,tide,rel'aboabekh'var
clics-doculect-209-29,kara1474-std,concepticon-1026,1.353,лъеᴴйбоаᴴ,lowtide,l'eiboa
clics-doculect-209-30,kara1474-std,concepticon-613,1.354,лъеᴴйбехьвар,hightide,l'eibekh'var
clics-doculect-209-31,kara1474-std,concepticon-666,1.36,лъерс̅а,"river, stream, brook",l'ersa
clics-doculect-209-32,kara1474-std,concepticon-666,1.36,эᴴх̅е,"river, stream, brook",ekhe
clics-doculect-209-33,kara1474-std,concepticon-666,1.36,щвалйа,"river, stream, brook",shchvalia
clics-doculect-209-34,kara1474-std,concepticon-1982,1.362,лълъеᴴйс̅орер,whirlpool,l'l'eisorer
clics-doculect-209-35,kara1474-std,concepticon-2144,1.37,иᴴц̅е,"spring, well",itse
clics-doculect-209-36,kara1474-std,concepticon-2144,1.37,хІавуз,"spring, well",khIavuz
clics-doculect-209-37,kara1474-std,concepticon-1145,1.38,хьуц̅Іе,swamp,kh'utsIe
clics-doculect-209-38,kara1474-std,concepticon-943,1.39,коре,waterfall,kore
clics-doculect-209-39,kara1474-std,concepticon-420,1.41,рохьо,"woods, forest",rokh'o
clics-doculect-209-41,kara1474-std,concepticon-1803,1.43,лъуда,wood,l'uda
clics-doculect-209-42,kara1474-std,concepticon-2125,1.44,аᴴча,"stone, rock",acha
clics-doculect-209-43,kara1474-std,concepticon-2125,1.44,кьеда,"stone, rock",k'eda
clics-doculect-209-44,kara1474-std,concepticon-6,1.45,гъалмиса,earthquake,g'almisa
clics-doculect-209-45,kara1474-std,concepticon-1732,1.51,решин,sky,reshin
clics-doculect-209-46,kara1474-std,concepticon-1343,1.52,милъе,sun,mil'e
clics-doculect-209-47,kara1474-std,concepticon-1313,1.53,борц̅Іо,moon,bortsIo
clics-doculect-209-48,kara1474-std,concepticon-1430,1.54,ц̅Івай,star,tsIvai
clics-doculect-209-49,kara1474-std,concepticon-1654,1.55,пире,lightning,pire
clics-doculect-209-50,kara1474-std,concepticon-1150,1.56,решинолІгъургъури,thunder,reshinolIg'urg'uri
clics-doculect-209-51,kara1474-std,concepticon-2007,1.57,пире,lightning (as striking),pire
clics-doculect-209-52,kara1474-std,concepticon-858,1.58,бикьІобмучу,storm,bik'Iobmuchu
clics-doculect-209-53,kara1474-std,concepticon-1733,1.59,цІорцІин,rainbow,tsIortsIin
clics-doculect-209-54,kara1474-std,concepticon-630,1.61,коно,light (noun),kono
clics-doculect-209-55,kara1474-std,concepticon-11,1.62,сиᴴдулъер,darkness,sidul'er
clics-doculect-209-56,kara1474-std,concepticon-11,1.62,коногьачІелъер,darkness,konog'achIel'er
clics-doculect-209-57,kara1474-std,concepticon-1388,1.63,аᴴч̅у,"shade, shadow",achu
clics-doculect-209-58,kara1474-std,concepticon-1977,1.64,щибе,dew,shchibe
clics-doculect-209-59,kara1474-std,concepticon-27,1.71,гьава,air,g'ava
clics-doculect-209-60,kara1474-std,concepticon-960,1.72,мучу,wind,muchu
clics-doculect-209-61,kara1474-std,concepticon-1489,1.73,гьаᴴкьІу,cloud,g'ak'Iu
clics-doculect-209-62,kara1474-std,concepticon-249,1.74,гьаᴴкьІу,fog,g'ak'Iu
clics-doculect-209-63,kara1474-std,concepticon-658,1.75,ц̅Іай,rain (noun),tsIai
clics-doculect-209-64,kara1474-std,concepticon-784,1.76,аᴴзе,snow (noun),aze
clics-doculect-209-65,kara1474-std,concepticon-617,1.77,заре,ice,zare
clics-doculect-209-66,kara1474-std,concepticon-952,1.78,гьава,weather,g'ava
clics-doculect-209-67,kara1474-std,concepticon-221,1.81,цІай,fire,tsIai
clics-doculect-209-68,kara1474-std,concepticon-889,1.82,цІай,flame (noun),tsIai
clics-doculect-209-69,kara1474-std,concepticon-778,1.83,ц̅уре,smoke (noun),tsure
clics-doculect-209-70,kara1474-std,concepticon-646,1.84,кьехва,ashes,k'ekhva
clics-doculect-209-71,kara1474-std,concepticon-67,1.841,бигьамтІурч̅и,embers,big'amtIurchi
clics-doculect-209-72,kara1474-std,concepticon-141,1.851,цІагьалъа,burn (vb trans),tsIag'al'a
clics-doculect-209-73,kara1474-std,concepticon-1428,1.852,реквалъа,burn (vb intrans),rekval'a
clics-doculect-209-74,kara1474-std,concepticon-737,1.86,реква̅лъа,"light, kindle, ignite",rekval'a
clics-doculect-209-75,kara1474-std,concepticon-737,1.86,паᴴкІалъа,"light, kindle, ignite",pakIal'a
clics-doculect-209-76,kara1474-std,concepticon-127,1.861,бичІа̅лъа,extinguish,bichIal'a
clics-doculect-209-77,kara1474-std,concepticon-127,1.861,цІайбичІа̅лъа,extinguish,tsIaibichIal'a
clics-doculect-209-78,kara1474-std,concepticon-1133,1.87,испичкалІмаъа,match (noun),ispichkalIma'a
clics-doculect-209-79,kara1474-std,concepticon-10,1.88,лъуда,firewood,l'uda
clics-doculect-209-80,kara1474-std,concepticon-10,1.88,лъудацІуле,firewood,l'udatsIule
clics-doculect-209-81,kara1474-std,concepticon-1188,1.89,гьабу,charcoal,g'abu
clics-doculect-209-82,kara1474-std,concepticon-683,2.1,гьекІва,"person, human being",g'ekIva
clics-doculect-209-83,kara1474-std,concepticon-683,2.1,гІадам,"person, human being",gIadam
clics-doculect-209-84,kara1474-std,concepticon-1554,2.21,куᴴтІикІагьекІва,man (vs. woman),kutIikIag'ekIva
clics-doculect-209-85,kara1474-std,concepticon-962,2.22,гьарк̅Іук̅ІагІадаᴴй,woman,g'arkIukIagIadai
clics-doculect-209-86,kara1474-std,concepticon-1553,2.23,куᴴтІаб,male,kutIab
clics-doculect-209-87,kara1474-std,concepticon-1551,2.24,гьарк̅Іоб,female,g'arkIob
clics-doculect-209-88,kara1474-std,concepticon-1366,2.25,ваша,boy,vasha
clics-doculect-209-89,kara1474-std,concepticon-76,2.251,гІолохъангьекІва,young man (adolescent),gIolokh'ang'ekIva
clics-doculect-209-90,kara1474-std,concepticon-1646,2.26,йаше,girl,iashe
clics-doculect-209-91,kara1474-std,concepticon-77,2.261,гІолохъаноййаше,young woman (adolescent),gIolokh'anoiiashe
clics-doculect-209-92,kara1474-std,concepticon-77,2.261,гІолохъангьарк̅Іой,young woman (adolescent),gIolokh'ang'arkIoi
clics-doculect-209-93,kara1474-std,concepticon-1304,2.27,макІе,child,makIe
clics-doculect-209-94,kara1474-std,concepticon-1289,2.28,какилвасмакІе,"infant, baby",kakilvasmakIe
clics-doculect-209-95,kara1474-std,concepticon-1289,2.28,микІобмакІе,"infant, baby",mikIobmakIe
clics-doculect-209-96,kara1474-std,concepticon-1200,2.31,куᴴтІа,husband,kutIa
clics-doculect-209-97,kara1474-std,concepticon-1200,2.31,минаркІва,husband,minarkIva
clics-doculect-209-98,kara1474-std,concepticon-1199,2.32,гьарк̅Іе,wife,g'arkIe
clics-doculect-209-99,kara1474-std,concepticon-203,2.33,гьарк̅Іейелъалъа,marry,g'arkIeiel'al'a
clics-doculect-209-100,kara1474-std,concepticon-203,2.33,куᴴтІвайеъаᴴлъа,marry,kutIvaie'al'a
clics-doculect-209-101,kara1474-std,concepticon-1259,2.34,бертин,"marriage, wedding",bertin
clics-doculect-209-102,kara1474-std,concepticon-1134,2.341,минарлъалъа,divorce,minarl'al'a
clics-doculect-209-103,kara1474-std,concepticon-1217,2.35,имйа,father,imia
clics-doculect-209-104,kara1474-std,concepticon-1216,2.36,илйа,mother,ilia
clics-doculect-209-105,kara1474-std,concepticon-505,2.37,имайлйа,parents,imailia
clics-doculect-209-106,kara1474-std,concepticon-424,2.38,гьарк̅Іейелъав,married man,g'arkIeiel'av
clics-doculect-209-107,kara1474-std,concepticon-424,2.38,хъизанидйав,married man,kh'izanidiav
clics-doculect-209-108,kara1474-std,concepticon-426,2.39,куᴴтІочІос̅,married woman,kutIochIos
clics-doculect-209-109,kara1474-std,concepticon-1620,2.41,ваша,son,vasha
clics-doculect-209-110,kara1474-std,concepticon-1357,2.42,йаше,daughter,iashe
clics-doculect-209-111,kara1474-std,concepticon-1801,2.43,макІи,offspring (son or daughter),makIi
clics-doculect-209-112,kara1474-std,concepticon-1801,2.43,макІимасе,offspring (son or daughter),makIimase
clics-doculect-209-113,kara1474-std,concepticon-1262,2.44,вац̅и,brother,vatsi
clics-doculect-209-114,kara1474-std,concepticon-1759,2.444,гьеркІаᴴввац̅и,older brother,g'erkIavvatsi
clics-doculect-209-115,kara1474-std,concepticon-1760,2.445,микІоввац̅и,younger brother,mikIovvatsi
clics-doculect-209-116,kara1474-std,concepticon-1263,2.45,йац̅и,sister,iatsi
clics-doculect-209-117,kara1474-std,concepticon-1758,2.454,гьеркІаᴴййац̅и,older sister,g'erkIaiiatsi
clics-doculect-209-118,kara1474-std,concepticon-1761,2.455,микІоййац̅и,younger sister,mikIoiiatsi
clics-doculect-209-119,kara1474-std,concepticon-1640,2.456,вац̅ийац̅и,sibling,vatsiiatsi
clics-doculect-209-120,kara1474-std,concepticon-1005,2.458,кІегобай,twins,kIegobai
clics-doculect-209-121,kara1474-std,concepticon-1383,2.46,гьеркІаᴴймйа,grandfather,g'erkIaimia
clics-doculect-209-122,kara1474-std,concepticon-406,2.461,вохаровгьекІва,old man,vokharovg'ekIva
clics-doculect-209-123,kara1474-std,concepticon-1496,2.47,гьеркІайлйа,grandmother,g'erkIailia
clics-doculect-209-124,kara1474-std,concepticon-907,2.471,йехаройгІадаᴴй,old woman,iekharoigIadai
clics-doculect-209-125,kara1474-std,concepticon-1618,2.48,вашащувваша,grandson,vashashchuvvasha
clics-doculect-209-126,kara1474-std,concepticon-1619,2.49,вашацуййаше,granddaughter,vashatsuiiashe
clics-doculect-209-127,kara1474-std,concepticon-1327,2.51,имоввац̅и,uncle,imovvatsi
clics-doculect-209-128,kara1474-std,concepticon-1984,2.511,иловвац̅и,mother's brother,ilovvatsi
clics-doculect-209-129,kara1474-std,concepticon-1985,2.512,имоввац̅и,father's brother,imovvatsi
clics-doculect-209-130,kara1474-std,concepticon-1272,2.52,йацци,aunt,iatstsi
clics-doculect-209-131,kara1474-std,concepticon-171,2.521,илйац̅и,mother's sister,iliatsi
clics-doculect-209-132,kara1474-std,concepticon-170,2.522,имац̅и,father's sister,imatsi
clics-doculect-209-133,kara1474-std,concepticon-1063,2.53,вац̅овваша,nephew,vatsovvasha
clics-doculect-209-134,kara1474-std,concepticon-1642,2.54,вацоййаше,niece,vatsoiiashe
clics-doculect-209-135,kara1474-std,concepticon-1643,2.55,васгІал,cousin,vasgIal
clics-doculect-209-136,kara1474-std,concepticon-1643,2.55,йасгІал,cousin,iasgIal
clics-doculect-209-137,kara1474-std,concepticon-1669,2.56,имайла,ancestors,imaila
clics-doculect-209-138,kara1474-std,concepticon-490,2.57,наслу,descendants,naslu
clics-doculect-209-139,kara1474-std,concepticon-2255,2.61,имакьер,father-in-law (of a man),imak'er
clics-doculect-209-140,kara1474-std,concepticon-2254,2.611,имакьер,father-in-law (of a woman),imak'er
clics-doculect-209-141,kara1474-std,concepticon-2256,2.62,илйакьер,mother-in-law (of a man),iliak'er
clics-doculect-209-142,kara1474-std,concepticon-2257,2.621,илйакьер,mother-in-law (of a woman),iliak'er
clics-doculect-209-143,kara1474-std,concepticon-2267,2.63,нуса,son-in-law (of a man),nusa
clics-doculect-209-144,kara1474-std,concepticon-2266,2.631,нуса,son-in-law (of a woman),nusa
clics-doculect-209-145,kara1474-std,concepticon-2265,2.64,нуса,daughter-in-law (of a man),nusa
clics-doculect-209-146,kara1474-std,concepticon-2264,2.641,нуса,daughter-in-law (of a woman),nusa
clics-doculect-209-147,kara1474-std,concepticon-237,2.71,илъатимйа,stepfather,il'atimia
clics-doculect-209-148,kara1474-std,concepticon-236,2.72,илъатилйа,stepmother,il'atilia
clics-doculect-209-149,kara1474-std,concepticon-1059,2.73,илъатваша,stepson,il'atvasha
clics-doculect-209-150,kara1474-std,concepticon-1058,2.74,илъатйаше,stepdaughter,il'atiashe
clics-doculect-209-151,kara1474-std,concepticon-1149,2.75,илъатабмакІе,orphan,il'atabmakIe
clics-doculect-209-152,kara1474-std,concepticon-1756,2.76,къоролай,widow,k'orolai
clics-doculect-209-153,kara1474-std,concepticon-1981,2.77,къоролав,widower,k'orolav
clics-doculect-209-154,kara1474-std,concepticon-1644,2.81,гІагарлъер,"relatives, kinsmen",gIagarl'er
clics-doculect-209-155,kara1474-std,concepticon-194,2.82,хъизан,family,kh'izan
clics-doculect-209-156,kara1474-std,concepticon-1209,2.91,ден,I,den
clics-doculect-209-157,kara1474-std,concepticon-1215,2.92,мен,you (singular),men
clics-doculect-209-158,kara1474-std,concepticon-1215,2.92,бишди,you (singular),bishdi
clics-doculect-209-159,kara1474-std,concepticon-262,2.93,гьов,he/she/it,g'ov
clics-doculect-209-160,kara1474-std,concepticon-1212,2.94,ищи,we,ishchi
clics-doculect-209-161,kara1474-std,concepticon-1212,2.94,илІи,we,ilIi
clics-doculect-209-162,kara1474-std,concepticon-1131,2.941,ищи,we (inclusive),ishchi
clics-doculect-209-163,kara1474-std,concepticon-1130,2.942,илІи,we (exclusive),ilIi
