ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-136-1,kath1251-std,concepticon-965,1.1,aːndoydu,world,a:ndoydu
clics-doculect-136-2,kath1251-std,concepticon-626,1.21,sir,"earth, land",sir
clics-doculect-136-3,kath1251-std,concepticon-1228,1.212,buor,"earth=ground, soil",buor
clics-doculect-136-4,kath1251-std,concepticon-2,1.213,bɨːl,dust,bi:l
clics-doculect-136-5,kath1251-std,concepticon-2,1.213,buor,dust,buor
clics-doculect-136-6,kath1251-std,concepticon-640,1.214,badaraːn,mud,badara:n
clics-doculect-136-7,kath1251-std,concepticon-640,1.214,bɨrɨː,mud,biri:
clics-doculect-136-8,kath1251-std,concepticon-671,1.215,kumaχ,sand,kumakh
clics-doculect-136-9,kath1251-std,concepticon-2118,1.22,χaya,"mountain, hill",khaya
clics-doculect-136-10,kath1251-std,concepticon-2118,1.22,mɨraːn,"mountain, hill",mira:n
clics-doculect-136-11,kath1251-std,concepticon-2118,1.22,sɨːr,"mountain, hill",si:r
clics-doculect-136-12,kath1251-std,concepticon-618,1.222,χaya,"cliff, precipice",khaya
clics-doculect-136-13,kath1251-std,concepticon-618,1.222,sɨːr,"cliff, precipice",si:r
clics-doculect-136-14,kath1251-std,concepticon-652,1.23,χonuː,"plain, field",khonu:
clics-doculect-136-15,kath1251-std,concepticon-652,1.23,sɨhɨː,"plain, field",sihi:
clics-doculect-136-16,kath1251-std,concepticon-921,1.24,χočo,valley,khoco
clics-doculect-136-17,kath1251-std,concepticon-622,1.25,arɨː,island,ari:
clics-doculect-136-18,kath1251-std,concepticon-113,1.27,kɨtɨː,shore,kiti:
clics-doculect-136-19,kath1251-std,concepticon-113,1.27,kɨtɨl,shore,kitil
clics-doculect-136-20,kath1251-std,concepticon-1155,1.28,χayaχaspaɣa,cave,khayakhaspaga
clics-doculect-136-21,kath1251-std,concepticon-948,1.31,uː,water,u:
clics-doculect-136-22,kath1251-std,concepticon-1474,1.32,muora,sea,muora
clics-doculect-136-23,kath1251-std,concepticon-1474,1.32,bayɣal,sea,baygal
clics-doculect-136-24,kath1251-std,concepticon-1768,1.324,küːgen,foam,ku:gen
clics-doculect-136-25,kath1251-std,concepticon-645,1.329,akɨyaːn,ocean,akiya:n
clics-doculect-136-26,kath1251-std,concepticon-624,1.33,küöl,lake,kuol
clics-doculect-136-27,kath1251-std,concepticon-663,1.34,χomo,"gulf, bay",khomo
clics-doculect-136-28,kath1251-std,concepticon-1662,1.343,tumus,"headland, point",tumus
clics-doculect-136-29,kath1251-std,concepticon-978,1.35,dolgun,wave,dolgun
clics-doculect-136-30,kath1251-std,concepticon-666,1.36,örüs,"river, stream, brook",orus
clics-doculect-136-31,kath1251-std,concepticon-666,1.36,üreχ,"river, stream, brook",urekh
clics-doculect-136-32,kath1251-std,concepticon-1982,1.362,burulɣan,whirlpool,burulgan
clics-doculect-136-33,kath1251-std,concepticon-2144,1.37,ʤüːkte,"spring, well",dZu:kte
clics-doculect-136-34,kath1251-std,concepticon-2144,1.37,χoluoʤas,"spring, well",kholuodZas
clics-doculect-136-35,kath1251-std,concepticon-1145,1.38,kuta,swamp,kuta
clics-doculect-136-36,kath1251-std,concepticon-1145,1.38,ʤebere,swamp,dZebere
clics-doculect-136-37,kath1251-std,concepticon-1145,1.38,ʤabara,swamp,dZabara
clics-doculect-136-38,kath1251-std,concepticon-943,1.39,kürülgen,waterfall,kurulgen
clics-doculect-136-39,kath1251-std,concepticon-420,1.41,oyuːr,"woods, forest",oyu:r
clics-doculect-136-40,kath1251-std,concepticon-420,1.41,tɨa,"woods, forest",tia
clics-doculect-136-41,kath1251-std,concepticon-1803,1.43,mas,wood,mas
clics-doculect-136-42,kath1251-std,concepticon-2125,1.44,taːs,"stone, rock",ta:s
clics-doculect-136-43,kath1251-std,concepticon-6,1.45,sirχamsaːhɨna,earthquake,sirkhamsa:hina
clics-doculect-136-44,kath1251-std,concepticon-1732,1.51,χallaːn,sky,khalla:n
clics-doculect-136-45,kath1251-std,concepticon-1343,1.52,kün,sun,kun
clics-doculect-136-46,kath1251-std,concepticon-1313,1.53,ɨy,moon,iy
clics-doculect-136-47,kath1251-std,concepticon-1430,1.54,sulus,star,sulus
clics-doculect-136-48,kath1251-std,concepticon-1654,1.55,čaɣɨlɣan,lightning,cagilgan
clics-doculect-136-49,kath1251-std,concepticon-1150,1.56,etiŋ,thunder,etiNG
clics-doculect-136-50,kath1251-std,concepticon-2007,1.57,čaɣɨlɣan,lightning (as striking),cagilgan
clics-doculect-136-51,kath1251-std,concepticon-858,1.58,buːrɣa,storm,bu:rga
clics-doculect-136-52,kath1251-std,concepticon-858,1.58,sillie,storm,sillie
clics-doculect-136-53,kath1251-std,concepticon-1733,1.59,kustuk,rainbow,kustuk
clics-doculect-136-54,kath1251-std,concepticon-630,1.61,uot,light (noun),uot
clics-doculect-136-55,kath1251-std,concepticon-630,1.61,sɨrdɨk,light (noun),sirdik
clics-doculect-136-56,kath1251-std,concepticon-11,1.62,χaraŋa,darkness,kharaNGa
clics-doculect-136-57,kath1251-std,concepticon-1388,1.63,külük,"shade, shadow",kuluk
clics-doculect-136-58,kath1251-std,concepticon-1977,1.64,siːk,dew,si:k
clics-doculect-136-59,kath1251-std,concepticon-27,1.71,salgɨn,air,salgin
clics-doculect-136-60,kath1251-std,concepticon-960,1.72,tɨal,wind,tial
clics-doculect-136-61,kath1251-std,concepticon-1489,1.73,bɨlɨt,cloud,bilit
clics-doculect-136-62,kath1251-std,concepticon-249,1.74,tuman,fog,tuman
clics-doculect-136-63,kath1251-std,concepticon-658,1.75,ardaχ,rain (noun),ardakh
clics-doculect-136-64,kath1251-std,concepticon-658,1.75,samɨːr,rain (noun),sami:r
clics-doculect-136-65,kath1251-std,concepticon-784,1.76,χaːr,snow (noun),kha:r
clics-doculect-136-66,kath1251-std,concepticon-617,1.77,muːs,ice,mu:s
clics-doculect-136-67,kath1251-std,concepticon-952,1.78,künʤɨl,weather,kundZil
clics-doculect-136-68,kath1251-std,concepticon-221,1.81,uot,fire,uot
clics-doculect-136-69,kath1251-std,concepticon-889,1.82,tölön,flame (noun),tolon
clics-doculect-136-70,kath1251-std,concepticon-778,1.83,buruo,smoke (noun),buruo
clics-doculect-136-71,kath1251-std,concepticon-646,1.84,kül,ashes,kul
clics-doculect-136-72,kath1251-std,concepticon-67,1.841,čoχ,embers,cokh
