ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-88-1,kett1243-std,concepticon-626,1.21,baˀŋ,"earth, land",ba?NG
clics-doculect-88-2,kett1243-std,concepticon-1228,1.212,baˀŋ,"earth=ground, soil",ba?NG
clics-doculect-88-3,kett1243-std,concepticon-2,1.213,huˀs,dust,hu?s
clics-doculect-88-4,kett1243-std,concepticon-640,1.214,altəq,mud,alt@q
clics-doculect-88-5,kett1243-std,concepticon-640,1.214,sīn,mud,sin
clics-doculect-88-6,kett1243-std,concepticon-671,1.215,hənaŋ,sand,h@naNG
clics-doculect-88-7,kett1243-std,concepticon-2118,1.22,qaˀj,"mountain, hill",qa?j
clics-doculect-88-8,kett1243-std,concepticon-618,1.222,tɯ̄,"cliff, precipice",tW
clics-doculect-88-9,kett1243-std,concepticon-652,1.23,embaŋ,"plain, field",embaNG
clics-doculect-88-10,kett1243-std,concepticon-622,1.25,ēj,island,ej
clics-doculect-88-11,kett1243-std,concepticon-166,1.26,baˀŋ,mainland,ba?NG
clics-doculect-88-12,kett1243-std,concepticon-113,1.27,sestbaˀŋ,shore,sestba?NG
clics-doculect-88-13,kett1243-std,concepticon-113,1.27,ulbaŋt,shore,ulbaNGt
clics-doculect-88-14,kett1243-std,concepticon-1155,1.28,ogə,cave,og@
clics-doculect-88-15,kett1243-std,concepticon-948,1.31,ūl,water,ul
clics-doculect-88-16,kett1243-std,concepticon-1474,1.32,mora,sea,mora
clics-doculect-88-17,kett1243-std,concepticon-258,1.322,ə̄n,calm (of sea),@n
clics-doculect-88-18,kett1243-std,concepticon-259,1.323,qaˀbēj,rough (of sea),qa?bej
clics-doculect-88-19,kett1243-std,concepticon-1768,1.324,qool,foam,qool
clics-doculect-88-20,kett1243-std,concepticon-645,1.329,mora,ocean,mora
clics-doculect-88-21,kett1243-std,concepticon-624,1.33,deˀ,lake,de?
clics-doculect-88-22,kett1243-std,concepticon-663,1.34,qoˀl,"gulf, bay",qo?l
