ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-131-1,khan1273-std,concepticon-965,1.1,tər̃um,world,t@rum
clics-doculect-131-2,khan1273-std,concepticon-626,1.21,muw,"earth, land",muw
clics-doculect-131-3,khan1273-std,concepticon-1228,1.212,muw,"earth=ground, soil",muw
clics-doculect-131-4,khan1273-std,concepticon-2,1.213,xiš,dust,xis
clics-doculect-131-5,khan1273-std,concepticon-2,1.213,r̃aw,dust,raw
clics-doculect-131-6,khan1273-std,concepticon-640,1.214,xəlɨ,mud,x@li
clics-doculect-131-7,khan1273-std,concepticon-671,1.215,səy,sand,s@y
clics-doculect-131-8,khan1273-std,concepticon-2118,1.22,r̃en,"mountain, hill",ren
clics-doculect-131-9,khan1273-std,concepticon-2118,1.22,saŋxum,"mountain, hill",saNGxum
clics-doculect-131-10,khan1273-std,concepticon-618,1.222,xar̃,"cliff, precipice",xar
clics-doculect-131-11,khan1273-std,concepticon-652,1.23,xar̃,"plain, field",xar
clics-doculect-131-12,khan1273-std,concepticon-921,1.24,puxɨr̃,valley,puxir
clics-doculect-131-13,khan1273-std,concepticon-622,1.25,muw,island,muw
clics-doculect-131-14,khan1273-std,concepticon-166,1.26,xonɨŋ,mainland,xoniNG
clics-doculect-131-15,khan1273-std,concepticon-948,1.31,yiŋk,water,yiNGk
clics-doculect-131-16,khan1273-std,concepticon-1474,1.32,sʸor̃ɨs,sea,syoris
clics-doculect-131-17,khan1273-std,concepticon-258,1.322,tewan,calm (of sea),tewan
clics-doculect-131-18,khan1273-std,concepticon-259,1.323,xumpaŋ,rough (of sea),xumpaNG
clics-doculect-131-19,khan1273-std,concepticon-1768,1.324,nʸer̃,foam,nyer
clics-doculect-131-20,khan1273-std,concepticon-645,1.329,wənsʸor̃ɨs,ocean,w@nsyoris
clics-doculect-131-21,khan1273-std,concepticon-624,1.33,malaŋ,lake,malaNG
clics-doculect-131-22,khan1273-std,concepticon-663,1.34,lux,"gulf, bay",lux
clics-doculect-131-23,khan1273-std,concepticon-1662,1.343,pannʸul,"headland, point",pannyul
clics-doculect-131-24,khan1273-std,concepticon-978,1.35,xump,wave,xump
clics-doculect-131-25,khan1273-std,concepticon-891,1.352,yiŋknuxepattɨyit,tide,yiNGknuxepattiyit
clics-doculect-131-26,khan1273-std,concepticon-891,1.352,yinkilpittɨyit,tide,yinkilpittiyit
clics-doculect-131-27,khan1273-std,concepticon-1026,1.353,yiŋkilpittɨyit,lowtide,yiNGkilpittiyit
clics-doculect-131-28,khan1273-std,concepticon-613,1.354,yiŋknuxepattɨyit,hightide,yiNGknuxepattiyit
clics-doculect-131-29,khan1273-std,concepticon-666,1.36,as,"river, stream, brook",as
