ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-45-1,khas1269-std,concepticon-965,1.1,pyrthei,world,pyrthei
clics-doculect-45-2,khas1269-std,concepticon-626,1.21,ryngkew,"earth, land",ryngkew
clics-doculect-45-3,khas1269-std,concepticon-1228,1.212,khyndew,"earth=ground, soil",khyndew
clics-doculect-45-4,khas1269-std,concepticon-2,1.213,dewmet,dust,dewmet
clics-doculect-45-5,khas1269-std,concepticon-640,1.214,ktieh,mud,ktieh
clics-doculect-45-6,khas1269-std,concepticon-671,1.215,(u) shyiap,sand,(u) shyiap
clics-doculect-45-7,khas1269-std,concepticon-2118,1.22,(u) lúm,"mountain, hill",(u) lum
clics-doculect-45-8,khas1269-std,concepticon-618,1.222,riat,"cliff, precipice",riat
clics-doculect-45-9,khas1269-std,concepticon-652,1.23,madan,"plain, field",madan
clics-doculect-45-10,khas1269-std,concepticon-921,1.24,pahám,valley,paham
clics-doculect-45-11,khas1269-std,concepticon-622,1.25,dewlynnong,island,dewlynnong
clics-doculect-45-12,khas1269-std,concepticon-113,1.27,rud-duriaw,shore,rud-duriaw
clics-doculect-45-13,khas1269-std,concepticon-1155,1.28,krem,cave,krem
clics-doculect-45-14,khas1269-std,concepticon-948,1.31,um,water,um
clics-doculect-45-15,khas1269-std,concepticon-1474,1.32,duriaw,sea,duriaw
clics-doculect-45-16,khas1269-std,concepticon-258,1.322,thanda,calm (of sea),thanda
clics-doculect-45-17,khas1269-std,concepticon-259,1.323,Sohkhruh-sohkhràm,rough (of sea),Sohkhruh-sohkhram
clics-doculect-45-18,khas1269-std,concepticon-645,1.329,duriaw,ocean,duriaw
clics-doculect-45-19,khas1269-std,concepticon-624,1.33,pung,lake,pung
clics-doculect-45-20,khas1269-std,concepticon-660,1.342,(u) khah-um,reef,(u) khah-um
clics-doculect-45-21,khas1269-std,concepticon-978,1.35,jingat phyllúng,wave,jingat phyllung
clics-doculect-45-22,khas1269-std,concepticon-666,1.36,wah,"river, stream, brook",wah
clics-doculect-45-23,khas1269-std,concepticon-2144,1.37,pukri,"spring, well",pukri
clics-doculect-45-24,khas1269-std,concepticon-1145,1.38,ahor,swamp,ahor
clics-doculect-45-25,khas1269-std,concepticon-943,1.39,kshâit,waterfall,kshait
clics-doculect-45-26,khas1269-std,concepticon-420,1.41,láw-bah,"woods, forest",law-bah
clics-doculect-45-27,khas1269-std,concepticon-1803,1.43,dieng,wood,dieng
clics-doculect-45-28,khas1269-std,concepticon-2125,1.44,(u) máw-iap,"stone, rock",(u) maw-iap
clics-doculect-45-29,khas1269-std,concepticon-2125,1.44,mawbah or mawsiang,"stone, rock",mawbah or mawsiang
clics-doculect-45-30,khas1269-std,concepticon-6,1.45,(u) jumái,earthquake,(u) jumai
clics-doculect-45-31,khas1269-std,concepticon-1732,1.51,suiñ,sky,suin
clics-doculect-45-32,khas1269-std,concepticon-1343,1.52,sngi,sun,sngi
clics-doculect-45-33,khas1269-std,concepticon-1313,1.53,(u) bynái,moon,(u) bynai
clics-doculect-45-34,khas1269-std,concepticon-1430,1.54,(u) khlúr,star,(u) khlur
clics-doculect-45-35,khas1269-std,concepticon-1654,1.55,leilieh,lightning,leilieh
clics-doculect-45-36,khas1269-std,concepticon-1150,1.56,(u) pyrthat,thunder,(u) pyrthat
clics-doculect-45-37,khas1269-std,concepticon-2007,1.57,jingthaba-leilieh,lightning (as striking),jingthaba-leilieh
clics-doculect-45-38,khas1269-std,concepticon-858,1.58,ér-iong,storm,er-iong
clics-doculect-45-39,khas1269-std,concepticon-1733,1.59,(u) sim-pyllieng,rainbow,(u) sim-pyllieng
clics-doculect-45-40,khas1269-std,concepticon-630,1.61,jingshai,light (noun),jingshai
clics-doculect-45-41,khas1269-std,concepticon-11,1.62,jingdum,darkness,jingdum
clics-doculect-45-42,khas1269-std,concepticon-1388,1.63,syrngiew,"shade, shadow",syrngiew
clics-doculect-45-43,khas1269-std,concepticon-1977,1.64,umjer,dew,umjer
clics-doculect-45-44,khas1269-std,concepticon-27,1.71,l'ér,air,l'er
clics-doculect-45-45,khas1269-std,concepticon-960,1.72,l'ér,wind,l'er
clics-doculect-45-46,khas1269-std,concepticon-1489,1.73,(u) l'oh,cloud,(u) l'oh
clics-doculect-45-47,khas1269-std,concepticon-249,1.74,(u)l'oh khyndew,fog,(u)l'oh khyndew
clics-doculect-45-48,khas1269-std,concepticon-658,1.75,(u) slap,rain (noun),(u) slap
clics-doculect-45-49,khas1269-std,concepticon-784,1.76,lór,snow (noun),lor
clics-doculect-45-50,khas1269-std,concepticon-617,1.77,(u) thah,ice,(u) thah
clics-doculect-45-51,khas1269-std,concepticon-952,1.78,bneng,weather,bneng
clics-doculect-45-52,khas1269-std,concepticon-221,1.81,ding,fire,ding
clics-doculect-45-53,khas1269-std,concepticon-889,1.82,thylliej-ding,flame (noun),thylliej-ding
clics-doculect-45-54,khas1269-std,concepticon-778,1.83,tdem,smoke (noun),tdem
clics-doculect-45-55,khas1269-std,concepticon-646,1.84,dpei,ashes,dpei
clics-doculect-45-56,khas1269-std,concepticon-141,1.851,ban thang,burn (vb trans),ban thang
clics-doculect-45-57,khas1269-std,concepticon-1428,1.852,ban ing,burn (vb intrans),ban ing
clics-doculect-45-58,khas1269-std,concepticon-737,1.86,ban tbeh,"light, kindle, ignite",ban tbeh
clics-doculect-45-59,khas1269-std,concepticon-127,1.861,pynlip,extinguish,pynlip
clics-doculect-45-60,khas1269-std,concepticon-1133,1.87,(u) jingpruidding,match (noun),(u) jingpruidding
clics-doculect-45-61,khas1269-std,concepticon-1133,1.87,diengthang,match (noun),diengthang
clics-doculect-45-62,khas1269-std,concepticon-10,1.88,(u) rnga,firewood,(u) rnga
clics-doculect-45-63,khas1269-std,concepticon-1188,1.89,rud-duriaw,charcoal,rud-duriaw
clics-doculect-45-64,khas1269-std,concepticon-683,2.1,rangbah,"person, human being",rangbah
clics-doculect-45-65,khas1269-std,concepticon-683,2.1,(u) briew,"person, human being",(u) briew
clics-doculect-45-66,khas1269-std,concepticon-1554,2.21,kynthei,man (vs. woman),kynthei
clics-doculect-45-67,khas1269-std,concepticon-1554,2.21,briew,man (vs. woman),briew
clics-doculect-45-68,khas1269-std,concepticon-962,2.22,shynrang,woman,shynrang
clics-doculect-45-69,khas1269-std,concepticon-1553,2.23,kynthei,male,kynthei
clics-doculect-45-70,khas1269-std,concepticon-1551,2.24,khynnah,female,khynnah
clics-doculect-45-71,khas1269-std,concepticon-1366,2.25,khynráw,boy,khynraw
clics-doculect-45-72,khas1269-std,concepticon-76,2.251,khynnah,young man (adolescent),khynnah
clics-doculect-45-73,khas1269-std,concepticon-1646,2.26,khynráw,girl,khynraw
clics-doculect-45-74,khas1269-std,concepticon-77,2.261,khynnah,young woman (adolescent),khynnah
clics-doculect-45-75,khas1269-std,concepticon-1304,2.27,khûnlung,child,khunlung
clics-doculect-45-76,khas1269-std,concepticon-1289,2.28,tnga,"infant, baby",tnga
clics-doculect-45-77,khas1269-std,concepticon-1289,2.28,lok,"infant, baby",lok
clics-doculect-45-78,khas1269-std,concepticon-1200,2.31,tnga,husband,tnga
clics-doculect-45-79,khas1269-std,concepticon-1200,2.31,lok,husband,lok
clics-doculect-45-80,khas1269-std,concepticon-1199,2.32,poi-kha,wife,poi-kha
