ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-162-1,khva1239-Inxokvari,concepticon-965,1.1,дуниял,world,duniial
clics-doculect-162-2,khva1239-Inxokvari,concepticon-626,1.21,хΙуклат,"earth, land",khIuklat
clics-doculect-162-3,khva1239-Inxokvari,concepticon-626,1.21,рачалихъ,"earth, land",rachalikh'
clics-doculect-162-4,khva1239-Inxokvari,concepticon-1228,1.212,чΙидо,"earth=ground, soil",chIido
clics-doculect-162-5,khva1239-Inxokvari,concepticon-2,1.213,кьебха,dust,k'ebkha
clics-doculect-162-6,khva1239-Inxokvari,concepticon-640,1.214,къиц,mud,k'its
clics-doculect-162-7,khva1239-Inxokvari,concepticon-640,1.214,къуц,mud,k'uts
clics-doculect-162-8,khva1239-Inxokvari,concepticon-671,1.215,гебо,sand,gebo
clics-doculect-162-9,khva1239-Inxokvari,concepticon-2118,1.22,гьин,"mountain, hill",g'in
clics-doculect-162-10,khva1239-Inxokvari,concepticon-2118,1.22,мане,"mountain, hill",mane
clics-doculect-162-11,khva1239-Inxokvari,concepticon-618,1.222,гьакъи,"cliff, precipice",g'ak'i
clics-doculect-162-12,khva1239-Inxokvari,concepticon-618,1.222,берди,"cliff, precipice",berdi
clics-doculect-162-13,khva1239-Inxokvari,concepticon-652,1.23,байдан,"plain, field",baidan
clics-doculect-162-14,khva1239-Inxokvari,concepticon-921,1.24,авлахъ,valley,avlakh'
clics-doculect-162-15,khva1239-Inxokvari,concepticon-622,1.25,чΙинкΙиллъи,island,chIinkIill'i
clics-doculect-162-16,khva1239-Inxokvari,concepticon-113,1.27,рагΙал,shore,ragIal
clics-doculect-162-17,khva1239-Inxokvari,concepticon-1155,1.28,эхну,cave,ekhnu
clics-doculect-162-18,khva1239-Inxokvari,concepticon-948,1.31,лъо,water,l'o
clics-doculect-162-19,khva1239-Inxokvari,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-162-20,khva1239-Inxokvari,concepticon-258,1.322,сокку,calm (of sea),sokku
clics-doculect-162-21,khva1239-Inxokvari,concepticon-259,1.323,биххидуралъад,rough (of sea),bikhkhidural'ad
clics-doculect-162-22,khva1239-Inxokvari,concepticon-1768,1.324,муж,foam,muzh
clics-doculect-162-23,khva1239-Inxokvari,concepticon-645,1.329,кΙара,ocean,kIara
clics-doculect-162-24,khva1239-Inxokvari,concepticon-978,1.35,карачел,wave,karachel
clics-doculect-162-25,khva1239-Inxokvari,concepticon-891,1.352,ралъадислъо,tide,ral'adisl'o
clics-doculect-162-26,khva1239-Inxokvari,concepticon-1026,1.353,лъонекьигилъил,lowtide,l'onek'igil'il
clics-doculect-162-27,khva1239-Inxokvari,concepticon-613,1.354,лъолагьикьолол,hightide,l'olag'ik'olol
clics-doculect-162-28,khva1239-Inxokvari,concepticon-666,1.36,эхху,"river, stream, brook",ekhkhu
clics-doculect-162-29,khva1239-Inxokvari,concepticon-2144,1.37,чΙидолъзилохъолълъулъогъу̉и,"spring, well",chIidol'zilokh'ol'l'ul'og'ui
clics-doculect-162-30,khva1239-Inxokvari,concepticon-1145,1.38,музом,swamp,muzom
clics-doculect-162-31,khva1239-Inxokvari,concepticon-943,1.39,чанчал,waterfall,chanchal
clics-doculect-162-32,khva1239-Inxokvari,concepticon-420,1.41,гъонолъгъул,"woods, forest",g'onol'g'ul
clics-doculect-162-34,khva1239-Inxokvari,concepticon-1803,1.43,лудо,wood,ludo
clics-doculect-162-35,khva1239-Inxokvari,concepticon-1803,1.43,лидо,wood,lido
clics-doculect-162-36,khva1239-Inxokvari,concepticon-2125,1.44,гъур,"stone, rock",g'ur
clics-doculect-162-37,khva1239-Inxokvari,concepticon-2125,1.44,абагьакъи,"stone, rock",abag'ak'i
clics-doculect-162-38,khva1239-Inxokvari,concepticon-6,1.45,гъигъингу,earthquake,g'ig'ingu
clics-doculect-162-39,khva1239-Inxokvari,concepticon-1732,1.51,гъодхъосомокΙо,sky,g'odkh'osomokIo
clics-doculect-162-40,khva1239-Inxokvari,concepticon-1343,1.52,бухъ,sun,bukh'
clics-doculect-162-41,khva1239-Inxokvari,concepticon-1343,1.52,бихъ,sun,bikh'
clics-doculect-162-42,khva1239-Inxokvari,concepticon-1313,1.53,буцу,moon,butsu
clics-doculect-162-43,khva1239-Inxokvari,concepticon-1430,1.54,ца,star,tsa
clics-doculect-162-44,khva1239-Inxokvari,concepticon-1654,1.55,п́ири,lightning,piri
clics-doculect-162-45,khva1239-Inxokvari,concepticon-1150,1.56,хухутΙари,thunder,khukhutIari
clics-doculect-162-46,khva1239-Inxokvari,concepticon-1150,1.56,хухудеру,thunder,khukhuderu
clics-doculect-162-47,khva1239-Inxokvari,concepticon-2007,1.57,макъмакьилълъше,lightning (as striking),mak'mak'il'l'she
clics-doculect-162-48,khva1239-Inxokvari,concepticon-858,1.58,буран,storm,buran
clics-doculect-162-49,khva1239-Inxokvari,concepticon-1733,1.59,бухъуснур,rainbow,bukh'usnur
clics-doculect-162-50,khva1239-Inxokvari,concepticon-1733,1.59,бихъиснур,rainbow,bikh'isnur
clics-doculect-162-51,khva1239-Inxokvari,concepticon-630,1.61,жело,light (noun),zhelo
clics-doculect-162-52,khva1239-Inxokvari,concepticon-630,1.61,канлъи,light (noun),kanl'i
clics-doculect-162-53,khva1239-Inxokvari,concepticon-11,1.62,сасу,darkness,sasu
clics-doculect-162-54,khva1239-Inxokvari,concepticon-1388,1.63,гъуду,"shade, shadow",g'udu
clics-doculect-162-55,khva1239-Inxokvari,concepticon-1388,1.63,гъиду,"shade, shadow",g'idu
clics-doculect-162-56,khva1239-Inxokvari,concepticon-1977,1.64,хубо,dew,khubo
