ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-11-1,khva1239-Khvarshi,concepticon-965,1.1,дунйал,world,dunial
clics-doculect-11-2,khva1239-Khvarshi,concepticon-626,1.21,пачалихъ,"earth, land",pachalikh'
clics-doculect-11-3,khva1239-Khvarshi,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-11-4,khva1239-Khvarshi,concepticon-1228,1.212,чІида,"earth=ground, soil",chIida
clics-doculect-11-5,khva1239-Khvarshi,concepticon-2,1.213,кьебха,dust,k'ebkha
clics-doculect-11-6,khva1239-Khvarshi,concepticon-640,1.214,хъец,mud,kh'ets
clics-doculect-11-7,khva1239-Khvarshi,concepticon-671,1.215,гебо,sand,gebo
clics-doculect-11-8,khva1239-Khvarshi,concepticon-2118,1.22,гьун,"mountain, hill",g'un
clics-doculect-11-9,khva1239-Khvarshi,concepticon-2118,1.22,кІал,"mountain, hill",kIal
clics-doculect-11-10,khva1239-Khvarshi,concepticon-618,1.222,гьакъи,"cliff, precipice",g'ak'i
clics-doculect-11-11,khva1239-Khvarshi,concepticon-652,1.23,байдан,"plain, field",baidan
clics-doculect-11-12,khva1239-Khvarshi,concepticon-921,1.24,авлахъ,valley,avlakh'
clics-doculect-11-13,khva1239-Khvarshi,concepticon-622,1.25,чІинкІиллъи,island,chIinkIill'i
clics-doculect-11-14,khva1239-Khvarshi,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-11-15,khva1239-Khvarshi,concepticon-113,1.27,ралъадесбала,shore,ral'adesbala
clics-doculect-11-16,khva1239-Khvarshi,concepticon-1155,1.28,эхну,cave,ekhnu
clics-doculect-11-17,khva1239-Khvarshi,concepticon-948,1.31,лъа,water,l'a
clics-doculect-11-18,khva1239-Khvarshi,concepticon-1474,1.32,ралъад,sea,ral'ad
clics-doculect-11-19,khva1239-Khvarshi,concepticon-258,1.322,гьилІа,calm (of sea),g'ilIa
clics-doculect-11-20,khva1239-Khvarshi,concepticon-259,1.323,биххида,rough (of sea),bikhkhida
clics-doculect-11-21,khva1239-Khvarshi,concepticon-1768,1.324,муж,foam,muzh
