ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-145-1,kili1267-std,concepticon-965,1.1,джине,world,dzhine
clics-doculect-145-2,kili1267-std,concepticon-626,1.21,джине,"earth, land",dzhine
clics-doculect-145-3,kili1267-std,concepticon-626,1.21,улка,"earth, land",ulka
clics-doculect-145-4,kili1267-std,concepticon-626,1.21,вилайаьт,"earth, land",vilaia't
clics-doculect-145-5,kili1267-std,concepticon-1228,1.212,инччи,"earth=ground, soil",inchchi
clics-doculect-145-6,kili1267-std,concepticon-1228,1.212,ттва,"earth=ground, soil",ttva
clics-doculect-145-7,kili1267-std,concepticon-1228,1.212,турпагъ,"earth=ground, soil",turpag'
clics-doculect-145-8,kili1267-std,concepticon-2,1.213,тоз,dust,toz
clics-doculect-145-9,kili1267-std,concepticon-640,1.214,кир,mud,kir
clics-doculect-145-10,kili1267-std,concepticon-640,1.214,макьал,mud,mak'al
clics-doculect-145-11,kili1267-std,concepticon-640,1.214,чирк,mud,chirk
clics-doculect-145-12,kili1267-std,concepticon-671,1.215,къум,sand,k'um
clics-doculect-145-13,kili1267-std,concepticon-671,1.215,шум,sand,shum
clics-doculect-145-14,kili1267-std,concepticon-2118,1.22,мыда,"mountain, hill",myda
clics-doculect-145-15,kili1267-std,concepticon-2118,1.22,таьпаь,"mountain, hill",ta'pa'
clics-doculect-145-16,kili1267-std,concepticon-618,1.222,учхун,"cliff, precipice",uchkhun
clics-doculect-145-17,kili1267-std,concepticon-652,1.23,дуьздаьн,"plain, field",du'zda'n
clics-doculect-145-18,kili1267-std,concepticon-652,1.23,ант,"plain, field",ant
clics-doculect-145-19,kili1267-std,concepticon-652,1.23,тала,"plain, field",tala
clics-doculect-145-20,kili1267-std,concepticon-652,1.23,ынхъа,"plain, field",ynkh'a
clics-doculect-145-21,kili1267-std,concepticon-921,1.24,даьраь,valley,da'ra'
clics-doculect-145-22,kili1267-std,concepticon-921,1.24,чала,valley,chala
clics-doculect-145-23,kili1267-std,concepticon-622,1.25,ода,island,oda
clics-doculect-145-24,kili1267-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-145-25,kili1267-std,concepticon-113,1.27,къарагъ,shore,k'arag'
clics-doculect-145-26,kili1267-std,concepticon-1155,1.28,окьан,cave,ok'an
clics-doculect-145-27,kili1267-std,concepticon-948,1.31,хьу,water,kh'u
clics-doculect-145-28,kili1267-std,concepticon-1474,1.32,даьрйаьгь,sea,da'ria'g'
clics-doculect-145-29,kili1267-std,concepticon-258,1.322,саькин,calm (of sea),sa'kin
clics-doculect-145-30,kili1267-std,concepticon-259,1.323,къызгъын,rough (of sea),k'yzg'yn
clics-doculect-145-31,kili1267-std,concepticon-1768,1.324,куьппуъг,foam,ku'ppu'g
clics-doculect-145-32,kili1267-std,concepticon-645,1.329,акеан,ocean,akean
clics-doculect-145-33,kili1267-std,concepticon-624,1.33,новыр,lake,novyr
clics-doculect-145-34,kili1267-std,concepticon-978,1.35,лаьпаь,wave,la'pa'
clics-doculect-145-35,kili1267-std,concepticon-666,1.36,ынкка,"river, stream, brook",ynkka
clics-doculect-145-36,kili1267-std,concepticon-666,1.36,къарасу,"river, stream, brook",k'arasu
clics-doculect-145-37,kili1267-std,concepticon-1982,1.362,гургур,whirlpool,gurgur
clics-doculect-145-38,kili1267-std,concepticon-2144,1.37,къойу,"spring, well",k'oiu
clics-doculect-145-39,kili1267-std,concepticon-2144,1.37,мыц,"spring, well",myts
clics-doculect-145-40,kili1267-std,concepticon-2144,1.37,миччаь,"spring, well",michcha'
clics-doculect-145-41,kili1267-std,concepticon-1145,1.38,кьарыш,swamp,k'arysh
clics-doculect-145-42,kili1267-std,concepticon-943,1.39,шаьлаьлаь,waterfall,sha'la'la'
clics-doculect-145-43,kili1267-std,concepticon-420,1.41,маша,"woods, forest",masha
clics-doculect-145-45,kili1267-std,concepticon-1803,1.43,мыккар,wood,mykkar
clics-doculect-145-46,kili1267-std,concepticon-2125,1.44,мыда,"stone, rock",myda
