ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-110-1,kumy1244-std,concepticon-965,1.1,дюнья,world,diun'ia
clics-doculect-110-2,kumy1244-std,concepticon-626,1.21,ер,"earth, land",er
clics-doculect-110-3,kumy1244-std,concepticon-626,1.21,уьлке,"earth, land",u'lke
clics-doculect-110-4,kumy1244-std,concepticon-1228,1.212,ер,"earth=ground, soil",er
clics-doculect-110-5,kumy1244-std,concepticon-1228,1.212,топуракъ,"earth=ground, soil",topurak'
clics-doculect-110-6,kumy1244-std,concepticon-2,1.213,чанг,dust,chang
clics-doculect-110-7,kumy1244-std,concepticon-640,1.214,балыкъ,mud,balyk'
clics-doculect-110-8,kumy1244-std,concepticon-640,1.214,хав,mud,khav
clics-doculect-110-9,kumy1244-std,concepticon-671,1.215,хум,sand,khum
clics-doculect-110-10,kumy1244-std,concepticon-671,1.215,къайыр,sand,k'aiyr
clics-doculect-110-11,kumy1244-std,concepticon-2118,1.22,тав,"mountain, hill",tav
clics-doculect-110-12,kumy1244-std,concepticon-2118,1.22,тёбе,"mountain, hill",tiobe
clics-doculect-110-13,kumy1244-std,concepticon-618,1.222,таш,"cliff, precipice",tash
clics-doculect-110-14,kumy1244-std,concepticon-618,1.222,яр,"cliff, precipice",iar
clics-doculect-110-15,kumy1244-std,concepticon-618,1.222,къая,"cliff, precipice",k'aia
clics-doculect-110-16,kumy1244-std,concepticon-652,1.23,тюзлюк,"plain, field",tiuzliuk
clics-doculect-110-17,kumy1244-std,concepticon-652,1.23,тюз,"plain, field",tiuz
clics-doculect-110-18,kumy1244-std,concepticon-652,1.23,авлакъ,"plain, field",avlak'
clics-doculect-110-19,kumy1244-std,concepticon-921,1.24,къол,valley,k'ol
clics-doculect-110-20,kumy1244-std,concepticon-921,1.24,оязлыкъ,valley,oiazlyk'
clics-doculect-110-21,kumy1244-std,concepticon-622,1.25,атав,island,atav
clics-doculect-110-22,kumy1244-std,concepticon-166,1.26,континент,mainland,kontinent
clics-doculect-110-23,kumy1244-std,concepticon-113,1.27,сувягъа,shore,suviag'a
clics-doculect-110-24,kumy1244-std,concepticon-113,1.27,сувбою,shore,suvboiu
clics-doculect-110-25,kumy1244-std,concepticon-1155,1.28,анакъ,cave,anak'
clics-doculect-110-26,kumy1244-std,concepticon-948,1.31,сув,water,suv
clics-doculect-110-27,kumy1244-std,concepticon-1474,1.32,денгиз,sea,dengiz
clics-doculect-110-28,kumy1244-std,concepticon-258,1.322,рагьат,calm (of sea),rag'at
clics-doculect-110-29,kumy1244-std,concepticon-258,1.322,талкъунсуз,calm (of sea),talk'unsuz
clics-doculect-110-30,kumy1244-std,concepticon-259,1.323,гьалек,rough (of sea),g'alek
clics-doculect-110-31,kumy1244-std,concepticon-1768,1.324,чёбюк,foam,chiobiuk
clics-doculect-110-32,kumy1244-std,concepticon-645,1.329,дерия,ocean,deriia
clics-doculect-110-33,kumy1244-std,concepticon-624,1.33,кёл,lake,kiol
clics-doculect-110-34,kumy1244-std,concepticon-663,1.34,къолтукъ,"gulf, bay",k'oltuk'
clics-doculect-110-35,kumy1244-std,concepticon-623,1.341,къолтукъ,lagoon,k'oltuk'
