ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-103-1,kunz1244-std,concepticon-626,1.21,hoyri,"earth, land",hoyri
clics-doculect-103-2,kunz1244-std,concepticon-626,1.21,hoire,"earth, land",hoire
clics-doculect-103-3,kunz1244-std,concepticon-1228,1.212,hoyri,"earth=ground, soil",hoyri
clics-doculect-103-4,kunz1244-std,concepticon-1228,1.212,ttunar,"earth=ground, soil",ttunar
clics-doculect-103-5,kunz1244-std,concepticon-1228,1.212,hoytu,"earth=ground, soil",hoytu
clics-doculect-103-6,kunz1244-std,concepticon-2,1.213,pockor,dust,pockor
clics-doculect-103-7,kunz1244-std,concepticon-640,1.214,yotto,mud,yotto
clics-doculect-103-8,kunz1244-std,concepticon-640,1.214,quisti,mud,quisti
clics-doculect-103-9,kunz1244-std,concepticon-671,1.215,horckte,sand,horckte
clics-doculect-103-10,kunz1244-std,concepticon-671,1.215,sitchere,sand,sitchere
clics-doculect-103-11,kunz1244-std,concepticon-2118,1.22,ckabur,"mountain, hill",ckabur
clics-doculect-103-12,kunz1244-std,concepticon-2118,1.22,caur,"mountain, hill",caur
clics-doculect-103-13,kunz1244-std,concepticon-652,1.23,tulva,"plain, field",tulva
clics-doculect-103-14,kunz1244-std,concepticon-652,1.23,ttulva,"plain, field",ttulva
clics-doculect-103-15,kunz1244-std,concepticon-921,1.24,ckalal,valley,ckalal
clics-doculect-103-16,kunz1244-std,concepticon-1155,1.28,toco,cave,toco
clics-doculect-103-17,kunz1244-std,concepticon-948,1.31,puri,water,puri
clics-doculect-103-18,kunz1244-std,concepticon-948,1.31,puy,water,puy
clics-doculect-103-19,kunz1244-std,concepticon-666,1.36,backcka,"river, stream, brook",backcka
clics-doculect-103-20,kunz1244-std,concepticon-666,1.36,vacka,"river, stream, brook",vacka
clics-doculect-103-21,kunz1244-std,concepticon-1982,1.362,tchinckonao,whirlpool,tchinckonao
clics-doculect-103-22,kunz1244-std,concepticon-1982,1.362,ckoiman,whirlpool,ckoiman
clics-doculect-103-23,kunz1244-std,concepticon-2144,1.37,cherejner,"spring, well",cherejner
clics-doculect-103-24,kunz1244-std,concepticon-2144,1.37,cheresner,"spring, well",cheresner
clics-doculect-103-25,kunz1244-std,concepticon-2144,1.37,cheresnir,"spring, well",cheresnir
clics-doculect-103-28,kunz1244-std,concepticon-2125,1.44,ckaitchi,"stone, rock",ckaitchi
clics-doculect-103-29,kunz1244-std,concepticon-2125,1.44,caichi,"stone, rock",caichi
clics-doculect-103-30,kunz1244-std,concepticon-1343,1.52,ckapin,sun,ckapin
clics-doculect-103-31,kunz1244-std,concepticon-1343,1.52,caapin,sun,caapin
clics-doculect-103-32,kunz1244-std,concepticon-1313,1.53,ckamur,moon,ckamur
clics-doculect-103-33,kunz1244-std,concepticon-1313,1.53,cáhmor,moon,cahmor
clics-doculect-103-34,kunz1244-std,concepticon-1430,1.54,haalar,star,haalar
clics-doculect-103-35,kunz1244-std,concepticon-1430,1.54,halar,star,halar
clics-doculect-103-36,kunz1244-std,concepticon-1430,1.54,ahlar,star,ahlar
clics-doculect-103-37,kunz1244-std,concepticon-1150,1.56,lulantur,thunder,lulantur
clics-doculect-103-38,kunz1244-std,concepticon-858,1.58,ckoimar,storm,ckoimar
clics-doculect-103-39,kunz1244-std,concepticon-1733,1.59,ckoitchi,rainbow,ckoitchi
clics-doculect-103-40,kunz1244-std,concepticon-630,1.61,lalcktchir,light (noun),lalcktchir
clics-doculect-103-41,kunz1244-std,concepticon-1388,1.63,minas,"shade, shadow",minas
clics-doculect-103-42,kunz1244-std,concepticon-27,1.71,ckelinar,air,ckelinar
clics-doculect-103-43,kunz1244-std,concepticon-960,1.72,ckuri,wind,ckuri
clics-doculect-103-44,kunz1244-std,concepticon-960,1.72,khuri,wind,khuri
clics-doculect-103-45,kunz1244-std,concepticon-960,1.72,khuro,wind,khuro
clics-doculect-103-46,kunz1244-std,concepticon-1489,1.73,molti,cloud,molti
clics-doculect-103-47,kunz1244-std,concepticon-1489,1.73,molle,cloud,molle
clics-doculect-103-48,kunz1244-std,concepticon-1489,1.73,molte,cloud,molte
clics-doculect-103-49,kunz1244-std,concepticon-249,1.74,molte,fog,molte
clics-doculect-103-50,kunz1244-std,concepticon-249,1.74,molle,fog,molle
clics-doculect-103-51,kunz1244-std,concepticon-658,1.75,saire,rain (noun),saire
clics-doculect-103-52,kunz1244-std,concepticon-658,1.75,zaire,rain (noun),zaire
clics-doculect-103-53,kunz1244-std,concepticon-658,1.75,sairi,rain (noun),sairi
clics-doculect-103-54,kunz1244-std,concepticon-784,1.76,tsimir,snow (noun),tsimir
clics-doculect-103-55,kunz1244-std,concepticon-784,1.76,tchimir,snow (noun),tchimir
clics-doculect-103-56,kunz1244-std,concepticon-221,1.81,hohónima,fire,hohonima
clics-doculect-103-57,kunz1244-std,concepticon-221,1.81,humur,fire,humur
clics-doculect-103-58,kunz1244-std,concepticon-221,1.81,ckelar,fire,ckelar
clics-doculect-103-59,kunz1244-std,concepticon-778,1.83,ttoyur,smoke (noun),ttoyur
clics-doculect-103-60,kunz1244-std,concepticon-646,1.84,tchili,ashes,tchili
clics-doculect-103-61,kunz1244-std,concepticon-67,1.841,ckelar,embers,ckelar
clics-doculect-103-62,kunz1244-std,concepticon-141,1.851,honatur,burn (vb trans),honatur
clics-doculect-103-63,kunz1244-std,concepticon-1428,1.852,locktur,burn (vb intrans),locktur
clics-doculect-103-64,kunz1244-std,concepticon-1428,1.852,tumainatur,burn (vb intrans),tumainatur
clics-doculect-103-65,kunz1244-std,concepticon-737,1.86,lockuntur,"light, kindle, ignite",lockuntur
clics-doculect-103-66,kunz1244-std,concepticon-737,1.86,hayiantur,"light, kindle, ignite",hayiantur
clics-doculect-103-67,kunz1244-std,concepticon-127,1.861,siantur,extinguish,siantur
clics-doculect-103-68,kunz1244-std,concepticon-10,1.88,hackamur,firewood,hackamur
clics-doculect-103-69,kunz1244-std,concepticon-10,1.88,hak'amur,firewood,hak'amur
clics-doculect-103-70,kunz1244-std,concepticon-1554,2.21,sima,man (vs. woman),sima
clics-doculect-103-71,kunz1244-std,concepticon-1554,2.21,simma,man (vs. woman),simma
clics-doculect-103-72,kunz1244-std,concepticon-962,2.22,lickau,woman,lickau
clics-doculect-103-73,kunz1244-std,concepticon-962,2.22,liq'cau,woman,liq'cau
clics-doculect-103-74,kunz1244-std,concepticon-1553,2.23,ttari,male,ttari
clics-doculect-103-75,kunz1244-std,concepticon-1553,2.23,t'ari,male,t'ari
clics-doculect-103-76,kunz1244-std,concepticon-1551,2.24,quibur,female,quibur
clics-doculect-103-77,kunz1244-std,concepticon-1551,2.24,liqcau,female,liqcau
clics-doculect-103-78,kunz1244-std,concepticon-1366,2.25,pauna,boy,pauna
clics-doculect-103-79,kunz1244-std,concepticon-1366,2.25,simapauna,boy,simapauna
clics-doculect-103-80,kunz1244-std,concepticon-76,2.251,yaalir,young man (adolescent),yaalir
clics-doculect-103-81,kunz1244-std,concepticon-76,2.251,baina,young man (adolescent),baina
clics-doculect-103-82,kunz1244-std,concepticon-1646,2.26,lickaupauna,girl,lickaupauna
clics-doculect-103-83,kunz1244-std,concepticon-1646,2.26,paunalicau,girl,paunalicau
clics-doculect-103-84,kunz1244-std,concepticon-77,2.261,ayián,young woman (adolescent),ayian
clics-doculect-103-85,kunz1244-std,concepticon-1304,2.27,pauna,child,pauna
clics-doculect-103-86,kunz1244-std,concepticon-1304,2.27,panckti,child,panckti
clics-doculect-103-87,kunz1244-std,concepticon-1200,2.31,sima,husband,sima
clics-doculect-103-88,kunz1244-std,concepticon-1200,2.31,simma,husband,simma
clics-doculect-103-89,kunz1244-std,concepticon-1199,2.32,licki,wife,licki
clics-doculect-103-90,kunz1244-std,concepticon-1199,2.32,kiqui,wife,kiqui
clics-doculect-103-91,kunz1244-std,concepticon-1217,2.35,tickan,father,tickan
clics-doculect-103-92,kunz1244-std,concepticon-1217,2.35,tic'han,father,tic'han
clics-doculect-103-93,kunz1244-std,concepticon-1216,2.36,patta,mother,patta
clics-doculect-103-94,kunz1244-std,concepticon-1216,2.36,pat'ta,mother,pat'ta
clics-doculect-103-95,kunz1244-std,concepticon-1620,2.41,pahni,son,pahni
clics-doculect-103-96,kunz1244-std,concepticon-1620,2.41,panni,son,panni
clics-doculect-103-97,kunz1244-std,concepticon-1357,2.42,pahnilickau,daughter,pahnilickau
clics-doculect-103-98,kunz1244-std,concepticon-1357,2.42,pahniliq'cau,daughter,pahniliq'cau
clics-doculect-103-99,kunz1244-std,concepticon-1262,2.44,pitchau,brother,pitchau
clics-doculect-103-100,kunz1244-std,concepticon-1262,2.44,sahli,brother,sahli
clics-doculect-103-101,kunz1244-std,concepticon-1263,2.45,sahlilickau,sister,sahlilickau
clics-doculect-103-102,kunz1244-std,concepticon-1263,2.45,zahliliqcau,sister,zahliliqcau
clics-doculect-103-103,kunz1244-std,concepticon-1005,2.458,pinnau,twins,pinnau
clics-doculect-103-104,kunz1244-std,concepticon-406,2.461,ckonicks,old man,ckonicks
clics-doculect-103-105,kunz1244-std,concepticon-406,2.461,muyi,old man,muyi
clics-doculect-103-106,kunz1244-std,concepticon-907,2.471,ckannau,old woman,ckannau
clics-doculect-103-107,kunz1244-std,concepticon-1618,2.48,ckamai,grandson,ckamai
clics-doculect-103-108,kunz1244-std,concepticon-1618,2.48,cahmai,grandson,cahmai
clics-doculect-103-109,kunz1244-std,concepticon-1063,2.53,pitchipani,nephew,pitchipani
clics-doculect-103-110,kunz1244-std,concepticon-1642,2.54,salipani,niece,salipani
clics-doculect-103-111,kunz1244-std,concepticon-2256,2.62,ttosi,mother-in-law (of a man),ttosi
clics-doculect-103-112,kunz1244-std,concepticon-1149,2.75,pucki,orphan,pucki
clics-doculect-103-113,kunz1244-std,concepticon-1149,2.75,puk'i,orphan,puk'i
clics-doculect-103-114,kunz1244-std,concepticon-1149,2.75,puqui,orphan,puqui
clics-doculect-103-115,kunz1244-std,concepticon-1209,2.91,ackcka,I,ackcka
clics-doculect-103-116,kunz1244-std,concepticon-1209,2.91,acsa,I,acsa
clics-doculect-103-117,kunz1244-std,concepticon-1209,2.91,akia,I,akia
clics-doculect-103-118,kunz1244-std,concepticon-1215,2.92,tchema,you (singular),tchema
clics-doculect-103-119,kunz1244-std,concepticon-1215,2.92,chema,you (singular),chema
clics-doculect-103-120,kunz1244-std,concepticon-262,2.93,ía,he/she/it,ia
clics-doculect-103-121,kunz1244-std,concepticon-262,2.93,ckachir,he/she/it,ckachir
clics-doculect-103-122,kunz1244-std,concepticon-262,2.93,ilckauya,he/she/it,ilckauya
clics-doculect-103-123,kunz1244-std,concepticon-1212,2.94,ckunna,we,ckunna
clics-doculect-103-124,kunz1244-std,concepticon-1212,2.94,cunna,we,cunna
