ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-7-1,lakk1252-std,concepticon-965,1.1,дунийал,world,duniial
clics-doculect-7-2,lakk1252-std,concepticon-626,1.21,аьрщи,"earth, land",a'rshchi
clics-doculect-7-3,lakk1252-std,concepticon-626,1.21,билайат,"earth, land",bilaiat
clics-doculect-7-4,lakk1252-std,concepticon-1228,1.212,аьрщи,"earth=ground, soil",a'rshchi
clics-doculect-7-5,lakk1252-std,concepticon-1228,1.212,кьири,"earth=ground, soil",k'iri
clics-doculect-7-6,lakk1252-std,concepticon-2,1.213,лах,dust,lakh
clics-doculect-7-7,lakk1252-std,concepticon-640,1.214,кьяркьи,mud,k'iark'i
clics-doculect-7-8,lakk1252-std,concepticon-671,1.215,къун,sand,k'un
clics-doculect-7-9,lakk1252-std,concepticon-2118,1.22,зунтту,"mountain, hill",zunttu
clics-doculect-7-10,lakk1252-std,concepticon-2118,1.22,бакІу,"mountain, hill",bakIu
clics-doculect-7-11,lakk1252-std,concepticon-618,1.222,ххяли,"cliff, precipice",khkhiali
clics-doculect-7-12,lakk1252-std,concepticon-618,1.222,мурлу,"cliff, precipice",murlu
clics-doculect-7-13,lakk1252-std,concepticon-652,1.23,кьан,"plain, field",k'an
clics-doculect-7-14,lakk1252-std,concepticon-652,1.23,ар,"plain, field",ar
clics-doculect-7-15,lakk1252-std,concepticon-652,1.23,чул,"plain, field",chul
clics-doculect-7-16,lakk1252-std,concepticon-652,1.23,хъу,"plain, field",kh'u
clics-doculect-7-17,lakk1252-std,concepticon-921,1.24,ар,valley,ar
clics-doculect-7-18,lakk1252-std,concepticon-622,1.25,жазира,island,zhazira
clics-doculect-7-19,lakk1252-std,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-7-20,lakk1252-std,concepticon-113,1.27,зума,shore,zuma
clics-doculect-7-21,lakk1252-std,concepticon-1155,1.28,нух,cave,nukh
clics-doculect-7-22,lakk1252-std,concepticon-948,1.31,щин,water,shchin
