ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-2-1,lati1261-std,concepticon-1228,1.212,humus,"earth=ground, soil",humus
clics-doculect-2-2,lati1261-std,concepticon-2,1.213,pulvis,dust,pulvis
clics-doculect-2-3,lati1261-std,concepticon-640,1.214,lutum,mud,lutum
clics-doculect-2-4,lati1261-std,concepticon-652,1.23,planum,"plain, field",planum
clics-doculect-2-5,lati1261-std,concepticon-921,1.24,vallis,valley,vallis
clics-doculect-2-6,lati1261-std,concepticon-1155,1.28,antrum,cave,antrum
clics-doculect-2-7,lati1261-std,concepticon-1155,1.28,spelunca,cave,spelunca
clics-doculect-2-8,lati1261-std,concepticon-258,1.322,lenire,calm (of sea),lenire
clics-doculect-2-9,lati1261-std,concepticon-258,1.322,sedare,calm (of sea),sedare
clics-doculect-2-10,lati1261-std,concepticon-258,1.322,quietus,calm (of sea),quietus
clics-doculect-2-11,lati1261-std,concepticon-259,1.323,asper,rough (of sea),asper
clics-doculect-2-12,lati1261-std,concepticon-663,1.34,Laurusnobilis,"gulf, bay",Laurusnobilis
clics-doculect-2-13,lati1261-std,concepticon-623,1.341,aestuarium,lagoon,aestuarium
clics-doculect-2-14,lati1261-std,concepticon-1982,1.362,gurges,whirlpool,gurges
clics-doculect-2-15,lati1261-std,concepticon-420,1.41,silva,"woods, forest",silva
clics-doculect-2-16,lati1261-std,concepticon-6,1.45,terraemotus,earthquake,terraemotus
clics-doculect-2-17,lati1261-std,concepticon-1150,1.56,tonitrus,thunder,tonitrus
clics-doculect-2-18,lati1261-std,concepticon-630,1.61,lux,light (noun),lux
clics-doculect-2-19,lati1261-std,concepticon-11,1.62,obscuritas,darkness,obscuritas
clics-doculect-2-20,lati1261-std,concepticon-1388,1.63,umbra,"shade, shadow",umbra
clics-doculect-2-21,lati1261-std,concepticon-1977,1.64,ros,dew,ros
clics-doculect-2-22,lati1261-std,concepticon-889,1.82,flamma,flame (noun),flamma
clics-doculect-2-23,lati1261-std,concepticon-646,1.84,cinis,ashes,cinis
clics-doculect-2-24,lati1261-std,concepticon-646,1.84,fraxinus,ashes,fraxinus
clics-doculect-2-25,lati1261-std,concepticon-67,1.841,carbonisignis,embers,carbonisignis
clics-doculect-2-26,lati1261-std,concepticon-141,1.851,ardere,burn (vb trans),ardere
clics-doculect-2-27,lati1261-std,concepticon-141,1.851,urere,burn (vb trans),urere
clics-doculect-2-28,lati1261-std,concepticon-765,10.11,movere,move,movere
clics-doculect-2-29,lati1261-std,concepticon-765,10.11,sedemmutare,move,sedemmutare
clics-doculect-2-30,lati1261-std,concepticon-1588,10.12,verti,turn over,verti
clics-doculect-2-31,lati1261-std,concepticon-1588,10.12,inorbemtorquere,turn over,inorbemtorquere
clics-doculect-2-32,lati1261-std,concepticon-1588,10.12,torquere,turn over,torquere
clics-doculect-2-33,lati1261-std,concepticon-827,10.15,evolvere,roll,evolvere
clics-doculect-2-34,lati1261-std,concepticon-430,10.17,torquere,twist,torquere
clics-doculect-2-35,lati1261-std,concepticon-568,10.21,insurgere,rise,insurgere
clics-doculect-2-36,lati1261-std,concepticon-568,10.21,assurgere,rise,assurgere
clics-doculect-2-37,lati1261-std,concepticon-1280,10.23,cadĕre,fall,cadere
