ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-177-1,leng1262-std,concepticon-965,1.1,kyisonelwanmeŋkaɬa,world,kyisonelwanmeNGkala
clics-doculect-177-2,leng1262-std,concepticon-626,1.21,ɬapup,"earth, land",lapup
clics-doculect-177-3,leng1262-std,concepticon-1228,1.212,ɬapup,"earth=ground, soil",lapup
clics-doculect-177-4,leng1262-std,concepticon-2,1.213,ɬapupanik,dust,lapupanik
clics-doculect-177-5,leng1262-std,concepticon-640,1.214,yilpa,mud,yilpa
clics-doculect-177-6,leng1262-std,concepticon-671,1.215,yinkamith,sand,yinkamith
clics-doculect-177-7,leng1262-std,concepticon-2118,1.22,inkyiɬe,"mountain, hill",inkyile
clics-doculect-177-8,leng1262-std,concepticon-652,1.23,paiheɬapup,"plain, field",paihelapup
clics-doculect-177-9,leng1262-std,concepticon-921,1.24,yipwatiam,valley,yipwatiam
clics-doculect-177-10,leng1262-std,concepticon-622,1.25,ikhaiamɬapup,island,ikhaiamlapup
clics-doculect-177-11,leng1262-std,concepticon-113,1.27,takaɬityiŋmin,shore,takalityiNGmin
clics-doculect-177-12,leng1262-std,concepticon-948,1.31,yiŋmin,water,yiNGmin
clics-doculect-177-13,leng1262-std,concepticon-258,1.322,kyinmanteyi,calm (of sea),kyinmanteyi
clics-doculect-177-14,leng1262-std,concepticon-1768,1.324,ikyakmopaia,foam,ikyakmopaia
clics-doculect-177-15,leng1262-std,concepticon-624,1.33,ikyakyeŋwaiam,lake,ikyakyeNGwaiam
clics-doculect-177-16,leng1262-std,concepticon-623,1.341,saŋye,lagoon,saNGye
clics-doculect-177-17,leng1262-std,concepticon-1662,1.343,nataklawatsam,"headland, point",nataklawatsam
clics-doculect-177-18,leng1262-std,concepticon-978,1.35,elyakyahaiam,wave,elyakyahaiam
clics-doculect-177-19,leng1262-std,concepticon-666,1.36,watsam,"river, stream, brook",watsam
clics-doculect-177-20,leng1262-std,concepticon-666,1.36,elwata,"river, stream, brook",elwata
clics-doculect-177-21,leng1262-std,concepticon-1982,1.362,waiŋkyikmekyiŋmin,whirlpool,waiNGkyikmekyiNGmin
clics-doculect-177-22,leng1262-std,concepticon-2144,1.37,yamilkyit,"spring, well",yamilkyit
clics-doculect-177-23,leng1262-std,concepticon-1145,1.38,saŋye,swamp,saNGye
