ID,Language_ID,Feature_ID,IDS_Key,Value,Concept,IPA_UDECODE
clics-doculect-194-1,lezg1247-Kuba,concepticon-965,1.1,дуьньйа,world,du'n'ia
clics-doculect-194-2,lezg1247-Kuba,concepticon-626,1.21,уьлкве,"earth, land",u'lkve
clics-doculect-194-3,lezg1247-Kuba,concepticon-1228,1.212,нукьв,"earth=ground, soil",nuk'v
clics-doculect-194-4,lezg1247-Kuba,concepticon-2,1.213,руг,dust,rug
clics-doculect-194-5,lezg1247-Kuba,concepticon-640,1.214,палчугъ,mud,palchug'
clics-doculect-194-6,lezg1247-Kuba,concepticon-671,1.215,къум,sand,k'um
clics-doculect-194-7,lezg1247-Kuba,concepticon-2118,1.22,дагъ,"mountain, hill",dag'
clics-doculect-194-8,lezg1247-Kuba,concepticon-2118,1.22,тепе,"mountain, hill",tepe
clics-doculect-194-9,lezg1247-Kuba,concepticon-618,1.222,къаййа,"cliff, precipice",k'aiia
clics-doculect-194-10,lezg1247-Kuba,concepticon-652,1.23,дуьзенлух,"plain, field",du'zenlukh
clics-doculect-194-11,lezg1247-Kuba,concepticon-921,1.24,дере,valley,dere
clics-doculect-194-12,lezg1247-Kuba,concepticon-622,1.25,адо,island,ado
clics-doculect-194-13,lezg1247-Kuba,concepticon-166,1.26,кантинент,mainland,kantinent
clics-doculect-194-14,lezg1247-Kuba,concepticon-113,1.27,къерех,shore,k'erekh
clics-doculect-194-15,lezg1247-Kuba,concepticon-1155,1.28,магъара,cave,mag'ara
clics-doculect-194-16,lezg1247-Kuba,concepticon-948,1.31,йад,water,iad
clics-doculect-194-17,lezg1247-Kuba,concepticon-1474,1.32,гьуьл,sea,g'u'l
clics-doculect-194-18,lezg1247-Kuba,concepticon-258,1.322,сакингьуьл,calm (of sea),saking'u'l
clics-doculect-194-19,lezg1247-Kuba,concepticon-259,1.323,къати,rough (of sea),k'ati
clics-doculect-194-20,lezg1247-Kuba,concepticon-1768,1.324,каф,foam,kaf
clics-doculect-194-21,lezg1247-Kuba,concepticon-645,1.329,дера,ocean,dera
clics-doculect-194-22,lezg1247-Kuba,concepticon-624,1.33,вир,lake,vir
clics-doculect-194-23,lezg1247-Kuba,concepticon-978,1.35,лепе,wave,lepe
clics-doculect-194-24,lezg1247-Kuba,concepticon-666,1.36,вацІ,"river, stream, brook",vatsI
clics-doculect-194-25,lezg1247-Kuba,concepticon-2144,1.37,булах,"spring, well",bulakh
clics-doculect-194-26,lezg1247-Kuba,concepticon-1145,1.38,батагълугъ,swamp,batag'lug'
clics-doculect-194-27,lezg1247-Kuba,concepticon-420,1.41,рук,"woods, forest",ruk
clics-doculect-194-29,lezg1247-Kuba,concepticon-1803,1.43,тар,wood,tar
clics-doculect-194-30,lezg1247-Kuba,concepticon-2125,1.44,къван,"stone, rock",k'van
clics-doculect-194-31,lezg1247-Kuba,concepticon-6,1.45,зелзеле,earthquake,zelzele
clics-doculect-194-32,lezg1247-Kuba,concepticon-1732,1.51,цав,sky,tsav
clics-doculect-194-33,lezg1247-Kuba,concepticon-1343,1.52,рагъ,sun,rag'
clics-doculect-194-34,lezg1247-Kuba,concepticon-1313,1.53,варз,moon,varz
clics-doculect-194-35,lezg1247-Kuba,concepticon-1430,1.54,улдуз,star,ulduz
clics-doculect-194-36,lezg1247-Kuba,concepticon-1654,1.55,цІайлапан,lightning,tsIailapan
